Orthogroup	MHP_112B_genes	MHP_NCTC10127_genes
OG0000000	NBX26_RS01900	EXC50_RS01055
OG0000000	NBX26_RS02470	EXC50_RS01165
OG0000000	NBX26_RS01850	EXC50_RS03990
OG0000000	NBX26_RS01860	EXC50_RS00675
OG0000001	NBX26_RS02970	EXC50_RS01640
OG0000001	NBX26_RS02920	EXC50_RS01590
OG0000002	NBX26_RS02355	EXC50_RS04010
OG0000003	NBX26_RS00500	EXC50_RS03580
OG0000004	NBX26_RS03380	EXC50_RS02030
OG0000004	NBX26_RS03370	EXC50_RS02040
OG0000004	NBX26_RS03385	EXC50_RS02050
OG0000004	NBX26_RS03195	EXC50_RS01865
OG0000005	NBX26_RS00105	EXC50_RS00100
OG0000005	NBX26_RS00110	EXC50_RS00105
OG0000005	NBX26_RS00115	EXC50_RS00110
OG0000006	NBX26_RS02660	EXC50_RS04025
OG0000008	NBX26_RS02465	EXC50_RS01160, EXC50_RS04015
OG0000008	NBX26_RS01765	EXC50_RS00595
OG0000008	NBX26_RS02670, NBX26_RS02665	EXC50_RS04030
OG0000009	NBX26_RS00665	EXC50_RS03420
OG0000009	NBX26_RS00090	EXC50_RS00085
OG0000009	NBX26_RS00685	EXC50_RS03405
OG0000010	NBX26_RS02250	EXC50_RS00795
OG0000011	NBX26_RS02155	EXC50_RS00895
OG0000012	NBX26_RS01885, NBX26_RS01715, NBX26_RS01000, NBX26_RS02350, NBX26_RS02235	EXC50_RS01855
OG0000013	NBX26_RS02550	EXC50_RS01255
OG0000014	NBX26_RS00605	EXC50_RS03480
OG0000015	NBX26_RS01925	EXC50_RS03670
OG0000016	NBX26_RS00160	EXC50_RS00170
OG0000017	NBX26_RS00145	EXC50_RS00155
OG0000017	NBX26_RS03025	EXC50_RS01690
OG0000018	NBX26_RS01950	EXC50_RS03750, EXC50_RS04080, EXC50_RS00485, EXC50_RS04150, EXC50_RS04145, EXC50_RS04085
OG0000019	NBX26_RS03210, NBX26_RS03200	EXC50_RS04060
OG0000020	NBX26_RS03745	EXC50_RS02395
OG0000021	NBX26_RS02335	EXC50_RS04125
OG0000022	NBX26_RS01790	EXC50_RS00615
OG0000022	NBX26_RS01845	EXC50_RS00670
OG0000023	NBX26_RS01940	EXC50_RS00495, EXC50_RS03740
OG0000024	NBX26_RS02915	EXC50_RS01585
OG0000024	NBX26_RS01400	EXC50_RS02815
OG0000025	NBX26_RS01795	EXC50_RS00620
OG0000025	NBX26_RS01840	EXC50_RS00665
OG0000026	NBX26_RS01490	EXC50_RS02725
OG0000026	NBX26_RS01820	EXC50_RS00645
OG0000027	NBX26_RS03535	EXC50_RS02185
OG0000027	NBX26_RS03555	EXC50_RS02200
OG0000029	NBX26_RS01225	EXC50_RS03005
OG0000029	NBX26_RS00610	EXC50_RS03475
OG0000030	NBX26_RS03525	EXC50_RS02175
OG0000030	NBX26_RS03550	EXC50_RS02195
OG0000031	NBX26_RS01990	EXC50_RS02515, EXC50_RS03805
OG0000032	NBX26_RS03540, NBX26_RS03545	EXC50_RS04070
OG0000035	NBX26_RS03375	EXC50_RS02045
OG0000035	NBX26_RS03365	EXC50_RS02025
OG0000036	NBX26_RS00120	EXC50_RS00115
OG0000038	NBX26_RS00490	EXC50_RS03585
OG0000039	NBX26_RS01735	EXC50_RS03975, EXC50_RS00560
OG0000041	NBX26_RS00670	EXC50_RS03415
OG0000042	NBX26_RS03110	EXC50_RS01780
OG0000043	NBX26_RS02185	EXC50_RS00860
OG0000044	NBX26_RS01805	EXC50_RS04255
OG0000044	NBX26_RS02310	EXC50_RS00745
OG0000045	NBX26_RS01745	EXC50_RS00570
OG0000046	NBX26_RS03470	EXC50_RS02130
OG0000047	NBX26_RS01935	EXC50_RS00500
OG0000048	NBX26_RS01920	EXC50_RS01040
OG0000049	NBX26_RS03220	EXC50_RS01890
OG0000050	NBX26_RS02610	EXC50_RS04180, EXC50_RS04200, EXC50_RS04195, EXC50_RS04185, EXC50_RS04205, EXC50_RS01295
OG0000051	NBX26_RS02825	EXC50_RS01500
OG0000052	NBX26_RS00080	EXC50_RS00075
OG0000053	NBX26_RS01580	EXC50_RS02640
OG0000054	NBX26_RS02635	EXC50_RS04250
OG0000055	NBX26_RS00125	EXC50_RS00135
OG0000056	NBX26_RS03730	EXC50_RS02375
OG0000057	NBX26_RS03095	EXC50_RS01765
OG0000059	NBX26_RS01985	EXC50_RS02510
OG0000061	NBX26_RS02240	EXC50_RS00525, EXC50_RS00805
OG0000062	NBX26_RS03775	EXC50_RS02425
OG0000063	NBX26_RS03770	EXC50_RS02420
OG0000064	NBX26_RS03760	EXC50_RS02410
OG0000065	NBX26_RS02400	EXC50_RS01100
OG0000066	NBX26_RS01480	EXC50_RS02735
OG0000068	NBX26_RS00645	EXC50_RS03440
OG0000069	NBX26_RS02990	EXC50_RS01655
OG0000070	NBX26_RS02640	EXC50_RS03840, EXC50_RS01325
OG0000071	NBX26_RS03445	EXC50_RS02110
OG0000072	NBX26_RS03450	EXC50_RS02115
OG0000073	NBX26_RS00715	EXC50_RS03380
OG0000074	NBX26_RS00910	EXC50_RS03185
OG0000075	NBX26_RS00335	EXC50_RS00355
OG0000076	NBX26_RS00350	EXC50_RS00370
OG0000077	NBX26_RS00435	EXC50_RS03640
OG0000079	NBX26_RS02720	EXC50_RS01405
OG0000080	NBX26_RS02765	EXC50_RS03930
OG0000081	NBX26_RS00330	EXC50_RS00350
OG0000083	NBX26_RS02080	EXC50_RS00965
OG0000084	NBX26_RS02050	EXC50_RS00990
OG0000085	NBX26_RS02045	EXC50_RS00995
OG0000086	NBX26_RS02030	EXC50_RS01005
OG0000087	NBX26_RS02015	EXC50_RS01020
OG0000088	NBX26_RS02010	EXC50_RS01025
OG0000089	NBX26_RS02000	EXC50_RS01035
OG0000090	NBX26_RS00070	EXC50_RS00070
OG0000091	NBX26_RS00055	EXC50_RS00055
OG0000092	NBX26_RS00040	EXC50_RS00040
OG0000093	NBX26_RS00035	EXC50_RS00035
OG0000094	NBX26_RS00030	EXC50_RS00030
OG0000095	NBX26_RS00005	EXC50_RS00005
OG0000096	NBX26_RS03810	EXC50_RS02460
OG0000097	NBX26_RS03790	EXC50_RS02440
OG0000098	NBX26_RS03780	EXC50_RS02430
OG0000099	NBX26_RS03735	EXC50_RS02380
OG0000100	NBX26_RS03720	EXC50_RS02365
OG0000101	NBX26_RS03715	EXC50_RS02360
OG0000102	NBX26_RS01835	EXC50_RS00660
OG0000103	NBX26_RS02365	EXC50_RS01065
OG0000104	NBX26_RS02370	EXC50_RS01070
OG0000105	NBX26_RS02390	EXC50_RS01085
OG0000106	NBX26_RS02395	EXC50_RS01095
OG0000107	NBX26_RS02405	EXC50_RS01105
OG0000108	NBX26_RS02410	EXC50_RS01110
OG0000109	NBX26_RS02415	EXC50_RS01115
OG0000110	NBX26_RS02535	EXC50_RS01240
OG0000111	NBX26_RS02530	EXC50_RS01235
OG0000112	NBX26_RS02520	EXC50_RS01225
OG0000113	NBX26_RS02500	EXC50_RS01205
OG0000114	NBX26_RS02490	EXC50_RS01195
OG0000115	NBX26_RS02480	EXC50_RS01180
OG0000116	NBX26_RS01420	EXC50_RS02790
OG0000117	NBX26_RS01425	EXC50_RS02785
OG0000118	NBX26_RS01460	EXC50_RS02750
OG0000119	NBX26_RS01470	EXC50_RS02745
OG0000120	NBX26_RS01485	EXC50_RS02730
OG0000121	NBX26_RS01515	EXC50_RS02705
OG0000122	NBX26_RS01520	EXC50_RS02700
OG0000123	NBX26_RS01540	EXC50_RS02680
OG0000124	NBX26_RS01545	EXC50_RS02675
OG0000125	NBX26_RS01550	EXC50_RS02670
OG0000126	NBX26_RS01560	EXC50_RS02660
OG0000127	NBX26_RS01570	EXC50_RS02650
OG0000128	NBX26_RS01585	EXC50_RS02635
OG0000129	NBX26_RS01590	EXC50_RS02630
OG0000130	NBX26_RS01600	EXC50_RS02620
OG0000131	NBX26_RS01630	EXC50_RS02590
OG0000132	NBX26_RS01645	EXC50_RS02575
OG0000133	NBX26_RS00530	EXC50_RS03555
OG0000134	NBX26_RS00535	EXC50_RS03550
OG0000135	NBX26_RS00550	EXC50_RS03535
OG0000136	NBX26_RS00555	EXC50_RS03530
OG0000137	NBX26_RS00595	EXC50_RS03500
OG0000138	NBX26_RS00620	EXC50_RS03465
OG0000139	NBX26_RS00650	EXC50_RS03435
OG0000140	NBX26_RS00655	EXC50_RS03430
OG0000141	NBX26_RS03105	EXC50_RS01775
OG0000142	NBX26_RS03100	EXC50_RS01770
OG0000143	NBX26_RS03085	EXC50_RS01745
OG0000144	NBX26_RS03070	EXC50_RS01735
OG0000145	NBX26_RS03060	EXC50_RS01725
OG0000146	NBX26_RS03050	EXC50_RS01715
OG0000147	NBX26_RS03045	EXC50_RS01710
OG0000148	NBX26_RS03030	EXC50_RS01695
OG0000149	NBX26_RS03020	EXC50_RS01685
OG0000150	NBX26_RS03005	EXC50_RS01670
OG0000151	NBX26_RS02955	EXC50_RS01625
OG0000152	NBX26_RS02950	EXC50_RS01620
