Orthogroup	MHP_112B_genes	MHP_ES2_genes
OG0000000	NBX26_RS01900	E5E95_RS02310
OG0000000	NBX26_RS01015	E5E95_RS02240
OG0000000	NBX26_RS01025	E5E95_RS04040
OG0000000	NBX26_RS01035	E5E95_RS04075
OG0000000	NBX26_RS01905	E5E95_RS02230
OG0000000	NBX26_RS02470	E5E95_RS02430
OG0000000	NBX26_RS01850	E5E95_RS01830
OG0000000	NBX26_RS01860	E5E95_RS04235, E5E95_RS01835
OG0000001	NBX26_RS01405	E5E95_RS01300
OG0000001	NBX26_RS02970	E5E95_RS03000
OG0000001	NBX26_RS02920	E5E95_RS04150
OG0000002	NBX26_RS02355	E5E95_RS02320
OG0000002	NBX26_RS01895	E5E95_RS02315
OG0000002	NBX26_RS01010	E5E95_RS02250
OG0000003	NBX26_RS00510	E5E95_RS00505
OG0000003	NBX26_RS00940	E5E95_RS00930
OG0000003	NBX26_RS01040	E5E95_RS04070
OG0000003	NBX26_RS02265	E5E95_RS03910
OG0000004	NBX26_RS03380	E5E95_RS03410
OG0000004	NBX26_RS03370	E5E95_RS03400
OG0000004	NBX26_RS03385	E5E95_RS03425
OG0000004	NBX26_RS03185	E5E95_RS03215
OG0000005	NBX26_RS00105	E5E95_RS00090
OG0000005	NBX26_RS00110	E5E95_RS00095
OG0000005	NBX26_RS00115	E5E95_RS00100
OG0000006	NBX26_RS02660	E5E95_RS02705
OG0000007	NBX26_RS00950	E5E95_RS00935
OG0000007	NBX26_RS01050	E5E95_RS02300
OG0000007	NBX26_RS00965	E5E95_RS00950
OG0000007	NBX26_RS01055	E5E95_RS02295
OG0000007	NBX26_RS01065	E5E95_RS02290
OG0000008	NBX26_RS02465	E5E95_RS03925, E5E95_RS04080
OG0000008	NBX26_RS01765	E5E95_RS03905
OG0000008	NBX26_RS02670	E5E95_RS03930
OG0000008	NBX26_RS02665	E5E95_RS04135
OG0000009	NBX26_RS00665	E5E95_RS00665
OG0000009	NBX26_RS00685	E5E95_RS00680
OG0000010	NBX26_RS02250	E5E95_RS01970
OG0000011	NBX26_RS02155	E5E95_RS02070
