Orthogroup	MHP_112B_genes	MHP_MHP691_genes
OG0000000	NBX26_RS01860	DR087_RS03570
OG0000001	NBX26_RS02970	DR087_RS04015
OG0000001	NBX26_RS02920	DR087_RS03255
OG0000002	NBX26_RS02355	DR087_RS03810
OG0000002	NBX26_RS01010	DR087_RS04740
OG0000003	NBX26_RS00940	DR087_RS04220
OG0000003	NBX26_RS01045, NBX26_RS01040	DR087_RS04750
OG0000004	NBX26_RS03380	DR087_RS00850
OG0000004	NBX26_RS03370	DR087_RS00860
OG0000004	NBX26_RS03385	DR087_RS00840
OG0000005	NBX26_RS00105	DR087_RS00530
OG0000005	NBX26_RS00110	DR087_RS00540
OG0000005	NBX26_RS00115	DR087_RS04465
OG0000006	NBX26_RS02660	DR087_RS04360
OG0000006	NBX26_RS02505	DR087_RS04080
OG0000007	NBX26_RS00950	DR087_RS04205, DR087_RS04210
OG0000007	NBX26_RS01050	DR087_RS03535
OG0000007	NBX26_RS00965	DR087_RS03750
OG0000007	NBX26_RS01055	DR087_RS03530
OG0000007	NBX26_RS01065	DR087_RS03525
OG0000008	NBX26_RS02670, NBX26_RS02665	DR087_RS04355
OG0000009	NBX26_RS00090	DR087_RS00515
OG0000010	NBX26_RS02250	DR087_RS01605
OG0000011	NBX26_RS02155	DR087_RS04590
OG0000012	NBX26_RS02350	DR087_RS03620
OG0000012	NBX26_RS02235	DR087_RS03740
OG0000013	NBX26_RS02550	DR087_RS01680
OG0000014	NBX26_RS00605	DR087_RS03520
OG0000015	NBX26_RS01755	DR087_RS04110
OG0000016	NBX26_RS00160	DR087_RS02395
OG0000017	NBX26_RS00145	DR087_RS02410
OG0000017	NBX26_RS03025	DR087_RS01410
OG0000018	NBX26_RS01445	DR087_RS04550
OG0000019	NBX26_RS03190	DR087_RS03610
OG0000020	NBX26_RS03745	DR087_RS04445
OG0000021	NBX26_RS02335	DR087_RS03470, DR087_RS03640
OG0000022	NBX26_RS01790	DR087_RS02045
OG0000022	NBX26_RS01845	DR087_RS04630
OG0000024	NBX26_RS02915	DR087_RS03250
