Orthogroup	MHP_112B_genes	MHP_133A_genes
OG0000000	NBX26_RS01900	NB626_RS02350
OG0000000	NBX26_RS01015	NB626_RS02275
OG0000000	NBX26_RS01035	NB626_RS02345
OG0000000	NBX26_RS01905	NB626_RS02250
OG0000000	NBX26_RS02470	NB626_RS02475
OG0000000	NBX26_RS01850	NB626_RS01835, NB626_RS01840
OG0000000	NBX26_RS01860	NB626_RS01850
OG0000001	NBX26_RS02925, NBX26_RS02920	NB626_RS02930
OG0000002	NBX26_RS02355	NB626_RS02360
OG0000002	NBX26_RS01895	NB626_RS02355
OG0000002	NBX26_RS01010	NB626_RS02280
OG0000003	NBX26_RS00500, NBX26_RS00510	NB626_RS00600
OG0000003	NBX26_RS00940	NB626_RS02325
OG0000004	NBX26_RS03380	NB626_RS03385
OG0000004	NBX26_RS03385	NB626_RS03400
OG0000004	NBX26_RS03185	NB626_RS03200
OG0000004	NBX26_RS03205	NB626_RS03210
OG0000005	NBX26_RS00105	NB626_RS00100
OG0000005	NBX26_RS00110	NB626_RS00110
OG0000006	NBX26_RS02660	NB626_RS02680, NB626_RS02685
OG0000007	NBX26_RS00950	NB626_RS02330
OG0000007	NBX26_RS01050	NB626_RS02340
OG0000007	NBX26_RS01055	NB626_RS02320
OG0000008	NBX26_RS02465	NB626_RS02470
OG0000008	NBX26_RS01765	NB626_RS01750
OG0000008	NBX26_RS02670, NBX26_RS02665	NB626_RS02690
OG0000009	NBX26_RS00665	NB626_RS00765
OG0000009	NBX26_RS00090	NB626_RS00085
OG0000009	NBX26_RS00685	NB626_RS00780
OG0000010	NBX26_RS02250	NB626_RS01975
OG0000011	NBX26_RS02155	NB626_RS02080
OG0000012	NBX26_RS02235	NB626_RS01990
OG0000013	NBX26_RS02550	NB626_RS02565
OG0000014	NBX26_RS00605	NB626_RS00705
OG0000015	NBX26_RS01690	NB626_RS01740
OG0000016	NBX26_RS00160	NB626_RS00170
OG0000017	NBX26_RS00145	NB626_RS00155
OG0000017	NBX26_RS03025	NB626_RS03035
OG0000019	NBX26_RS03210	NB626_RS03205, NB626_RS03215
OG0000020	NBX26_RS03745	NB626_RS03760
OG0000021	NBX26_RS02335	NB626_RS00610, NB626_RS00605
OG0000022	NBX26_RS01790	NB626_RS01775
OG0000022	NBX26_RS01845	NB626_RS01830
OG0000024	NBX26_RS02915	NB626_RS02925
OG0000024	NBX26_RS01400	NB626_RS01390
OG0000025	NBX26_RS01795	NB626_RS01780
OG0000025	NBX26_RS01840	NB626_RS01825
OG0000026	NBX26_RS01490	NB626_RS01480
OG0000026	NBX26_RS01820	NB626_RS01805
OG0000027	NBX26_RS03535	NB626_RS03540
OG0000027	NBX26_RS03555	NB626_RS03555
OG0000028	NBX26_RS02575	NB626_RS02595
OG0000029	NBX26_RS01225	NB626_RS01205
OG0000029	NBX26_RS00610	NB626_RS00710
OG0000030	NBX26_RS03525	NB626_RS03530
OG0000030	NBX26_RS03550	NB626_RS03550
OG0000031	NBX26_RS01990	NB626_RS00435
OG0000032	NBX26_RS01700	NB626_RS01690
OG0000032	NBX26_RS03540, NBX26_RS03545	NB626_RS03545
OG0000033	NBX26_RS02570	NB626_RS02590
OG0000033	NBX26_RS02555	NB626_RS02570
OG0000033	NBX26_RS02560	NB626_RS02580
OG0000035	NBX26_RS03375	NB626_RS03395
OG0000035	NBX26_RS03365	NB626_RS03380
OG0000036	NBX26_RS00120	NB626_RS00115
OG0000038	NBX26_RS00490	NB626_RS00595
OG0000039	NBX26_RS01735	NB626_RS01720
OG0000040	NBX26_RS03455	NB626_RS03470
OG0000041	NBX26_RS00670	NB626_RS00770
OG0000041	NBX26_RS01320	NB626_RS01305
OG0000042	NBX26_RS03110	NB626_RS03120
OG0000043	NBX26_RS02185	NB626_RS02045
OG0000044	NBX26_RS01805	NB626_RS01790
OG0000044	NBX26_RS02310	NB626_RS01915
OG0000045	NBX26_RS01745	NB626_RS01725
OG0000046	NBX26_RS03470	NB626_RS03480
OG0000046	NBX26_RS03460	NB626_RS03475
OG0000048	NBX26_RS01920	NB626_RS02235
OG0000049	NBX26_RS03220	NB626_RS03235
OG0000050	NBX26_RS02610	NB626_RS02625
OG0000051	NBX26_RS02825	NB626_RS02835
OG0000052	NBX26_RS00080, NBX26_RS00075	NB626_RS00075
OG0000053	NBX26_RS01580	NB626_RS01570
OG0000054	NBX26_RS02635	NB626_RS02650
OG0000055	NBX26_RS00125	NB626_RS00135
OG0000056	NBX26_RS03730	NB626_RS03740
OG0000057	NBX26_RS03095	NB626_RS03105
OG0000058	NBX26_RS01995	NB626_RS00425
OG0000060	NBX26_RS00085	NB626_RS00080
OG0000061	NBX26_RS02240	NB626_RS01985
OG0000062	NBX26_RS03775	NB626_RS03790
OG0000063	NBX26_RS03770	NB626_RS03785
OG0000064	NBX26_RS03760	NB626_RS03775
OG0000065	NBX26_RS02400	NB626_RS02405
OG0000066	NBX26_RS01480	NB626_RS01470
OG0000068	NBX26_RS00645	NB626_RS00745
OG0000069	NBX26_RS02990	NB626_RS03000
OG0000070	NBX26_RS02640	NB626_RS02655
OG0000071	NBX26_RS03445	NB626_RS03460
OG0000072	NBX26_RS03450	NB626_RS03465
OG0000073	NBX26_RS00715	NB626_RS00810
OG0000074	NBX26_RS00910	NB626_RS01020
OG0000075	NBX26_RS00335	NB626_RS00340
OG0000076	NBX26_RS00350	NB626_RS00360
OG0000077	NBX26_RS00435	NB626_RS00540
OG0000078	NBX26_RS01810	NB626_RS01795
OG0000079	NBX26_RS02720	NB626_RS02740
OG0000080	NBX26_RS02765	NB626_RS02790
OG0000081	NBX26_RS00330	NB626_RS00335
OG0000083	NBX26_RS02080	NB626_RS02155
OG0000084	NBX26_RS02050	NB626_RS02185
OG0000085	NBX26_RS02045	NB626_RS02190
OG0000086	NBX26_RS02030	NB626_RS02200
OG0000087	NBX26_RS02015	NB626_RS02215
OG0000088	NBX26_RS02010	NB626_RS02220
OG0000089	NBX26_RS02000	NB626_RS02230
OG0000090	NBX26_RS00070	NB626_RS00070
OG0000091	NBX26_RS00055	NB626_RS00055
OG0000092	NBX26_RS00040	NB626_RS00045
OG0000093	NBX26_RS00035	NB626_RS00035
