Orthogroup	MHP_112B_genes	MHP_LH_genes
OG0000000	NBX26_RS01900	KUD10_RS02260
OG0000000	NBX26_RS01015	KUD10_RS02195
OG0000000	NBX26_RS01025	KUD10_RS02175, KUD10_RS02190, KUD10_RS02200
OG0000000	NBX26_RS01035	KUD10_RS02255
OG0000000	NBX26_RS01905	KUD10_RS02165
OG0000000	NBX26_RS02470	KUD10_RS02380
OG0000000	NBX26_RS01850	KUD10_RS01780, KUD10_RS01785
OG0000001	NBX26_RS01405	KUD10_RS01355
OG0000001	NBX26_RS02970	KUD10_RS02875
OG0000001	NBX26_RS02920	KUD10_RS02830
OG0000002	NBX26_RS02355	KUD10_RS02270
OG0000002	NBX26_RS01895	KUD10_RS02265
OG0000002	NBX26_RS01010	KUD10_RS02210
OG0000003	NBX26_RS01040	KUD10_RS02250
OG0000003	NBX26_RS02265	KUD10_RS01900
OG0000004	NBX26_RS03380	KUD10_RS03265
OG0000004	NBX26_RS03385	KUD10_RS03275
OG0000004	NBX26_RS03185	KUD10_RS03075
OG0000005	NBX26_RS00105	KUD10_RS00100
OG0000005	NBX26_RS00110	KUD10_RS00105
OG0000005	NBX26_RS00115	KUD10_RS00110
OG0000006	NBX26_RS02660	KUD10_RS02585
OG0000007	NBX26_RS01065	KUD10_RS02245
OG0000008	NBX26_RS02465	KUD10_RS02375
OG0000008	NBX26_RS01765	KUD10_RS01700
OG0000008	NBX26_RS02670, NBX26_RS02665	KUD10_RS02590
OG0000009	NBX26_RS00090	KUD10_RS00085
OG0000009	NBX26_RS00685	KUD10_RS00675
OG0000010	NBX26_RS02250	KUD10_RS01910
OG0000011	NBX26_RS02155	KUD10_RS02000
OG0000013	NBX26_RS02550	KUD10_RS02465
OG0000014	NBX26_RS00605	KUD10_RS00610
OG0000015	NBX26_RS01755	KUD10_RS03700
OG0000015	NBX26_RS01925	KUD10_RS01225
OG0000015	NBX26_RS01690	KUD10_RS01635
OG0000016	NBX26_RS00160	KUD10_RS00170
OG0000017	NBX26_RS00145	KUD10_RS00155
OG0000017	NBX26_RS03025	KUD10_RS02925
OG0000018	NBX26_RS01950	KUD10_RS01195
OG0000019	NBX26_RS03190	KUD10_RS03080
OG0000020	NBX26_RS03745	KUD10_RS03625
OG0000022	NBX26_RS01790	KUD10_RS01720
OG0000022	NBX26_RS01845	KUD10_RS01775
OG0000023	NBX26_RS01940	KUD10_RS01205
OG0000024	NBX26_RS02915	KUD10_RS02825
OG0000024	NBX26_RS01400	KUD10_RS01345
OG0000025	NBX26_RS01795	KUD10_RS01725
OG0000025	NBX26_RS01840	KUD10_RS01770
