Orthogroup	MHP_112B_genes	MHP_Ue273_genes
OG0000000	NBX26_RS01900	VQY17_RS02200
OG0000000	NBX26_RS01905	VQY17_RS02325
OG0000000	NBX26_RS01850	VQY17_RS01770
OG0000000	NBX26_RS01860	VQY17_RS01775
OG0000001	NBX26_RS01405	VQY17_RS01300
OG0000001	NBX26_RS02970	VQY17_RS02775
OG0000001	NBX26_RS02925, NBX26_RS02920	VQY17_RS02730
OG0000002	NBX26_RS02355	VQY17_RS02210
OG0000003	NBX26_RS00500, NBX26_RS00510	VQY17_RS00505
OG0000003	NBX26_RS00940	VQY17_RS00940
OG0000004	NBX26_RS03380	VQY17_RS03185
OG0000004	NBX26_RS03370	VQY17_RS03175
OG0000004	NBX26_RS03185	VQY17_RS03025, VQY17_RS03005
OG0000004	NBX26_RS03195	VQY17_RS02995
OG0000005	NBX26_RS00105	VQY17_RS00100
OG0000005	NBX26_RS00110	VQY17_RS00105
OG0000005	NBX26_RS00115	VQY17_RS00110
OG0000006	NBX26_RS02660	VQY17_RS02495
OG0000006	NBX26_RS02505	VQY17_RS02360
OG0000007	NBX26_RS00950	VQY17_RS00945
OG0000007	NBX26_RS00965	VQY17_RS00960
OG0000008	NBX26_RS02465	VQY17_RS02320
OG0000008	NBX26_RS02670, NBX26_RS02665	VQY17_RS02500
OG0000009	NBX26_RS00665	VQY17_RS00665
OG0000009	NBX26_RS00090	VQY17_RS00085
OG0000009	NBX26_RS00685	VQY17_RS00680
OG0000010	NBX26_RS02250	VQY17_RS01920
OG0000011	NBX26_RS02155	VQY17_RS02025
OG0000012	NBX26_RS01885	VQY17_RS01805
OG0000012	NBX26_RS02235	VQY17_RS01935
OG0000013	NBX26_RS02550	VQY17_RS02405
OG0000014	NBX26_RS00605	VQY17_RS00605
OG0000015	NBX26_RS01755, NBX26_RS01925	VQY17_RS01665
OG0000016	NBX26_RS00160	VQY17_RS00170
OG0000017	NBX26_RS00145	VQY17_RS00155
OG0000017	NBX26_RS03025	VQY17_RS02830
OG0000019	NBX26_RS03210, NBX26_RS03200	VQY17_RS03000, VQY17_RS03010
OG0000019	NBX26_RS03190	VQY17_RS03030
OG0000020	NBX26_RS03745	VQY17_RS03555
OG0000021	NBX26_RS02335	VQY17_RS00510
OG0000022	NBX26_RS01790	VQY17_RS01695
OG0000022	NBX26_RS01845	VQY17_RS01765
OG0000024	NBX26_RS02915	VQY17_RS02725
OG0000024	NBX26_RS01400	VQY17_RS01295
OG0000025	NBX26_RS01795	VQY17_RS01700
OG0000025	NBX26_RS01840	VQY17_RS01755
OG0000026	NBX26_RS01490	VQY17_RS01380
OG0000026	NBX26_RS01820	VQY17_RS01735
OG0000027	NBX26_RS03535	VQY17_RS03330
OG0000027	NBX26_RS03555	VQY17_RS03350
OG0000028	NBX26_RS02575, NBX26_RS02580	VQY17_RS02415
OG0000029	NBX26_RS01225	VQY17_RS01115
OG0000029	NBX26_RS00610	VQY17_RS00610
OG0000030	NBX26_RS03550	VQY17_RS03345
OG0000032	NBX26_RS01700	VQY17_RS01610
OG0000032	NBX26_RS03540, NBX26_RS03545	VQY17_RS03340
OG0000033	NBX26_RS02555, NBX26_RS02560	VQY17_RS02410
OG0000035	NBX26_RS03375	VQY17_RS03200
OG0000035	NBX26_RS03365	VQY17_RS03170
OG0000036	NBX26_RS00120	VQY17_RS00115
OG0000037	NBX26_RS01705	VQY17_RS01620
OG0000039	NBX26_RS01735	VQY17_RS01650, VQY17_RS01645
OG0000040	NBX26_RS03455	VQY17_RS03270
OG0000041	NBX26_RS00670	VQY17_RS00670
OG0000042	NBX26_RS03110	VQY17_RS02925
OG0000043	NBX26_RS02185	VQY17_RS01990
OG0000044	NBX26_RS01805	VQY17_RS01710
OG0000045	NBX26_RS01745	VQY17_RS01655
