Orthogroup	MHP_112B_genes	MHP_116_genes
OG0000000	NBX26_RS01900	ABJ972_RS02145
OG0000000	NBX26_RS01015	ABJ972_RS02100
OG0000000	NBX26_RS01030, NBX26_RS01020	ABJ972_RS02095
OG0000000	NBX26_RS01905	ABJ972_RS02080
OG0000000	NBX26_RS02470	ABJ972_RS02265
OG0000000	NBX26_RS01850, NBX26_RS01860	ABJ972_RS01695
OG0000001	NBX26_RS01405	ABJ972_RS01270
OG0000001	NBX26_RS02925, NBX26_RS02920	ABJ972_RS02675
OG0000002	NBX26_RS02355	ABJ972_RS02150
OG0000002	NBX26_RS01010	ABJ972_RS02105
OG0000003	NBX26_RS00500	ABJ972_RS01765
OG0000003	NBX26_RS00510	ABJ972_RS00485
OG0000003	NBX26_RS02265	ABJ972_RS01815
OG0000004	NBX26_RS03380	ABJ972_RS03105
OG0000004	NBX26_RS03370	ABJ972_RS03100
OG0000004	NBX26_RS03385	ABJ972_RS03120
OG0000004	NBX26_RS03195	ABJ972_RS02940
OG0000005	NBX26_RS00105	ABJ972_RS00100
OG0000005	NBX26_RS00110	ABJ972_RS00105
OG0000005	NBX26_RS00115	ABJ972_RS00110
OG0000006	NBX26_RS02660	ABJ972_RS02440
OG0000006	NBX26_RS02505	ABJ972_RS02305
OG0000006	NBX26_RS02475	ABJ972_RS02275
OG0000007	NBX26_RS01050	ABJ972_RS02135
OG0000007	NBX26_RS01055	ABJ972_RS02130
OG0000007	NBX26_RS01065	ABJ972_RS02125
OG0000008	NBX26_RS02465	ABJ972_RS02260
OG0000008	NBX26_RS01765	ABJ972_RS01615
OG0000008	NBX26_RS02670, NBX26_RS02665	ABJ972_RS02445
OG0000009	NBX26_RS00665	ABJ972_RS01005
OG0000009	NBX26_RS00090	ABJ972_RS00085
OG0000009	NBX26_RS00685	ABJ972_RS00990
OG0000010	NBX26_RS02250	ABJ972_RS01825
OG0000011	NBX26_RS02155	ABJ972_RS01915
OG0000012	NBX26_RS02235	ABJ972_RS01840
OG0000013	NBX26_RS02550	ABJ972_RS02350
OG0000014	NBX26_RS00605	ABJ972_RS01065
OG0000016	NBX26_RS00160	ABJ972_RS00155
OG0000017	NBX26_RS00145	ABJ972_RS00140
OG0000017	NBX26_RS03025	ABJ972_RS02775
OG0000018	NBX26_RS01445, NBX26_RS01950	ABJ972_RS01310
OG0000019	NBX26_RS03190	ABJ972_RS02935
OG0000020	NBX26_RS03745	ABJ972_RS03455
OG0000021	NBX26_RS02335	ABJ972_RS00490, ABJ972_RS00495
OG0000022	NBX26_RS01790	ABJ972_RS01635
OG0000022	NBX26_RS01845	ABJ972_RS01690
OG0000024	NBX26_RS02915	ABJ972_RS02670
OG0000024	NBX26_RS01400	ABJ972_RS01260
OG0000025	NBX26_RS01795	ABJ972_RS01640
OG0000025	NBX26_RS01840	ABJ972_RS01685
OG0000026	NBX26_RS01490	ABJ972_RS01350
OG0000026	NBX26_RS01820	ABJ972_RS01665
OG0000027	NBX26_RS03535	ABJ972_RS03260
OG0000028	NBX26_RS02575, NBX26_RS02580	ABJ972_RS02360
OG0000029	NBX26_RS01225	ABJ972_RS00585
OG0000029	NBX26_RS00610	ABJ972_RS01060
OG0000030	NBX26_RS03525	ABJ972_RS03245
OG0000032	NBX26_RS01700	ABJ972_RS01555
OG0000033	NBX26_RS02555	ABJ972_RS02355
OG0000035	NBX26_RS03375	ABJ972_RS03115
OG0000039	NBX26_RS01735	ABJ972_RS01595
OG0000041	NBX26_RS00670	ABJ972_RS01000
OG0000042	NBX26_RS03110	ABJ972_RS02860
OG0000043	NBX26_RS02185	ABJ972_RS01880
OG0000044	NBX26_RS01805	ABJ972_RS01650
OG0000045	NBX26_RS01745	ABJ972_RS01600
OG0000046	NBX26_RS03470	ABJ972_RS03200
OG0000048	NBX26_RS01920	ABJ972_RS02065
OG0000049	NBX26_RS03220	ABJ972_RS02960
OG0000050	NBX26_RS02610	ABJ972_RS02390
OG0000051	NBX26_RS02825	ABJ972_RS02590
OG0000052	NBX26_RS00080	ABJ972_RS00075
OG0000053	NBX26_RS01580	ABJ972_RS01435
OG0000054	NBX26_RS02635	ABJ972_RS02415
OG0000055	NBX26_RS00125	ABJ972_RS00120
OG0000056	NBX26_RS03730	ABJ972_RS03435
OG0000057	NBX26_RS03095	ABJ972_RS02845
OG0000061	NBX26_RS02240	ABJ972_RS01835
OG0000062	NBX26_RS03775	ABJ972_RS03485, ABJ972_RS03515
OG0000063	NBX26_RS03770	ABJ972_RS03510, ABJ972_RS03480
OG0000064	NBX26_RS03760	ABJ972_RS03470
OG0000065	NBX26_RS02400	ABJ972_RS02200
OG0000066	NBX26_RS01480	ABJ972_RS01340
OG0000068	NBX26_RS00645	ABJ972_RS01025
OG0000069	NBX26_RS02990	ABJ972_RS02740
OG0000070	NBX26_RS02640	ABJ972_RS02420
OG0000071	NBX26_RS03445	ABJ972_RS03180
OG0000072	NBX26_RS03450	ABJ972_RS03185
OG0000073	NBX26_RS00715	ABJ972_RS00965
OG0000074	NBX26_RS00910	ABJ972_RS00765
OG0000075	NBX26_RS00335	ABJ972_RS00325
OG0000076	NBX26_RS00350	ABJ972_RS00340
OG0000077	NBX26_RS00435	ABJ972_RS00425
OG0000078	NBX26_RS01810	ABJ972_RS01655
OG0000079	NBX26_RS02720	ABJ972_RS02495
OG0000080	NBX26_RS02765	ABJ972_RS02540
OG0000081	NBX26_RS00330	ABJ972_RS00320
OG0000083	NBX26_RS02080	ABJ972_RS01985
OG0000084	NBX26_RS02050	ABJ972_RS02015
OG0000085	NBX26_RS02045	ABJ972_RS02020
OG0000086	NBX26_RS02030	ABJ972_RS02030
OG0000087	NBX26_RS02015	ABJ972_RS02045
OG0000088	NBX26_RS02010	ABJ972_RS02050
OG0000089	NBX26_RS02000	ABJ972_RS02060
OG0000090	NBX26_RS00070	ABJ972_RS00070
OG0000091	NBX26_RS00055	ABJ972_RS00055
OG0000092	NBX26_RS00040	ABJ972_RS00040
OG0000093	NBX26_RS00035	ABJ972_RS00035
OG0000094	NBX26_RS00030	ABJ972_RS00030
OG0000095	NBX26_RS00005	ABJ972_RS00005
OG0000096	NBX26_RS03810	ABJ972_RS03550
OG0000097	NBX26_RS03790	ABJ972_RS03530
OG0000098	NBX26_RS03780	ABJ972_RS03520
OG0000099	NBX26_RS03735	ABJ972_RS03440
OG0000100	NBX26_RS03720	ABJ972_RS03425
OG0000101	NBX26_RS03715	ABJ972_RS03420
OG0000102	NBX26_RS01835	ABJ972_RS01680
OG0000103	NBX26_RS02365	ABJ972_RS02165
OG0000104	NBX26_RS02370	ABJ972_RS02170
OG0000105	NBX26_RS02390	ABJ972_RS02185
