Orthogroup	MHP_112B_genes	MFC_ATCC27716_genes
OG0000000	NBX26_RS01900	MFC_RS01410
OG0000000	NBX26_RS01015	MFC_RS02935
OG0000000	NBX26_RS01030, NBX26_RS01020	MFC_RS00010
OG0000000	NBX26_RS01850	MFC_RS00365
OG0000001	NBX26_RS01405, NBX26_RS02970, NBX26_RS02925, NBX26_RS02920	MFC_RS03350
OG0000002	NBX26_RS02355, NBX26_RS01895	MFC_RS00395
OG0000002	NBX26_RS01010	MFC_RS02940
OG0000003	NBX26_RS01040	MFC_RS02995
OG0000007	NBX26_RS01050	MFC_RS02975
OG0000007	NBX26_RS01055	MFC_RS02970
OG0000007	NBX26_RS01065	MFC_RS02965
OG0000008	NBX26_RS01765	MFC_RS03380
OG0000011	NBX26_RS02155	MFC_RS03510, MFC_RS03505
OG0000013	NBX26_RS02550	MFC_RS03175, MFC_RS02880
OG0000014	NBX26_RS00605	MFC_RS00870
OG0000017	NBX26_RS00145	MFC_RS03155
OG0000017	NBX26_RS03025	MFC_RS01040
OG0000018	NBX26_RS01950	MFC_RS00540
OG0000020	NBX26_RS03745	MFC_RS00300
OG0000022	NBX26_RS01845	MFC_RS00360
OG0000023	NBX26_RS01940	MFC_RS01695
OG0000024	NBX26_RS02915, NBX26_RS01400	MFC_RS01110
OG0000025	NBX26_RS01840	MFC_RS00355
OG0000026	NBX26_RS01490, NBX26_RS01820	MFC_RS00580
OG0000027	NBX26_RS03555	MFC_RS02850
OG0000029	NBX26_RS01225, NBX26_RS00610	MFC_RS00875
OG0000030	NBX26_RS03525, NBX26_RS03550	MFC_RS02855
OG0000031	NBX26_RS01990	MFC_RS01295
OG0000032	NBX26_RS01700	MFC_RS02685
OG0000032	NBX26_RS03545	MFC_RS02860
OG0000033	NBX26_RS02570	MFC_RS01210
OG0000037	NBX26_RS01705	MFC_RS03295, MFC_RS00375
OG0000039	NBX26_RS01735	MFC_RS03135, MFC_RS00935
OG0000042	NBX26_RS03110	MFC_RS00930, MFC_RS01085
OG0000043	NBX26_RS02185	MFC_RS01320
OG0000045	NBX26_RS01745	MFC_RS00950
OG0000048	NBX26_RS01920	MFC_RS00140
OG0000049	NBX26_RS03220	MFC_RS03220, MFC_RS03365
OG0000050	NBX26_RS02610	MFC_RS01260
OG0000051	NBX26_RS02825	MFC_RS02240
OG0000052	NBX26_RS00080	MFC_RS00160
OG0000053	NBX26_RS01580	MFC_RS00665
OG0000054	NBX26_RS02635	MFC_RS01235
OG0000055	NBX26_RS00125	MFC_RS03415, MFC_RS03540
OG0000056	NBX26_RS03730	MFC_RS00325
OG0000057	NBX26_RS03095	MFC_RS00965
OG0000062	NBX26_RS03775	MFC_RS00270
OG0000063	NBX26_RS03770	MFC_RS00275
OG0000064	NBX26_RS03760	MFC_RS00285
OG0000065	NBX26_RS02400	MFC_RS00440
OG0000066	NBX26_RS01480, NBX26_RS01475	MFC_RS00570
OG0000068	NBX26_RS00645	MFC_RS00910
OG0000069	NBX26_RS02990	MFC_RS01075
OG0000070	NBX26_RS02640	MFC_RS01215
OG0000071	NBX26_RS03445	MFC_RS01630
OG0000072	NBX26_RS03450	MFC_RS01635
