Orthogroup	MHP_112B_genes	MHP_153B_genes
OG0000000	NBX26_RS01900	NB625_RS02335
OG0000000	NBX26_RS01015	NB625_RS02220
OG0000000	NBX26_RS01025	NB625_RS02215, NB625_RS02225
OG0000000	NBX26_RS01030, NBX26_RS01020	NB625_RS02210
OG0000000	NBX26_RS01035	NB625_RS02330
OG0000000	NBX26_RS01850	NB625_RS01725
OG0000001	NBX26_RS01405	NB625_RS01280
OG0000001	NBX26_RS02970	NB625_RS02955
OG0000001	NBX26_RS02920	NB625_RS02910
OG0000002	NBX26_RS02355	NB625_RS02350
OG0000002	NBX26_RS01895	NB625_RS02340
OG0000002	NBX26_RS01010	NB625_RS02235
OG0000003	NBX26_RS00940	NB625_RS02310
OG0000003	NBX26_RS02265	NB625_RS01830
OG0000004	NBX26_RS03380	NB625_RS03355
OG0000004	NBX26_RS03385	NB625_RS03370
OG0000004	NBX26_RS03185	NB625_RS03170
OG0000004	NBX26_RS03205	NB625_RS03180
OG0000005	NBX26_RS00105	NB625_RS00100
OG0000005	NBX26_RS00115	NB625_RS00105
OG0000006	NBX26_RS02660	NB625_RS02650
OG0000006	NBX26_RS02505	NB625_RS02500
OG0000006	NBX26_RS02475	NB625_RS02470
OG0000007	NBX26_RS00950	NB625_RS02315
OG0000007	NBX26_RS01050	NB625_RS02325
OG0000007	NBX26_RS01055	NB625_RS02305
OG0000008	NBX26_RS02465	NB625_RS02460
OG0000008	NBX26_RS01765	NB625_RS01635, NB625_RS01640
OG0000008	NBX26_RS02670, NBX26_RS02665	NB625_RS02660
OG0000009	NBX26_RS00665	NB625_RS01020
OG0000009	NBX26_RS00090	NB625_RS00085
OG0000009	NBX26_RS00685	NB625_RS01005
OG0000010	NBX26_RS02250	NB625_RS01850
OG0000011	NBX26_RS02155	NB625_RS01950
OG0000012	NBX26_RS01715, NBX26_RS01000, NBX26_RS02350	NB625_RS02890, NB625_RS01075
OG0000012	NBX26_RS02235	NB625_RS01865
OG0000013	NBX26_RS02550	NB625_RS02545
OG0000014	NBX26_RS00605	NB625_RS01085
OG0000015	NBX26_RS01925	NB625_RS02065
OG0000015	NBX26_RS01690	NB625_RS01630
OG0000016	NBX26_RS00160	NB625_RS00175
OG0000017	NBX26_RS00145	NB625_RS00160
OG0000017	NBX26_RS03025	NB625_RS03005
OG0000018	NBX26_RS01445	NB625_RS01325
OG0000018	NBX26_RS01950	NB625_RS02090
OG0000019	NBX26_RS03210	NB625_RS03185
OG0000019	NBX26_RS03190	NB625_RS03175
OG0000020	NBX26_RS03745	NB625_RS03695
OG0000021	NBX26_RS02335	NB625_RS01755
OG0000022	NBX26_RS01790	NB625_RS01665
OG0000022	NBX26_RS01845	NB625_RS01720
OG0000023	NBX26_RS01440, NBX26_RS01940	NB625_RS01320
OG0000024	NBX26_RS02915	NB625_RS02905
OG0000024	NBX26_RS01400	NB625_RS01275
OG0000025	NBX26_RS01795	NB625_RS01670
OG0000025	NBX26_RS01840	NB625_RS01715
OG0000026	NBX26_RS01490	NB625_RS01365
OG0000026	NBX26_RS01820	NB625_RS01695
OG0000027	NBX26_RS03535	NB625_RS03505
OG0000028	NBX26_RS02575, NBX26_RS02580	NB625_RS02565
OG0000029	NBX26_RS01225	NB625_RS00600
OG0000029	NBX26_RS00610	NB625_RS01080
OG0000030	NBX26_RS03525	NB625_RS03495
OG0000031	NBX26_RS01990	NB625_RS02145
OG0000032	NBX26_RS01700	NB625_RS01585
OG0000033	NBX26_RS02570	NB625_RS02560
OG0000033	NBX26_RS02560	NB625_RS02555
OG0000034	NBX26_RS00985	NB625_RS02250
OG0000034	NBX26_RS00975	NB625_RS02255
OG0000035	NBX26_RS03375	NB625_RS03365
OG0000036	NBX26_RS00120	NB625_RS00110
OG0000037	NBX26_RS01705	NB625_RS01595
OG0000039	NBX26_RS01735	NB625_RS01615
OG0000040	NBX26_RS03455	NB625_RS03440
OG0000041	NBX26_RS00670	NB625_RS01015
OG0000041	NBX26_RS01320	NB625_RS01195
OG0000042	NBX26_RS03110	NB625_RS03095
OG0000043	NBX26_RS02185	NB625_RS01915
OG0000044	NBX26_RS01805	NB625_RS01680
OG0000044	NBX26_RS02310	NB625_RS01790
OG0000045	NBX26_RS01745, NBX26_RS01740	NB625_RS01620
OG0000046	NBX26_RS03470	NB625_RS03445
OG0000046	NBX26_RS03475, NBX26_RS03465, NBX26_RS03460	NB625_RS03450
OG0000047	NBX26_RS01935	NB625_RS02080
OG0000048	NBX26_RS01920	NB625_RS02195
OG0000049	NBX26_RS03220	NB625_RS03205
OG0000050	NBX26_RS02610	NB625_RS02595
OG0000051	NBX26_RS02825	NB625_RS02810
OG0000052	NBX26_RS00080, NBX26_RS00075	NB625_RS00075
OG0000053	NBX26_RS01580	NB625_RS01450, NB625_RS01455
OG0000054	NBX26_RS02635	NB625_RS02620
