Orthogroup	MHP_112B_genes	MHP_MHP679_genes
OG0000000	NBX26_RS02470	DR086_RS04585, DR086_RS03600
OG0000000	NBX26_RS01850	DR086_RS04250
OG0000000	NBX26_RS01860	DR086_RS04245
OG0000001	NBX26_RS01405	DR086_RS03435
OG0000001	NBX26_RS02970	DR086_RS01010
OG0000001	NBX26_RS02925	DR086_RS03200
OG0000002	NBX26_RS02355	DR086_RS04310
OG0000002	NBX26_RS01010	DR086_RS05060
OG0000003	NBX26_RS00510	DR086_RS03690
OG0000003	NBX26_RS01045, NBX26_RS01040	DR086_RS05055
OG0000004	NBX26_RS03380, NBX26_RS03370	DR086_RS03630
OG0000004	NBX26_RS03385	DR086_RS03555
OG0000004	NBX26_RS03195	DR086_RS00615
OG0000005	NBX26_RS00105	DR086_RS03245
OG0000005	NBX26_RS00110	DR086_RS03255
OG0000005	NBX26_RS00115	DR086_RS05035
OG0000006	NBX26_RS02660	DR086_RS04315
OG0000006	NBX26_RS02505	DR086_RS04535
OG0000007	NBX26_RS01050	DR086_RS03485
OG0000007	NBX26_RS01065	DR086_RS03495
OG0000008	NBX26_RS01765	DR086_RS04265
OG0000008	NBX26_RS02665	DR086_RS02140
OG0000010	NBX26_RS02250	DR086_RS00810
OG0000011	NBX26_RS02155	DR086_RS00450
OG0000012	NBX26_RS02235	DR086_RS03950
OG0000013	NBX26_RS02550	DR086_RS03105
OG0000014	NBX26_RS00605	DR086_RS04970
OG0000015	NBX26_RS01755, NBX26_RS01925	DR086_RS03700
OG0000016	NBX26_RS00160	DR086_RS00030
OG0000017	NBX26_RS00145	DR086_RS00015
OG0000017	NBX26_RS03025	DR086_RS01060
OG0000019	NBX26_RS03210, NBX26_RS03200, NBX26_RS03190	DR086_RS04570
OG0000020	NBX26_RS03745	DR086_RS02470
OG0000021	NBX26_RS02335	DR086_RS03665
OG0000022	NBX26_RS01790	DR086_RS01645
OG0000022	NBX26_RS01845	DR086_RS04885
OG0000024	NBX26_RS02915	DR086_RS03190
OG0000025	NBX26_RS01795	DR086_RS04890
OG0000025	NBX26_RS01840	DR086_RS01595
OG0000026	NBX26_RS01490	DR086_RS01970
OG0000026	NBX26_RS01820	DR086_RS01615
OG0000027	NBX26_RS03535	DR086_RS05030
OG0000027	NBX26_RS03555	DR086_RS04870
OG0000028	NBX26_RS02575, NBX26_RS02580	DR086_RS02225, DR086_RS03150
OG0000029	NBX26_RS01225	DR086_RS02730
OG0000030	NBX26_RS03525	DR086_RS05025
OG0000030	NBX26_RS03550	DR086_RS04875
OG0000031	NBX26_RS01725	DR086_RS03310
OG0000031	NBX26_RS01990	DR086_RS00745
OG0000032	NBX26_RS01700	DR086_RS03980
OG0000032	NBX26_RS03540, NBX26_RS03545	DR086_RS03870
OG0000033	NBX26_RS02555, NBX26_RS02560	DR086_RS05010
OG0000034	NBX26_RS00985	DR086_RS04575
OG0000034	NBX26_RS00975	DR086_RS04580
OG0000036	NBX26_RS00120	DR086_RS03265
OG0000037	NBX26_RS01705	DR086_RS03330, DR086_RS03325
OG0000039	NBX26_RS01735	DR086_RS03295
OG0000041	NBX26_RS00670	DR086_RS03635
OG0000041	NBX26_RS01320	DR086_RS02480
OG0000043	NBX26_RS02185	DR086_RS00750, DR086_RS00415
OG0000044	NBX26_RS01805	DR086_RS05095
OG0000045	NBX26_RS01745, NBX26_RS01740	DR086_RS03290
OG0000046	NBX26_RS03460	DR086_RS04940
OG0000047	NBX26_RS01935	DR086_RS00730
OG0000048	NBX26_RS01920	DR086_RS00610
OG0000049	NBX26_RS03220	DR086_RS01430
OG0000050	NBX26_RS02610	DR086_RS02195
OG0000051	NBX26_RS02825	DR086_RS00855
OG0000052	NBX26_RS00080	DR086_RS01150
OG0000053	NBX26_RS01580	DR086_RS04905
OG0000054	NBX26_RS02635	DR086_RS02170
OG0000055	NBX26_RS00125	DR086_RS03270
OG0000056	NBX26_RS03730	DR086_RS02455
OG0000057	NBX26_RS03095	DR086_RS01130
OG0000058	NBX26_RS01995	DR086_RS00765
OG0000061	NBX26_RS02240	DR086_RS00820
OG0000062	NBX26_RS03775	DR086_RS01260
OG0000063	NBX26_RS03770	DR086_RS04835
OG0000064	NBX26_RS03760	DR086_RS01275
OG0000065	NBX26_RS02400	DR086_RS02080
OG0000066	NBX26_RS01480, NBX26_RS01475	DR086_RS01980
OG0000068	NBX26_RS00645	DR086_RS01570
OG0000069	NBX26_RS02990	DR086_RS01025
OG0000070	NBX26_RS02640	DR086_RS02165
OG0000071	NBX26_RS03445	DR086_RS02350
OG0000072	NBX26_RS03450	DR086_RS04935
OG0000073	NBX26_RS00715	DR086_RS03040
OG0000074	NBX26_RS00910	DR086_RS04990
OG0000075	NBX26_RS00335	DR086_RS03840, DR086_RS00210
OG0000076	NBX26_RS00350	DR086_RS00225
OG0000077	NBX26_RS00435	DR086_RS00315
OG0000078	NBX26_RS01810	DR086_RS01625
OG0000079	NBX26_RS02720	DR086_RS00950
OG0000080	NBX26_RS02765	DR086_RS04145
OG0000081	NBX26_RS00330	DR086_RS00205
OG0000083	NBX26_RS02080	DR086_RS00520
OG0000084	NBX26_RS02050	DR086_RS00545
OG0000085	NBX26_RS02045	DR086_RS00550
OG0000086	NBX26_RS02030	DR086_RS00560
OG0000087	NBX26_RS02015	DR086_RS00575
OG0000088	NBX26_RS02010	DR086_RS00580
OG0000089	NBX26_RS02000	DR086_RS00590
OG0000090	NBX26_RS00070	DR086_RS01155
OG0000091	NBX26_RS00055	DR086_RS01170
OG0000092	NBX26_RS00040	DR086_RS01185
OG0000093	NBX26_RS00035	DR086_RS01190
OG0000094	NBX26_RS00030	DR086_RS01195
OG0000095	NBX26_RS00005	DR086_RS01220
OG0000096	NBX26_RS03810	DR086_RS01225
OG0000097	NBX26_RS03790	DR086_RS01245
OG0000098	NBX26_RS03780	DR086_RS01255
OG0000099	NBX26_RS03735	DR086_RS04950
OG0000100	NBX26_RS03720	DR086_RS02445
OG0000101	NBX26_RS03715	DR086_RS02440
OG0000102	NBX26_RS01835	DR086_RS01600
OG0000103	NBX26_RS02365	DR086_RS02115
OG0000104	NBX26_RS02370	DR086_RS02110
OG0000105	NBX26_RS02390	DR086_RS02095
OG0000106	NBX26_RS02395	DR086_RS02085
OG0000107	NBX26_RS02405	DR086_RS02075
OG0000108	NBX26_RS02410	DR086_RS02070
OG0000109	NBX26_RS02415	DR086_RS02065
OG0000110	NBX26_RS02535	DR086_RS03120
OG0000111	NBX26_RS02530	DR086_RS03125
OG0000112	NBX26_RS02520	DR086_RS03135
OG0000113	NBX26_RS02500	DR086_RS05050
OG0000114	NBX26_RS02490	DR086_RS03455
OG0000115	NBX26_RS02480	DR086_RS03475
