Orthogroup	MHP_4284_proteins	MHP_7422_proteins
OG0000000	WP_406823110.1	WP_269076337.1
OG0000000	WP_406823272.1	WP_020835681.1
OG0000001	WP_406823250.1	WP_020835629.1
OG0000001	WP_240536609.1	WP_228365393.1
OG0000001	WP_406823154.1	WP_020835822.1
OG0000002	WP_258555377.1	WP_020835748.1
OG0000002	WP_160606963.1	WP_011206235.1
OG0000002	WP_406823109.1	WP_020835737.1
OG0000002	WP_406823273.1	WP_020835682.1
OG0000003	WP_406823275.1	WP_041361639.1
OG0000003	WP_406823104.1	WP_041361653.1
OG0000003	WP_406823281.1	WP_051129928.1
OG0000004	WP_406823181.1	WP_020835883.1
OG0000004	WP_406823184.1	WP_020835887.1
OG0000005	WP_406823208.1	WP_011289941.1
OG0000005	WP_348571918.1	WP_011289945.1
OG0000005	WP_146379450.1	WP_020835493.1
OG0000005	WP_406823209.1	WP_011289943.1
OG0000005	WP_406823210.1	WP_011289946.1
OG0000006	WP_406823130.1	WP_051129932.1
OG0000006	WP_406823115.1	WP_041361785.1
OG0000006	WP_225972978.1	WP_225972978.1
OG0000007	WP_011284157.1	WP_020835743.1
OG0000007	WP_002557993.1	WP_020835742.1
OG0000007	WP_002557992.1	WP_002557992.1
OG0000008	WP_406823102.1	WP_020835760.1
OG0000008	WP_406823264.1	WP_041361617.1
OG0000008	WP_406823131.1	WP_228366102.1
OG0000009	WP_146379448.1	WP_041361519.1
OG0000009	WP_146379497.1	WP_011290021.1
OG0000010	WP_406823282.1	WP_020835701.1
OG0000011	WP_406823289.1	WP_020835715.1
OG0000011	WP_406823288.1	WP_020835713.1
OG0000013	WP_406823122.1	WP_020835777.1
OG0000014	WP_406823229.1	WP_041361548.1
OG0000014	WP_406823237.1	WP_020835563.1
OG0000015	WP_240536643.1	WP_041361615.1
OG0000016	WP_020835836.1	WP_020835836.1
OG0000016	WP_406823211.1	WP_020835503.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000018	WP_020835635.1	WP_020835635.1
OG0000020	WP_406823202.1	WP_020835927.1
OG0000020	WP_406823203.1	WP_020835928.1
OG0000022	WP_406823266.1	WP_011290146.1
OG0000022	WP_406823271.1	WP_020835680.1
OG0000023	WP_044272391.1	WP_020835559.1, WP_020835560.1
OG0000024	WP_406823153.1	WP_011290315.1
OG0000024	WP_406823249.1	WP_011290098.1
OG0000025	WP_160607943.1	WP_041361620.1
OG0000025	WP_160606775.1	WP_020835679.1
OG0000026	WP_044284614.1	WP_020835640.1
OG0000027	WP_406823196.1	WP_020835902.1
OG0000028	WP_406823124.1	WP_020835779.1
OG0000029	WP_406823230.1	WP_020835602.1
OG0000030	WP_240536353.1	WP_236607958.1
OG0000032	WP_135618726.1	WP_020835660.1
OG0000033	WP_406823123.1	WP_020835778.1
OG0000034	WP_406823106.1	WP_236607948.1
OG0000035	WP_406823183.1	WP_020835886.1
OG0000036	WP_020835495.1	WP_020835495.1
OG0000036	WP_348571921.1	WP_020835498.1
OG0000039	WP_406823260.1, WP_406823259.1	WP_041361612.1
OG0000040	WP_406823189.1	WP_020835895.1
OG0000041	WP_228366127.1	WP_020835620.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000043	WP_014579804.1	WP_011290239.1
OG0000044	WP_081430780.1	WP_225973034.1
OG0000045	WP_406823261.1	WP_020835667.1
OG0000046	WP_406823193.1	WP_020835896.1
OG0000048	WP_011290213.1	WP_020835735.1
OG0000049	WP_020835860.1	WP_020835860.1
OG0000050	WP_406823126.1	WP_020835784.1
OG0000052	WP_011289937.1	WP_011289937.1
OG0000053	WP_406823255.1	WP_020835649.1
OG0000054	WP_348602541.1	WP_020835786.1
OG0000055	WP_348571923.1	WP_011205867.1
OG0000056	WP_348571887.1	WP_020835923.1
OG0000057	WP_020835847.1	WP_020835847.1
OG0000061	WP_135618818.1	WP_020835703.1
OG0000062	WP_011206522.1	WP_011206522.1
OG0000063	WP_406823204.1	WP_041361715.1
OG0000064	WP_011290440.1	WP_020835930.1
OG0000065	WP_225972975.1	WP_020835752.1
OG0000066	WP_011205965.1	WP_011205965.1
OG0000067	WP_406823225.1	WP_020835540.1
OG0000068	WP_160587949.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_011206373.1
OG0000070	WP_348602542.1	WP_011206292.1
OG0000071	WP_406823187.1	WP_020835893.1
OG0000072	WP_406823188.1	WP_236607956.1
OG0000073	WP_011290025.1	WP_011206093.1
OG0000074	WP_348571983.1	WP_020835587.1, WP_236607966.1
OG0000075	WP_014579568.1	WP_020835523.1
OG0000076	WP_146379475.1	WP_011289987.1
OG0000077	WP_406823222.1	WP_011289996.1
OG0000078	WP_406823268.1	WP_020835673.1
OG0000079	WP_020835797.1	WP_020835797.1
OG0000080	WP_406823141.1	WP_011206314.1
OG0000081	WP_406823218.1	WP_011289985.1
OG0000082	WP_406823121.1	WP_236607951.1
OG0000083	WP_014579823.1	WP_014579823.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_011206223.1	WP_020835729.1
OG0000086	WP_406823091.1	WP_011290207.1
OG0000087	WP_020835732.1	WP_020835732.1
OG0000088	WP_406823093.1	WP_020835733.1
OG0000089	WP_011290212.1	WP_011290212.1
OG0000090	WP_094521535.1	WP_020835488.1
OG0000091	WP_020835487.1	WP_020835487.1
OG0000092	WP_011205847.1	WP_020835485.1
OG0000093	WP_020835484.1	WP_020835484.1
OG0000094	WP_160606485.1	WP_020835483.1
OG0000095	WP_044272251.1	WP_020835480.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_406823206.1	WP_041361816.1
OG0000098	WP_404924345.1	WP_020835932.1
OG0000099	WP_406823200.1	WP_020835924.1
OG0000100	WP_404924338.1	WP_020835921.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_348602859.1	WP_020835678.1
OG0000103	WP_406823095.1	WP_011290214.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_094521691.1	WP_011290216.1
OG0000106	WP_146379631.1	WP_011290218.1
OG0000107	WP_011284169.1	WP_020835753.1
OG0000108	WP_192894278.1	WP_011206247.1
OG0000109	WP_160606848.1	WP_020835754.1
OG0000110	WP_406823119.1	WP_020835772.1
OG0000111	WP_404924516.1	WP_020835771.1
OG0000112	WP_406823117.1	WP_020835769.1
OG0000113	WP_406823114.1	WP_020835765.1
OG0000114	WP_258555507.1	WP_236607949.1
OG0000115	WP_011290245.1	WP_011284183.1
OG0000116	WP_011290103.1	WP_011290103.1
OG0000117	WP_044272388.1	WP_020835633.1
OG0000118	WP_011290108.1	WP_011290108.1
OG0000119	WP_160585678.1	WP_020835638.1
OG0000120	WP_406823252.1	WP_011284027.1
OG0000121	WP_011284032.1	WP_011284032.1
OG0000122	WP_020835643.1	WP_020835643.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_011290118.1	WP_011290118.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_160606641.1	WP_011290120.1
OG0000127	WP_011290122.1	WP_011290122.1
OG0000128	WP_406823256.1	WP_020835650.1
OG0000129	WP_014579732.1	WP_020835651.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_011284047.1	WP_011284047.1
OG0000132	WP_160588229.1	WP_011205939.1
OG0000133	WP_094521764.1	WP_014579589.1
OG0000134	WP_228365407.1	WP_020835541.1
OG0000135	WP_011206120.1	WP_011206120.1
OG0000136	WP_179695961.1	WP_020835542.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_160584793.1	WP_020835566.1
OG0000139	WP_011206102.1	WP_011290017.1
OG0000140	WP_160584795.1	WP_011206101.1
OG0000141	WP_406823167.1	WP_011284290.1
OG0000142	WP_406823166.1	WP_020835848.1
OG0000143	WP_011206391.1	WP_011206391.1
OG0000144	WP_406823165.1	WP_020835844.1
OG0000145	WP_225972996.1	WP_225972996.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_135619012.1	WP_041361684.1
OG0000149	WP_011290331.1	WP_011290331.1
OG0000150	WP_011206376.1	WP_011206376.1
OG0000151	WP_020835828.1	WP_020835828.1
OG0000152	WP_406823158.1	WP_228366106.1
OG0000153	WP_406823157.1	WP_011206347.1
OG0000154	WP_011206345.1	WP_041361682.1
OG0000155	WP_020835820.1	WP_020835820.1
OG0000156	WP_406823151.1	WP_011206335.1
OG0000157	WP_020835818.1	WP_020835818.1
OG0000158	WP_406823149.1	WP_020835816.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_406823128.1	WP_020835785.1
OG0000161	WP_406823127.1	WP_014579880.1
OG0000162	WP_135619210.1	WP_081430781.1
OG0000163	WP_406823125.1	WP_020835782.1
OG0000164	WP_406823258.1	WP_020835663.1
OG0000165	WP_011206200.1	WP_020835712.1
OG0000166	WP_160590029.1	WP_020835717.1
OG0000167	WP_011206207.1	WP_011206207.1
OG0000168	WP_135618848.1	WP_236607945.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_020835862.1	WP_020835862.1
OG0000171	WP_011290367.1	WP_020835864.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_011206425.1	WP_020835865.1
OG0000174	WP_406823176.1	WP_020835866.1
OG0000175	WP_160606707.1	WP_020835868.1
OG0000176	WP_406823178.1	WP_020835876.1
OG0000177	WP_160585273.1	WP_020835877.1
OG0000178	WP_044272620.1	WP_020835878.1
OG0000179	WP_020835880.1	WP_020835880.1
OG0000180	WP_081642895.1	WP_081642895.1
OG0000181	WP_020835888.1	WP_020835888.1
OG0000182	WP_011206453.1	WP_011206453.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_011206468.1	WP_011290401.1
OG0000185	WP_146379740.1	WP_020835897.1
OG0000186	WP_348572074.1	WP_020835656.1
OG0000187	WP_011284055.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_406823100.1	WP_020835758.1
OG0000190	WP_146379637.1	WP_020835757.1
OG0000191	WP_020835755.1	WP_020835755.1
OG0000192	WP_404912441.1	WP_011290088.1
OG0000193	WP_094521610.1	WP_011283999.1
OG0000194	WP_011290023.1	WP_011290023.1
OG0000195	WP_094521583.1	WP_011290024.1
OG0000196	WP_179695841.1	WP_020835573.1
OG0000197	WP_406823236.1	WP_041361572.1
OG0000198	WP_011283930.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_160588272.1	WP_020835575.1
OG0000201	WP_011283934.1	WP_011283934.1
OG0000202	WP_406823234.1	WP_011290039.1
OG0000203	WP_011206072.1	WP_011206072.1
OG0000204	WP_011206071.1	WP_011206071.1
OG0000205	WP_160585610.1	WP_020835584.1
OG0000206	WP_011290044.1	WP_011290044.1
OG0000207	WP_094521594.1	WP_011206063.1
OG0000208	WP_011290046.1	WP_011290046.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_160606686.1	WP_011206052.1
OG0000211	WP_011290054.1	WP_011290054.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_011283963.1
OG0000214	WP_011206047.1	WP_011206047.1
OG0000215	WP_011290055.1	WP_020835589.1
OG0000216	WP_014579616.1	WP_011290056.1
OG0000217	WP_011206044.1	WP_011206044.1
OG0000218	WP_011290058.1	WP_011290058.1
OG0000219	WP_011206041.1	WP_020835591.1
OG0000220	WP_406823232.1	WP_020835592.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_041361589.1	WP_041361589.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_160585734.1	WP_020835596.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_011206031.1	WP_011290064.1
OG0000228	WP_406823231.1	WP_041361593.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_011206027.1	WP_011206027.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_011290071.1	WP_020835604.1
OG0000234	WP_041361598.1	WP_041361598.1
OG0000235	WP_020835611.1	WP_020835611.1
OG0000236	WP_020835612.1	WP_020835612.1
OG0000237	WP_406823239.1	WP_020835613.1
OG0000238	WP_406823240.1	WP_011283991.1
OG0000239	WP_011290347.1	WP_011290347.1
OG0000240	WP_020835851.1	WP_020835851.1
OG0000241	WP_160585231.1	WP_020835853.1
OG0000242	WP_348571822.1	WP_020835854.1
OG0000243	WP_348602596.1	WP_041361686.1
OG0000244	WP_041361690.1	WP_041361690.1
OG0000245	WP_406823170.1	WP_020835856.1
OG0000246	WP_050195463.1	WP_041361522.1
OG0000247	WP_179695932.1	WP_011289951.1
OG0000248	WP_052259122.1	WP_014579535.1
OG0000249	WP_348571927.1	WP_020835502.1
OG0000250	WP_160584772.1	WP_011289957.1
OG0000251	WP_318023737.1	WP_020835507.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_135618489.1	WP_011289964.1
OG0000254	WP_348602687.1	WP_020835510.1
OG0000255	WP_014579550.1	WP_020835511.1
OG0000256	WP_011205889.1	WP_011205889.1
OG0000257	WP_011289973.1	WP_011289973.1
OG0000258	WP_011289974.1	WP_011289974.1
OG0000259	WP_041361723.1	WP_020835520.1
OG0000260	WP_011289982.1	WP_011289982.1
OG0000261	WP_406823217.1	WP_020835521.1
OG0000262	WP_041361531.1	WP_041361531.1
OG0000263	WP_160585532.1	WP_011283885.1
OG0000264	WP_011283887.1	WP_011283887.1
OG0000265	WP_233688622.1	WP_020835529.1
OG0000266	WP_011205923.1	WP_041361536.1
OG0000267	WP_044284773.1	WP_020835532.1
OG0000268	WP_011283894.1	WP_011289993.1
OG0000269	WP_406823221.1	WP_011206134.1
OG0000270	WP_348571879.1	WP_020835916.1
OG0000271	WP_404924334.1	WP_020835915.1
OG0000272	WP_011284373.1	WP_011284373.1
OG0000273	WP_011206502.1	WP_011206502.1
OG0000274	WP_011290423.1	WP_011290423.1
OG0000275	WP_238374142.1	WP_020835912.1
OG0000276	WP_011290421.1	WP_011290421.1
