Orthogroup	MHP_4284_proteins	MHP_ES2L_proteins
OG0000000	WP_406823110.1	WP_218833876.1
OG0000000	WP_406823272.1	WP_157696714.1, WP_179221294.1
OG0000001	WP_406823250.1	WP_240536639.1
OG0000001	WP_240536609.1	WP_240536609.1
OG0000001	WP_406823154.1	WP_240536607.1
OG0000002	WP_160606963.1	WP_218833877.1
OG0000002	WP_406823109.1	WP_179221136.1
OG0000002	WP_406823273.1	WP_179221108.1
OG0000003	WP_406823104.1	WP_240536589.1
OG0000003	WP_406823281.1	WP_240536655.1
OG0000004	WP_406823181.1	WP_179221232.1
OG0000004	WP_406823184.1	WP_179221234.1
OG0000004	WP_406823298.1	WP_240536611.1
OG0000005	WP_406823208.1	WP_146379449.1
OG0000005	WP_348571918.1	WP_179220984.1
OG0000005	WP_146379450.1	WP_179220982.1
OG0000005	WP_406823209.1	WP_179220983.1
OG0000005	WP_406823210.1	WP_011289946.1
OG0000006	WP_406823130.1	WP_233688469.1
OG0000007	WP_011284157.1	WP_011284157.1
OG0000007	WP_002557993.1	WP_002557993.1
OG0000007	WP_002557992.1	WP_002557992.1
OG0000008	WP_406823102.1	WP_011206260.1
OG0000008	WP_406823264.1	WP_240536647.1
OG0000008	WP_406823131.1	WP_225972989.1
OG0000009	WP_146379497.1	WP_179221024.1
OG0000010	WP_406823282.1	WP_179221114.1
OG0000011	WP_406823289.1	WP_179221118.1
OG0000013	WP_406823122.1	WP_240536602.1
OG0000014	WP_406823229.1	WP_179221016.1
OG0000014	WP_406823237.1	WP_179221018.1
OG0000015	WP_240536643.1	WP_240536643.1
OG0000016	WP_020835836.1	WP_179221190.1
OG0000016	WP_406823211.1	WP_179220988.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000018	WP_020835635.1	WP_179221069.1
OG0000019	WP_406823172.1	WP_233688517.1
OG0000019	WP_406823175.1	WP_240536613.1
OG0000020	WP_406823202.1	WP_240536625.1
OG0000020	WP_406823203.1	WP_179221274.1
OG0000022	WP_406823266.1	WP_179221100.1
OG0000022	WP_406823271.1	WP_179221107.1
OG0000023	WP_044272391.1	WP_179221068.1, WP_179221212.1
OG0000024	WP_406823153.1	WP_179221186.1
OG0000024	WP_406823249.1	WP_011205981.1
OG0000025	WP_160607943.1	WP_179221101.1
OG0000025	WP_160606775.1	WP_179221106.1
OG0000026	WP_044284614.1	WP_179221074.1
OG0000026	WP_406823270.1	WP_179221105.1
OG0000027	WP_406823196.1	WP_011206475.1
OG0000028	WP_406823124.1	WP_179221152.1
OG0000029	WP_406823230.1	WP_179221049.1
OG0000030	WP_240536353.1	WP_179221248.1
OG0000032	WP_135618726.1	WP_179221091.1
OG0000034	WP_406823106.1	WP_233688423.1
OG0000035	WP_406823183.1	WP_179221231.1
OG0000036	WP_020835495.1	WP_240536627.1
OG0000036	WP_348571921.1	WP_240536628.1, WP_240536629.1
OG0000037	WP_406823295.1	WP_240536665.1
OG0000038	WP_406823223.1, WP_406823274.1	WP_179221109.1
OG0000039	WP_406823260.1, WP_406823259.1	WP_179221095.1
OG0000040	WP_406823189.1	WP_179221240.1
OG0000041	WP_228366127.1	WP_228366127.1
OG0000042	WP_406823168.1	WP_179221198.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000044	WP_081430780.1	WP_225973034.1
OG0000044	WP_011206179.1	WP_011206179.1
OG0000045	WP_406823261.1	WP_240536645.1
OG0000048	WP_011290213.1	WP_011284150.1
OG0000049	WP_020835860.1	WP_179221202.1
OG0000050	WP_406823126.1	WP_179221157.1
OG0000051	WP_406823144.1	WP_179221174.1
OG0000052	WP_011289937.1	WP_179220981.1
OG0000053	WP_406823255.1	WP_179221080.1
OG0000054	WP_348602541.1	WP_011206291.1
OG0000055	WP_348571923.1	WP_135618462.1
