Orthogroup	MHP_7422_protein	MHP_MHP650_protein
OG0000000	WP_020835754.1	WP_160601110.1
OG0000000	WP_020835715.1	WP_160600906.1
OG0000001	WP_041361653.1	WP_308704766.1
OG0000002	WP_020835504.1	WP_308704751.1
OG0000002	WP_020835777.1	WP_258556709.1
OG0000003	WP_020835762.1	WP_258556712.1
OG0000004	WP_041361617.1	WP_258556713.1
OG0000004	WP_228366102.1	WP_258556714.1
OG0000005	WP_148174330.1	WP_308704769.1
OG0000006	WP_020835563.1	WP_160601233.1
OG0000006	WP_020835603.1, WP_041361548.1	WP_220200910.1
OG0000007	WP_269076337.1	WP_308704771.1, WP_308704770.1
OG0000008	WP_020835887.1	WP_160601249.1
OG0000009	WP_020835779.1	WP_160600717.1
OG0000010	WP_020835822.1	WP_011206342.1
OG0000010	WP_020835629.1	WP_258556637.1
OG0000013	WP_051129932.1	WP_228366101.1, WP_258556694.1
OG0000014	WP_228366104.1	WP_258556621.1
OG0000016	WP_020835778.1	WP_160600708.1
OG0000017	WP_020835886.1	WP_160601253.1
OG0000018	WP_041361801.1	WP_160600794.1
OG0000019	WP_011289943.1, WP_011289946.1	WP_160601189.1
OG0000021	WP_236607968.1	WP_258556683.1, WP_160601275.1
OG0000022	WP_236607951.1	WP_258556707.1
OG0000023	WP_020835895.1	WP_160601121.1
OG0000024	WP_041361566.1	WP_160600866.1
OG0000024	WP_011290021.1	WP_094521581.1
OG0000025	WP_020835667.1	WP_258555619.1
OG0000026	WP_020835784.1	WP_160600723.1
OG0000028	WP_041361759.1	WP_014579585.1
OG0000029	WP_041361612.1	WP_160601259.1
OG0000030	WP_020835809.1	WP_160601045.1
OG0000031	WP_011205867.1	WP_014579531.1
OG0000033	WP_225973034.1	WP_011206179.1
OG0000034	WP_020835786.1	WP_160600727.1
OG0000035	WP_020835673.1	WP_160601010.1
OG0000036	WP_041361671.1	WP_160600725.1
OG0000037	WP_041361561.1	WP_160601158.1
OG0000038	WP_011290019.1	WP_232039589.1
OG0000038	WP_020835620.1	WP_220200864.1
OG0000039	WP_020835724.1	WP_160587914.1
OG0000040	WP_020835729.1	WP_160601152.1
OG0000041	WP_020835928.1	WP_308704755.1
OG0000042	WP_020835924.1	WP_160600812.1
OG0000043	WP_020835921.1	WP_160600806.1
OG0000044	WP_020835682.1	WP_160601022.1
OG0000045	WP_020835752.1	WP_160601112.1
OG0000046	WP_011206103.1	WP_011206103.1
OG0000047	WP_225972996.1	WP_228365394.1
OG0000048	WP_011206374.1	WP_011206374.1
OG0000049	WP_011206373.1	WP_011284269.1
OG0000050	WP_011206292.1	WP_011206292.1
OG0000051	WP_081430781.1	WP_135619210.1
OG0000052	WP_020835782.1	WP_160600721.1
OG0000053	WP_002557698.1	WP_002557698.1
OG0000054	WP_020835862.1	WP_011206420.1
OG0000055	WP_020835868.1	WP_160588054.1
OG0000056	WP_020835893.1	WP_160601125.1
OG0000057	WP_011290028.1	WP_011206089.1
OG0000058	WP_011290048.1	WP_135618593.1
OG0000059	WP_236607966.1, WP_020835587.1	WP_011206057.1
OG0000060	WP_020835589.1	WP_011206046.1
OG0000061	WP_011206035.1	WP_011206035.1
OG0000062	WP_020835608.1	WP_160600998.1
OG0000063	WP_014579535.1	WP_160600703.1
OG0000064	WP_020835502.1	WP_160600651.1
OG0000065	WP_020835523.1	WP_014579568.1
OG0000066	WP_011289996.1	WP_160601219.1
OG0000067	WP_011206493.1	WP_160600739.1
OG0000068	WP_020835906.1	WP_160601213.1
OG0000069	WP_020835790.1	WP_160600955.1
OG0000070	WP_020835797.1	WP_160600966.1
OG0000071	WP_020835832.1	WP_160600769.1
OG0000072	WP_020835900.1	WP_160601175.1
OG0000073	WP_011206314.1	WP_011206314.1
OG0000074	WP_020835847.1	WP_258556625.1
OG0000075	WP_011290098.1	WP_160600862.1
OG0000076	WP_051129934.1	WP_160600876.1
OG0000077	WP_011289985.1	WP_160600689.1
OG0000078	WP_236607959.1	WP_308704765.1
OG0000079	WP_044272470.1	WP_220200855.1
OG0000080	WP_011290201.1	WP_160600916.1
OG0000081	WP_014579823.1	WP_014579823.1
OG0000082	WP_020835726.1	WP_160600917.1
OG0000083	WP_020835728.1	WP_160601154.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_011206224.1	WP_160601150.1
OG0000086	WP_011290207.1	WP_160601147.1
OG0000087	WP_020835730.1	WP_220200893.1
OG0000088	WP_020835732.1	WP_160601142.1
OG0000089	WP_020835733.1	WP_020835733.1
OG0000090	WP_011290212.1	WP_011206231.1
OG0000091	WP_011289937.1	WP_011283836.1
OG0000092	WP_020835488.1	WP_011283835.1
OG0000093	WP_011289935.1	WP_160600824.1
OG0000094	WP_020835487.1	WP_160600822.1
OG0000095	WP_011205849.1	WP_011205849.1
OG0000096	WP_020835486.1	WP_160600820.1
OG0000097	WP_020835485.1	WP_011205847.1
OG0000098	WP_020835484.1	WP_020835484.1
OG0000099	WP_020835483.1	WP_014579519.1
OG0000100	WP_020835481.1	WP_160600818.1
OG0000101	WP_011289927.1	WP_160584860.1
OG0000102	WP_020835480.1	WP_044272251.1
OG0000103	WP_011206529.1	WP_011206529.1
OG0000104	WP_020835935.1	WP_160585758.1
