Orthogroup	MHP_MHP694_genes	MHP_168L_genes
OG0000000	DR099_RS03480	MHP168L_RS02190
OG0000000	DR099_RS04035	MHP168L_RS03865
OG0000000	DR099_RS04600	MHP168L_RS01715
OG0000001	DR099_RS00890, DR099_RS00885	MHP168L_RS01370
OG0000001	DR099_RS01165	MHP168L_RS02830
OG0000001	DR099_RS00045	MHP168L_RS02785
OG0000002	DR099_RS04270	MHP168L_RS04010
OG0000002	DR099_RS03485	MHP168L_RS03840
OG0000002	DR099_RS04605	MHP168L_RS01710
OG0000003	DR099_RS04295	MHP168L_RS00485
OG0000004	DR099_RS02875	MHP168L_RS03205
OG0000005	DR099_RS03165	MHP168L_RS00090
OG0000005	DR099_RS04570	MHP168L_RS00100
OG0000005	DR099_RS03150	MHP168L_RS00105
OG0000006	DR099_RS02595	MHP168L_RS02535
OG0000006	DR099_RS02600	MHP168L_RS02530
OG0000006	DR099_RS04105	MHP168L_RS02380
OG0000008	DR099_RS04050	MHP168L_RS01795
OG0000008	DR099_RS04100	MHP168L_RS04025
OG0000009	DR099_RS01670	MHP168L_RS03915
OG0000010	DR099_RS00340	MHP168L_RS01950
OG0000010	DR099_RS04395	MHP168L_RS01650
OG0000010	DR099_RS04175	MHP168L_RS00085
OG0000011	DR099_RS04305	MHP168L_RS03995
OG0000011	DR099_RS00440	MHP168L_RS02035
OG0000012	DR099_RS03555	MHP168L_RS01405, MHP168L_RS02220, MHP168L_RS03040
OG0000013	DR099_RS02140	MHP168L_RS02430
OG0000013	DR099_RS03795	MHP168L_RS03905
OG0000014	DR099_RS03510	MHP168L_RS01070
OG0000015	DR099_RS02515	MHP168L_RS04080
OG0000016	DR099_RS01125	MHP168L_RS02870
OG0000016	DR099_RS00825	MHP168L_RS00150
OG0000017	DR099_RS00840	MHP168L_RS00135
OG0000017	DR099_RS01115	MHP168L_RS02880
OG0000019	DR099_RS04215	MHP168L_RS04055
OG0000020	DR099_RS04585	MHP168L_RS03590
OG0000020	DR099_RS00590	MHP168L_RS03595
OG0000021	DR099_RS04660	MHP168L_RS00495, MHP168L_RS01790, MHP168L_RS00490, MHP168L_RS02360
OG0000022	DR099_RS02480	MHP168L_RS01775
OG0000022	DR099_RS04500	MHP168L_RS01725
OG0000023	DR099_RS00925	MHP168L_RS01410, MHP168L_RS03930, MHP168L_RS03545
OG0000024	DR099_RS00050	MHP168L_RS02775
OG0000024	DR099_RS00880	MHP168L_RS03940, MHP168L_RS03945
OG0000025	DR099_RS04505	MHP168L_RS01770
OG0000025	DR099_RS02430	MHP168L_RS01730
OG0000026	DR099_RS00970	MHP168L_RS01455
OG0000026	DR099_RS02450	MHP168L_RS01750
OG0000027	DR099_RS04510	MHP168L_RS03825
OG0000027	DR099_RS04465	MHP168L_RS03345
OG0000029	DR099_RS01730	MHP168L_RS00580
OG0000029	DR099_RS01725	MHP168L_RS01050
OG0000030	DR099_RS04515	MHP168L_RS03325
OG0000030	DR099_RS04460	MHP168L_RS03340
OG0000031	DR099_RS01355	MHP168L_RS01830
OG0000032	DR099_RS02185	MHP168L_RS03335
OG0000035	DR099_RS02870	MHP168L_RS03200
OG0000036	DR099_RS04160	MHP168L_RS00110
OG0000038	DR099_RS03410	MHP168L_RS00480, MHP168L_RS01855
OG0000039	DR099_RS01340	MHP168L_RS01815
OG0000040	DR099_RS02585	MHP168L_RS03275
OG0000041	DR099_RS02405	MHP168L_RS03925
OG0000042	DR099_RS03125	MHP168L_RS02970
OG0000043	DR099_RS00410	MHP168L_RS02005
OG0000043	DR099_RS00410	MHP168L_RS01210
OG0000044	DR099_RS04650	MHP168L_RS04140
OG0000045	DR099_RS01335	MHP168L_RS01810
OG0000048	DR099_RS01315	MHP168L_RS02210
OG0000049	DR099_RS02120	MHP168L_RS03050
OG0000050	DR099_RS02650	MHP168L_RS02475
OG0000051	DR099_RS00135	MHP168L_RS04035, MHP168L_RS02685
OG0000052	DR099_RS03190	MHP168L_RS00075
OG0000053	DR099_RS04415	MHP168L_RS01540
OG0000054	DR099_RS02625	MHP168L_RS02500
OG0000055	DR099_RS03140	MHP168L_RS00115
OG0000056	DR099_RS03335	MHP168L_RS03515
OG0000057	DR099_RS01045	MHP168L_RS02955
OG0000061	DR099_RS01375	MHP168L_RS01660
OG0000062	DR099_RS00560	MHP168L_RS03630
OG0000063	DR099_RS04320	MHP168L_RS03625
OG0000064	DR099_RS00575	MHP168L_RS03615
OG0000065	DR099_RS02825	MHP168L_RS04005
OG0000066	DR099_RS00960	MHP168L_RS01445
OG0000067	DR099_RS02695	MHP168L_RS00510
OG0000068	DR099_RS01690	MHP168L_RS04135
OG0000069	DR099_RS01150	MHP168L_RS02845
OG0000070	DR099_RS02620	MHP168L_RS02505
OG0000071	DR099_RS02935	MHP168L_RS03265
OG0000072	DR099_RS02940	MHP168L_RS03270
OG0000073	DR099_RS01645	MHP168L_RS00955
OG0000074	DR099_RS04430	MHP168L_RS00765
OG0000075	DR099_RS00645	MHP168L_RS00320
OG0000076	DR099_RS00630	MHP168L_RS00335
OG0000077	DR099_RS03000	MHP168L_RS00425
OG0000078	DR099_RS02460	MHP168L_RS01760
OG0000079	DR099_RS00230	MHP168L_RS02590
OG0000080	DR099_RS03705	MHP168L_RS03895
OG0000081	DR099_RS00650	MHP168L_RS00315
OG0000082	DR099_RS02145	MHP168L_RS04015
OG0000083	DR099_RS01240	MHP168L_RS02110
OG0000084	DR099_RS01265	MHP168L_RS02265
OG0000085	DR099_RS01270	MHP168L_RS02260
OG0000086	DR099_RS01280	MHP168L_RS02250
OG0000087	DR099_RS01295	MHP168L_RS02235
OG0000088	DR099_RS03880	MHP168L_RS02230
OG0000089	DR099_RS01310	MHP168L_RS02215
OG0000090	DR099_RS03200	MHP168L_RS00070
OG0000091	DR099_RS00470	MHP168L_RS00055
OG0000092	DR099_RS00485	MHP168L_RS00040
OG0000093	DR099_RS00490	MHP168L_RS00035
OG0000094	DR099_RS00495	MHP168L_RS00030
OG0000095	DR099_RS00520	MHP168L_RS00005
OG0000096	DR099_RS00525	MHP168L_RS03665
OG0000097	DR099_RS00545	MHP168L_RS03645
OG0000098	DR099_RS00555	MHP168L_RS03635
OG0000099	DR099_RS04590	MHP168L_RS03520
OG0000100	DR099_RS03210	MHP168L_RS03505
OG0000101	DR099_RS03215	MHP168L_RS03500
OG0000102	DR099_RS02435	MHP168L_RS01735
OG0000103	DR099_RS02865	MHP168L_RS02175
OG0000104	DR099_RS02855	MHP168L_RS02170
OG0000105	DR099_RS02840	MHP168L_RS02155
OG0000106	DR099_RS02830	MHP168L_RS02145
OG0000107	DR099_RS02820	MHP168L_RS02135
OG0000108	DR099_RS02815	MHP168L_RS02130
OG0000109	DR099_RS02810	MHP168L_RS02125
OG0000110	DR099_RS02155	MHP168L_RS02410
OG0000111	DR099_RS02160	MHP168L_RS02405
OG0000112	DR099_RS02170	MHP168L_RS02395
OG0000113	DR099_RS04615	MHP168L_RS02375
OG0000114	DR099_RS03460	MHP168L_RS02365
OG0000115	DR099_RS00280	MHP168L_RS02350
OG0000116	DR099_RS00905	MHP168L_RS01385
OG0000117	DR099_RS00910	MHP168L_RS01390
OG0000118	DR099_RS00945	MHP168L_RS01430
OG0000119	DR099_RS00950	MHP168L_RS01435
OG0000120	DR099_RS00965	MHP168L_RS01450
OG0000121	DR099_RS00990	MHP168L_RS01475
OG0000122	DR099_RS00995	MHP168L_RS01480
OG0000123	DR099_RS01015	MHP168L_RS01500
OG0000124	DR099_RS01020	MHP168L_RS01505
OG0000125	DR099_RS01025	MHP168L_RS01510
OG0000126	DR099_RS01515	MHP168L_RS01520
OG0000127	DR099_RS01505	MHP168L_RS01530
OG0000128	DR099_RS01490	MHP168L_RS01545
OG0000129	DR099_RS01485	MHP168L_RS01550
OG0000130	DR099_RS01475	MHP168L_RS01560
OG0000131	DR099_RS04410	MHP168L_RS01590
OG0000132	DR099_RS04405	MHP168L_RS01605
OG0000133	DR099_RS02700	MHP168L_RS00515
OG0000134	DR099_RS02705	MHP168L_RS00520
