Orthogroup	MHP_MHP694_genes	MHP_TB1_genes
OG0000000	DR099_RS03480	B5M19_RS04470
OG0000000	DR099_RS04035	B5M19_RS02095
OG0000000	DR099_RS04600	B5M19_RS02100
OG0000001	DR099_RS00890, DR099_RS00885	B5M19_RS02595
OG0000001	DR099_RS01165	B5M19_RS02555
OG0000001	DR099_RS00045	B5M19_RS02510
OG0000002	DR099_RS04270	B5M19_RS04465
OG0000002	DR099_RS04605	B5M19_RS02105
OG0000003	DR099_RS04295	B5M19_RS04550
OG0000004	DR099_RS02875	B5M19_RS04240
OG0000005	DR099_RS03165	B5M19_RS00020
OG0000005	DR099_RS04570	B5M19_RS00030
OG0000005	DR099_RS03150	B5M19_RS04010, B5M19_RS04005
OG0000006	DR099_RS02595	B5M19_RS03635
OG0000006	DR099_RS02600	B5M19_RS03630
OG0000006	DR099_RS04105	B5M19_RS02695
OG0000008	DR099_RS04050	B5M19_RS03340
OG0000008	DR099_RS04100	B5M19_RS04540
OG0000009	DR099_RS01670	B5M19_RS04265
OG0000010	DR099_RS00340	B5M19_RS00670
OG0000010	DR099_RS04395	B5M19_RS03275
OG0000010	DR099_RS04175	B5M19_RS00015
OG0000011	DR099_RS04305	B5M19_RS04080
OG0000011	DR099_RS00440	B5M19_RS00765
OG0000012	DR099_RS03555	B5M19_RS03815
OG0000013	DR099_RS02140	B5M19_RS02640
OG0000013	DR099_RS03795	B5M19_RS00100
OG0000014	DR099_RS03510	B5M19_RS03715
OG0000016	DR099_RS01125	B5M19_RS01425
OG0000016	DR099_RS00825	B5M19_RS00080, B5M19_RS04015
OG0000017	DR099_RS00840	B5M19_RS00065
OG0000017	DR099_RS01115	B5M19_RS01415
OG0000020	DR099_RS04585	B5M19_RS04305
OG0000020	DR099_RS00590	B5M19_RS02010
OG0000021	DR099_RS04660	B5M19_RS03625
OG0000022	DR099_RS02480	B5M19_RS02040
OG0000022	DR099_RS04500	B5M19_RS02090
OG0000023	DR099_RS00925	B5M19_RS01255, B5M19_RS04365
OG0000024	DR099_RS00050	B5M19_RS02500
OG0000024	DR099_RS00880	B5M19_RS04395, B5M19_RS04390
OG0000025	DR099_RS04505	B5M19_RS04315
