Orthogroup	MHP_MHP694_genes	MFC_MF18_genes
OG0000000	DR099_RS03480	DR082_RS03155
OG0000000	DR099_RS04035	DR082_RS03460, DR082_RS03455
OG0000001	DR099_RS00890, DR099_RS00885, DR099_RS01165, DR099_RS03675, DR099_RS00045	DR082_RS00825, DR082_RS00820
OG0000002	DR099_RS04605	DR082_RS03830
OG0000004	DR099_RS03340, DR099_RS03350	DR082_RS01625
OG0000011	DR099_RS00445, DR099_RS04305	DR082_RS03895, DR082_RS03545
OG0000011	DR099_RS00440	DR082_RS02625
OG0000013	DR099_RS02140	DR082_RS01090, DR082_RS01085
OG0000013	DR099_RS03795	DR082_RS03095
OG0000014	DR099_RS03510	DR082_RS03685
OG0000016	DR099_RS01125	DR082_RS00770
OG0000016	DR099_RS03630	DR082_RS00190
OG0000017	DR099_RS00840	DR082_RS00175
OG0000017	DR099_RS01115	DR082_RS00760
OG0000020	DR099_RS04585	DR082_RS03840
OG0000020	DR099_RS00590, DR099_RS03315	DR082_RS03845
OG0000022	DR099_RS04500	DR082_RS03835
OG0000023	DR099_RS00925	DR082_RS02000
OG0000024	DR099_RS00050, DR099_RS00880	DR082_RS00830
OG0000025	DR099_RS02430	DR082_RS02390
OG0000026	DR099_RS00970, DR099_RS02450	DR082_RS02045
OG0000027	DR099_RS04510	DR082_RS02575
OG0000027	DR099_RS04465	DR082_RS03875
OG0000029	DR099_RS01730, DR099_RS01725	DR082_RS00605
OG0000030	DR099_RS04515, DR099_RS04460	DR082_RS03880
OG0000031	DR099_RS01355	DR082_RS01195
OG0000032	DR099_RS02185	DR082_RS02570
OG0000039	DR099_RS01340	DR082_RS00665
OG0000040	DR099_RS02585	DR082_RS01855, DR082_RS00885
OG0000042	DR099_RS03125	DR082_RS00660, DR082_RS00805
OG0000043	DR099_RS00410	DR082_RS02595
OG0000045	DR099_RS01335	DR082_RS03225, DR082_RS03230
OG0000048	DR099_RS01315	DR082_RS03010, DR082_RS02750
OG0000049	DR099_RS04655	DR082_RS03345
OG0000050	DR099_RS02650	DR082_RS01160
OG0000051	DR099_RS00135	DR082_RS01520
OG0000052	DR099_RS03190	DR082_RS03660
OG0000053	DR099_RS04415	DR082_RS03920
OG0000054	DR099_RS02625	DR082_RS01135
OG0000055	DR099_RS03140	DR082_RS03970
OG0000056	DR099_RS03335	DR082_RS02415
OG0000057	DR099_RS01045	DR082_RS00685
OG0000062	DR099_RS00560	DR082_RS00025
OG0000063	DR099_RS04320	DR082_RS00020
OG0000064	DR099_RS00575	DR082_RS00010
OG0000065	DR099_RS02825	DR082_RS01905
OG0000066	DR099_RS00960	DR082_RS02035
OG0000068	DR099_RS01690	DR082_RS00640
OG0000069	DR099_RS01150	DR082_RS00795
OG0000070	DR099_RS02620	DR082_RS01115
OG0000071	DR099_RS02935	DR082_RS01840
OG0000072	DR099_RS02940	DR082_RS03775
OG0000073	DR099_RS01645	DR082_RS02205
OG0000074	DR099_RS04430	DR082_RS03730
OG0000075	DR099_RS00645	DR082_RS00360
OG0000076	DR099_RS00630	DR082_RS00375
OG0000077	DR099_RS03000	DR082_RS00460
OG0000078	DR099_RS02460	DR082_RS00920
OG0000079	DR099_RS00230	DR082_RS01035
OG0000080	DR099_RS03705	DR082_RS03280
OG0000081	DR099_RS00650	DR082_RS00355
OG0000082	DR099_RS02145	DR082_RS01095
OG0000083	DR099_RS01240	DR082_RS02990
OG0000084	DR099_RS01265	DR082_RS02700
OG0000085	DR099_RS01270	DR082_RS03060, DR082_RS02705
OG0000086	DR099_RS01280	DR082_RS03910
OG0000087	DR099_RS01295	DR082_RS02730
OG0000088	DR099_RS03880	DR082_RS02735
OG0000089	DR099_RS01310	DR082_RS02745
OG0000090	DR099_RS03200	DR082_RS00130
OG0000091	DR099_RS00470	DR082_RS00115
OG0000092	DR099_RS00485	DR082_RS00100
OG0000093	DR099_RS00490	DR082_RS00095
OG0000094	DR099_RS00495	DR082_RS00090
OG0000095	DR099_RS00520	DR082_RS00065
OG0000096	DR099_RS00525	DR082_RS00060
OG0000097	DR099_RS00545	DR082_RS00040
OG0000098	DR099_RS00555	DR082_RS00030
OG0000099	DR099_RS04590	DR082_RS02420
OG0000100	DR099_RS03210	DR082_RS02410
OG0000101	DR099_RS03215	DR082_RS02405
OG0000102	DR099_RS02435	DR082_RS02395
OG0000103	DR099_RS02865	DR082_RS01870
OG0000104	DR099_RS02855	DR082_RS01875
OG0000105	DR099_RS02840	DR082_RS01890
OG0000106	DR099_RS02830	DR082_RS01900
OG0000107	DR099_RS02820	DR082_RS01910
OG0000108	DR099_RS02815	DR082_RS01915
OG0000109	DR099_RS02810	DR082_RS01920
OG0000110	DR099_RS02155	DR082_RS01925
OG0000111	DR099_RS02160	DR082_RS01930
OG0000112	DR099_RS02170	DR082_RS01940
OG0000113	DR099_RS04615	DR082_RS03785
OG0000114	DR099_RS03460	DR082_RS01965
OG0000115	DR099_RS00280	DR082_RS01975
OG0000116	DR099_RS00905	DR082_RS01985
OG0000117	DR099_RS00910	DR082_RS01990
OG0000118	DR099_RS00945	DR082_RS02020
OG0000119	DR099_RS00950	DR082_RS02025
OG0000120	DR099_RS00965	DR082_RS02040
OG0000121	DR099_RS00990	DR082_RS02065
OG0000122	DR099_RS00995	DR082_RS02080
OG0000123	DR099_RS01015	DR082_RS02870
OG0000124	DR099_RS01020	DR082_RS02865
OG0000125	DR099_RS01025	DR082_RS02860
OG0000126	DR099_RS01515	DR082_RS02850
OG0000127	DR099_RS01505	DR082_RS02840
OG0000128	DR099_RS01490	DR082_RS02820
OG0000129	DR099_RS01485	DR082_RS02815
OG0000130	DR099_RS01475	DR082_RS02805
OG0000131	DR099_RS04410	DR082_RS02775
OG0000132	DR099_RS04405	DR082_RS03915
OG0000133	DR099_RS02700	DR082_RS00535
