Orthogroup	MHP_MHP694_genes	MHP_MHP709_genes
OG0000000	DR099_RS03480	DR088_RS03530
OG0000000	DR099_RS04035	DR088_RS04105
OG0000000	DR099_RS04600	DR088_RS04100
OG0000001	DR099_RS01165	DR088_RS00215
OG0000001	DR099_RS03675	DR088_RS03735
OG0000001	DR099_RS00045	DR088_RS03730
OG0000002	DR099_RS04270	DR088_RS04280
OG0000002	DR099_RS04605	DR088_RS04510
OG0000003	DR099_RS04295	DR088_RS00355
OG0000004	DR099_RS02875	DR088_RS03400
OG0000005	DR099_RS03165	DR088_RS01950
OG0000005	DR099_RS04570	DR088_RS03545
OG0000005	DR099_RS03150	DR088_RS03300
OG0000006	DR099_RS02600	DR088_RS03035
OG0000006	DR099_RS04105	DR088_RS04190
OG0000008	DR099_RS04050	DR088_RS03690
OG0000008	DR099_RS04100	DR088_RS04285
OG0000009	DR099_RS03180	DR088_RS01935
OG0000009	DR099_RS01670	DR088_RS02850
OG0000010	DR099_RS00340	DR088_RS00450
OG0000010	DR099_RS04565	DR088_RS03295
OG0000010	DR099_RS04175	DR088_RS03540, DR088_RS03660
OG0000011	DR099_RS04305	DR088_RS00560
OG0000011	DR099_RS00440	DR088_RS00555
OG0000013	DR099_RS02140	DR088_RS02380
OG0000013	DR099_RS03795	DR088_RS03910
OG0000014	DR099_RS03510	DR088_RS00785
OG0000016	DR099_RS01125	DR088_RS00255
OG0000016	DR099_RS00825	DR088_RS01355
OG0000017	DR099_RS00840	DR088_RS01370
OG0000017	DR099_RS01115	DR088_RS00265
OG0000018	DR099_RS04345	DR088_RS04550
OG0000019	DR099_RS04215	DR088_RS04255
OG0000020	DR099_RS04585	DR088_RS04465
OG0000020	DR099_RS00590, DR099_RS03315	DR088_RS04470
OG0000021	DR099_RS04660	DR088_RS00360
OG0000022	DR099_RS02480	DR088_RS02355
OG0000022	DR099_RS04500	DR088_RS04515
OG0000023	DR099_RS00925	DR088_RS02595
OG0000024	DR099_RS00050	DR088_RS00160
OG0000024	DR099_RS00880	DR088_RS00975
OG0000025	DR099_RS04505	DR088_RS04520
OG0000025	DR099_RS02430	DR088_RS02305
OG0000026	DR099_RS00970	DR088_RS02640
OG0000026	DR099_RS02450	DR088_RS02325
OG0000027	DR099_RS04510	DR088_RS04450
OG0000027	DR099_RS04465	DR088_RS04500
OG0000028	DR099_RS02680, DR099_RS02130	DR088_RS04565
OG0000029	DR099_RS01730	DR088_RS01545
OG0000029	DR099_RS01725	DR088_RS00770
OG0000030	DR099_RS04515	DR088_RS04445
OG0000030	DR099_RS04460	DR088_RS04505
OG0000031	DR099_RS01355	DR088_RS03335
OG0000032	DR099_RS02185	DR088_RS02280
OG0000033	DR099_RS03980, DR099_RS04640	DR088_RS02375
OG0000035	DR099_RS02870	DR088_RS03395
OG0000036	DR099_RS04160	DR088_RS03305, DR088_RS03325, DR088_RS04245
OG0000037	DR099_RS01370	DR088_RS03350
OG0000038	DR099_RS03410	DR088_RS01015
OG0000039	DR099_RS01340	DR088_RS03410
OG0000040	DR099_RS02585	DR088_RS02000
