Orthogroup	MHP_MHP694_genes	MHP_KM014_genes
OG0000000	DR099_RS04035	CIB43_RS02595, CIB43_RS02600
OG0000001	DR099_RS01165	CIB43_RS03715
OG0000001	DR099_RS03675, DR099_RS00045	CIB43_RS03670
OG0000002	DR099_RS04270	CIB43_RS03100
OG0000002	DR099_RS03485	CIB43_RS04020
OG0000002	DR099_RS04605	CIB43_RS02610
OG0000004	DR099_RS03340, DR099_RS03350	CIB43_RS00110
OG0000005	DR099_RS03165	CIB43_RS00810
OG0000006	DR099_RS02595, DR099_RS02600	CIB43_RS03435
OG0000006	DR099_RS03650, DR099_RS04105	CIB43_RS03420
OG0000009	DR099_RS03180	CIB43_RS00790
OG0000009	DR099_RS01670	CIB43_RS01550
OG0000010	DR099_RS00340	CIB43_RS02735
OG0000010	DR099_RS04175	CIB43_RS00795
OG0000011	DR099_RS04305	CIB43_RS02850
OG0000014	DR099_RS03510	CIB43_RS01955
OG0000016	DR099_RS01125	CIB43_RS03755
OG0000017	DR099_RS00840	CIB43_RS00855
OG0000017	DR099_RS01115	CIB43_RS03765
OG0000019	DR099_RS04215	CIB43_RS00120, CIB43_RS00115
OG0000020	DR099_RS00590	CIB43_RS00635
OG0000021	DR099_RS04660	CIB43_RS02635
OG0000022	DR099_RS04500	CIB43_RS02590
OG0000023	DR099_RS00925	CIB43_RS00020, CIB43_RS01245, CIB43_RS01195
OG0000024	DR099_RS00880	CIB43_RS02140
OG0000025	DR099_RS02430	CIB43_RS02585
OG0000026	DR099_RS02450	CIB43_RS02565
OG0000027	DR099_RS04465	CIB43_RS00440
OG0000028	DR099_RS02680, DR099_RS02130	CIB43_RS03325
OG0000030	DR099_RS04460	CIB43_RS00435
OG0000035	DR099_RS02870	CIB43_RS00280
OG0000036	DR099_RS04160	CIB43_RS00815
OG0000038	DR099_RS03410	CIB43_RS02625
OG0000039	DR099_RS01340	CIB43_RS02500
OG0000042	DR099_RS03125	CIB43_RS03855
OG0000043	DR099_RS00410	CIB43_RS02825
OG0000043	DR099_RS00410	CIB43_RS00070
OG0000045	DR099_RS01335	CIB43_RS02520
OG0000048	DR099_RS01315	CIB43_RS02995
OG0000049	DR099_RS02120	CIB43_RS00150
OG0000051	DR099_RS00135	CIB43_RS03575
OG0000052	DR099_RS03190	CIB43_RS00775
OG0000053	DR099_RS04415	CIB43_RS02315
OG0000054	DR099_RS02625	CIB43_RS03395
OG0000055	DR099_RS03140	CIB43_RS00835
OG0000056	DR099_RS03335	CIB43_RS03960
OG0000057	DR099_RS01045	CIB43_RS03840
OG0000061	DR099_RS00350, DR099_RS01375	CIB43_RS02745
OG0000062	DR099_RS00560	CIB43_RS00675
OG0000063	DR099_RS04320	CIB43_RS00660
OG0000064	DR099_RS00575	CIB43_RS00650
OG0000065	DR099_RS02825	CIB43_RS03145
OG0000068	DR099_RS01690	CIB43_RS01520
OG0000069	DR099_RS01150	CIB43_RS03740
OG0000070	DR099_RS02620	CIB43_RS03400
OG0000071	DR099_RS02935	CIB43_RS00360
OG0000072	DR099_RS02940	CIB43_RS00375
OG0000073	DR099_RS01645	CIB43_RS01580
OG0000075	DR099_RS00645	CIB43_RS01060
OG0000077	DR099_RS03000	CIB43_RS01330
OG0000078	DR099_RS02460	CIB43_RS02560
OG0000079	DR099_RS00230	CIB43_RS03480
OG0000080	DR099_RS03705	CIB43_RS03525
OG0000081	DR099_RS00650	CIB43_RS01055
OG0000083	DR099_RS01240	CIB43_RS02935
OG0000084	DR099_RS01265	CIB43_RS02955
OG0000086	DR099_RS01280	CIB43_RS02970
OG0000087	DR099_RS01295	CIB43_RS02975
OG0000088	DR099_RS03880	CIB43_RS02980
OG0000089	DR099_RS01310	CIB43_RS02990
OG0000090	DR099_RS03200	CIB43_RS00770
OG0000091	DR099_RS00470	CIB43_RS00760
OG0000092	DR099_RS00485	CIB43_RS00745
OG0000093	DR099_RS00490	CIB43_RS00735
OG0000094	DR099_RS00495	CIB43_RS00730
OG0000095	DR099_RS00520	CIB43_RS00715
OG0000096	DR099_RS00525	CIB43_RS00700
OG0000097	DR099_RS00545	CIB43_RS00690
OG0000100	DR099_RS03210	CIB43_RS00610
OG0000101	DR099_RS03215	CIB43_RS00600
OG0000102	DR099_RS02435	CIB43_RS02580
OG0000103	DR099_RS02865	CIB43_RS03110
OG0000104	DR099_RS02855	CIB43_RS03120
OG0000105	DR099_RS02840	CIB43_RS03130
OG0000106	DR099_RS02830	CIB43_RS03140
OG0000107	DR099_RS02820	CIB43_RS03150
OG0000108	DR099_RS02815	CIB43_RS03155
OG0000109	DR099_RS02810	CIB43_RS03160
OG0000110	DR099_RS02155	CIB43_RS03290
OG0000111	DR099_RS02160	CIB43_RS03285
OG0000112	DR099_RS02170	CIB43_RS03280
OG0000113	DR099_RS04615	CIB43_RS03260
OG0000114	DR099_RS03460	CIB43_RS03245
OG0000115	DR099_RS00280	CIB43_RS03230
OG0000116	DR099_RS00905	CIB43_RS02165
OG0000117	DR099_RS00910	CIB43_RS02170
OG0000118	DR099_RS00945	CIB43_RS02205
OG0000119	DR099_RS00950	CIB43_RS02210
OG0000120	DR099_RS00965	CIB43_RS02230
