Orthogroup	MHP_MHP694_genes	MHP_111A_genes
OG0000000	DR099_RS04035	NB623_RS01845, NB623_RS01850
OG0000000	DR099_RS04600	NB623_RS01865
OG0000001	DR099_RS01165	NB623_RS02960
OG0000001	DR099_RS00045	NB623_RS02910
OG0000002	DR099_RS04270	NB623_RS02345
OG0000004	DR099_RS02875	NB623_RS03365
OG0000005	DR099_RS03165	NB623_RS00105
OG0000005	DR099_RS04570	NB623_RS00110
OG0000005	DR099_RS03150	NB623_RS00115
OG0000006	DR099_RS02595, DR099_RS02600	NB623_RS02650
OG0000006	DR099_RS03650	NB623_RS02495
OG0000008	DR099_RS04050	NB623_RS01760
OG0000008	DR099_RS04100	NB623_RS02660
OG0000009	DR099_RS03180	NB623_RS00090
OG0000009	DR099_RS01670	NB623_RS00680
OG0000010	DR099_RS00340	NB623_RS02245
OG0000011	DR099_RS04305	NB623_RS02145
OG0000011	DR099_RS00440	NB623_RS02150
OG0000013	DR099_RS02140	NB623_RS02540
OG0000014	DR099_RS03510	NB623_RS01220
OG0000015	DR099_RS02515	NB623_RS01750
OG0000016	DR099_RS00825	NB623_RS00160
OG0000017	DR099_RS00840	NB623_RS00145
OG0000017	DR099_RS01115	NB623_RS03015
OG0000018	DR099_RS04345	NB623_RS01440
OG0000019	DR099_RS04215	NB623_RS03195, NB623_RS03185, NB623_RS03175
OG0000020	DR099_RS04585	NB623_RS03740
OG0000020	DR099_RS00590, DR099_RS03315	NB623_RS03745
OG0000021	DR099_RS04660	NB623_RS02325
OG0000022	DR099_RS02480	NB623_RS01785
OG0000022	DR099_RS04500	NB623_RS01840
OG0000023	DR099_RS00925	NB623_RS01435, NB623_RS01940
OG0000024	DR099_RS00050	NB623_RS02905
OG0000024	DR099_RS00880	NB623_RS01395
OG0000025	DR099_RS04505	NB623_RS01790
OG0000025	DR099_RS02430	NB623_RS01835
OG0000026	DR099_RS00970	NB623_RS01480
OG0000026	DR099_RS02450	NB623_RS01815
OG0000027	DR099_RS04510	NB623_RS03520
OG0000027	DR099_RS04465	NB623_RS03535
OG0000028	DR099_RS02680, DR099_RS02130	NB623_RS02565, NB623_RS02570
OG0000029	DR099_RS01730	NB623_RS01215
OG0000029	DR099_RS01725	NB623_RS00605
OG0000030	DR099_RS04515	NB623_RS03510
OG0000030	DR099_RS04460	NB623_RS03530
OG0000032	DR099_RS02185	NB623_RS03525
OG0000035	DR099_RS02870	NB623_RS03355
OG0000036	DR099_RS04160	NB623_RS00120
OG0000038	DR099_RS03410	NB623_RS00485, NB623_RS02330
OG0000039	DR099_RS01340	NB623_RS01730
OG0000040	DR099_RS02585	NB623_RS03445, NB623_RS03440, NB623_RS03435
OG0000041	DR099_RS02405	NB623_RS01315
OG0000043	DR099_RS00410	NB623_RS02180
OG0000044	DR099_RS04650	NB623_RS01800
OG0000045	DR099_RS01335	NB623_RS01740
OG0000046	DR099_RS04530	NB623_RS03460
OG0000048	DR099_RS01315	NB623_RS01920
OG0000049	DR099_RS02120, DR099_RS04655	NB623_RS03205
OG0000050	DR099_RS02650	NB623_RS02600
OG0000051	DR099_RS00135	NB623_RS02820
OG0000052	DR099_RS03190	NB623_RS00080, NB623_RS00075
OG0000053	DR099_RS04415	NB623_RS01570
OG0000054	DR099_RS02625	NB623_RS02625
OG0000055	DR099_RS03140	NB623_RS00125
OG0000056	DR099_RS03335	NB623_RS03725
OG0000057	DR099_RS01045	NB623_RS03085
OG0000061	DR099_RS00350, DR099_RS01375	NB623_RS02235
OG0000062	DR099_RS00560	NB623_RS03775
OG0000063	DR099_RS04320	NB623_RS03770
OG0000064	DR099_RS00575	NB623_RS03760
OG0000065	DR099_RS02825	NB623_RS02390
OG0000066	DR099_RS00960	NB623_RS01470
OG0000068	DR099_RS01690	NB623_RS00640
OG0000069	DR099_RS01150	NB623_RS02980
OG0000070	DR099_RS02620	NB623_RS02630
OG0000071	DR099_RS02935	NB623_RS03425
OG0000072	DR099_RS02940	NB623_RS03430
OG0000073	DR099_RS01645	NB623_RS00710
OG0000074	DR099_RS04430	NB623_RS00910
OG0000075	DR099_RS00645	NB623_RS00330
OG0000076	DR099_RS00630	NB623_RS00345
OG0000077	DR099_RS03000	NB623_RS00430
OG0000078	DR099_RS02460	NB623_RS01805
OG0000079	DR099_RS00230	NB623_RS02720
OG0000080	DR099_RS03705	NB623_RS02770
OG0000081	DR099_RS00650	NB623_RS00325
OG0000083	DR099_RS01240	NB623_RS02075
OG0000084	DR099_RS01265	NB623_RS02045
OG0000085	DR099_RS01270	NB623_RS02040
OG0000086	DR099_RS01280	NB623_RS02030
OG0000087	DR099_RS01295	NB623_RS02015
OG0000088	DR099_RS03880	NB623_RS02010
OG0000089	DR099_RS01310	NB623_RS02000
OG0000090	DR099_RS03200	NB623_RS00070
OG0000091	DR099_RS00470	NB623_RS00055
OG0000092	DR099_RS00485	NB623_RS00050
OG0000093	DR099_RS00490	NB623_RS00035
OG0000094	DR099_RS00495	NB623_RS00030
OG0000095	DR099_RS00520	NB623_RS00005
OG0000096	DR099_RS00525	NB623_RS03810
OG0000097	DR099_RS00545	NB623_RS03790
OG0000098	DR099_RS00555	NB623_RS03780
OG0000099	DR099_RS04590	NB623_RS03730
OG0000100	DR099_RS03210	NB623_RS03715
OG0000101	DR099_RS03215	NB623_RS03710
OG0000102	DR099_RS02435	NB623_RS01830
OG0000103	DR099_RS02865	NB623_RS02355
OG0000104	DR099_RS02855	NB623_RS02360
OG0000105	DR099_RS02840	NB623_RS02380
OG0000106	DR099_RS02830	NB623_RS02385
OG0000107	DR099_RS02820	NB623_RS02395
OG0000108	DR099_RS02815	NB623_RS02400
OG0000109	DR099_RS02810	NB623_RS02405
OG0000110	DR099_RS02155	NB623_RS02525
OG0000111	DR099_RS02160	NB623_RS02520
OG0000112	DR099_RS02170	NB623_RS02510
OG0000113	DR099_RS04615	NB623_RS02490
OG0000114	DR099_RS03460	NB623_RS02485
OG0000115	DR099_RS00280	NB623_RS02470
OG0000116	DR099_RS00905	NB623_RS01415
OG0000117	DR099_RS00910	NB623_RS01420
OG0000118	DR099_RS00945	NB623_RS01455
OG0000119	DR099_RS00950	NB623_RS01465
OG0000120	DR099_RS00965	NB623_RS01475
OG0000121	DR099_RS00990	NB623_RS01505
OG0000122	DR099_RS00995	NB623_RS01510
OG0000123	DR099_RS01015	NB623_RS01530
OG0000124	DR099_RS01020	NB623_RS01535
OG0000125	DR099_RS01025	NB623_RS01545
OG0000126	DR099_RS01515	NB623_RS01550
OG0000127	DR099_RS01505	NB623_RS01560
OG0000128	DR099_RS01490	NB623_RS01575
OG0000129	DR099_RS01485	NB623_RS01580
OG0000130	DR099_RS01475	NB623_RS01590
OG0000131	DR099_RS04410	NB623_RS01620
OG0000132	DR099_RS04405	NB623_RS01635
OG0000133	DR099_RS02700	NB623_RS00525
OG0000134	DR099_RS02705	NB623_RS00530
OG0000135	DR099_RS02720	NB623_RS00545
OG0000136	DR099_RS02725	NB623_RS00550
OG0000137	DR099_RS02765	NB623_RS00590
OG0000138	DR099_RS01715	NB623_RS00615
OG0000139	DR099_RS01685	NB623_RS00645
OG0000140	DR099_RS01680	NB623_RS00650
OG0000141	DR099_RS01035	NB623_RS03095
OG0000142	DR099_RS04350	NB623_RS03090
OG0000143	DR099_RS01060	NB623_RS03075
OG0000144	DR099_RS01070	NB623_RS03060
OG0000145	DR099_RS01080	NB623_RS03050
OG0000146	DR099_RS01090	NB623_RS03040
OG0000147	DR099_RS01095	NB623_RS03035
OG0000148	DR099_RS01110	NB623_RS03020
OG0000149	DR099_RS01120	NB623_RS03010
OG0000150	DR099_RS01135	NB623_RS02995
OG0000151	DR099_RS00010	NB623_RS02945
OG0000152	DR099_RS00015	NB623_RS02940
OG0000153	DR099_RS00020	NB623_RS02935
OG0000154	DR099_RS00030	NB623_RS02925
OG0000155	DR099_RS00070	NB623_RS02885
OG0000156	DR099_RS00080	NB623_RS02875
OG0000157	DR099_RS04275	NB623_RS02870
OG0000158	DR099_RS04280	NB623_RS02860
OG0000159	DR099_RS02635	NB623_RS02615
OG0000160	DR099_RS02640	NB623_RS02610
OG0000161	DR099_RS02645	NB623_RS02605
OG0000162	DR099_RS02655	NB623_RS02595
OG0000163	DR099_RS02660	NB623_RS02590
OG0000164	DR099_RS01350	NB623_RS01725
OG0000165	DR099_RS00435	NB623_RS02155
OG0000166	DR099_RS01185	NB623_RS02135
OG0000167	DR099_RS01195	NB623_RS02120
OG0000168	DR099_RS01200	NB623_RS02115
OG0000169	DR099_RS03360	NB623_RS03200
OG0000170	DR099_RS02110	NB623_RS03215
OG0000171	DR099_RS02100	NB623_RS03225
OG0000172	DR099_RS02095	NB623_RS03230
