Orthogroup	MHP_MHP694_genes	MHP_F72C_genes
OG0000000	DR099_RS03480	EHI52_RS01825
OG0000000	DR099_RS04600	EHI52_RS01775
OG0000001	DR099_RS01165	EHI52_RS02790
OG0000001	DR099_RS00045	EHI52_RS02740
OG0000002	DR099_RS04270	EHI52_RS02215
OG0000002	DR099_RS04605	EHI52_RS01780
OG0000003	DR099_RS04295	EHI52_RS02140
OG0000004	DR099_RS02875	EHI52_RS03225
OG0000004	DR099_RS03340, DR099_RS03350	EHI52_RS03045, EHI52_RS03025
OG0000005	DR099_RS03165	EHI52_RS00100
OG0000005	DR099_RS04570	EHI52_RS00105
OG0000005	DR099_RS03150	EHI52_RS00110
OG0000006	DR099_RS02600	EHI52_RS02500
OG0000006	DR099_RS04105	EHI52_RS03880
OG0000008	DR099_RS04050	EHI52_RS03775
OG0000008	DR099_RS04100	EHI52_RS03830
OG0000009	DR099_RS03180	EHI52_RS00085
OG0000009	DR099_RS01670	EHI52_RS00680
OG0000010	DR099_RS00340	EHI52_RS02085
OG0000011	DR099_RS04305	EHI52_RS01985
OG0000011	DR099_RS00440	EHI52_RS01990
OG0000013	DR099_RS02140	EHI52_RS02410
OG0000013	DR099_RS03795	EHI52_RS03710
OG0000014	DR099_RS03510	EHI52_RS01155
OG0000016	DR099_RS01125	EHI52_RS02830
OG0000016	DR099_RS00825	EHI52_RS00170
OG0000017	DR099_RS00840	EHI52_RS00155
OG0000017	DR099_RS01115	EHI52_RS02840
OG0000019	DR099_RS04215	EHI52_RS03855, EHI52_RS03865
OG0000020	DR099_RS04585	EHI52_RS03550
OG0000020	DR099_RS00590, DR099_RS03315	EHI52_RS03555
OG0000021	DR099_RS04660	EHI52_RS02195, EHI52_RS03715
OG0000022	DR099_RS02480	EHI52_RS01715
OG0000022	DR099_RS04500	EHI52_RS01770
OG0000023	DR099_RS00925	EHI52_RS01380
OG0000024	DR099_RS00050	EHI52_RS02735
OG0000024	DR099_RS00880	EHI52_RS01335
OG0000025	DR099_RS04505	EHI52_RS01720
OG0000025	DR099_RS02430	EHI52_RS01765
OG0000026	DR099_RS00970	EHI52_RS01425
OG0000026	DR099_RS02450	EHI52_RS01745
OG0000027	DR099_RS04510	EHI52_RS03355
OG0000028	DR099_RS02680, DR099_RS02130	EHI52_RS02420
OG0000029	DR099_RS01730	EHI52_RS01150
OG0000029	DR099_RS01725	EHI52_RS00620
OG0000030	DR099_RS04515	EHI52_RS03350
OG0000031	DR099_RS01355	EHI52_RS01660
OG0000035	DR099_RS02870	EHI52_RS03220
OG0000036	DR099_RS04160	EHI52_RS00115, EHI52_RS03705, EHI52_RS00130
OG0000037	DR099_RS01370	EHI52_RS01645
OG0000038	DR099_RS03410	EHI52_RS02145, EHI52_RS03810
OG0000039	DR099_RS01340	EHI52_RS01675
OG0000040	DR099_RS02585	EHI52_RS03295
OG0000041	DR099_RS02405	EHI52_RS03655
OG0000042	DR099_RS03125	EHI52_RS02930
OG0000043	DR099_RS00410	EHI52_RS02020
OG0000044	DR099_RS04650	EHI52_RS03910
OG0000045	DR099_RS01335	EHI52_RS01680
OG0000046	DR099_RS04530	EHI52_RS03305
OG0000048	DR099_RS01315	EHI52_RS01840
OG0000049	DR099_RS02120, DR099_RS04655	EHI52_RS03065
OG0000050	DR099_RS02650	EHI52_RS02450
OG0000051	DR099_RS00135	EHI52_RS02650
OG0000052	DR099_RS03190	EHI52_RS00075
OG0000053	DR099_RS04415	EHI52_RS01510
OG0000054	DR099_RS02625	EHI52_RS02475
OG0000055	DR099_RS03140	EHI52_RS00135
OG0000056	DR099_RS03335	EHI52_RS03530
OG0000057	DR099_RS01045	EHI52_RS02915
OG0000060	DR099_RS04180	EHI52_RS00080
OG0000061	DR099_RS00350, DR099_RS01375	EHI52_RS02075
OG0000062	DR099_RS00560	EHI52_RS03585
OG0000063	DR099_RS04320	EHI52_RS03580
OG0000064	DR099_RS00575	EHI52_RS03570
OG0000065	DR099_RS02825	EHI52_RS02260
OG0000066	DR099_RS00960	EHI52_RS01415
OG0000067	DR099_RS02695	EHI52_RS00540
OG0000068	DR099_RS01690	EHI52_RS00660
OG0000069	DR099_RS01150	EHI52_RS02805
OG0000070	DR099_RS02620	EHI52_RS02480
OG0000071	DR099_RS02935	EHI52_RS03285
OG0000072	DR099_RS02940	EHI52_RS03290
OG0000073	DR099_RS01645	EHI52_RS00705
OG0000074	DR099_RS04430	EHI52_RS00900
OG0000075	DR099_RS00645	EHI52_RS00355
OG0000076	DR099_RS00630	EHI52_RS00370
OG0000077	DR099_RS03000	EHI52_RS00460
OG0000078	DR099_RS02460	EHI52_RS01735
OG0000079	DR099_RS00230	EHI52_RS02555
OG0000080	DR099_RS03705	EHI52_RS03675
OG0000081	DR099_RS00650	EHI52_RS00350
OG0000082	DR099_RS02145	EHI52_RS02405
OG0000083	DR099_RS01240	EHI52_RS01915
OG0000084	DR099_RS01265	EHI52_RS01890
OG0000085	DR099_RS01270	EHI52_RS01885
OG0000086	DR099_RS01280	EHI52_RS01875
OG0000087	DR099_RS01295	EHI52_RS01860
OG0000088	DR099_RS03880	EHI52_RS01855
OG0000089	DR099_RS01310	EHI52_RS01845
OG0000090	DR099_RS03200	EHI52_RS00070
OG0000091	DR099_RS00470	EHI52_RS00055
OG0000092	DR099_RS00485	EHI52_RS00040
OG0000093	DR099_RS00490	EHI52_RS00035
OG0000094	DR099_RS00495	EHI52_RS00030
OG0000095	DR099_RS00520	EHI52_RS00005
OG0000096	DR099_RS00525	EHI52_RS03620
OG0000097	DR099_RS00545	EHI52_RS03600
OG0000098	DR099_RS00555	EHI52_RS03590
OG0000099	DR099_RS04590	EHI52_RS03540
OG0000100	DR099_RS03210	EHI52_RS03520
OG0000101	DR099_RS03215	EHI52_RS03515
OG0000102	DR099_RS02435	EHI52_RS01760
OG0000103	DR099_RS02865	EHI52_RS02225
OG0000104	DR099_RS02855	EHI52_RS02230
OG0000105	DR099_RS02840	EHI52_RS02245
OG0000106	DR099_RS02830	EHI52_RS02255
OG0000107	DR099_RS02820	EHI52_RS02265
OG0000108	DR099_RS02815	EHI52_RS02270
OG0000109	DR099_RS02810	EHI52_RS02275
OG0000110	DR099_RS02155	EHI52_RS02395
OG0000111	DR099_RS02160	EHI52_RS02390
OG0000112	DR099_RS02170	EHI52_RS02380
OG0000113	DR099_RS04615	EHI52_RS02360
OG0000114	DR099_RS03460	EHI52_RS02350
OG0000115	DR099_RS00280	EHI52_RS02335
OG0000116	DR099_RS00905	EHI52_RS01360
OG0000117	DR099_RS00910	EHI52_RS01365
OG0000118	DR099_RS00945	EHI52_RS01400
OG0000119	DR099_RS00950	EHI52_RS01405
OG0000120	DR099_RS00965	EHI52_RS01420
OG0000121	DR099_RS00990	EHI52_RS01445
OG0000122	DR099_RS00995	EHI52_RS01450
OG0000123	DR099_RS01015	EHI52_RS01470
OG0000124	DR099_RS01020	EHI52_RS01475
OG0000125	DR099_RS01025	EHI52_RS01480
OG0000126	DR099_RS01515	EHI52_RS01490
OG0000127	DR099_RS01505	EHI52_RS01500
OG0000128	DR099_RS01490	EHI52_RS01515
OG0000129	DR099_RS01485	EHI52_RS01520
OG0000130	DR099_RS01475	EHI52_RS01530
OG0000131	DR099_RS04410	EHI52_RS01560
OG0000132	DR099_RS04405	EHI52_RS01575
OG0000133	DR099_RS02700	EHI52_RS00545
OG0000134	DR099_RS02705	EHI52_RS00550
OG0000135	DR099_RS02720	EHI52_RS00565
OG0000136	DR099_RS02725	EHI52_RS00570
OG0000137	DR099_RS02765	EHI52_RS00600
OG0000138	DR099_RS01715	EHI52_RS00635
OG0000139	DR099_RS01685	EHI52_RS00665
OG0000140	DR099_RS01680	EHI52_RS00670
OG0000141	DR099_RS01035	EHI52_RS02925
OG0000142	DR099_RS04350	EHI52_RS02920
OG0000143	DR099_RS01060	EHI52_RS02895
OG0000144	DR099_RS01070	EHI52_RS02885
OG0000145	DR099_RS01080	EHI52_RS02875
OG0000146	DR099_RS01090	EHI52_RS02865
OG0000147	DR099_RS01095	EHI52_RS02860
OG0000148	DR099_RS01110	EHI52_RS02845
OG0000149	DR099_RS01120	EHI52_RS02835
OG0000150	DR099_RS01135	EHI52_RS02820
OG0000151	DR099_RS00010	EHI52_RS02775
OG0000152	DR099_RS00015	EHI52_RS02770
OG0000153	DR099_RS00020	EHI52_RS02765
OG0000154	DR099_RS00030	EHI52_RS02755
OG0000155	DR099_RS00070	EHI52_RS02715
OG0000156	DR099_RS00080	EHI52_RS02705
OG0000157	DR099_RS04275	EHI52_RS02700
OG0000158	DR099_RS04280	EHI52_RS03885
OG0000159	DR099_RS02635	EHI52_RS03925
OG0000160	DR099_RS02640	EHI52_RS02460
OG0000161	DR099_RS02645	EHI52_RS02455
OG0000162	DR099_RS02655	EHI52_RS02445
OG0000163	DR099_RS02660	EHI52_RS02440
OG0000164	DR099_RS01350	EHI52_RS01665
OG0000165	DR099_RS00435	EHI52_RS01995
OG0000166	DR099_RS01185	EHI52_RS01975
OG0000167	DR099_RS01195	EHI52_RS01960
OG0000168	DR099_RS01200	EHI52_RS01955
OG0000169	DR099_RS03360	EHI52_RS03055
OG0000170	DR099_RS02110	EHI52_RS03075
OG0000171	DR099_RS02100	EHI52_RS03085
OG0000172	DR099_RS02095	EHI52_RS03095
OG0000173	DR099_RS02090	EHI52_RS03100
OG0000174	DR099_RS02085	EHI52_RS03105
OG0000175	DR099_RS02070	EHI52_RS03120
OG0000176	DR099_RS02020	EHI52_RS03170
OG0000177	DR099_RS02015	EHI52_RS03175
OG0000178	DR099_RS02010	EHI52_RS03180
OG0000179	DR099_RS02000	EHI52_RS03190
OG0000180	DR099_RS01995	EHI52_RS03195
OG0000181	DR099_RS04545	EHI52_RS03235
OG0000182	DR099_RS02895	EHI52_RS03245
OG0000183	DR099_RS02930	EHI52_RS03280
OG0000184	DR099_RS02550	EHI52_RS03325
OG0000185	DR099_RS02565	EHI52_RS03310
OG0000186	DR099_RS04400	EHI52_RS01585
OG0000187	DR099_RS01405	EHI52_RS01600
OG0000188	DR099_RS01395	EHI52_RS01610
OG0000189	DR099_RS04540	EHI52_RS02310
OG0000190	DR099_RS02780	EHI52_RS02305
OG0000191	DR099_RS02800	EHI52_RS02285
OG0000192	DR099_RS03285	EHI52_RS01280
OG0000193	DR099_RS03270	EHI52_RS01270
OG0000194	DR099_RS01660	EHI52_RS00690
OG0000195	DR099_RS01655	EHI52_RS00695
OG0000196	DR099_RS01635	EHI52_RS00715
OG0000197	DR099_RS01630	EHI52_RS00720
OG0000198	DR099_RS01615	EHI52_RS00735
OG0000199	DR099_RS01610	EHI52_RS00740
OG0000200	DR099_RS01595	EHI52_RS00755
OG0000201	DR099_RS01585	EHI52_RS00765
OG0000202	DR099_RS01530	EHI52_RS00820
OG0000203	DR099_RS01525	EHI52_RS00825
OG0000204	DR099_RS04445	EHI52_RS00830
OG0000205	DR099_RS01975	EHI52_RS00835
OG0000206	DR099_RS01955	EHI52_RS00855
OG0000207	DR099_RS01940	EHI52_RS00870
OG0000208	DR099_RS01935	EHI52_RS00875
OG0000209	DR099_RS01930	EHI52_RS00880
OG0000210	DR099_RS01885	EHI52_RS00925
OG0000211	DR099_RS01875	EHI52_RS01005
OG0000212	DR099_RS01865	EHI52_RS01015
OG0000213	DR099_RS01860	EHI52_RS01020
OG0000214	DR099_RS01855	EHI52_RS01025
OG0000215	DR099_RS01850	EHI52_RS01030
OG0000216	DR099_RS01845	EHI52_RS01035
OG0000217	DR099_RS01840	EHI52_RS01040
OG0000218	DR099_RS01830	EHI52_RS01050
OG0000219	DR099_RS01825	EHI52_RS01055
OG0000220	DR099_RS01820	EHI52_RS01060
OG0000221	DR099_RS01815	EHI52_RS01065
OG0000222	DR099_RS01810	EHI52_RS01070
OG0000223	DR099_RS01805	EHI52_RS01075
OG0000224	DR099_RS01795	EHI52_RS01085
OG0000225	DR099_RS01785	EHI52_RS01095
OG0000226	DR099_RS01780	EHI52_RS01100
OG0000227	DR099_RS01775	EHI52_RS01105
OG0000228	DR099_RS04635	EHI52_RS03905
OG0000229	DR099_RS01765	EHI52_RS01115
OG0000230	DR099_RS01760	EHI52_RS01120
OG0000231	DR099_RS01750	EHI52_RS01130
OG0000232	DR099_RS01740	EHI52_RS01140
OG0000233	DR099_RS02310	EHI52_RS01165
OG0000234	DR099_RS02345	EHI52_RS01200
OG0000235	DR099_RS02355	EHI52_RS01210
OG0000236	DR099_RS02360	EHI52_RS01215
OG0000237	DR099_RS02365	EHI52_RS01220
OG0000238	DR099_RS02375	EHI52_RS01230
OG0000239	DR099_RS03120	EHI52_RS02935
OG0000240	DR099_RS03115	EHI52_RS02940
OG0000241	DR099_RS03105	EHI52_RS02950
OG0000242	DR099_RS03100	EHI52_RS02955
OG0000243	DR099_RS03095	EHI52_RS02960
OG0000244	DR099_RS04150	EHI52_RS02970
OG0000245	DR099_RS03075	EHI52_RS02980
OG0000246	DR099_RS03135	EHI52_RS00140
OG0000247	DR099_RS00845	EHI52_RS00150
OG0000248	DR099_RS00835	EHI52_RS00160
OG0000249	DR099_RS00830	EHI52_RS00165
OG0000250	DR099_RS00815	EHI52_RS00180
OG0000251	DR099_RS00780	EHI52_RS00215
OG0000252	DR099_RS00770	EHI52_RS00225
OG0000253	DR099_RS00765	EHI52_RS00230
OG0000254	DR099_RS00755	EHI52_RS00240
OG0000255	DR099_RS00745	EHI52_RS00250
OG0000256	DR099_RS00740	EHI52_RS00255
OG0000257	DR099_RS00715	EHI52_RS00280
OG0000258	DR099_RS00705	EHI52_RS00290
OG0000259	DR099_RS00675	EHI52_RS00320
OG0000260	DR099_RS00665	EHI52_RS00330
OG0000261	DR099_RS04325	EHI52_RS00340
OG0000262	DR099_RS00640	EHI52_RS00360
OG0000263	DR099_RS00625	EHI52_RS00375
OG0000264	DR099_RS00610	EHI52_RS00390
OG0000265	DR099_RS00600	EHI52_RS00400
OG0000266	DR099_RS02955	EHI52_RS00415
OG0000267	DR099_RS02970	EHI52_RS00430
OG0000268	DR099_RS02975	EHI52_RS00435
OG0000269	DR099_RS02990	EHI52_RS00450
OG0000270	DR099_RS04575	EHI52_RS03490
OG0000271	DR099_RS03245	EHI52_RS03485
OG0000272	DR099_RS03250	EHI52_RS03480
OG0000273	DR099_RS03255	EHI52_RS03475
OG0000274	DR099_RS02295	EHI52_RS03455
OG0000275	DR099_RS04485	EHI52_RS03450
OG0000276	DR099_RS02285	EHI52_RS03445
OG0000277	DR099_RS02275	EHI52_RS03435
OG0000278	DR099_RS02270	EHI52_RS03430
OG0000279	DR099_RS02260	EHI52_RS03420
OG0000280	DR099_RS02255	EHI52_RS03415
OG0000281	DR099_RS02250	EHI52_RS03410
OG0000282	DR099_RS04475	EHI52_RS03385
OG0000283	DR099_RS02220	EHI52_RS03380
OG0000284	DR099_RS02215	EHI52_RS03375
OG0000285	DR099_RS04470	EHI52_RS03370
OG0000286	DR099_RS02675	EHI52_RS02425
OG0000287	DR099_RS00270	EHI52_RS02515
OG0000288	DR099_RS00260	EHI52_RS02525
OG0000289	DR099_RS00255	EHI52_RS02530
OG0000290	DR099_RS00145	EHI52_RS02640
OG0000291	DR099_RS00155	EHI52_RS02630
OG0000292	DR099_RS00160	EHI52_RS02625
OG0000293	DR099_RS00165	EHI52_RS02620
OG0000294	DR099_RS00175	EHI52_RS02610
OG0000295	DR099_RS00180	EHI52_RS02605
OG0000296	DR099_RS00220	EHI52_RS02565
OG0000297	DR099_RS00225	EHI52_RS02560
OG0000298	DR099_RS00820	EHI52_RS00175
OG0000299	DR099_RS00795	EHI52_RS00200
OG0000300	DR099_RS00615	EHI52_RS00385
OG0000301	DR099_RS02960	EHI52_RS00420
OG0000302	DR099_RS02965	EHI52_RS00425
OG0000303	DR099_RS02730	EHI52_RS00575
OG0000304	DR099_RS01735	EHI52_RS01145
OG0000305	DR099_RS01085	EHI52_RS02870
OG0000306	DR099_RS01160	EHI52_RS02795
OG0000307	DR099_RS00025	EHI52_RS02760
OG0000308	DR099_RS00125	EHI52_RS02660
OG0000309	DR099_RS00190	EHI52_RS02595
OG0000310	DR099_RS00265	EHI52_RS02520
OG0000311	DR099_RS02615	EHI52_RS02485
OG0000312	DR099_RS02630	EHI52_RS02470
OG0000313	DR099_RS01360	EHI52_RS01655
OG0000314	DR099_RS00455	EHI52_RS01980
OG0000315	DR099_RS01205	EHI52_RS01950
OG0000316	DR099_RS01215	EHI52_RS01940
OG0000317	DR099_RS01305	EHI52_RS01850
OG0000318	DR099_RS04365	EHI52_RS01935
OG0000319	DR099_RS02845	EHI52_RS02240
OG0000320	DR099_RS02180	EHI52_RS02370
OG0000321	DR099_RS00940	EHI52_RS01395
OG0000322	DR099_RS00985	EHI52_RS01440
OG0000323	DR099_RS01435	EHI52_RS01570
OG0000324	DR099_RS02805	EHI52_RS02280
OG0000325	DR099_RS01650	EHI52_RS00700
OG0000326	DR099_RS01555	EHI52_RS00795
OG0000327	DR099_RS01550	EHI52_RS00800
