Orthogroup	MHP_MHP696_proteins	MHP_J_proteins
OG0000000	WP_220200970.1	WP_237697250.1
OG0000000	WP_308507072.1	WP_202793361.1
OG0000000	WP_308507069.1	WP_011284151.1
OG0000000	WP_160617502.1	WP_044284630.1
OG0000000	WP_308507068.1	WP_323749056.1
OG0000001	WP_258555241.1	WP_228365393.1
OG0000001	WP_228366104.1	WP_237697212.1
OG0000001	WP_258555237.1	WP_011206342.1
OG0000002	WP_258555377.1	WP_237697200.1
OG0000002	WP_160615875.1	WP_160585767.1
OG0000002	WP_160588356.1	WP_011284152.1
OG0000002	WP_160588193.1	WP_011284083.1
OG0000003	WP_135618795.1	WP_044284634.1
OG0000003	WP_240536309.1	WP_237697197.1
OG0000003	WP_308507067.1	WP_237697199.1
OG0000003	WP_052293597.1	WP_148166899.1
OG0000004	WP_020835887.1	WP_014579984.1
OG0000004	WP_220200968.1	WP_237697215.1
OG0000005	WP_160588124.1	WP_011283839.1
OG0000005	WP_160588374.1	WP_011283840.1
OG0000005	WP_160588334.1	WP_011283841.1
OG0000006	WP_225972988.1	WP_044284675.1
OG0000006	WP_258555362.1	WP_148166905.1
OG0000007	WP_011284157.1	WP_011284157.1
OG0000007	WP_002557993.1	WP_002557993.1
OG0000007	WP_160588331.1	WP_044284652.1
OG0000008	WP_258555379.1	WP_237697238.1
OG0000008	WP_308507071.1	WP_237697210.1
OG0000009	WP_011290021.1	WP_011283921.1
OG0000010	WP_160587884.1	WP_011284107.1
OG0000010	WP_160588372.1, WP_160588382.1	WP_228365400.1
OG0000011	WP_160587900.1	WP_011284124.1
OG0000011	WP_160587898.1	WP_044284646.1
OG0000012	WP_160617493.1	WP_011284291.1
OG0000012	WP_179221115.1	WP_011284262.1
OG0000013	WP_258555342.1	WP_237697206.1
OG0000013	WP_308507056.1	WP_011283853.1
OG0000014	WP_160587971.1	WP_011283980.1
OG0000014	WP_160587966.1	WP_011283913.1
OG0000015	WP_225973030.1	WP_014579770.1
OG0000016	WP_160587852.1	WP_011206378.1
OG0000016	WP_160588042.1	WP_011283850.1
OG0000017	WP_020835500.1	WP_011205870.1
OG0000017	WP_020835837.1	WP_011206380.1
OG0000018	WP_160588235.1	WP_044284613.1
OG0000020	WP_160588169.1	WP_011284385.1
OG0000020	WP_220191087.1	WP_269076327.1
OG0000021	WP_044284635.1	WP_044284635.1
OG0000021	WP_044284635.1	WP_014579585.1, WP_044277959.1
OG0000022	WP_160588207.1	WP_011284073.1
OG0000022	WP_160588197.1	WP_011284082.1
OG0000023	WP_160588233.1	WP_044284612.1
OG0000024	WP_160585259.1	WP_011284254.1
OG0000024	WP_160588003.1	WP_011284011.1
OG0000025	WP_160588205.1	WP_011284074.1
OG0000025	WP_160588199.1	WP_011284081.1
OG0000026	WP_192894288.1	WP_044284614.1
OG0000026	WP_160588201.1	WP_011284078.1
OG0000027	WP_020835902.1	WP_011284352.1
OG0000027	WP_160588189.1	WP_044284725.1
OG0000029	WP_160588071.1	WP_011283979.1
OG0000029	WP_160587963.1	WP_011283914.1
OG0000030	WP_160588148.1	WP_237697218.1
OG0000030	WP_020835904.1	WP_044284724.1
OG0000031	WP_011290137.1	WP_011284063.1
OG0000032	WP_308507060.1	WP_237697219.1
OG0000033	WP_160617510.1	WP_237697207.1, WP_011284201.1
OG0000035	WP_160588344.1	WP_044284711.1
OG0000035	WP_160588066.1	WP_044284709.1
OG0000036	WP_020835495.1	WP_237697225.1
OG0000038	WP_160617486.1	WP_044284582.1, WP_044284633.1
OG0000039	WP_160588346.1	WP_011284065.1
OG0000040	WP_160588136.1	WP_044284720.1
OG0000041	WP_258555272.1	WP_011206099.1, WP_237697231.1
OG0000042	WP_308507064.1	WP_044284695.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000044	WP_225973034.1	WP_225973034.1
OG0000044	WP_011206179.1	WP_011206179.1
OG0000045	WP_225973032.1	WP_225973032.1
OG0000048	WP_011284150.1	WP_011284150.1
OG0000049	WP_020835860.1	WP_011284308.1, WP_044284698.1
OG0000050	WP_160588301.1	WP_044284672.1
OG0000051	WP_160587825.1	WP_011284239.1
OG0000052	WP_146379447.1	WP_011283836.1
OG0000053	WP_160588221.1	WP_044284619.1
OG0000054	WP_160588303.1	WP_044284674.1
OG0000055	WP_146379455.1	WP_014579531.1
OG0000056	WP_160588161.1	WP_148166910.1
OG0000057	WP_160587863.1	WP_011284288.1
OG0000061	WP_160587888.1	WP_044284624.1, WP_011284109.1
OG0000062	WP_160588098.1	WP_011284389.1
OG0000063	WP_146379768.1	WP_044284735.1
OG0000064	WP_160588095.1	WP_011284386.1
OG0000065	WP_011290219.1	WP_011284168.1
OG0000066	WP_160588243.1	WP_011205965.1
OG0000067	WP_160617519.1	WP_044284585.1
OG0000068	WP_160587949.1	WP_011206103.1
OG0000069	WP_011284269.1	WP_011284269.1
OG0000070	WP_146379657.1	WP_011206292.1
OG0000071	WP_160585219.1	WP_044284718.1
OG0000072	WP_160588134.1	WP_237697216.1
OG0000073	WP_011206093.1	WP_044284589.1
OG0000074	WP_044284596.1	WP_044284596.1
OG0000075	WP_014579568.1	WP_014579568.1
OG0000076	WP_160584756.1	WP_011283884.1
OG0000077	WP_160588013.1	WP_011283898.1
OG0000078	WP_160588203.1	WP_044284629.1
OG0000079	WP_011206305.1	WP_011284224.1
OG0000080	WP_179695988.1	WP_179695988.1
OG0000081	WP_160588023.1	WP_044284576.1
OG0000082	WP_258555885.1	WP_167513697.1
OG0000083	WP_160587917.1	WP_011206216.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_011206223.1	WP_011284143.1
OG0000086	WP_160587925.1	WP_011284144.1
OG0000087	WP_160587927.1	WP_011206228.1
OG0000088	WP_044272480.1	WP_044272480.1
OG0000089	WP_011206231.1	WP_011206231.1
OG0000090	WP_160588122.1	WP_011283835.1
OG0000091	WP_160588118.1	WP_044284565.1
OG0000092	WP_011205847.1	WP_011283830.1
OG0000093	WP_160588114.1	WP_020835484.1
OG0000094	WP_014579519.1	WP_014579519.1
OG0000095	WP_044272251.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_011206529.1
