Orthogroup	MHP_MHP699_protein	MHP_TB1_protein
OG0000000	WP_160585205.1	WP_014579826.1
OG0000000	WP_160585017.1	WP_088764586.1
OG0000001	WP_220190744.1	WP_252862215.1
OG0000002	WP_280996468.1	WP_252862122.1
OG0000002	WP_280996675.1	WP_252862184.1
OG0000003	WP_160585044.1, WP_258555731.1, WP_094521686.1	WP_088764599.1
OG0000004	WP_280996809.1	WP_252862214.1
OG0000005	WP_308506999.1	WP_088764626.1
OG0000006	WP_160584786.1	WP_252862202.1
OG0000006	WP_160585335.1	WP_088764623.1
OG0000008	WP_160585323.1	WP_252862151.1
OG0000009	WP_160585151.1	WP_252862179.1
OG0000009	WP_160585085.1	WP_252862176.1, WP_189220795.1
OG0000010	WP_160585261.1	WP_014579924.1
OG0000010	WP_280996374.1	WP_228365417.1
OG0000012	WP_160584959.1	WP_252862197.1
OG0000013	WP_280996645.1	WP_014579886.1
OG0000013	WP_280996647.1	WP_044278023.1
OG0000014	WP_280996770.1	WP_014579925.1
OG0000015	WP_308506997.1	WP_088764614.1
OG0000016	WP_160585083.1	WP_252862174.1, WP_252862173.1
OG0000017	WP_160585325.1	WP_014579983.1
OG0000018	WP_160585225.1	WP_014579952.1
OG0000019	WP_160584836.1, WP_160584830.1	WP_228365401.1
OG0000021	WP_280996561.1	WP_252862195.1, WP_088764608.1
OG0000022	WP_280996671.1	WP_228365386.1
OG0000022	WP_280996673.1	WP_228365387.1
OG0000023	WP_160585223.1	WP_088764609.1
OG0000024	WP_160584690.1	WP_252862193.1
OG0000024	WP_160584797.1	WP_016340194.1
OG0000025	WP_160585319.1	WP_014579772.1
OG0000026	WP_160585157.1	WP_014579879.1
OG0000028	WP_044284635.1	WP_088764585.1
OG0000029	WP_258555867.1	WP_187286318.1
OG0000030	WP_160584994.1	WP_014579910.1
OG0000031	WP_160584826.1	WP_014579531.1
OG0000034	WP_011206291.1	WP_014579883.1
OG0000035	WP_160585058.1	WP_014579762.1
OG0000036	WP_160585159.1	WP_014579882.1
OG0000037	WP_135618751.1	WP_011206365.1, WP_052293599.1
OG0000038	WP_280996373.1	WP_228365413.1
OG0000039	WP_011206214.1	WP_014579821.1
OG0000040	WP_011206223.1	WP_014579844.1
OG0000041	WP_220190650.1	WP_187286313.1
OG0000042	WP_160585306.1	WP_014580030.1
OG0000043	WP_160584888.1	WP_014580027.1
OG0000044	WP_160585042.1	WP_014579753.1
OG0000045	WP_011290219.1	WP_252862189.1
OG0000046	WP_011206103.1	WP_011206103.1
