Orthogroup	MHP_MHP699_protein	MHP_ES2_protein
OG0000000	WP_160585205.1	WP_014579826.1
OG0000000	WP_160585017.1	WP_135618836.1
OG0000001	WP_220190744.1	WP_135618807.1
OG0000001	WP_160584822.1	WP_135618606.1
OG0000002	WP_280996468.1	WP_240536360.1
OG0000002	WP_280996675.1	WP_240536333.1
OG0000003	WP_258555731.1	WP_318026010.1
OG0000003	WP_094521686.1	WP_094521686.1
OG0000004	WP_280996809.1	WP_240536338.1
OG0000005	WP_308506991.1	WP_334199108.1
OG0000005	WP_308506999.1	WP_135618898.1
OG0000006	WP_160584786.1	WP_135618557.1
OG0000006	WP_160585335.1	WP_135618629.1
OG0000007	WP_160585134.1	WP_135618868.1
OG0000008	WP_160585323.1	WP_135619092.1
OG0000008	WP_160585331.1	WP_135619088.1
OG0000008	WP_160585337.1	WP_135619084.1
OG0000009	WP_160585151.1	WP_135618932.1
OG0000009	WP_160585085.1	WP_135618930.1
OG0000010	WP_160585261.1	WP_240536341.1
OG0000010	WP_280996374.1	WP_237697234.1
OG0000011	WP_160585341.1	WP_135619053.1
OG0000012	WP_160584959.1	WP_135618902.1
OG0000013	WP_258555696.1	WP_135618942.1
OG0000014	WP_280996770.1	WP_240536342.1
OG0000015	WP_280996797.1	WP_020835661.1
OG0000016	WP_160585083.1	WP_240536334.1
OG0000017	WP_160585325.1	WP_135619090.1
OG0000018	WP_160585225.1	WP_135619032.1
OG0000019	WP_160584836.1	WP_135618454.1
OG0000019	WP_160584830.1	WP_135618458.1
OG0000020	WP_160584990.1	WP_135619051.1
OG0000021	WP_280996561.1	WP_240536319.1, WP_240536318.1, WP_240536320.1, WP_135618756.1
OG0000022	WP_280996673.1	WP_240536332.1
OG0000023	WP_160585223.1	WP_135619110.1
OG0000024	WP_160584690.1	WP_011206100.1, WP_135618648.1
OG0000024	WP_160584797.1	WP_135618567.1
OG0000025	WP_160585319.1	WP_135618740.1
OG0000026	WP_160585157.1	WP_135618938.1
OG0000028	WP_044284635.1	WP_135618797.1
OG0000029	WP_258555867.1	WP_135618739.1
OG0000030	WP_160584994.1	WP_135618969.1
OG0000031	WP_160584826.1	WP_135618462.1
OG0000032	WP_160585280.1	WP_135618793.1
OG0000034	WP_011206291.1	WP_135618940.1
OG0000035	WP_160585058.1	WP_135618771.1
OG0000036	WP_160585159.1	WP_014579882.1
OG0000037	WP_135618751.1	WP_135618751.1
OG0000038	WP_280996373.1	WP_240536366.1
OG0000039	WP_011206214.1	WP_240536308.1
OG0000040	WP_011206223.1	WP_011206223.1
OG0000042	WP_160585306.1	WP_135619164.1
OG0000043	WP_160584888.1	WP_135619158.1
OG0000044	WP_160585042.1	WP_135618787.1
OG0000045	WP_011290219.1	WP_011290219.1
OG0000046	WP_011206103.1	WP_011206103.1
OG0000047	WP_225972996.1	WP_225972996.1
OG0000048	WP_011206374.1	WP_135619004.1
OG0000049	WP_011284269.1	WP_135619002.1
OG0000050	WP_160585161.1	WP_011206292.1
OG0000051	WP_160585163.1	WP_135619210.1
OG0000052	WP_160585155.1	WP_135618936.1
OG0000053	WP_160584919.1	WP_002557698.1
OG0000054	WP_020835862.1	WP_011206420.1
OG0000055	WP_160584931.1	WP_135619064.1
OG0000056	WP_160585219.1	WP_135619103.1
OG0000057	WP_011290028.1	WP_011206089.1
OG0000058	WP_135618593.1	WP_135618593.1
OG0000059	WP_044284596.1	WP_044284596.1
OG0000060	WP_020835589.1	WP_011206046.1
OG0000061	WP_220190746.1, WP_011206035.1	WP_011206035.1
OG0000062	WP_146379532.1	WP_135618633.1
OG0000063	WP_052259122.1	WP_052259122.1
OG0000064	WP_160584778.1	WP_135618470.1
OG0000065	WP_014579568.1	WP_135618517.1
OG0000066	WP_146379479.1	WP_135618533.1
OG0000067	WP_011206493.1	WP_135619144.1
OG0000068	WP_160584913.1	WP_240536355.1
OG0000069	WP_020835790.1	WP_135618944.1
OG0000070	WP_011206305.1	WP_135618951.1
OG0000071	WP_044272563.1	WP_135618998.1
OG0000072	WP_160585257.1	WP_135619124.1
OG0000073	WP_280996592.1	WP_179695988.1
OG0000074	WP_280996564.1	WP_240536348.1
OG0000075	WP_160584710.1	WP_135618668.1
OG0000076	WP_308506986.1	WP_240536363.1
OG0000077	WP_160584758.1	WP_135618515.1
OG0000078	WP_308506987.1	WP_240536354.1
OG0000079	WP_220190710.1	WP_220200502.1
OG0000080	WP_160585165.1	WP_135618852.1
OG0000081	WP_011206216.1	WP_011206216.1
OG0000082	WP_160585132.1	WP_135618854.1
OG0000083	WP_011284141.1	WP_135618856.1
OG0000084	WP_011284142.1	WP_011206222.1
OG0000085	WP_011206224.1	WP_135618858.1
OG0000086	WP_160585130.1	WP_135618860.1
OG0000087	WP_220190703.1	WP_220190703.1
OG0000088	WP_044272477.1	WP_044272477.1
OG0000089	WP_044272480.1	WP_044272480.1
OG0000090	WP_011206231.1	WP_011206231.1
OG0000091	WP_160584845.1	WP_135618448.1
OG0000092	WP_011283835.1	WP_044278048.1
OG0000093	WP_160584847.1	WP_135618446.1
OG0000094	WP_160584849.1	WP_011205850.1
OG0000095	WP_160584852.1	WP_011205849.1
OG0000096	WP_160584854.1	WP_011205848.1
OG0000097	WP_011205847.1	WP_011205847.1
OG0000098	WP_160584856.1	WP_011205846.1
OG0000099	WP_014579519.1	WP_014579519.1
OG0000100	WP_160584858.1	WP_135618442.1
OG0000101	WP_160584860.1	WP_135618439.1
OG0000102	WP_044272251.1	WP_044272251.1
OG0000103	WP_011206529.1	WP_011206529.1
OG0000104	WP_160584865.1	WP_135619174.1
OG0000105	WP_258555934.1	WP_135619172.1
OG0000106	WP_160584866.1	WP_014580047.1
OG0000107	WP_160584867.1	WP_135619170.1
OG0000108	WP_094521530.1	WP_011206522.1
OG0000109	WP_160584870.1	WP_135619169.1
OG0000110	WP_160584872.1	WP_135619167.1
OG0000111	WP_011206510.1	WP_011206510.1
OG0000112	WP_160585050.1	WP_135619192.1
OG0000113	WP_160585048.1	WP_135618779.1
OG0000114	WP_160585046.1	WP_135618781.1
OG0000115	WP_160585202.1	WP_135618876.1
OG0000116	WP_011206239.1	WP_011206239.1
OG0000117	WP_146379628.1	WP_135618878.1
OG0000118	WP_146379630.1	WP_135618882.1
OG0000119	WP_014579831.1	WP_011206243.1
OG0000120	WP_160585203.1	WP_135618884.1
OG0000121	WP_011284169.1	WP_011284169.1
OG0000122	WP_308506995.1	WP_011206247.1
OG0000123	WP_146379648.1	WP_135618926.1
OG0000124	WP_280996668.1	WP_240536331.1
OG0000125	WP_160585080.1	WP_011206273.1
OG0000126	WP_280996666.1	WP_240536330.1
OG0000127	WP_041361661.1	WP_135618921.1
OG0000128	WP_160585296.1	WP_011206268.1
OG0000129	WP_243216202.1	WP_225972979.1
OG0000130	WP_160585302.1	WP_011206264.1
OG0000131	WP_160584712.1	WP_135618672.1
OG0000132	WP_135618674.1	WP_135618674.1
OG0000133	WP_160584714.1	WP_135618676.1
OG0000134	WP_160584718.1	WP_135618678.1
OG0000135	WP_160584720.1	WP_135618680.1
OG0000136	WP_011290108.1	WP_228729171.1
OG0000137	WP_135618686.1	WP_135618686.1
OG0000138	WP_020835639.1	WP_011205966.1
OG0000139	WP_011205965.1	WP_011205965.1
OG0000140	WP_011284027.1	WP_011284027.1
OG0000141	WP_020835640.1	WP_044284614.1
OG0000142	WP_011284032.1	WP_011284032.1
OG0000143	WP_020835643.1	WP_135618690.1
OG0000144	WP_020835645.1	WP_020835645.1
OG0000145	WP_011205954.1	WP_011205954.1
OG0000146	WP_011290118.1	WP_011290118.1
OG0000147	WP_011205952.1	WP_011205952.1
OG0000148	WP_160585089.1	WP_011205950.1
OG0000149	WP_160585091.1	WP_135618699.1
OG0000150	WP_011290122.1	WP_135618701.1
OG0000151	WP_160585093.1	WP_135618705.1
OG0000152	WP_160585095.1	WP_135618707.1
OG0000153	WP_014579732.1	WP_020835651.1
OG0000154	WP_160585097.1	WP_135618709.1
OG0000155	WP_011284046.1	WP_011284046.1
OG0000156	WP_160585099.1	WP_135618710.1
OG0000157	WP_014579735.1	WP_014579735.1
OG0000158	WP_094521636.1	WP_135618714.1
OG0000159	WP_041361727.1	WP_014579586.1
OG0000160	WP_160585150.1	WP_135618544.1
OG0000161	WP_014579589.1	WP_014579589.1
OG0000162	WP_228365407.1	WP_233688635.1
OG0000163	WP_011290004.1	WP_011206121.1
OG0000164	WP_160585148.1	WP_011206120.1
OG0000165	WP_011206119.1	WP_135618546.1
OG0000166	WP_160585144.1	WP_135618548.1
OG0000167	WP_160585142.1	WP_135618550.1
OG0000168	WP_011206113.1	WP_011206113.1
OG0000169	WP_160584791.1	WP_135618561.1
OG0000170	WP_160584793.1	WP_135618563.1
OG0000171	WP_011290017.1	WP_011206102.1
OG0000172	WP_160584795.1	WP_011206101.1
OG0000173	WP_160584965.1	WP_011284290.1
OG0000174	WP_011284289.1	WP_135619030.1
OG0000175	WP_020835845.1	WP_135619028.1
OG0000176	WP_011206391.1	WP_135619026.1
OG0000177	WP_160584967.1	WP_135619024.1
OG0000178	WP_160584969.1	WP_135619022.1
OG0000179	WP_020835843.1	WP_240536347.1
OG0000180	WP_011206385.1	WP_011206385.1
OG0000181	WP_011206384.1	WP_135619018.1
OG0000182	WP_160584971.1	WP_135619016.1
OG0000183	WP_135619012.1	WP_135619012.1
OG0000184	WP_011290331.1	WP_011290331.1
OG0000185	WP_160584976.1	WP_135619010.1
OG0000186	WP_135619008.1	WP_135619008.1
OG0000187	WP_160584978.1	WP_135619006.1
OG0000188	WP_160584982.1	WP_135619000.1
OG0000189	WP_135618994.1	WP_135618994.1
OG0000190	WP_280996773.1	WP_020835827.1
OG0000191	WP_160585267.1	WP_135618992.1
OG0000192	WP_160585263.1	WP_094521730.1
OG0000193	WP_160585121.1	WP_135618986.1
OG0000194	WP_160585119.1	WP_135618984.1
OG0000195	WP_146379681.1	WP_135618982.1
OG0000196	WP_011206335.1	WP_011206335.1
OG0000197	WP_020835818.1	WP_014579918.1
OG0000198	WP_160585117.1	WP_135618980.1
OG0000199	WP_011206289.1	WP_011206289.1
OG0000200	WP_179221158.1	WP_011284209.1
OG0000201	WP_011206287.1	WP_011206287.1
OG0000202	WP_160585290.1	WP_135618730.1
OG0000203	WP_011284063.1	WP_011284063.1
OG0000204	WP_135618732.1	WP_135618732.1
OG0000205	WP_160585024.1	WP_014579804.1
OG0000206	WP_160585022.1	WP_011206196.1
OG0000207	WP_146379611.1	WP_011290187.1
OG0000208	WP_146379610.1	WP_135618828.1
OG0000209	WP_011206200.1	WP_011206200.1
OG0000210	WP_160585013.1	WP_135618840.1
OG0000211	WP_160585175.1	WP_135618843.1
OG0000212	WP_011206207.1	WP_135618846.1
OG0000213	WP_160585173.1	WP_135618848.1
OG0000214	WP_044272610.1	WP_135619057.1
OG0000215	WP_160584923.1	WP_011206422.1
OG0000216	WP_160584925.1	WP_011206424.1
OG0000217	WP_011290368.1	WP_135619059.1
OG0000218	WP_160584927.1	WP_011290369.1
OG0000219	WP_160584933.1	WP_135619066.1
OG0000220	WP_135619070.1	WP_135619070.1
OG0000221	WP_020835872.1	WP_135619073.1
OG0000222	WP_160585271.1	WP_135619075.1
OG0000223	WP_160585273.1	WP_135619077.1
OG0000224	WP_160585275.1	WP_011206441.1
OG0000225	WP_160585277.1	WP_135619079.1
OG0000226	WP_020835880.1	WP_011206444.1
OG0000227	WP_081642895.1	WP_011206445.1
OG0000228	WP_160585278.1	WP_135619081.1
OG0000229	WP_020835888.1	WP_135619094.1
OG0000230	WP_160585211.1	WP_011206453.1
OG0000231	WP_160585215.1	WP_135619227.1
OG0000232	WP_160585217.1	WP_135619098.1
OG0000233	WP_011206457.1	WP_011206457.1
OG0000234	WP_011206458.1	WP_011206458.1
OG0000235	WP_011206459.1	WP_135619099.1
