Orthogroup	MHP_MHP699_protein	MFC_MF18_protein
OG0000000	WP_160585205.1	WP_160583943.1
OG0000000	WP_160585017.1	WP_308507119.1, WP_220190416.1
OG0000001	WP_240536590.1, WP_160584822.1, WP_308506998.1	WP_160584042.1
OG0000002	WP_280996468.1	WP_160583612.1, WP_258556248.1
OG0000002	WP_280996675.1	WP_160593399.1
OG0000006	WP_160584786.1, WP_160585335.1	WP_220190396.1
OG0000009	WP_160585151.1, WP_160585085.1	WP_160593401.1
OG0000010	WP_160585261.1, WP_280996374.1	WP_220190178.1
OG0000011	WP_280996812.1, WP_280996811.1, WP_160585347.1, WP_160585341.1	WP_160593443.1
OG0000014	WP_280996770.1	WP_160580916.1
OG0000016	WP_160585083.1	WP_160593403.1
OG0000018	WP_160585225.1	WP_160593363.1, WP_160583661.1
OG0000021	WP_280996561.1	WP_160593376.1
OG0000022	WP_280996671.1, WP_280996673.1	WP_220190398.1
OG0000023	WP_160585223.1	WP_258556256.1, WP_160593380.1
OG0000025	WP_160585319.1	WP_255454456.1, WP_255454455.1
OG0000026	WP_160585157.1	WP_160593409.1
OG0000029	WP_258555867.1	WP_160593365.1
OG0000030	WP_160584994.1	WP_160583877.1
OG0000031	WP_160584826.1	WP_323749063.1
OG0000034	WP_011206291.1	WP_160593405.1
OG0000035	WP_160585058.1	WP_160593384.1
OG0000036	WP_160585159.1	WP_160580991.1
OG0000039	WP_011206214.1	WP_160593542.1
OG0000040	WP_011206223.1	WP_308507123.1, WP_002557452.1
OG0000041	WP_220190650.1	WP_220190184.1
OG0000042	WP_160585306.1	WP_160593495.1
OG0000043	WP_160584888.1	WP_002557496.1
OG0000044	WP_160585042.1	WP_160583787.1
OG0000045	WP_011290219.1	WP_160583941.1
OG0000046	WP_011206103.1	WP_002557593.1
OG0000047	WP_225972996.1	WP_160583671.1
OG0000048	WP_011206374.1	WP_002557625.1
OG0000049	WP_011284269.1	WP_002557626.1
OG0000050	WP_160585161.1	WP_002557663.1
OG0000051	WP_160585163.1	WP_160581406.1
OG0000052	WP_160585155.1	WP_160584006.1
OG0000053	WP_160584919.1	WP_002557698.1
OG0000054	WP_020835862.1	WP_002557704.1
OG0000055	WP_160584931.1	WP_002557712.1
OG0000056	WP_160585219.1	WP_160581282.1
OG0000057	WP_011290028.1	WP_002557776.1
OG0000058	WP_135618593.1	WP_160583922.1
OG0000059	WP_044284596.1	WP_308507108.1
OG0000060	WP_020835589.1	WP_002557818.1
OG0000061	WP_220190746.1, WP_011206035.1	WP_002557829.1
OG0000062	WP_146379532.1	WP_160583873.1
OG0000063	WP_052259122.1	WP_160583743.1
OG0000064	WP_160584778.1	WP_160583741.1
OG0000065	WP_014579568.1	WP_160581028.1
OG0000066	WP_146379479.1	WP_160593554.1, WP_160583701.1
OG0000067	WP_011206493.1	WP_160583802.1
OG0000068	WP_160584913.1	WP_160583812.1
OG0000069	WP_020835790.1	WP_002557977.1
OG0000070	WP_011206305.1	WP_160580968.1
OG0000071	WP_044272563.1	WP_160583660.1
OG0000072	WP_160585257.1	WP_160583820.1
OG0000073	WP_280996592.1	WP_196792423.1
OG0000074	WP_280996564.1	WP_255454457.1
OG0000075	WP_160584710.1	WP_258556250.1
OG0000076	WP_308506986.1	WP_308507113.1
OG0000077	WP_160584758.1	WP_308507105.1
OG0000078	WP_308506987.1	WP_220190186.1
OG0000079	WP_220190710.1	WP_052234586.1
OG0000080	WP_160585165.1	WP_160581474.1
OG0000081	WP_011206216.1	WP_160593548.1
OG0000082	WP_160585132.1	WP_160584029.1
OG0000083	WP_011284141.1	WP_002557450.1
OG0000084	WP_011284142.1	WP_002557451.1
OG0000085	WP_011206224.1	WP_002557453.1
OG0000086	WP_160585130.1	WP_160593520.1
OG0000087	WP_220190703.1	WP_160584023.1
OG0000088	WP_044272477.1	WP_236681783.1
OG0000089	WP_044272480.1	WP_160581443.1
OG0000090	WP_011206231.1	WP_002557461.1
OG0000091	WP_160584845.1	WP_002557464.1
OG0000092	WP_011283835.1	WP_002557465.1
OG0000093	WP_160584847.1	WP_160583751.1
OG0000094	WP_160584849.1	WP_160593341.1
OG0000095	WP_160584852.1	WP_002557469.1
OG0000096	WP_160584854.1	WP_160583753.1
OG0000097	WP_011205847.1	WP_002557471.1
OG0000098	WP_160584856.1	WP_002557472.1
OG0000099	WP_014579519.1	WP_160583755.1
OG0000100	WP_160584858.1	WP_160593339.1
OG0000101	WP_160584860.1	WP_160583760.1
OG0000102	WP_044272251.1	WP_002557479.1
OG0000103	WP_011206529.1	WP_002557480.1
OG0000104	WP_160584865.1	WP_160583762.1
OG0000105	WP_258555934.1	WP_160583764.1
OG0000106	WP_160584866.1	WP_160583766.1
OG0000107	WP_160584867.1	WP_002557485.1
OG0000108	WP_094521530.1	WP_002557486.1
OG0000109	WP_160584870.1	WP_160593336.1
OG0000110	WP_160584872.1	WP_160583769.1
OG0000111	WP_011206510.1	WP_002557497.1
OG0000112	WP_160585050.1	WP_160593490.1
OG0000113	WP_160585048.1	WP_160583781.1
OG0000114	WP_160585046.1	WP_160583783.1
OG0000115	WP_160585202.1	WP_160583935.1
OG0000116	WP_011206239.1	WP_002557510.1
OG0000117	WP_146379628.1	WP_002557511.1
OG0000118	WP_146379630.1	WP_002557514.1
OG0000119	WP_014579831.1	WP_160583937.1
OG0000120	WP_160585203.1	WP_160583939.1
OG0000121	WP_011284169.1	WP_002557518.1
OG0000122	WP_308506995.1	WP_002557519.1
OG0000123	WP_146379648.1	WP_160581160.1
OG0000124	WP_280996668.1	WP_220190224.1
OG0000125	WP_160585080.1	WP_160583947.1
OG0000126	WP_280996666.1	WP_160583949.1
OG0000127	WP_041361661.1	WP_160583951.1
OG0000128	WP_160585296.1	WP_160593462.1
OG0000129	WP_243216202.1	WP_002557530.1
OG0000130	WP_160585302.1	WP_160583957.1
OG0000131	WP_160584712.1	WP_160583959.1
OG0000132	WP_135618674.1	WP_160583961.1
OG0000133	WP_160584714.1	WP_160581178.1
OG0000134	WP_160584718.1	WP_160583963.1
OG0000135	WP_160584720.1	WP_160581182.1
OG0000136	WP_011290108.1	WP_002557540.1
