Orthogroup	MFC_MF22_genes	MHP_TB1_genes
OG0000000	DR094_RS03000	B5M19_RS04470
OG0000000	DR094_RS01215	B5M19_RS02095
OG0000001	DR094_RS00325, DR094_RS00330	B5M19_RS02595, B5M19_RS04385, B5M19_RS02555, B5M19_RS02505, B5M19_RS02510
OG0000002	DR094_RS02550	B5M19_RS04625
OG0000002	DR094_RS03610	B5M19_RS02105
OG0000011	DR094_RS03520	B5M19_RS04080, B5M19_RS00770
OG0000011	DR094_RS02895	B5M19_RS00765
OG0000013	DR094_RS00075, DR094_RS00080	B5M19_RS02640
OG0000013	DR094_RS03050	B5M19_RS00100
OG0000014	DR094_RS03555	B5M19_RS03715, B5M19_RS03505
OG0000016	DR094_RS00380	B5M19_RS01425
OG0000017	DR094_RS00975	B5M19_RS00065
OG0000017	DR094_RS00390	B5M19_RS01415
OG0000018	DR094_RS03735	B5M19_RS04450, B5M19_RS04445
OG0000020	DR094_RS03600	B5M19_RS04305
OG0000020	DR094_RS03595	B5M19_RS02010
OG0000022	DR094_RS03605	B5M19_RS02090
OG0000023	DR094_RS02170	B5M19_RS01255, B5M19_RS04365
OG0000024	DR094_RS00320	B5M19_RS02500, B5M19_RS04395, B5M19_RS04390
OG0000025	DR094_RS01205	B5M19_RS02085
OG0000026	DR094_RS02215	B5M19_RS01210, B5M19_RS02065
OG0000027	DR094_RS01395	B5M19_RS00565
OG0000027	DR094_RS03650	B5M19_RS00550
OG0000028	DR094_RS00060	B5M19_RS02470, B5M19_RS02460, B5M19_RS02465, B5M19_RS04380, B5M19_RS02475
OG0000029	DR094_RS00545	B5M19_RS03200, B5M19_RS04520, B5M19_RS03510
OG0000030	DR094_RS03655	B5M19_RS00570, B5M19_RS00555
OG0000031	DR094_RS02590	B5M19_RS04360, B5M19_RS03305
OG0000032	DR094_RS01390	B5M19_RS00560
OG0000039	DR094_RS00485	B5M19_RS03320
OG0000040	DR094_RS02025, DR094_RS00270	B5M19_RS02985
OG0000042	DR094_RS00490, DR094_RS00345	B5M19_RS01320
OG0000043	DR094_RS02615	B5M19_RS02270
OG0000045	DR094_RS03140, DR094_RS03135	B5M19_RS03325
OG0000048	DR094_RS02695, DR094_RS02985	B5M19_RS03695
OG0000050	DR094_RS03765	B5M19_RS02825
OG0000051	DR094_RS01715	B5M19_RS04110
OG0000052	DR094_RS01015	B5M19_RS00005
OG0000053	DR094_RS03805	B5M19_RS01120
OG0000054	DR094_RS00030	B5M19_RS02800
OG0000055	DR094_RS03580, DR094_RS03850	B5M19_RS00045
OG0000056	DR094_RS01180	B5M19_RS00375
OG0000057	DR094_RS00465	B5M19_RS01340
OG0000062	DR094_RS01125	B5M19_RS01970
OG0000063	DR094_RS03590	B5M19_RS01975
OG0000064	DR094_RS01140	B5M19_RS01990
OG0000065	DR094_RS02075	B5M19_RS02925
OG0000066	DR094_RS02205	B5M19_RS01220
OG0000068	DR094_RS00510	B5M19_RS04480
OG0000069	DR094_RS00355	B5M19_RS03520
OG0000070	DR094_RS00050	B5M19_RS02795
OG0000071	DR094_RS02015	B5M19_RS02995
OG0000072	DR094_RS03725	B5M19_RS02990
OG0000073	DR094_RS02425	B5M19_RS01840
OG0000074	DR094_RS03685	B5M19_RS01645
OG0000075	DR094_RS00790	B5M19_RS00265
OG0000076	DR094_RS00775	B5M19_RS00280
OG0000077	DR094_RS00690	B5M19_RS03440
OG0000078	DR094_RS00235	B5M19_RS02055
OG0000079	DR094_RS00130	B5M19_RS01010
OG0000080	DR094_RS03080	B5M19_RS03900
OG0000081	DR094_RS00795	B5M19_RS00260
OG0000082	DR094_RS00070	B5M19_RS04420, B5M19_RS04415
OG0000083	DR094_RS02715	B5M19_RS00845
OG0000084	DR094_RS02645	B5M19_RS02760
OG0000085	DR094_RS02650	B5M19_RS02755
OG0000086	DR094_RS03780	B5M19_RS02745
OG0000087	DR094_RS02675	B5M19_RS02730
OG0000088	DR094_RS02680	B5M19_RS02725
OG0000089	DR094_RS02690	B5M19_RS03690
OG0000090	DR094_RS01020	B5M19_RS03775
OG0000091	DR094_RS01035	B5M19_RS04280
OG0000092	DR094_RS01050	B5M19_RS01895
OG0000093	DR094_RS01055	B5M19_RS01900
OG0000094	DR094_RS01060	B5M19_RS01905
OG0000095	DR094_RS01085	B5M19_RS04290
OG0000096	DR094_RS01090	B5M19_RS01935
OG0000097	DR094_RS01110	B5M19_RS01955
OG0000098	DR094_RS01120	B5M19_RS04295
OG0000099	DR094_RS01175	B5M19_RS00370
OG0000100	DR094_RS01185	B5M19_RS00385
OG0000101	DR094_RS01190	B5M19_RS00390
OG0000102	DR094_RS01200	B5M19_RS02080
OG0000103	DR094_RS02040	B5M19_RS02960
OG0000104	DR094_RS02045	B5M19_RS04460
OG0000105	DR094_RS02060	B5M19_RS02940
OG0000106	DR094_RS02070	B5M19_RS02930
OG0000107	DR094_RS02080	B5M19_RS04455
OG0000108	DR094_RS02085	B5M19_RS04620
OG0000109	DR094_RS02090	B5M19_RS02910
OG0000110	DR094_RS02095	B5M19_RS02660
OG0000111	DR094_RS02100	B5M19_RS02665
OG0000112	DR094_RS02110	B5M19_RS02675
OG0000113	DR094_RS03730	B5M19_RS02700
OG0000114	DR094_RS02135	B5M19_RS02710
OG0000115	DR094_RS02145	B5M19_RS03610
OG0000116	DR094_RS02155	B5M19_RS02580
OG0000117	DR094_RS02160	B5M19_RS02575
OG0000118	DR094_RS02190	B5M19_RS01235
OG0000119	DR094_RS02195	B5M19_RS01230
OG0000120	DR094_RS02210	B5M19_RS01215
OG0000121	DR094_RS02235	B5M19_RS01190
OG0000122	DR094_RS02240	B5M19_RS01185
OG0000123	DR094_RS02260	B5M19_RS01165
OG0000124	DR094_RS02265	B5M19_RS01160
OG0000125	DR094_RS02270	B5M19_RS01155
OG0000126	DR094_RS02280	B5M19_RS01145
OG0000127	DR094_RS02290	B5M19_RS01135
OG0000128	DR094_RS02750	B5M19_RS01115
OG0000129	DR094_RS02755	B5M19_RS01110
OG0000130	DR094_RS02765	B5M19_RS01100
OG0000131	DR094_RS02795	B5M19_RS01075
OG0000132	DR094_RS03810	B5M19_RS01060
OG0000133	DR094_RS00615	B5M19_RS02380
OG0000134	DR094_RS03565	B5M19_RS02385
OG0000135	DR094_RS00595	B5M19_RS02400
OG0000136	DR094_RS00590	B5M19_RS02405
OG0000137	DR094_RS00560	B5M19_RS02445
OG0000138	DR094_RS00535	B5M19_RS03090
OG0000139	DR094_RS00505	B5M19_RS03070
OG0000140	DR094_RS00500	B5M19_RS03065
