Orthogroup	MFC_MF22_genes	MHP_MHP699_genes
OG0000000	DR094_RS03835	DR100_RS02515
OG0000000	DR094_RS01215	DR100_RS04215
OG0000001	DR094_RS00325, DR094_RS00330	DR100_RS03930, DR100_RS01790, DR100_RS03285, DR100_RS03280
OG0000002	DR094_RS03815	DR100_RS04890
OG0000002	DR094_RS03610	DR100_RS04740
OG0000003	DR094_RS03820	DR100_RS04885
OG0000007	DR094_RS02850	DR100_RS03495
OG0000007	DR094_RS02845	DR100_RS03500
OG0000007	DR094_RS02840	DR100_RS03510
OG0000011	DR094_RS03520	DR100_RS01970
OG0000011	DR094_RS02895	DR100_RS01975
OG0000013	DR094_RS00075, DR094_RS00080	DR100_RS02295
OG0000013	DR094_RS03050	DR100_RS03970
OG0000014	DR094_RS03555	DR100_RS03645, DR100_RS04585
OG0000016	DR094_RS00380	DR100_RS01750
OG0000017	DR094_RS00975	DR100_RS00700
OG0000017	DR094_RS00390	DR100_RS01740
OG0000018	DR094_RS03735	DR100_RS04715
OG0000020	DR094_RS03600	DR100_RS03705
OG0000020	DR094_RS03595	DR100_RS04650
OG0000022	DR094_RS03605	DR100_RS04745
OG0000023	DR094_RS02170	DR100_RS00240, DR100_RS01625
OG0000024	DR094_RS00320	DR100_RS03275, DR100_RS00195
OG0000025	DR094_RS01205	DR100_RS02170
OG0000026	DR094_RS02215	DR100_RS00285, DR100_RS02190
OG0000027	DR094_RS01395	DR100_RS04850
OG0000027	DR094_RS03650	DR100_RS04690
OG0000029	DR094_RS00545	DR100_RS03520, DR100_RS00725
OG0000030	DR094_RS03655	DR100_RS04855, DR100_RS04695
OG0000031	DR094_RS02590	DR100_RS01570, DR100_RS03415
OG0000032	DR094_RS01390	DR100_RS03450, DR100_RS03775
OG0000039	DR094_RS00485	DR100_RS04510, DR100_RS03660
OG0000040	DR094_RS02025, DR094_RS00270	DR100_RS03895
OG0000042	DR094_RS00490, DR094_RS00345	DR100_RS03115
OG0000043	DR094_RS02615	DR100_RS02005
OG0000045	DR094_RS03140, DR094_RS03135	DR100_RS03545
OG0000048	DR094_RS02695, DR094_RS02985	DR100_RS02540
OG0000049	DR094_RS03355	DR100_RS01465
OG0000050	DR094_RS03765	DR100_RS02715
OG0000051	DR094_RS01715	DR100_RS01815
OG0000052	DR094_RS01015	DR100_RS01115
OG0000053	DR094_RS03805	DR100_RS04755
OG0000054	DR094_RS00030	DR100_RS02740
OG0000055	DR094_RS03580, DR094_RS03850	DR100_RS01060
OG0000056	DR094_RS01180	DR100_RS01270
OG0000057	DR094_RS00465	DR100_RS01665
OG0000062	DR094_RS01125	DR100_RS01225
OG0000063	DR094_RS03590	DR100_RS04645
OG0000064	DR094_RS01140	DR100_RS01240
OG0000065	DR094_RS02075	DR100_RS03025
OG0000066	DR094_RS02205	DR100_RS00275
OG0000068	DR094_RS00510	DR100_RS00760
OG0000069	DR094_RS00355	DR100_RS01775
OG0000070	DR094_RS00050	DR100_RS02745
OG0000071	DR094_RS02015	DR100_RS03100
OG0000072	DR094_RS03725	DR100_RS04835
OG0000073	DR094_RS02425	DR100_RS00805
OG0000074	DR094_RS03685	DR100_RS04605
OG0000075	DR094_RS00790	DR100_RS00505
OG0000076	DR094_RS00775	DR100_RS00490
OG0000077	DR094_RS00690	DR100_RS00400
OG0000078	DR094_RS00235	DR100_RS02200
OG0000079	DR094_RS00130	DR100_RS01910
OG0000080	DR094_RS03080	DR100_RS04175
OG0000081	DR094_RS00795	DR100_RS00510
OG0000082	DR094_RS00070	DR100_RS04250, DR100_RS02290
OG0000083	DR094_RS02715	DR100_RS02770
OG0000084	DR094_RS02645	DR100_RS02590
OG0000085	DR094_RS02650	DR100_RS02585
