#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP157283.1:576185-576715|- -            177 4324at2085           -            135   3.2e-42  139.0   2.9   1   1   8.7e-44   6.4e-42  138.1   2.9     1   134     1   168     1   169 0.79 NZ_CP157283.1_447 # 576185 # 576715 # -1 # ID=1_447;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.301
NZ_CP157283.1:91555-92856|+   -            434 4324at2085           -            135   1.1e-15   53.1   7.1   1   3   4.8e-10   3.6e-08   28.8   0.1    10    46     3    39     1   129 0.72 NZ_CP157283.1_73 # 91555 # 92856 # 1 # ID=1_73;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
NZ_CP157283.1:91555-92856|+   -            434 4324at2085           -            135   1.1e-15   53.1   7.1   2   3   3.4e-09   2.5e-07   26.0   0.2    11    60   172   228   162   313 0.59 NZ_CP157283.1_73 # 91555 # 92856 # 1 # ID=1_73;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
NZ_CP157283.1:91555-92856|+   -            434 4324at2085           -            135   1.1e-15   53.1   7.1   3   3      0.52        39   -0.5   0.4    25    82   353   412   334   421 0.72 NZ_CP157283.1_73 # 91555 # 92856 # 1 # ID=1_73;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
NZ_CP157283.1:244238-245566|- -            443 4324at2085           -            135   3.8e-08   28.7   3.8   1   2       4.7   3.4e+02   -3.5   0.0    27    49    93   115    88   124 0.63 NZ_CP157283.1_216 # 244238 # 245566 # -1 # ID=1_216;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.312
NZ_CP157283.1:244238-245566|- -            443 4324at2085           -            135   3.8e-08   28.7   3.8   2   2   1.1e-09   8.2e-08   27.6   2.0    12   129   219   350   215   357 0.68 NZ_CP157283.1_216 # 244238 # 245566 # -1 # ID=1_216;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.312
NZ_CP157283.1:113402-114193|+ -            264 4324at2085           -            135     1e-07   27.3   0.2   1   4     0.022       1.6    4.0   1.3   100   125    42    67    13    72 0.72 NZ_CP157283.1_91 # 113402 # 114193 # 1 # ID=1_91;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.266
NZ_CP157283.1:113402-114193|+ -            264 4324at2085           -            135     1e-07   27.3   0.2   2   4      0.13       9.6    1.5   2.0    66   119    55   104    48   111 0.62 NZ_CP157283.1_91 # 113402 # 114193 # 1 # ID=1_91;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.266
NZ_CP157283.1:113402-114193|+ -            264 4324at2085           -            135     1e-07   27.3   0.2   3   4   1.4e-09     1e-07   27.3   0.2    11    71   112   174   103   204 0.79 NZ_CP157283.1_91 # 113402 # 114193 # 1 # ID=1_91;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.266
NZ_CP157283.1:113402-114193|+ -            264 4324at2085           -            135     1e-07   27.3   0.2   4   4      0.15        11    1.3   0.1    84   114   208   238   194   244 0.85 NZ_CP157283.1_91 # 113402 # 114193 # 1 # ID=1_91;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.266
NZ_CP157283.1:178477-179358|+ -            294 4324at2085           -            135   1.1e-06   23.9   3.4   1   1   4.1e-08     3e-06   22.6   3.4    12   115     9   129     3   141 0.63 NZ_CP157283.1_156 # 178477 # 179358 # 1 # ID=1_156;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.294
NZ_CP157283.1:181680-182537|+ -            286 4324at2085           -            135   7.1e-06   21.3   2.0   1   2      0.94        70   -1.3   0.1    97   114   100   117    88   141 0.67 NZ_CP157283.1_160 # 181680 # 182537 # 1 # ID=1_160;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.276
NZ_CP157283.1:181680-182537|+ -            286 4324at2085           -            135   7.1e-06   21.3   2.0   2   2   1.2e-07   8.8e-06   21.1   0.2    13    77   156   232   149   241 0.73 NZ_CP157283.1_160 # 181680 # 182537 # 1 # ID=1_160;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.276
NZ_CP157283.1:54132-55391|+   -            420 4324at2085           -            135   0.00028   16.2   0.1   1   1   1.1e-05    0.0008   14.7   0.1    10   121   157   273   152   283 0.78 NZ_CP157283.1_42 # 54132 # 55391 # 1 # ID=1_42;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.310
NZ_CP157283.1:750231-752030|- -            600 4324at2085           -            135   0.00035   15.9   0.1   1   3       1.3        96   -1.7   0.1    77   115    30    68    16    78 0.77 NZ_CP157283.1_576 # 750231 # 752030 # -1 # ID=1_576;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.352
NZ_CP157283.1:750231-752030|- -            600 4324at2085           -            135   0.00035   15.9   0.1   2   3   4.7e-06   0.00035   15.9   0.1    12   123   116   236   112   245 0.79 NZ_CP157283.1_576 # 750231 # 752030 # -1 # ID=1_576;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.352
NZ_CP157283.1:750231-752030|- -            600 4324at2085           -            135   0.00035   15.9   0.1   3   3       2.5   1.8e+02   -2.7   0.1    90   116   468   494   448   500 0.74 NZ_CP157283.1_576 # 750231 # 752030 # -1 # ID=1_576;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.352
NZ_CP157283.1:118899-121742|- -            948 4324at2085           -            135    0.0048   12.2   1.9   1   2     0.085       6.3    2.1   0.0    10    29    32    52    24    59 0.80 NZ_CP157283.1_96 # 118899 # 121742 # -1 # ID=1_96;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.329
NZ_CP157283.1:118899-121742|- -            948 4324at2085           -            135    0.0048   12.2   1.9   2   2    0.0016      0.12    7.7   0.4    12    36   641   665   637   676 0.89 NZ_CP157283.1_96 # 118899 # 121742 # -1 # ID=1_96;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.329
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/1257/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/4324at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/1257/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/1257/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/4324at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/1257/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/4324at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/1257/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/1257/Use
# Date:            Thu Nov 28 19:23:22 2024
# [ok]
