#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP157283.1:758404-760143|- -            580 539at2085            -            541  1.8e-246  814.3  14.1   1   1  1.2e-248    2e-246  814.1  14.1     1   541     8   574     8   574 0.97 NZ_CP157283.1_583 # 758404 # 760143 # -1 # ID=1_583;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.296
NZ_CP157283.1:69582-70949|+   -            456 539at2085            -            541     4e-10   34.2   1.0   1   3      0.16        27   -1.5   0.0   197   228    56    87    39   101 0.72 NZ_CP157283.1_60 # 69582 # 70949 # 1 # ID=1_60;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.301
NZ_CP157283.1:69582-70949|+   -            456 539at2085            -            541     4e-10   34.2   1.0   2   3   1.3e-08   2.2e-06   21.9   0.1   235   346   157   268   150   272 0.88 NZ_CP157283.1_60 # 69582 # 70949 # 1 # ID=1_60;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.301
NZ_CP157283.1:69582-70949|+   -            456 539at2085            -            541     4e-10   34.2   1.0   3   3   5.9e-05    0.0098    9.8   0.1   451   540   354   449   348   450 0.83 NZ_CP157283.1_60 # 69582 # 70949 # 1 # ID=1_60;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.301
NZ_CP157283.1:483590-485029|- -            480 539at2085            -            541   2.7e-07   24.9   2.4   1   3     0.015       2.5    1.9   0.0   186   316    43   183    34   205 0.66 NZ_CP157283.1_390 # 483590 # 485029 # -1 # ID=1_390;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.308
NZ_CP157283.1:483590-485029|- -            480 539at2085            -            541   2.7e-07   24.9   2.4   2   3   1.6e-09   2.7e-07   24.9   2.4   408   525   237   366   226   382 0.78 NZ_CP157283.1_390 # 483590 # 485029 # -1 # ID=1_390;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.308
NZ_CP157283.1:483590-485029|- -            480 539at2085            -            541   2.7e-07   24.9   2.4   3   3      0.13        22   -1.2   0.1    30   128   367   470   361   473 0.51 NZ_CP157283.1_390 # 483590 # 485029 # -1 # ID=1_390;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.308
NZ_CP157283.1:308168-309409|+ -            414 539at2085            -            541   9.1e-05   16.5   0.4   1   3      0.17        28   -1.6   0.2    99   142     9    52     3    89 0.64 NZ_CP157283.1_259 # 308168 # 309409 # 1 # ID=1_259;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.320
NZ_CP157283.1:308168-309409|+ -            414 539at2085            -            541   9.1e-05   16.5   0.4   2   3   1.6e-05    0.0026   11.7   0.0   153   362   133   347   119   353 0.81 NZ_CP157283.1_259 # 308168 # 309409 # 1 # ID=1_259;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.320
NZ_CP157283.1:308168-309409|+ -            414 539at2085            -            541   9.1e-05   16.5   0.4   3   3     0.014       2.3    2.0   0.0   411   458   361   406   353   409 0.77 NZ_CP157283.1_259 # 308168 # 309409 # 1 # ID=1_259;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.320
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/1257/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/1257/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/1257/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/539at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/1257/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/1257/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/1257/Use
# Date:            Thu Nov 28 19:23:22 2024
# [ok]
