Orthogroup	MHP_7448_genes	MHP_98_genes
OG0000000	MHP7448_RS02135	GOM18_RS02340
OG0000000	MHP7448_RS02245, MHP7448_RS03825	GOM18_RS04450
OG0000000	MHP7448_RS01735	GOM18_RS03685
OG0000000	MHP7448_RS01740	GOM18_RS00685
OG0000001	MHP7448_RS01300	GOM18_RS03240
OG0000001	MHP7448_RS01295	GOM18_RS03230
OG0000001	MHP7448_RS02820	GOM18_RS03125
OG0000001	MHP7448_RS04045	GOM18_RS04125
OG0000002	MHP7448_RS03995	GOM18_RS02350
OG0000002	MHP7448_RS01745	GOM18_RS04550
OG0000003	MHP7448_RS01830	GOM18_RS03425
OG0000003	MHP7448_RS03870	GOM18_RS03375, GOM18_RS03370
OG0000004	MHP7448_RS03230	GOM18_RS00895
OG0000004	MHP7448_RS03235	GOM18_RS00890
OG0000004	MHP7448_RS03245	GOM18_RS00880
OG0000005	MHP7448_RS00100	GOM18_RS03145
OG0000005	MHP7448_RS00105	GOM18_RS03600
OG0000005	MHP7448_RS00110, MHP7448_RS00125	GOM18_RS04540
OG0000006	MHP7448_RS04025	GOM18_RS01950
OG0000008	MHP7448_RS02240	GOM18_RS02455
OG0000008	MHP7448_RS04030	GOM18_RS03975
OG0000009	MHP7448_RS00675	GOM18_RS00095
OG0000009	MHP7448_RS00085	GOM18_RS00665
OG0000009	MHP7448_RS00690	GOM18_RS00110
OG0000010	MHP7448_RS01885	GOM18_RS03360
OG0000010	MHP7448_RS00095	GOM18_RS03805
OG0000011	MHP7448_RS01970	GOM18_RS03250
OG0000011	MHP7448_RS01965	GOM18_RS03255
OG0000012	MHP7448_RS03880	GOM18_RS01865, GOM18_RS03340
OG0000013	MHP7448_RS02430	GOM18_RS02545
OG0000013	MHP7448_RS03945	GOM18_RS03935
OG0000015	MHP7448_RS03965, MHP7448_RS04005, MHP7448_RS04000, MHP7448_RS01650	GOM18_RS02565
OG0000016	MHP7448_RS02865	GOM18_RS01215
OG0000016	MHP7448_RS00170	GOM18_RS01280
OG0000017	MHP7448_RS00155	GOM18_RS01265
OG0000017	MHP7448_RS02875	GOM18_RS01205
OG0000019	MHP7448_RS03045	GOM18_RS04575
OG0000020	MHP7448_RS03580	GOM18_RS04290
OG0000020	MHP7448_RS03585	GOM18_RS03770, GOM18_RS03765
OG0000021	MHP7448_RS04125	GOM18_RS03485
OG0000021	MHP7448_RS03950	GOM18_RS03345
OG0000022	MHP7448_RS01680	GOM18_RS03040
