Orthogroup	MHP_7448_genes	MHP_ES2L_genes
OG0000000	MHP7448_RS02245	HZK19_RS02290
OG0000000	MHP7448_RS03825	HZK19_RS03795
OG0000000	MHP7448_RS01735	HZK19_RS01690
OG0000000	MHP7448_RS01740	HZK19_RS01695
OG0000001	MHP7448_RS01300	HZK19_RS03720
OG0000001	MHP7448_RS02820	HZK19_RS02765
OG0000001	MHP7448_RS04045	HZK19_RS03840
OG0000002	MHP7448_RS03900	HZK19_RS02175
OG0000002	MHP7448_RS01745	HZK19_RS01705
OG0000003	MHP7448_RS01830, MHP7448_RS01785, MHP7448_RS00505	HZK19_RS01715
OG0000003	MHP7448_RS03870	HZK19_RS03785, HZK19_RS02160, HZK19_RS01800
OG0000004	MHP7448_RS03230	HZK19_RS03240
OG0000004	MHP7448_RS03245	HZK19_RS03255
OG0000004	MHP7448_RS03035	HZK19_RS02980
OG0000005	MHP7448_RS00100	HZK19_RS00085
OG0000005	MHP7448_RS00120	HZK19_RS00105
OG0000005	MHP7448_RS00105	HZK19_RS00090
OG0000005	MHP7448_RS00110	HZK19_RS00095
OG0000005	MHP7448_RS00125	HZK19_RS00110
OG0000006	MHP7448_RS04025	HZK19_RS02470
OG0000006	MHP7448_RS02380	HZK19_RS03805
OG0000008	MHP7448_RS02240	HZK19_RS03790
OG0000008	MHP7448_RS01665	HZK19_RS03745
OG0000008	MHP7448_RS04030	HZK19_RS03825
OG0000009	MHP7448_RS00690	HZK19_RS00655
OG0000010	MHP7448_RS01885	HZK19_RS01810
OG0000011	MHP7448_RS01970	HZK19_RS03920
OG0000012	MHP7448_RS03435, MHP7448_RS02690	HZK19_RS03250
OG0000012	MHP7448_RS03880	HZK19_RS01825
OG0000013	MHP7448_RS02430	HZK19_RS02370
OG0000013	MHP7448_RS03945	HZK19_RS03715
OG0000014	MHP7448_RS00605	HZK19_RS00595
OG0000015	MHP7448_RS01650	HZK19_RS01540, HZK19_RS03105
OG0000016	MHP7448_RS02865	HZK19_RS02805
OG0000016	MHP7448_RS00170	HZK19_RS00155
OG0000017	MHP7448_RS00155	HZK19_RS00140
OG0000017	MHP7448_RS02875	HZK19_RS02815
OG0000018	MHP7448_RS01340	HZK19_RS01290
OG0000019	MHP7448_RS03045	HZK19_RS03845
OG0000019	MHP7448_RS03040	HZK19_RS03850
OG0000020	MHP7448_RS03580	HZK19_RS03860
OG0000020	MHP7448_RS03585	HZK19_RS03600
OG0000022	MHP7448_RS01680	HZK19_RS01625
OG0000022	MHP7448_RS01730	HZK19_RS01685
OG0000024	MHP7448_RS02765	HZK19_RS02710
OG0000024	MHP7448_RS01290	HZK19_RS01240
OG0000025	MHP7448_RS01685	HZK19_RS01630
OG0000025	MHP7448_RS01725	HZK19_RS01680
OG0000026	MHP7448_RS01380	HZK19_RS01330
OG0000026	MHP7448_RS01705	HZK19_RS01660
OG0000027	MHP7448_RS03845	HZK19_RS03390
OG0000027	MHP7448_RS03390	HZK19_RS03405
OG0000028	MHP7448_RS02440	HZK19_RS02380
OG0000029	MHP7448_RS01085	HZK19_RS01065
OG0000029	MHP7448_RS00610	HZK19_RS00600
OG0000030	MHP7448_RS03370	HZK19_RS03380
OG0000030	MHP7448_RS03385	HZK19_RS03400
OG0000031	MHP7448_RS01620	HZK19_RS01570
OG0000032	MHP7448_RS01595	HZK19_RS01545
OG0000032	MHP7448_RS03380	HZK19_RS03395
OG0000035	MHP7448_RS03240	HZK19_RS03235
OG0000035	MHP7448_RS03225	HZK19_RS03225
OG0000036	MHP7448_RS00115	HZK19_RS00100
OG0000036	MHP7448_RS00130	HZK19_RS03705, HZK19_RS03710
OG0000037	MHP7448_RS03725	HZK19_RS01555
OG0000037	MHP7448_RS03970	HZK19_RS01550
OG0000038	MHP7448_RS01825	HZK19_RS01710
OG0000038	MHP7448_RS00500	HZK19_RS03945
OG0000039	MHP7448_RS01635	HZK19_RS01580
OG0000040	MHP7448_RS03315	HZK19_RS03325
OG0000041	MHP7448_RS01195	HZK19_RS01160
OG0000042	MHP7448_RS02965	HZK19_RS02900
OG0000043	MHP7448_RS01935	HZK19_RS01875
OG0000043	MHP7448_RS02315	HZK19_RS01875
OG0000044	MHP7448_RS04120	HZK19_RS03955
OG0000045	MHP7448_RS01640	HZK19_RS01585
OG0000046	MHP7448_RS03325	HZK19_RS03335
OG0000047	MHP7448_RS01590	HZK19_RS03090
OG0000048	MHP7448_RS02115	HZK19_RS02065
OG0000049	MHP7448_RS03085	HZK19_RS02995
OG0000050	MHP7448_RS02470	HZK19_RS02415
OG0000051	MHP7448_RS02675	HZK19_RS02620
OG0000052	MHP7448_RS00075	HZK19_RS00075
OG0000053	MHP7448_RS01465	HZK19_RS01415
OG0000054	MHP7448_RS02495	HZK19_RS02440
OG0000055	MHP7448_RS00135	HZK19_RS00120
OG0000056	MHP7448_RS03565	HZK19_RS03580
OG0000057	MHP7448_RS02950	HZK19_RS02885
OG0000058	MHP7448_RS02335	HZK19_RS03015
OG0000060	MHP7448_RS00080	HZK19_RS00080
OG0000062	MHP7448_RS03615	HZK19_RS03630
OG0000063	MHP7448_RS03610	HZK19_RS03625
OG0000064	MHP7448_RS03600	HZK19_RS03615
OG0000065	MHP7448_RS02180	HZK19_RS02220
OG0000066	MHP7448_RS01370	HZK19_RS01320
OG0000067	MHP7448_RS00525	HZK19_RS00515
OG0000068	MHP7448_RS00655	HZK19_RS00635
OG0000069	MHP7448_RS02835	HZK19_RS02780
OG0000070	MHP7448_RS02500	HZK19_RS02445
OG0000071	MHP7448_RS03305	HZK19_RS03315
OG0000072	MHP7448_RS03310	HZK19_RS03320
OG0000073	MHP7448_RS00715	HZK19_RS00680
OG0000074	MHP7448_RS03660	HZK19_RS00875
OG0000075	MHP7448_RS00340	HZK19_RS00325
OG0000076	MHP7448_RS00355	HZK19_RS00340
OG0000077	MHP7448_RS00445	HZK19_RS00425
OG0000079	MHP7448_RS02580	HZK19_RS02525
OG0000080	MHP7448_RS03915	HZK19_RS02570
OG0000081	MHP7448_RS00335	HZK19_RS00320
OG0000082	MHP7448_RS02425	HZK19_RS02365
OG0000083	MHP7448_RS02040	HZK19_RS01985
OG0000084	MHP7448_RS02065	HZK19_RS02015
OG0000085	MHP7448_RS02070	HZK19_RS02020
OG0000086	MHP7448_RS02080	HZK19_RS02030
OG0000087	MHP7448_RS02095	HZK19_RS02045
OG0000088	MHP7448_RS02100	HZK19_RS02050
OG0000089	MHP7448_RS02110	HZK19_RS02060
OG0000090	MHP7448_RS00070	HZK19_RS00070
OG0000091	MHP7448_RS00055	HZK19_RS00055
OG0000092	MHP7448_RS00040	HZK19_RS00040
OG0000093	MHP7448_RS00035	HZK19_RS00035
OG0000094	MHP7448_RS00030	HZK19_RS00030
OG0000095	MHP7448_RS00005	HZK19_RS00005
OG0000096	MHP7448_RS03655	HZK19_RS03665
OG0000097	MHP7448_RS03635	HZK19_RS03645
OG0000098	MHP7448_RS03620	HZK19_RS03635
