Orthogroup	MHP_7448_genes	MHP_154B_genes
OG0000000	MHP7448_RS02135	NB624_RS02330
OG0000000	MHP7448_RS03990	NB624_RS02325
OG0000000	MHP7448_RS01735	NB624_RS01720, NB624_RS01725
OG0000001	MHP7448_RS01300	NB624_RS01275
OG0000001	MHP7448_RS02820	NB624_RS02960
OG0000001	MHP7448_RS04045	NB624_RS02915
OG0000002	MHP7448_RS03995	NB624_RS02340
OG0000002	MHP7448_RS03900	NB624_RS02335
OG0000002	MHP7448_RS01745	NB624_RS01730
OG0000003	MHP7448_RS01785, MHP7448_RS00505	NB624_RS00505
OG0000003	MHP7448_RS03870	NB624_RS02310, NB624_RS01835
OG0000004	MHP7448_RS03230	NB624_RS03355
OG0000004	MHP7448_RS03235	NB624_RS03360
OG0000004	MHP7448_RS03055	NB624_RS03195
OG0000005	MHP7448_RS00100	NB624_RS00100
OG0000005	MHP7448_RS00110	NB624_RS00105
OG0000006	MHP7448_RS02380	NB624_RS02645
OG0000006	MHP7448_RS02255	NB624_RS02465
OG0000008	MHP7448_RS02240	NB624_RS02450
OG0000008	MHP7448_RS01665	NB624_RS01625, NB624_RS01635
OG0000008	MHP7448_RS04030	NB624_RS02665
OG0000009	MHP7448_RS00675	NB624_RS01015
OG0000009	MHP7448_RS00085	NB624_RS00085
OG0000009	MHP7448_RS00690	NB624_RS01000
OG0000010	MHP7448_RS01885, MHP7448_RS00095	NB624_RS01855
OG0000011	MHP7448_RS01970	NB624_RS01955
OG0000011	MHP7448_RS01965	NB624_RS01950
OG0000012	MHP7448_RS03435, MHP7448_RS02690	NB624_RS02895, NB624_RS01075
OG0000012	MHP7448_RS03880	NB624_RS01870
OG0000013	MHP7448_RS02430	NB624_RS02540
OG0000013	MHP7448_RS03945	NB624_RS00185
OG0000014	MHP7448_RS01090	NB624_RS01090
OG0000014	MHP7448_RS00605	NB624_RS01080
OG0000015	MHP7448_RS03965	NB624_RS01620
OG0000015	MHP7448_RS01650	NB624_RS01565
OG0000016	MHP7448_RS02865	NB624_RS03000
OG0000016	MHP7448_RS00170	NB624_RS00170
OG0000017	MHP7448_RS00155	NB624_RS00155
OG0000017	MHP7448_RS02875	NB624_RS03010
OG0000018	MHP7448_RS01340	NB624_RS01315
OG0000019	MHP7448_RS03045	NB624_RS03190, NB624_RS03180
OG0000019	MHP7448_RS03040	NB624_RS03200
OG0000020	MHP7448_RS03580	NB624_RS03690
OG0000020	MHP7448_RS03585	NB624_RS03695
OG0000022	MHP7448_RS01680	NB624_RS01660
OG0000022	MHP7448_RS01730	NB624_RS01715
OG0000023	MHP7448_RS04010, MHP7448_RS01335	NB624_RS01310
OG0000024	MHP7448_RS02765	NB624_RS02910
OG0000024	MHP7448_RS01290	NB624_RS01265
OG0000025	MHP7448_RS01685	NB624_RS01665
OG0000025	MHP7448_RS01725	NB624_RS01710
OG0000026	MHP7448_RS01380	NB624_RS01355
OG0000026	MHP7448_RS01705	NB624_RS01690
OG0000027	MHP7448_RS03845	NB624_RS03505
OG0000028	MHP7448_RS02440	NB624_RS02565
OG0000030	MHP7448_RS03370	NB624_RS03495
OG0000032	MHP7448_RS01595	NB624_RS01570
OG0000033	MHP7448_RS02435	NB624_RS02550
OG0000035	MHP7448_RS03240	NB624_RS03370
OG0000036	MHP7448_RS00115	NB624_RS00120
OG0000036	MHP7448_RS00130	NB624_RS00125
OG0000037	MHP7448_RS03725	NB624_RS01585
OG0000037	MHP7448_RS03970	NB624_RS01575
OG0000038	MHP7448_RS01825	NB624_RS01745
OG0000038	MHP7448_RS00500	NB624_RS00495
OG0000039	MHP7448_RS01635	NB624_RS01605
OG0000040	MHP7448_RS03315	NB624_RS03440
OG0000041	MHP7448_RS00680	NB624_RS01010
OG0000041	MHP7448_RS01195	NB624_RS01185
OG0000042	MHP7448_RS02965	NB624_RS03095
OG0000043	MHP7448_RS01935	NB624_RS01920
OG0000043	MHP7448_RS02315	NB624_RS01920
OG0000044	MHP7448_RS04120	NB624_RS01675
OG0000045	MHP7448_RS01640	NB624_RS01610
OG0000046	MHP7448_RS03325	NB624_RS03445, NB624_RS03450
OG0000048	MHP7448_RS02115	NB624_RS02205
OG0000049	MHP7448_RS03085	NB624_RS03210
OG0000050	MHP7448_RS02470	NB624_RS02595
OG0000051	MHP7448_RS02675	NB624_RS02825
OG0000052	MHP7448_RS00075	NB624_RS00075
OG0000053	MHP7448_RS01465	NB624_RS01440
OG0000054	MHP7448_RS02495	NB624_RS02620
OG0000055	MHP7448_RS00135	NB624_RS00130
OG0000056	MHP7448_RS03565	NB624_RS03675
