Orthogroup	MHP_7448_genes	MHP_LH_genes
OG0000000	MHP7448_RS02135	KUD10_RS02260
OG0000000	MHP7448_RS03990	KUD10_RS02255
OG0000000	MHP7448_RS02245	KUD10_RS02380
OG0000000	MHP7448_RS03825	KUD10_RS02385
OG0000000	MHP7448_RS01735	KUD10_RS01780, KUD10_RS01785
OG0000001	MHP7448_RS01300	KUD10_RS01355
OG0000001	MHP7448_RS01295	KUD10_RS01350
OG0000001	MHP7448_RS02820	KUD10_RS02875
OG0000001	MHP7448_RS04045	KUD10_RS02830
OG0000002	MHP7448_RS03995	KUD10_RS02270
OG0000002	MHP7448_RS01745	KUD10_RS01790
OG0000003	MHP7448_RS01830, MHP7448_RS01785, MHP7448_RS00505	KUD10_RS00500
OG0000003	MHP7448_RS03870	KUD10_RS02250, KUD10_RS01900
OG0000004	MHP7448_RS03230	KUD10_RS03265
OG0000004	MHP7448_RS03245	KUD10_RS03275
OG0000004	MHP7448_RS03055	KUD10_RS03105
OG0000004	MHP7448_RS03035	KUD10_RS03095, KUD10_RS03085
OG0000005	MHP7448_RS00100	KUD10_RS00100
OG0000005	MHP7448_RS00120	KUD10_RS00120
OG0000005	MHP7448_RS00105	KUD10_RS00105
OG0000005	MHP7448_RS00110	KUD10_RS00110
OG0000005	MHP7448_RS00125	KUD10_RS00125
OG0000006	MHP7448_RS04025	KUD10_RS02585
OG0000006	MHP7448_RS02380	KUD10_RS02420
OG0000008	MHP7448_RS02240	KUD10_RS02375
OG0000008	MHP7448_RS01665	KUD10_RS01700
OG0000008	MHP7448_RS04030	KUD10_RS02590
OG0000009	MHP7448_RS00085	KUD10_RS00085
OG0000009	MHP7448_RS00690	KUD10_RS00675
OG0000010	MHP7448_RS01885	KUD10_RS01910
OG0000010	MHP7448_RS00095	KUD10_RS00095
OG0000011	MHP7448_RS01970	KUD10_RS02000
OG0000011	MHP7448_RS01965	KUD10_RS01995
OG0000013	MHP7448_RS02430	KUD10_RS02465
OG0000013	MHP7448_RS03945	KUD10_RS00185
OG0000014	MHP7448_RS01090	KUD10_RS01080
OG0000014	MHP7448_RS00605	KUD10_RS00610
OG0000015	MHP7448_RS03965	KUD10_RS01635
OG0000016	MHP7448_RS02865	KUD10_RS02915
OG0000016	MHP7448_RS00170	KUD10_RS00170
OG0000017	MHP7448_RS00155	KUD10_RS00155
OG0000017	MHP7448_RS02875	KUD10_RS02925
OG0000019	MHP7448_RS03045	KUD10_RS03100, KUD10_RS03080
OG0000019	MHP7448_RS03040	KUD10_RS03090
OG0000020	MHP7448_RS03580	KUD10_RS03620
OG0000020	MHP7448_RS03585	KUD10_RS03625
OG0000022	MHP7448_RS01680	KUD10_RS01720
OG0000022	MHP7448_RS01730	KUD10_RS01775
OG0000024	MHP7448_RS02765	KUD10_RS02825
OG0000024	MHP7448_RS01290	KUD10_RS01345
OG0000025	MHP7448_RS01685	KUD10_RS01725
OG0000025	MHP7448_RS01725	KUD10_RS01770
OG0000026	MHP7448_RS01380	KUD10_RS01435
OG0000026	MHP7448_RS01705	KUD10_RS01750
OG0000027	MHP7448_RS03845	KUD10_RS03410
OG0000027	MHP7448_RS03390	KUD10_RS03425
OG0000029	MHP7448_RS01085	KUD10_RS01075
OG0000029	MHP7448_RS00610	KUD10_RS00620
OG0000030	MHP7448_RS03370	KUD10_RS03400
OG0000030	MHP7448_RS03385	KUD10_RS03420
OG0000032	MHP7448_RS01595	KUD10_RS01640
OG0000033	MHP7448_RS02435	KUD10_RS02490
OG0000035	MHP7448_RS03240	KUD10_RS03270
OG0000035	MHP7448_RS03225	KUD10_RS03250
OG0000036	MHP7448_RS00115	KUD10_RS00115
OG0000036	MHP7448_RS00130	KUD10_RS00130
OG0000037	MHP7448_RS03725	KUD10_RS01650
OG0000037	MHP7448_RS03970	KUD10_RS01645
OG0000038	MHP7448_RS00500	KUD10_RS00495
OG0000039	MHP7448_RS01635	KUD10_RS01675
OG0000040	MHP7448_RS03315	KUD10_RS03345
OG0000042	MHP7448_RS02965	KUD10_RS03010
OG0000043	MHP7448_RS01935	KUD10_RS01965
OG0000043	MHP7448_RS02315	KUD10_RS01965
OG0000045	MHP7448_RS01640	KUD10_RS01680
OG0000046	MHP7448_RS03325	KUD10_RS03355
OG0000048	MHP7448_RS02115	KUD10_RS02150
OG0000049	MHP7448_RS03085	KUD10_RS03120
OG0000050	MHP7448_RS02470	KUD10_RS02530
OG0000051	MHP7448_RS02675	KUD10_RS02740
OG0000052	MHP7448_RS00075	KUD10_RS00075
OG0000053	MHP7448_RS01465	KUD10_RS01520
OG0000054	MHP7448_RS02495	KUD10_RS02555
OG0000055	MHP7448_RS00135	KUD10_RS00135
OG0000056	MHP7448_RS03565	KUD10_RS03605
OG0000057	MHP7448_RS02950	KUD10_RS02995
OG0000058	MHP7448_RS02335	KUD10_RS01145
