Orthogroup	MFC_ATCC27716_proteins	MHP_111A_proteins
OG0000000	WP_081605288.1	WP_404912243.1
OG0000000	WP_040538362.1	WP_404912439.1
OG0000000	WP_002557502.1	WP_404912447.1
OG0000001	WP_002557631.1	WP_404912312.1, WP_404911958.1, WP_404911950.1, WP_011206342.1
OG0000002	WP_002557507.1	WP_225972974.1, WP_146379587.1
OG0000002	WP_002557987.1	WP_404912241.1
OG0000003	WP_039387603.1	WP_225973025.1
OG0000007	WP_002557994.1	WP_011284157.1
OG0000007	WP_002557993.1	WP_002557993.1
OG0000007	WP_002557992.1	WP_002557992.1
OG0000008	WP_051054298.1	WP_404912369.1
OG0000011	WP_002557687.1, WP_002557686.1	WP_404911790.1
OG0000011	WP_039387558.1	WP_404911792.1
OG0000013	WP_002557975.1, WP_051054340.1	WP_404911873.1
OG0000014	WP_002557587.1	WP_404912270.1, WP_404912188.1
OG0000017	WP_002557881.1	WP_020835500.1
OG0000017	WP_144245598.1	WP_020835837.1
OG0000018	WP_002557538.1	WP_404912406.1
OG0000020	WP_002557491.1	WP_404912096.1
OG0000020	WP_002557490.1	WP_404912098.1
OG0000022	WP_002557501.1	WP_404912386.1
OG0000023	WP_002557747.1	WP_404912402.1
OG0000024	WP_231237865.1	WP_160585259.1, WP_404912310.1
OG0000025	WP_002557500.1	WP_404912384.1
OG0000026	WP_002557545.1	WP_192894288.1, WP_160606777.1
OG0000027	WP_002557970.1	WP_404912055.1
OG0000029	WP_002557588.1	WP_404912268.1, WP_404912190.1
OG0000030	WP_002557971.1	WP_240536353.1, WP_404912053.1
OG0000031	WP_002557676.1	WP_404912416.1
OG0000032	WP_002557939.1	WP_135618726.1
OG0000032	WP_231237886.1	WP_404912051.1
OG0000033	WP_081605281.1	WP_404911880.1
OG0000037	WP_155897258.1	WP_404912355.1
OG0000037	WP_040538385.1, WP_318024041.1	WP_404912443.1
OG0000039	WP_002557599.1, WP_002557597.1	WP_179221095.1
OG0000040	WP_002557738.1, WP_318024042.1, WP_002557645.1	WP_404912033.1, WP_404912462.1
OG0000042	WP_002557596.1, WP_002557628.1	WP_044272729.1
OG0000043	WP_002557679.1	WP_404911800.1
OG0000045	WP_002557601.1	WP_404912363.1
OG0000048	WP_039387763.1	WP_404912397.1
OG0000049	WP_231237870.1, WP_318023899.1	WP_020835860.1
OG0000050	WP_002557670.1	WP_404911890.1
OG0000051	WP_002557852.1	WP_404911930.1
OG0000052	WP_002557464.1	WP_404912127.1
OG0000053	WP_002557561.1	WP_160585093.1
OG0000054	WP_002557665.1	WP_020835786.1
OG0000055	WP_002557874.1, WP_323749063.1	WP_160606887.1
OG0000056	WP_081605276.1	WP_404912090.1
OG0000057	WP_231237864.1	WP_220191159.1
OG0000062	WP_002557486.1	WP_094521530.1
OG0000063	WP_002557487.1	WP_404912101.1
OG0000064	WP_002557489.1	WP_011290440.1
OG0000065	WP_002557517.1	WP_233688433.1
OG0000066	WP_002557543.1	WP_011205965.1
OG0000068	WP_002557593.1	WP_011206103.1
OG0000069	WP_002557626.1	WP_011206373.1
OG0000070	WP_002557663.1	WP_011206292.1
OG0000071	WP_002557736.1	WP_146379735.1
OG0000072	WP_002557737.1	WP_404912031.1
OG0000073	WP_002557772.1, WP_002557771.1	WP_404912207.1
OG0000075	WP_002557918.1	WP_014579568.1
