Orthogroup	MHP_154B_genes	MHP_TB1_genes
OG0000000	NB624_RS02330	B5M19_RS04470
OG0000000	NB624_RS01720, NB624_RS01725	B5M19_RS02095
OG0000001	NB624_RS01275, NB624_RS01270	B5M19_RS02595
OG0000001	NB624_RS02960	B5M19_RS02555
OG0000001	NB624_RS02915	B5M19_RS02510
OG0000002	NB624_RS02340	B5M19_RS04465
OG0000002	NB624_RS01730	B5M19_RS02105
OG0000003	NB624_RS01750, NB624_RS00505	B5M19_RS04550
OG0000003	NB624_RS01835	B5M19_RS03885
OG0000005	NB624_RS00100	B5M19_RS00020
OG0000005	NB624_RS00105	B5M19_RS04010, B5M19_RS04005
OG0000006	NB624_RS02650	B5M19_RS03630
OG0000006	NB624_RS02645	B5M19_RS02695
OG0000008	NB624_RS02450	B5M19_RS03790
OG0000008	NB624_RS01625, NB624_RS01635	B5M19_RS03340
OG0000008	NB624_RS02665	B5M19_RS04540
OG0000009	NB624_RS01015	B5M19_RS04475
OG0000009	NB624_RS01000	B5M19_RS04265
OG0000010	NB624_RS01855	B5M19_RS00670, B5M19_RS03275, B5M19_RS00015
OG0000011	NB624_RS01955	B5M19_RS04080
OG0000011	NB624_RS01950	B5M19_RS00765
OG0000012	NB624_RS02895, NB624_RS01075	B5M19_RS03815
OG0000013	NB624_RS02540	B5M19_RS02640
OG0000013	NB624_RS00185	B5M19_RS00100
OG0000014	NB624_RS01090	B5M19_RS03715
OG0000014	NB624_RS01080	B5M19_RS03505
OG0000015	NB624_RS02070	B5M19_RS02855
OG0000015	NB624_RS01565	B5M19_RS03260
OG0000016	NB624_RS03000	B5M19_RS01425
OG0000016	NB624_RS00170	B5M19_RS00080
OG0000017	NB624_RS00155	B5M19_RS00065
OG0000017	NB624_RS03010	B5M19_RS01415
OG0000018	NB624_RS02095	B5M19_RS04450
OG0000020	NB624_RS03690	B5M19_RS04305
OG0000020	NB624_RS03695	B5M19_RS02010
OG0000021	NB624_RS01760	B5M19_RS03625
OG0000022	NB624_RS01660	B5M19_RS02040
OG0000022	NB624_RS01715	B5M19_RS02090
OG0000023	NB624_RS01310	B5M19_RS01255, B5M19_RS04365
OG0000024	NB624_RS02910	B5M19_RS02500
OG0000024	NB624_RS01265	B5M19_RS04395, B5M19_RS04390
OG0000025	NB624_RS01665	B5M19_RS04315
OG0000025	NB624_RS01710	B5M19_RS02085
OG0000026	NB624_RS01355	B5M19_RS01210
OG0000026	NB624_RS01690	B5M19_RS02065
OG0000027	NB624_RS03505	B5M19_RS00565
OG0000030	NB624_RS03495	B5M19_RS00570
OG0000031	NB624_RS02150	B5M19_RS04360
OG0000031	NB624_RS01595	B5M19_RS03305
OG0000035	NB624_RS03370	B5M19_RS01610
OG0000036	NB624_RS00120, NB624_RS00125	B5M19_RS00040
OG0000037	NB624_RS01575	B5M19_RS04485, B5M19_RS04490
OG0000039	NB624_RS01605	B5M19_RS03320
OG0000040	NB624_RS03440	B5M19_RS02985
OG0000041	NB624_RS01010	B5M19_RS03050
OG0000041	NB624_RS01185	B5M19_RS04355
OG0000042	NB624_RS03095	B5M19_RS01320
OG0000043	NB624_RS01920	B5M19_RS00735
OG0000043	NB624_RS01920	B5M19_RS02270
OG0000044	NB624_RS01795	B5M19_RS00620
OG0000045	NB624_RS01610	B5M19_RS03325
OG0000047	NB624_RS02085	B5M19_RS04440
OG0000048	NB624_RS02205	B5M19_RS03695
OG0000049	NB624_RS03210	B5M19_RS01455
OG0000050	NB624_RS02595	B5M19_RS02825
OG0000051	NB624_RS02825	B5M19_RS04110
OG0000052	NB624_RS00075	B5M19_RS00005
OG0000053	NB624_RS01440	B5M19_RS01120
OG0000054	NB624_RS02620	B5M19_RS02800
OG0000055	NB624_RS00130	B5M19_RS00045
OG0000056	NB624_RS03675	B5M19_RS00375
OG0000057	NB624_RS03080	B5M19_RS01340
OG0000058	NB624_RS02160	B5M19_RS02250
OG0000058	NB624_RS02155	B5M19_RS02905
OG0000059	NB624_RS02130	B5M19_RS03915, B5M19_RS02265
OG0000059	NB624_RS02145	B5M19_RS03935
OG0000060	NB624_RS00080	B5M19_RS03995
OG0000061	NB624_RS01865	B5M19_RS03265
OG0000062	NB624_RS03725	B5M19_RS01970
OG0000063	NB624_RS03720	B5M19_RS01975
OG0000064	NB624_RS03710	B5M19_RS01990
OG0000065	NB624_RS02385	B5M19_RS02925
OG0000066	NB624_RS01345	B5M19_RS01220
OG0000067	NB624_RS00520	B5M19_RS02375
OG0000068	NB624_RS01035	B5M19_RS04480
OG0000069	NB624_RS02975	B5M19_RS03520
OG0000070	NB624_RS02625	B5M19_RS02795
OG0000071	NB624_RS03430	B5M19_RS02995
OG0000072	NB624_RS03435	B5M19_RS02990
OG0000073	NB624_RS00975	B5M19_RS01840
OG0000074	NB624_RS00775	B5M19_RS01645
OG0000075	NB624_RS00340	B5M19_RS00265
OG0000077	NB624_RS00440	B5M19_RS03440
OG0000079	NB624_RS02715	B5M19_RS01010
OG0000080	NB624_RS02770	B5M19_RS03900
OG0000081	NB624_RS00335	B5M19_RS00260
OG0000083	NB624_RS02025	B5M19_RS00845
OG0000084	NB624_RS02055	B5M19_RS02760
OG0000085	NB624_RS02060	B5M19_RS02755
OG0000086	NB624_RS02170	B5M19_RS02745
OG0000087	NB624_RS02185	B5M19_RS02730
OG0000088	NB624_RS02190	B5M19_RS02725
OG0000089	NB624_RS02200	B5M19_RS03690
OG0000090	NB624_RS00070	B5M19_RS03775
OG0000091	NB624_RS00055	B5M19_RS04280
OG0000092	NB624_RS00045	B5M19_RS01895
OG0000093	NB624_RS00035	B5M19_RS01900
OG0000094	NB624_RS00030	B5M19_RS01905
OG0000095	NB624_RS00005	B5M19_RS04290
OG0000096	NB624_RS03760	B5M19_RS01935
OG0000097	NB624_RS03740	B5M19_RS01955
OG0000098	NB624_RS03730	B5M19_RS04295
OG0000099	NB624_RS03680	B5M19_RS00370
OG0000100	NB624_RS03670	B5M19_RS00385
OG0000101	NB624_RS03660	B5M19_RS00390
OG0000102	NB624_RS01705	B5M19_RS02080
OG0000103	NB624_RS02350	B5M19_RS02960
OG0000104	NB624_RS02355	B5M19_RS04460
OG0000105	NB624_RS02370	B5M19_RS02940
OG0000106	NB624_RS02380	B5M19_RS02930
OG0000107	NB624_RS02390	B5M19_RS04455
OG0000108	NB624_RS02395	B5M19_RS04620
OG0000109	NB624_RS02400	B5M19_RS02910
OG0000110	NB624_RS02525	B5M19_RS02660
OG0000111	NB624_RS02520	B5M19_RS02665
OG0000112	NB624_RS02510	B5M19_RS02675
OG0000113	NB624_RS02490	B5M19_RS02700
OG0000114	NB624_RS02485	B5M19_RS02710
OG0000115	NB624_RS02470	B5M19_RS03610
OG0000116	NB624_RS01290	B5M19_RS02580
OG0000117	NB624_RS01295	B5M19_RS02575
OG0000118	NB624_RS01330	B5M19_RS01235
OG0000119	NB624_RS01335	B5M19_RS01230
OG0000120	NB624_RS01350	B5M19_RS01215
OG0000121	NB624_RS01375	B5M19_RS01190
OG0000122	NB624_RS01380	B5M19_RS01185
OG0000123	NB624_RS01400	B5M19_RS01165
OG0000124	NB624_RS01405	B5M19_RS01160
OG0000125	NB624_RS01410	B5M19_RS01155
OG0000126	NB624_RS01420	B5M19_RS01145
OG0000127	NB624_RS01430	B5M19_RS01135
OG0000128	NB624_RS01445	B5M19_RS01115
OG0000129	NB624_RS01450	B5M19_RS01110
OG0000130	NB624_RS01460	B5M19_RS01100
OG0000131	NB624_RS01490	B5M19_RS01075
OG0000132	NB624_RS01505	B5M19_RS01060
OG0000133	NB624_RS00525	B5M19_RS02380
OG0000134	NB624_RS00530	B5M19_RS02385
OG0000135	NB624_RS00545	B5M19_RS02400
OG0000136	NB624_RS00550	B5M19_RS02405
OG0000137	NB624_RS00580	B5M19_RS02445
OG0000138	NB624_RS01060	B5M19_RS03090
OG0000139	NB624_RS01030	B5M19_RS03070
OG0000140	NB624_RS01025	B5M19_RS03065
OG0000141	NB624_RS03090	B5M19_RS01330
OG0000142	NB624_RS03085	B5M19_RS01335
OG0000143	NB624_RS03070	B5M19_RS01360
OG0000144	NB624_RS03055	B5M19_RS01370
OG0000145	NB624_RS03045	B5M19_RS01380
OG0000146	NB624_RS03035	B5M19_RS01390
OG0000147	NB624_RS03030	B5M19_RS01395
OG0000148	NB624_RS03015	B5M19_RS01410
OG0000149	NB624_RS03005	B5M19_RS01420
OG0000150	NB624_RS02990	B5M19_RS04180
OG0000151	NB624_RS02945	B5M19_RS02540
OG0000152	NB624_RS02940	B5M19_RS02535
OG0000153	NB624_RS02935	B5M19_RS02530
OG0000154	NB624_RS02925	B5M19_RS02520
OG0000155	NB624_RS02885	B5M19_RS02480
OG0000156	NB624_RS02880	B5M19_RS00860
OG0000157	NB624_RS02870	B5M19_RS00865
OG0000158	NB624_RS02860	B5M19_RS04580
OG0000159	NB624_RS02610	B5M19_RS02810
