Orthogroup	MHP_154B_genes	MHP_UFV01_genes
OG0000000	NB624_RS02330	FEF30_RS02570
OG0000000	NB624_RS02230	FEF30_RS02505
OG0000000	NB624_RS01725	FEF30_RS02035
OG0000001	NB624_RS01275, NB624_RS01270	FEF30_RS01595
OG0000001	NB624_RS02960	FEF30_RS03180
OG0000001	NB624_RS02915	FEF30_RS03125
OG0000002	NB624_RS02340	FEF30_RS02580
OG0000002	NB624_RS02245	FEF30_RS04340
OG0000002	NB624_RS01730	FEF30_RS04295
OG0000003	NB624_RS01750, NB624_RS00505	FEF30_RS04200
OG0000004	NB624_RS03355	FEF30_RS03540
OG0000005	NB624_RS00100	FEF30_RS00415
OG0000005	NB624_RS00105	FEF30_RS00425
OG0000006	NB624_RS02645	FEF30_RS02730
OG0000006	NB624_RS02465	FEF30_RS02700
OG0000007	NB624_RS02305	FEF30_RS02545
OG0000008	NB624_RS02450	FEF30_RS02685
OG0000008	NB624_RS01625, NB624_RS01635	FEF30_RS01955
OG0000008	NB624_RS02665	FEF30_RS02885
OG0000009	NB624_RS01015	FEF30_RS00980
OG0000009	NB624_RS01000	FEF30_RS00990
OG0000010	NB624_RS01855	FEF30_RS02240, FEF30_RS01880, FEF30_RS04280
OG0000011	NB624_RS01955	FEF30_RS02330
OG0000011	NB624_RS01950	FEF30_RS02325
OG0000012	NB624_RS02895, NB624_RS01075	FEF30_RS03655
OG0000013	NB624_RS02540	FEF30_RS02775
OG0000013	NB624_RS00185	FEF30_RS00500
OG0000014	NB624_RS00595	FEF30_RS00910
OG0000014	NB624_RS01090	FEF30_RS01400
OG0000014	NB624_RS01080	FEF30_RS04210
OG0000015	NB624_RS01620	FEF30_RS01950
OG0000016	NB624_RS03000	FEF30_RS03220
OG0000016	NB624_RS00170	FEF30_RS00485
OG0000017	NB624_RS00155	FEF30_RS00470
OG0000017	NB624_RS03010	FEF30_RS03230
OG0000020	NB624_RS03690	FEF30_RS00265
OG0000020	NB624_RS03695	FEF30_RS03755
OG0000022	NB624_RS01660	FEF30_RS01975
OG0000022	NB624_RS01715	FEF30_RS04290
OG0000023	NB624_RS01310	FEF30_RS01630, FEF30_RS02055
OG0000024	NB624_RS02910	FEF30_RS03120
OG0000024	NB624_RS01265	FEF30_RS01585
OG0000025	NB624_RS01665	FEF30_RS04285
OG0000025	NB624_RS01710	FEF30_RS02025
OG0000026	NB624_RS01355	FEF30_RS01680
OG0000026	NB624_RS01690	FEF30_RS02005
OG0000027	NB624_RS03505	FEF30_RS00060
OG0000030	NB624_RS03495	FEF30_RS04110
OG0000035	NB624_RS03370	FEF30_RS03545
OG0000036	NB624_RS00120	FEF30_RS00430
OG0000036	NB624_RS00125	FEF30_RS00445
OG0000038	NB624_RS00495	FEF30_RS00810
OG0000039	NB624_RS01605	FEF30_RS01930
OG0000040	NB624_RS03440	FEF30_RS03620
OG0000041	NB624_RS01010	FEF30_RS00985
OG0000042	NB624_RS03095	FEF30_RS03315
OG0000043	NB624_RS01920	FEF30_RS02295, FEF30_RS02105
OG0000044	NB624_RS01675	FEF30_RS04460
OG0000044	NB624_RS01795	FEF30_RS02200
OG0000045	NB624_RS01610	FEF30_RS01935, FEF30_RS01940
OG0000046	NB624_RS03445, NB624_RS03450	FEF30_RS04495
OG0000048	NB624_RS02205	FEF30_RS02480
OG0000049	NB624_RS03210	FEF30_RS03400
OG0000050	NB624_RS02595	FEF30_RS02820
OG0000051	NB624_RS02825	FEF30_RS03030
OG0000052	NB624_RS00075	FEF30_RS00405
OG0000053	NB624_RS01440	FEF30_RS04260
OG0000054	NB624_RS02620	FEF30_RS02845
OG0000055	NB624_RS00130	FEF30_RS00450
OG0000056	NB624_RS03675	FEF30_RS00250
OG0000057	NB624_RS03080	FEF30_RS03300
OG0000058	NB624_RS02160	FEF30_RS02120
OG0000059	NB624_RS02130	FEF30_RS02110
OG0000061	NB624_RS01865	FEF30_RS01900
OG0000062	NB624_RS03725	FEF30_RS00295
OG0000063	NB624_RS03720	FEF30_RS04165
OG0000064	NB624_RS03710	FEF30_RS00280
OG0000065	NB624_RS02385	FEF30_RS02625
OG0000066	NB624_RS01345	FEF30_RS01670
OG0000067	NB624_RS00520	FEF30_RS00835
OG0000068	NB624_RS01035	FEF30_RS00960
OG0000069	NB624_RS02975	FEF30_RS03195
OG0000070	NB624_RS02625	FEF30_RS02850
OG0000071	NB624_RS03430	FEF30_RS03610
OG0000072	NB624_RS03435	FEF30_RS04405
OG0000073	NB624_RS00975	FEF30_RS01015
OG0000074	NB624_RS00775	FEF30_RS04230
OG0000075	NB624_RS00340	FEF30_RS00655
OG0000077	NB624_RS00440	FEF30_RS00755
OG0000078	NB624_RS01680	FEF30_RS01995
OG0000079	NB624_RS02715	FEF30_RS02935
OG0000080	NB624_RS02770	FEF30_RS02980
OG0000081	NB624_RS00335	FEF30_RS00650
OG0000083	NB624_RS02025	FEF30_RS02400
OG0000084	NB624_RS02055	FEF30_RS02430
OG0000085	NB624_RS02060	FEF30_RS02435
OG0000086	NB624_RS02170	FEF30_RS02445
OG0000087	NB624_RS02185	FEF30_RS02460
OG0000088	NB624_RS02190	FEF30_RS02465
OG0000089	NB624_RS02200	FEF30_RS02475
OG0000090	NB624_RS00070	FEF30_RS00400
OG0000091	NB624_RS00055	FEF30_RS00385
OG0000092	NB624_RS00045	FEF30_RS00370
OG0000093	NB624_RS00035	FEF30_RS00365
OG0000094	NB624_RS00030	FEF30_RS00360
OG0000095	NB624_RS00005	FEF30_RS00335
OG0000096	NB624_RS03760	FEF30_RS00330
OG0000097	NB624_RS03740	FEF30_RS00310
OG0000098	NB624_RS03730	FEF30_RS00300
OG0000099	NB624_RS03680	FEF30_RS04160
OG0000100	NB624_RS03670	FEF30_RS00240
OG0000101	NB624_RS03660	FEF30_RS00235
OG0000102	NB624_RS01705	FEF30_RS02020
OG0000103	NB624_RS02350	FEF30_RS02590
OG0000104	NB624_RS02355	FEF30_RS02595
OG0000105	NB624_RS02370	FEF30_RS02610
OG0000106	NB624_RS02380	FEF30_RS02620
OG0000107	NB624_RS02390	FEF30_RS02630
OG0000108	NB624_RS02395	FEF30_RS02635
OG0000109	NB624_RS02400	FEF30_RS02640
OG0000110	NB624_RS02525	FEF30_RS02760
OG0000111	NB624_RS02520	FEF30_RS02755
OG0000112	NB624_RS02510	FEF30_RS02745
