Orthogroup	MHP_154B_genes	MHP_MHP650_genes
OG0000000	NB624_RS02330	DR083_RS02765
OG0000000	NB624_RS01725	DR083_RS04215
OG0000001	NB624_RS01275, NB624_RS01270	DR083_RS04075
OG0000001	NB624_RS02960	DR083_RS00590
OG0000001	NB624_RS02915	DR083_RS00540
OG0000002	NB624_RS02340, NB624_RS02335	DR083_RS04320
OG0000002	NB624_RS02245	DR083_RS04915
OG0000002	NB624_RS01730	DR083_RS04760
OG0000003	NB624_RS01755	DR083_RS04940
OG0000003	NB624_RS01835	DR083_RS03840
OG0000004	NB624_RS03360	DR083_RS03460
OG0000004	NB624_RS03175	DR083_RS01645
OG0000005	NB624_RS00100	DR083_RS03065
OG0000005	NB624_RS00105	DR083_RS04870
OG0000006	NB624_RS02645	DR083_RS03320
OG0000007	NB624_RS02305	DR083_RS03470
OG0000008	NB624_RS02450	DR083_RS04510
OG0000008	NB624_RS02665	DR083_RS04540
OG0000009	NB624_RS01015	DR083_RS01225
OG0000009	NB624_RS00085	DR083_RS05040
OG0000009	NB624_RS01000	DR083_RS01240
OG0000010	NB624_RS01855	DR083_RS02305, DR083_RS04470, DR083_RS04910
OG0000011	NB624_RS01955	DR083_RS01555
OG0000011	NB624_RS01950	DR083_RS01550
OG0000012	NB624_RS02895, NB624_RS01075	DR083_RS03720
OG0000013	NB624_RS02540	DR083_RS05105
OG0000013	NB624_RS00185	DR083_RS03885
OG0000014	NB624_RS00595	DR083_RS03770
OG0000014	NB624_RS01080	DR083_RS04890
OG0000015	NB624_RS01565	DR083_RS02965
OG0000016	NB624_RS03000	DR083_RS00630
OG0000016	NB624_RS00170	DR083_RS00040
OG0000017	NB624_RS00155	DR083_RS00025
OG0000017	NB624_RS03010	DR083_RS00640
OG0000019	NB624_RS03200	DR083_RS04180
OG0000020	NB624_RS03690	DR083_RS04635
OG0000020	NB624_RS03695	DR083_RS04640
OG0000021	NB624_RS01760	DR083_RS02215, DR083_RS03855
OG0000022	NB624_RS01660	DR083_RS02055
OG0000022	NB624_RS01715	DR083_RS04755
OG0000023	NB624_RS01310	DR083_RS02935
OG0000024	NB624_RS02910	DR083_RS03365
OG0000024	NB624_RS01265	DR083_RS01215
OG0000025	NB624_RS01665	DR083_RS04750
OG0000025	NB624_RS01710	DR083_RS02105
OG0000026	NB624_RS01355	DR083_RS01120
OG0000026	NB624_RS01690	DR083_RS02085
OG0000027	NB624_RS03505	DR083_RS02995
OG0000028	NB624_RS02565	DR083_RS00320, DR083_RS00315
OG0000030	NB624_RS03495	DR083_RS04855
OG0000031	NB624_RS02150	DR083_RS02520
OG0000032	NB624_RS01570	DR083_RS03590
