Orthogroup	MHP_154B_genes	MFC_MF29_genes
OG0000000	NB624_RS02330	DR095_RS03080
OG0000000	NB624_RS02225, NB624_RS02235	DR095_RS03160
OG0000000	NB624_RS02220	DR095_RS03130, DR095_RS03185, DR095_RS03115
OG0000000	NB624_RS01725	DR095_RS01240
OG0000001	NB624_RS01275, NB624_RS01270, NB624_RS02960, NB624_RS02915	DR095_RS00305, DR095_RS00300
OG0000002	NB624_RS02245	DR095_RS04030
OG0000002	NB624_RS01730	DR095_RS03820
OG0000007	NB624_RS02305	DR095_RS03025
OG0000008	NB624_RS01625, NB624_RS01635	DR095_RS03220
OG0000011	NB624_RS01955	DR095_RS03240, DR095_RS03235
OG0000011	NB624_RS01950	DR095_RS03230
OG0000013	NB624_RS02540	DR095_RS00580, DR095_RS00575
OG0000013	NB624_RS00185	DR095_RS03215
OG0000014	NB624_RS00595, NB624_RS01090, NB624_RS01080	DR095_RS03760
OG0000016	NB624_RS03000	DR095_RS00250
OG0000017	NB624_RS00155	DR095_RS01000
OG0000017	NB624_RS03010	DR095_RS00240
OG0000018	NB624_RS02095	DR095_RS03835
OG0000019	NB624_RS03200	DR095_RS03740
OG0000020	NB624_RS03690	DR095_RS03810
OG0000020	NB624_RS03695	DR095_RS03805
OG0000022	NB624_RS01715	DR095_RS03815
OG0000023	NB624_RS01310	DR095_RS01405, DR095_RS03490, DR095_RS01955
OG0000024	NB624_RS02910, NB624_RS01265	DR095_RS00310
OG0000025	NB624_RS01710	DR095_RS01230
OG0000026	NB624_RS01355, NB624_RS01690	DR095_RS01450
OG0000030	NB624_RS03495	DR095_RS03965
OG0000031	NB624_RS01595	DR095_RS02710
OG0000033	NB624_RS02560	DR095_RS00600, DR095_RS03210
OG0000039	NB624_RS01605	DR095_RS00145
OG0000040	NB624_RS03440	DR095_RS01945, DR095_RS00375, DR095_RS00380
OG0000042	NB624_RS03095	DR095_RS00140, DR095_RS00285
OG0000043	NB624_RS01920	DR095_RS01635, DR095_RS02735
OG0000045	NB624_RS01610	DR095_RS03295, DR095_RS03300
OG0000048	NB624_RS02205	DR095_RS03095, DR095_RS02830
OG0000049	NB624_RS03210	DR095_RS01755
OG0000050	NB624_RS02595	DR095_RS03970
OG0000051	NB624_RS02825	DR095_RS01545
OG0000052	NB624_RS00075	DR095_RS01040
OG0000053	NB624_RS01440	DR095_RS03995, DR095_RS01535
OG0000054	NB624_RS02620	DR095_RS00625
OG0000055	NB624_RS00130	DR095_RS01035
OG0000056	NB624_RS03675	DR095_RS01205
OG0000057	NB624_RS03080	DR095_RS00165
OG0000058	NB624_RS02160	DR095_RS01620
OG0000059	NB624_RS02130	DR095_RS03480
OG0000062	NB624_RS03725	DR095_RS01150
OG0000063	NB624_RS03720	DR095_RS01155
OG0000064	NB624_RS03710	DR095_RS01165
OG0000065	NB624_RS02385	DR095_RS01310
OG0000066	NB624_RS01345	DR095_RS01440
OG0000068	NB624_RS01035	DR095_RS00120
OG0000069	NB624_RS02975	DR095_RS00275
OG0000070	NB624_RS02625	DR095_RS00605
OG0000071	NB624_RS03430	DR095_RS01935
OG0000072	NB624_RS03435	DR095_RS03885
OG0000073	NB624_RS00975	DR095_RS02080
OG0000075	NB624_RS00340	DR095_RS00815
OG0000077	NB624_RS00440	DR095_RS00715
OG0000079	NB624_RS02715	DR095_RS00525
OG0000080	NB624_RS02770	DR095_RS03375
OG0000081	NB624_RS00335	DR095_RS00820
OG0000083	NB624_RS02025	DR095_RS03045
OG0000084	NB624_RS02055	DR095_RS02880
OG0000085	NB624_RS02060	DR095_RS02875
OG0000086	NB624_RS02170	DR095_RS03990
