Orthogroup	MFC_MF33_protein	MHP_F72C_protein
OG0000000	WP_002557520.1	WP_146379632.1
OG0000000	WP_308704744.1, WP_220190082.1	WP_146379608.1
OG0000001	WP_308704745.1	WP_225973026.1, WP_225973019.1
OG0000002	WP_160609295.1, WP_258556745.1	WP_225973006.1
OG0000002	WP_160609296.1	WP_225972984.1
OG0000006	WP_160609255.1	WP_146379526.1, WP_146379490.1
OG0000007	WP_308704748.1	WP_225973044.1
OG0000007	WP_220190092.1	WP_225973043.1
OG0000007	WP_308704746.1	WP_146379517.1
OG0000009	WP_160609297.1	WP_146379651.1
OG0000010	WP_258556753.1	WP_225972991.1
OG0000016	WP_160609298.1	WP_225972986.1, WP_225972985.1
OG0000018	WP_160609259.1, WP_160609271.1	WP_146379699.1
OG0000022	WP_220189984.1	WP_225972983.1
OG0000023	WP_258556766.1, WP_308704725.1	WP_146379737.1
OG0000025	WP_144245607.1	WP_225973032.1
OG0000026	WP_160609423.1	WP_146379653.1
OG0000027	WP_220190012.1	WP_225972999.1, WP_225973000.1
OG0000029	WP_160609261.1, WP_160609260.1	WP_146379572.1
OG0000030	WP_160583877.1	WP_146379673.1
OG0000034	WP_160609300.1	WP_146379656.1
OG0000035	WP_160609283.1	WP_146379578.1
OG0000036	WP_160609301.1	WP_041361671.1
OG0000039	WP_160609441.1	WP_146379601.1
OG0000040	WP_002557452.1	WP_146379595.1
OG0000041	WP_220190067.1	WP_192894283.1
OG0000042	WP_160609396.1	WP_146379765.1
OG0000043	WP_160609398.1	WP_146379762.1
OG0000044	WP_160609402.1	WP_146379583.1
OG0000045	WP_160583941.1	WP_011290219.1
OG0000046	WP_002557593.1	WP_011206103.1
OG0000047	WP_160583671.1	WP_225972996.1
OG0000048	WP_160609268.1	WP_146379688.1
OG0000049	WP_002557626.1	WP_011206373.1
OG0000050	WP_160609299.1	WP_146379657.1
OG0000051	WP_002557671.1	WP_044272532.1
OG0000052	WP_160584006.1	WP_044272529.1
OG0000053	WP_002557698.1	WP_094521497.1
OG0000054	WP_160609326.1	WP_146379716.1
OG0000055	WP_160609328.1	WP_146379721.1
OG0000056	WP_160609337.1	WP_146379735.1
OG0000057	WP_002557776.1	WP_011290028.1
OG0000058	WP_160609339.1	WP_146379512.1
OG0000059	WP_308704727.1	WP_044284596.1
OG0000060	WP_160609313.1	WP_011290055.1
OG0000061	WP_002557829.1	WP_011206035.1
OG0000062	WP_160609319.1	WP_146379532.1
OG0000063	WP_002557882.1	WP_146379774.1
OG0000064	WP_160609393.1	WP_146379458.1
OG0000065	WP_160581028.1	WP_146379474.1
OG0000066	WP_160609246.1	WP_146379479.1
OG0000067	WP_160581384.1	WP_146379752.1
OG0000068	WP_160609413.1	WP_146379748.1
OG0000069	WP_002557977.1	WP_146379658.1
OG0000070	WP_160609290.1	WP_146379663.1
OG0000071	WP_160609272.1	WP_146379686.1
OG0000072	WP_160609415.1	WP_146379745.1
OG0000073	WP_196792423.1	WP_192894279.1
OG0000074	WP_258556751.1	WP_146379697.1
OG0000075	WP_231237865.1	WP_146379547.1
OG0000076	WP_308704737.1	WP_192894285.1
OG0000077	WP_308704724.1	WP_225973010.1
OG0000079	WP_052234586.1	WP_225973041.1
OG0000080	WP_160609442.1	WP_146379600.1
OG0000081	WP_160581484.1	WP_146379599.1
OG0000082	WP_160609445.1	WP_146379598.1
OG0000083	WP_160609431.1	WP_146379596.1
OG0000084	WP_002557451.1	WP_011284142.1
OG0000085	WP_160581449.1	WP_146379594.1
OG0000086	WP_160609432.1	WP_146379593.1
OG0000087	WP_160609433.1	WP_225973040.1
OG0000088	WP_236681783.1	WP_020835732.1
OG0000089	WP_160581443.1	WP_146379590.1
OG0000090	WP_002557461.1	WP_011290212.1
OG0000091	WP_002557464.1	WP_146379447.1
OG0000092	WP_002557465.1	WP_094521535.1
OG0000093	WP_160609388.1	WP_011289935.1
OG0000094	WP_160609387.1	WP_020835487.1
OG0000095	WP_160581091.1	WP_011205849.1
OG0000096	WP_160609386.1	WP_146379445.1
OG0000097	WP_160609385.1	WP_011205847.1
OG0000098	WP_002557472.1	WP_020835484.1
OG0000099	WP_160581096.1	WP_014579519.1
OG0000100	WP_160609383.1	WP_146379443.1
OG0000101	WP_002557478.1	WP_146379442.1
OG0000102	WP_160609382.1	WP_044272251.1
OG0000103	WP_002557480.1	WP_011206529.1
OG0000104	WP_160609380.1	WP_146379772.1
OG0000105	WP_002557483.1	WP_146379771.1
OG0000106	WP_160609379.1	WP_146379770.1
OG0000107	WP_160609378.1	WP_146379769.1
OG0000108	WP_160581109.1	WP_011290443.1
OG0000109	WP_160609377.1	WP_146379768.1
OG0000110	WP_160581114.1	WP_011290440.1
OG0000111	WP_002557497.1	WP_011206510.1
OG0000112	WP_002557499.1	WP_225973035.1
OG0000113	WP_160609399.1	WP_146379580.1
OG0000114	WP_160609400.1	WP_146379581.1
OG0000115	WP_160609358.1	WP_146379627.1
OG0000116	WP_002557510.1	WP_011206239.1
OG0000117	WP_002557511.1	WP_146379628.1
OG0000118	WP_002557514.1	WP_146379630.1
OG0000119	WP_160583937.1	WP_014579831.1
OG0000120	WP_160609357.1	WP_146379631.1
OG0000121	WP_002557518.1	WP_011284169.1
OG0000122	WP_308704655.1	WP_192894278.1
OG0000123	WP_160581160.1	WP_146379648.1
OG0000124	WP_002557523.1	WP_225972982.1
OG0000125	WP_160609356.1	WP_146379646.1
OG0000126	WP_002557525.1	WP_225972981.1
OG0000127	WP_002557526.1	WP_146379644.1
OG0000128	WP_160609354.1	WP_146379641.1
OG0000129	WP_258556771.1	WP_225972979.1
OG0000130	WP_160609353.1	WP_011290245.1
OG0000131	WP_160609352.1	WP_146379548.1
OG0000132	WP_160609351.1	WP_146379549.1
OG0000133	WP_160609350.1	WP_146379550.1
OG0000134	WP_160581180.1	WP_146379552.1
OG0000135	WP_002557538.1	WP_146379553.1
OG0000136	WP_002557540.1	WP_011290108.1
OG0000137	WP_160581187.1	WP_135618686.1
OG0000138	WP_002557542.1	WP_020835639.1
OG0000139	WP_160609349.1	WP_011205965.1
OG0000140	WP_160609348.1	WP_011284027.1
OG0000141	WP_160581190.1	WP_192894288.1
OG0000142	WP_160609347.1	WP_146379557.1
OG0000143	WP_002557549.1	WP_020835643.1
OG0000144	WP_002557551.1	WP_020835645.1
OG0000145	WP_160581199.1	WP_011205954.1
OG0000146	WP_002557554.1	WP_011205953.1
OG0000147	WP_160581203.1	WP_011205952.1
OG0000148	WP_160605532.1	WP_146379560.1
OG0000149	WP_160609346.1	WP_146379561.1
OG0000150	WP_160583976.1	WP_146379562.1
OG0000151	WP_160609345.1	WP_146379563.1
OG0000152	WP_160603202.1	WP_146379564.1
OG0000153	WP_160609344.1	WP_014579732.1
OG0000154	WP_160609343.1	WP_146379565.1
OG0000155	WP_160593526.1	WP_011284046.1
OG0000156	WP_002557566.1	WP_146379566.1
OG0000157	WP_160609342.1	WP_014579735.1
OG0000158	WP_002557569.1	WP_135618714.1
OG0000159	WP_160609247.1	WP_041361727.1
OG0000160	WP_160609248.1	WP_146379483.1
OG0000161	WP_002557574.1	WP_014579589.1
OG0000162	WP_160609249.1	WP_225973012.1
OG0000163	WP_160609250.1	WP_011206121.1
OG0000164	WP_002557577.1	WP_011206120.1
OG0000165	WP_002557578.1	WP_011206119.1
OG0000166	WP_160609251.1	WP_146379485.1
OG0000167	WP_308704722.1	WP_146379486.1
OG0000168	WP_160583687.1	WP_011206113.1
OG0000169	WP_002557589.1	WP_146379493.1
OG0000170	WP_160583684.1	WP_146379494.1
OG0000171	WP_160609258.1	WP_011206102.1
OG0000172	WP_002557595.1	WP_146379496.1
OG0000173	WP_002557602.1	WP_146379698.1
OG0000174	WP_002557603.1	WP_011284289.1
OG0000175	WP_160580878.1	WP_146379696.1
OG0000176	WP_002557607.1	WP_011206391.1
OG0000177	WP_160583674.1	WP_146379695.1
OG0000178	WP_002557609.1	WP_146379694.1
OG0000179	WP_160609263.1	WP_146379693.1
OG0000180	WP_002557613.1	WP_146379692.1
OG0000181	WP_002557614.1	WP_011206384.1
OG0000182	WP_160580892.1	WP_020835840.1
OG0000183	WP_160583667.1	WP_135619012.1
OG0000184	WP_002557620.1	WP_011290331.1
OG0000185	WP_160609266.1	WP_146379690.1
OG0000186	WP_002557622.1	WP_146379689.1
OG0000187	WP_002557623.1	WP_135619006.1
OG0000188	WP_160609269.1	WP_146379687.1
OG0000189	WP_160609274.1	WP_020835828.1
OG0000190	WP_160609275.1	WP_020835827.1
OG0000191	WP_160609276.1	WP_146379685.1
OG0000192	WP_160609277.1	WP_011206345.1
OG0000193	WP_160609278.1	WP_146379682.1
OG0000194	WP_160609279.1	WP_020835820.1
OG0000195	WP_160609280.1	WP_146379681.1
OG0000196	WP_160583648.1	WP_011206335.1
OG0000197	WP_160609306.1	WP_011206334.1
OG0000198	WP_160609281.1	WP_146379680.1
OG0000199	WP_002557667.1	WP_011206289.1
OG0000200	WP_002557668.1	WP_179221158.1
OG0000201	WP_160593407.1	WP_146379654.1
OG0000202	WP_160609421.1	WP_146379570.1
OG0000203	WP_160609420.1	WP_011290137.1
OG0000204	WP_160581414.1	WP_146379571.1
OG0000205	WP_160581416.1	WP_014579804.1
OG0000206	WP_002557680.1	WP_011206196.1
OG0000207	WP_160609418.1	WP_146379611.1
OG0000208	WP_160609417.1	WP_146379610.1
OG0000209	WP_002557684.1	WP_011206200.1
OG0000210	WP_160609426.1	WP_011290193.1
OG0000211	WP_220190081.1	WP_146379605.1
OG0000212	WP_160581429.1	WP_011206207.1
OG0000213	WP_002557693.1	WP_146379604.1
OG0000214	WP_160609325.1	WP_146379715.1
OG0000215	WP_160581256.1	WP_146379717.1
OG0000216	WP_002557707.1	WP_011206424.1
OG0000217	WP_002557708.1	WP_011284312.1
OG0000218	WP_002557709.1	WP_146379719.1
OG0000219	WP_160609329.1	WP_146379722.1
OG0000220	WP_160581263.1	WP_135619070.1
OG0000221	WP_002557715.1	WP_020835872.1
OG0000222	WP_160609331.1	WP_146379725.1
OG0000223	WP_160609332.1	WP_146379726.1
OG0000224	WP_002557721.1	WP_044272620.1
OG0000225	WP_039387689.1	WP_146379727.1
OG0000226	WP_160609333.1	WP_020835880.1
OG0000227	WP_002557725.1	WP_081642895.1
OG0000228	WP_160609334.1	WP_081642900.1
OG0000229	WP_160609335.1	WP_020835888.1
OG0000230	WP_160603214.1	WP_011206453.1
OG0000231	WP_002557731.1	WP_146379732.1
OG0000232	WP_160581280.1	WP_146379733.1
OG0000233	WP_002557733.1	WP_146379734.1
OG0000234	WP_002557734.1	WP_011206458.1
OG0000235	WP_002557735.1	WP_011206459.1
OG0000236	WP_160609338.1	WP_146379736.1
OG0000237	WP_002557739.1	WP_011206469.1
OG0000238	WP_160581467.1	WP_146379743.1
OG0000239	WP_160609439.1	WP_146379742.1
OG0000240	WP_160609438.1	WP_146379741.1
OG0000241	WP_002557743.1	WP_146379740.1
OG0000242	WP_160609416.1	WP_146379744.1
OG0000243	WP_002557749.1	WP_146379568.1
OG0000244	WP_160603234.1	WP_020835656.1
OG0000245	WP_002557751.1	WP_011290131.1
OG0000246	WP_002557752.1	WP_020835657.1
OG0000247	WP_002557753.1	WP_011284055.1
OG0000248	WP_002557754.1	WP_011284056.1
OG0000249	WP_160603230.1	WP_011205932.1
OG0000250	WP_160609372.1	WP_146379638.1
OG0000251	WP_160605458.1	WP_146379637.1
OG0000252	WP_220190045.1	WP_225972976.1
OG0000253	WP_258556776.1	WP_146379633.1
OG0000254	WP_160609368.1	WP_146379779.1
OG0000255	WP_002557766.1	WP_094521610.1
OG0000256	WP_160583987.1	WP_146379540.1
OG0000257	WP_002557768.1	WP_011290023.1
OG0000258	WP_002557769.1	WP_094521583.1
OG0000259	WP_160609366.1	WP_011206093.1
OG0000260	WP_002557773.1	WP_020835572.1
OG0000261	WP_002557774.1	WP_179695841.1
OG0000262	WP_002557775.1	WP_041361572.1
OG0000263	WP_160605468.1	WP_011283930.1
OG0000264	WP_002557779.1	WP_011206086.1
