Orthogroup	MFC_MF33_protein	MHP_LH_protein
OG0000000	WP_002557520.1	WP_233688434.1
OG0000000	WP_308704744.1, WP_220190082.1	WP_233688757.1
OG0000001	WP_258556794.1, WP_308704745.1	WP_233688427.1
OG0000002	WP_160609295.1, WP_258556745.1	WP_233688607.1
OG0000002	WP_160609296.1	WP_233688454.1
OG0000005	WP_160609401.1	WP_233688764.1
OG0000006	WP_160609255.1	WP_233688641.1, WP_233688640.1, WP_233688670.1
OG0000007	WP_308704750.1	WP_233688769.1
OG0000007	WP_220190092.1	WP_233688767.1
OG0000007	WP_308704746.1	WP_233688768.1
OG0000009	WP_160609297.1	WP_233688461.1
OG0000010	WP_258556753.1	WP_233688495.1, WP_233688699.1
OG0000016	WP_160609298.1	WP_233688460.1, WP_233688459.1, WP_233688456.1
OG0000018	WP_160609259.1, WP_160609271.1	WP_233688512.1
OG0000021	WP_220189981.1	WP_233688684.1
OG0000022	WP_220189984.1	WP_233688453.1
OG0000023	WP_258556766.1, WP_308704725.1	WP_233688550.1
OG0000025	WP_144245607.1	WP_020835667.1
OG0000026	WP_160609423.1	WP_233688465.1
OG0000027	WP_220190012.1	WP_233688518.1, WP_233688520.1, WP_233688522.1
OG0000029	WP_160609261.1, WP_160609260.1	WP_011290139.1
OG0000030	WP_160583877.1	WP_233688485.1
OG0000034	WP_160609300.1	WP_044272538.1
OG0000035	WP_160609283.1	WP_233688734.1
OG0000036	WP_160609301.1	WP_233688467.1
OG0000039	WP_160609441.1	WP_011206214.1
OG0000040	WP_002557452.1	WP_233688415.1
OG0000041	WP_220190067.1	WP_233688578.1
OG0000042	WP_160609396.1	WP_233688575.1
OG0000043	WP_160609398.1	WP_233688571.1
OG0000044	WP_160609402.1	WP_233688740.1
OG0000045	WP_160583941.1	WP_011290219.1
OG0000046	WP_002557593.1	WP_011206103.1
OG0000047	WP_160583671.1	WP_228365394.1
OG0000048	WP_160609268.1	WP_044272567.1
OG0000049	WP_002557626.1	WP_011206373.1
OG0000050	WP_160609299.1	WP_011206292.1
OG0000051	WP_002557671.1	WP_135619210.1
OG0000052	WP_160584006.1	WP_233688464.1
OG0000053	WP_002557698.1	WP_094521497.1
OG0000054	WP_160609326.1	WP_233688526.1
OG0000055	WP_160609328.1	WP_233688530.1
OG0000056	WP_160609337.1	WP_233688548.1
OG0000057	WP_002557776.1	WP_233688645.1
OG0000058	WP_160609339.1	WP_233688659.1
OG0000059	WP_308704727.1	WP_233688661.1
OG0000060	WP_160609313.1	WP_011206046.1
OG0000061	WP_002557829.1	WP_011206035.1
OG0000062	WP_160609319.1	WP_233688675.1
OG0000063	WP_002557882.1	WP_014579535.1
OG0000064	WP_160609393.1	WP_233688604.1
OG0000065	WP_160581028.1	WP_014579568.1
OG0000066	WP_160609246.1	WP_233688625.1
OG0000067	WP_160581384.1	WP_011206493.1
OG0000068	WP_160609413.1	WP_233688558.1
OG0000069	WP_002557977.1	WP_020835790.1
OG0000070	WP_160609290.1	WP_233688475.1
OG0000071	WP_160609272.1	WP_233688499.1
OG0000072	WP_160609415.1	WP_233688554.1
OG0000073	WP_196792423.1	WP_233688480.1
OG0000074	WP_258556751.1	WP_233688511.1
OG0000075	WP_231237865.1	WP_233688698.1
OG0000076	WP_308704737.1	WP_233688649.1
