Orthogroup	MHP_168L_genes	MHP_KM014_genes
OG0000000	MHP168L_RS03890	CIB43_RS03010
OG0000000	MHP168L_RS03865	CIB43_RS02595
OG0000001	MHP168L_RS03950	CIB43_RS02150
OG0000001	MHP168L_RS02830	CIB43_RS03715
OG0000001	MHP168L_RS02780, MHP168L_RS02785	CIB43_RS03670
OG0000002	MHP168L_RS04010	CIB43_RS03100
OG0000002	MHP168L_RS03840	CIB43_RS04020
OG0000002	MHP168L_RS01710	CIB43_RS02610
OG0000003	MHP168L_RS01860	CIB43_RS01390
OG0000003	MHP168L_RS03875	CIB43_RS02725
OG0000004	MHP168L_RS03190	CIB43_RS00290
OG0000005	MHP168L_RS00090	CIB43_RS00810
OG0000006	MHP168L_RS02535, MHP168L_RS02530	CIB43_RS03435
OG0000006	MHP168L_RS02345, MHP168L_RS02380	CIB43_RS03420
OG0000008	MHP168L_RS02330	CIB43_RS03225
OG0000009	MHP168L_RS03915	CIB43_RS01550
OG0000010	MHP168L_RS01950	CIB43_RS02735
OG0000010	MHP168L_RS00085	CIB43_RS00795
OG0000011	MHP168L_RS03995	CIB43_RS02850
OG0000014	MHP168L_RS01070	CIB43_RS01955
OG0000015	MHP168L_RS03530	CIB43_RS01235
OG0000015	MHP168L_RS01270	CIB43_RS00010
OG0000015	MHP168L_RS01665	CIB43_RS01220
OG0000016	MHP168L_RS02870	CIB43_RS03755
OG0000017	MHP168L_RS00135	CIB43_RS00855
OG0000017	MHP168L_RS02880	CIB43_RS03765
OG0000018	MHP168L_RS04065	CIB43_RS01250
OG0000018	MHP168L_RS04060	CIB43_RS01185
OG0000020	MHP168L_RS03595	CIB43_RS00635
OG0000021	MHP168L_RS00490	CIB43_RS02635
OG0000022	MHP168L_RS01725	CIB43_RS02590
OG0000023	MHP168L_RS03930	CIB43_RS00020
OG0000023	MHP168L_RS03545	CIB43_RS01245
OG0000024	MHP168L_RS03940	CIB43_RS02140
OG0000025	MHP168L_RS01730	CIB43_RS02585
OG0000026	MHP168L_RS01750	CIB43_RS02565
OG0000027	MHP168L_RS03345	CIB43_RS00440
OG0000028	MHP168L_RS02445, MHP168L_RS02440	CIB43_RS03340
OG0000030	MHP168L_RS03340	CIB43_RS00435
OG0000031	MHP168L_RS03575	CIB43_RS01295
OG0000031	MHP168L_RS01215	CIB43_RS00065
OG0000035	MHP168L_RS03200	CIB43_RS00280
OG0000035	MHP168L_RS03185	CIB43_RS00270
OG0000036	MHP168L_RS00110	CIB43_RS00815
OG0000038	MHP168L_RS00480, MHP168L_RS01855	CIB43_RS02625
OG0000039	MHP168L_RS01815	CIB43_RS02500
OG0000041	MHP168L_RS00985	CIB43_RS03980
OG0000042	MHP168L_RS02970	CIB43_RS03855
OG0000043	MHP168L_RS02005	CIB43_RS02825
OG0000043	MHP168L_RS01210	CIB43_RS00070
OG0000044	MHP168L_RS01900	CIB43_RS02665
OG0000045	MHP168L_RS01810	CIB43_RS02520
OG0000047	MHP168L_RS01680	CIB43_RS01205
OG0000047	MHP168L_RS01235	CIB43_RS00045
OG0000048	MHP168L_RS02210	CIB43_RS02995
OG0000049	MHP168L_RS03050	CIB43_RS00150
OG0000051	MHP168L_RS04035, MHP168L_RS02685	CIB43_RS03575
OG0000052	MHP168L_RS00075	CIB43_RS00775
OG0000053	MHP168L_RS01540	CIB43_RS02315
OG0000054	MHP168L_RS02500	CIB43_RS03395
OG0000055	MHP168L_RS00115	CIB43_RS00835
OG0000056	MHP168L_RS03515	CIB43_RS00630, CIB43_RS03960
OG0000057	MHP168L_RS02955	CIB43_RS03840
OG0000058	MHP168L_RS01190	CIB43_RS00085
OG0000058	MHP168L_RS03580	CIB43_RS01300
OG0000059	MHP168L_RS01205	CIB43_RS00080, CIB43_RS01165
OG0000060	MHP168L_RS01280, MHP168L_RS00080	CIB43_RS00780
OG0000061	MHP168L_RS01660	CIB43_RS02745
OG0000062	MHP168L_RS03630	CIB43_RS00675
OG0000063	MHP168L_RS03625	CIB43_RS00660
OG0000064	MHP168L_RS03615	CIB43_RS00650
OG0000065	MHP168L_RS04005, MHP168L_RS04000	CIB43_RS03145
OG0000068	MHP168L_RS04135	CIB43_RS01520
OG0000069	MHP168L_RS02845	CIB43_RS03740
OG0000070	MHP168L_RS02505	CIB43_RS03400
OG0000071	MHP168L_RS03265	CIB43_RS00360
OG0000072	MHP168L_RS03270	CIB43_RS00375
OG0000073	MHP168L_RS00955	CIB43_RS01580
OG0000075	MHP168L_RS00320	CIB43_RS01060
OG0000077	MHP168L_RS00425	CIB43_RS01330
OG0000078	MHP168L_RS01760	CIB43_RS02560
OG0000079	MHP168L_RS02590	CIB43_RS03480
OG0000080	MHP168L_RS03895	CIB43_RS03525
OG0000081	MHP168L_RS00315	CIB43_RS01055
OG0000082	MHP168L_RS04020	CIB43_RS03315
OG0000083	MHP168L_RS02110	CIB43_RS02935
OG0000084	MHP168L_RS02265	CIB43_RS02955
OG0000086	MHP168L_RS02250	CIB43_RS02970
OG0000087	MHP168L_RS02235	CIB43_RS02975
OG0000088	MHP168L_RS02230	CIB43_RS02980
OG0000089	MHP168L_RS02215	CIB43_RS02990
OG0000090	MHP168L_RS00070	CIB43_RS00770
OG0000091	MHP168L_RS00055	CIB43_RS00760
OG0000092	MHP168L_RS00040	CIB43_RS00745
OG0000093	MHP168L_RS00035	CIB43_RS00735
OG0000094	MHP168L_RS00030	CIB43_RS00730
OG0000095	MHP168L_RS00005	CIB43_RS00715
OG0000096	MHP168L_RS03665	CIB43_RS00700
OG0000097	MHP168L_RS03645	CIB43_RS00690
OG0000100	MHP168L_RS03505	CIB43_RS00610
OG0000101	MHP168L_RS03500	CIB43_RS00600
OG0000102	MHP168L_RS01735	CIB43_RS02580
OG0000103	MHP168L_RS02175	CIB43_RS03110
OG0000104	MHP168L_RS02170	CIB43_RS03120
OG0000105	MHP168L_RS02155	CIB43_RS03130
OG0000106	MHP168L_RS02145	CIB43_RS03140
OG0000107	MHP168L_RS02135	CIB43_RS03150
OG0000108	MHP168L_RS02130	CIB43_RS03155
OG0000109	MHP168L_RS02125	CIB43_RS03160
OG0000110	MHP168L_RS02410	CIB43_RS03290
OG0000111	MHP168L_RS02405	CIB43_RS03285
OG0000112	MHP168L_RS02395	CIB43_RS03280
OG0000113	MHP168L_RS02375	CIB43_RS03260
OG0000114	MHP168L_RS02365	CIB43_RS03245
OG0000115	MHP168L_RS02350	CIB43_RS03230
OG0000116	MHP168L_RS01385	CIB43_RS02165
OG0000117	MHP168L_RS01390	CIB43_RS02170
OG0000118	MHP168L_RS01430	CIB43_RS02205
OG0000119	MHP168L_RS01435	CIB43_RS02210
OG0000120	MHP168L_RS01450	CIB43_RS02230
OG0000121	MHP168L_RS01475	CIB43_RS02250
OG0000122	MHP168L_RS01480	CIB43_RS02255
OG0000123	MHP168L_RS01500	CIB43_RS02275
OG0000124	MHP168L_RS01505	CIB43_RS02280
OG0000125	MHP168L_RS01510	CIB43_RS02285
OG0000126	MHP168L_RS01520	CIB43_RS02295
OG0000127	MHP168L_RS01530	CIB43_RS02305
OG0000128	MHP168L_RS01545	CIB43_RS02320
OG0000129	MHP168L_RS01550	CIB43_RS02330
OG0000130	MHP168L_RS01560	CIB43_RS02335
OG0000131	MHP168L_RS01590	CIB43_RS02370
OG0000132	MHP168L_RS01605	CIB43_RS02385
OG0000133	MHP168L_RS00515	CIB43_RS01415
OG0000134	MHP168L_RS00520	CIB43_RS01425
OG0000135	MHP168L_RS00535	CIB43_RS01435
OG0000136	MHP168L_RS00540	CIB43_RS01440
OG0000137	MHP168L_RS00575	CIB43_RS01470
OG0000138	MHP168L_RS01030	CIB43_RS01495
OG0000139	MHP168L_RS01005	CIB43_RS01525
OG0000140	MHP168L_RS01000	CIB43_RS01540
OG0000141	MHP168L_RS02965	CIB43_RS03850
OG0000142	MHP168L_RS02960	CIB43_RS03845
OG0000143	MHP168L_RS02935	CIB43_RS03835
OG0000144	MHP168L_RS02925	CIB43_RS03815
OG0000145	MHP168L_RS02915	CIB43_RS03805
OG0000146	MHP168L_RS02905	CIB43_RS03790
OG0000147	MHP168L_RS02900	CIB43_RS03785
OG0000148	MHP168L_RS02885	CIB43_RS03780
OG0000149	MHP168L_RS02875	CIB43_RS03760
OG0000150	MHP168L_RS02860	CIB43_RS03745
OG0000151	MHP168L_RS02815	CIB43_RS03700
OG0000152	MHP168L_RS02810	CIB43_RS03695
OG0000153	MHP168L_RS02805	CIB43_RS03690
OG0000154	MHP168L_RS02795	CIB43_RS03680
OG0000155	MHP168L_RS02755	CIB43_RS03645
OG0000156	MHP168L_RS02745	CIB43_RS03635
OG0000157	MHP168L_RS02740	CIB43_RS03625
OG0000158	MHP168L_RS04120	CIB43_RS03620
OG0000159	MHP168L_RS04145	CIB43_RS03385
OG0000160	MHP168L_RS02485	CIB43_RS03380
OG0000161	MHP168L_RS02480	CIB43_RS03375
OG0000163	MHP168L_RS02465	CIB43_RS03370
OG0000164	MHP168L_RS01825	CIB43_RS02495
