Orthogroup	MHP_168L_genes	MHP_MHP679_genes
OG0000000	MHP168L_RS02335	DR086_RS04585
OG0000000	MHP168L_RS03865	DR086_RS04250
OG0000000	MHP168L_RS01715	DR086_RS04245
OG0000001	MHP168L_RS01370	DR086_RS03435
OG0000001	MHP168L_RS02830	DR086_RS01010
OG0000001	MHP168L_RS02780	DR086_RS03200
OG0000002	MHP168L_RS04010, MHP168L_RS03840	DR086_RS04310
OG0000002	MHP168L_RS01710	DR086_RS04880
OG0000003	MHP168L_RS01860	DR086_RS00625, DR086_RS03690
OG0000003	MHP168L_RS03875	DR086_RS05085
OG0000004	MHP168L_RS03190, MHP168L_RS03195	DR086_RS03630
OG0000004	MHP168L_RS03205	DR086_RS03555
OG0000005	MHP168L_RS00090	DR086_RS03245
OG0000005	MHP168L_RS00100	DR086_RS03255
OG0000005	MHP168L_RS00105	DR086_RS05035
OG0000008	MHP168L_RS01795	DR086_RS04265
OG0000008	MHP168L_RS04025	DR086_RS02140
OG0000010	MHP168L_RS01950	DR086_RS00810
OG0000011	MHP168L_RS03995	DR086_RS00450
OG0000011	MHP168L_RS02035	DR086_RS00445
OG0000013	MHP168L_RS02430	DR086_RS03105
OG0000013	MHP168L_RS03905	DR086_RS04005
OG0000014	MHP168L_RS01070	DR086_RS03610
OG0000014	MHP168L_RS01055	DR086_RS04970
OG0000015	MHP168L_RS04080, MHP168L_RS03530	DR086_RS03700
OG0000015	MHP168L_RS01270	DR086_RS00690
OG0000016	MHP168L_RS02870	DR086_RS01050
OG0000016	MHP168L_RS00150	DR086_RS00030
OG0000017	MHP168L_RS00135	DR086_RS00015
OG0000017	MHP168L_RS02880	DR086_RS01060
OG0000018	MHP168L_RS01250	DR086_RS04795
OG0000019	MHP168L_RS04055	DR086_RS04570
OG0000020	MHP168L_RS03595	DR086_RS02470
OG0000021	MHP168L_RS02360	DR086_RS03665
OG0000022	MHP168L_RS01775	DR086_RS01645
OG0000022	MHP168L_RS01725	DR086_RS04885
OG0000023	MHP168L_RS03930	DR086_RS04105
OG0000024	MHP168L_RS02775	DR086_RS03190
OG0000025	MHP168L_RS01770	DR086_RS04890
OG0000025	MHP168L_RS01730	DR086_RS01595
