Orthogroup	MHP_168L_genes	MHP_MHP696_genes
OG0000000	MHP168L_RS02190	DR090_RS03565
OG0000000	MHP168L_RS03865	DR090_RS04125
OG0000000	MHP168L_RS01715	DR090_RS04630
OG0000001	MHP168L_RS02830	DR090_RS01575
OG0000001	MHP168L_RS02785	DR090_RS03945
OG0000002	MHP168L_RS04010	DR090_RS04315
OG0000002	MHP168L_RS01710	DR090_RS03425
OG0000003	MHP168L_RS03875	DR090_RS03665
OG0000004	MHP168L_RS03205	DR090_RS03435
OG0000005	MHP168L_RS00090	DR090_RS03620
OG0000005	MHP168L_RS00100	DR090_RS03525
OG0000005	MHP168L_RS00105	DR090_RS03075, DR090_RS04595
OG0000006	MHP168L_RS02530	DR090_RS04160
OG0000006	MHP168L_RS02380	DR090_RS04155
OG0000008	MHP168L_RS01795	DR090_RS03700
OG0000008	MHP168L_RS04025	DR090_RS04310
OG0000009	MHP168L_RS03915	DR090_RS00150
OG0000010	MHP168L_RS01950	DR090_RS00915
OG0000010	MHP168L_RS00085	DR090_RS03520, DR090_RS03650
OG0000011	MHP168L_RS03995	DR090_RS01025
OG0000011	MHP168L_RS02035	DR090_RS01020
OG0000013	MHP168L_RS02430	DR090_RS02640
OG0000013	MHP168L_RS03905	DR090_RS03805
OG0000014	MHP168L_RS01070	DR090_RS00220
OG0000014	MHP168L_RS01055	DR090_RS04325
OG0000015	MHP168L_RS04080, MHP168L_RS03530, MHP168L_RS01270, MHP168L_RS01665	DR090_RS03270
OG0000016	MHP168L_RS02870	DR090_RS01615
OG0000016	MHP168L_RS00150	DR090_RS00790
OG0000017	MHP168L_RS00135	DR090_RS00805
OG0000017	MHP168L_RS02880	DR090_RS01625
OG0000018	MHP168L_RS01250, MHP168L_RS04065, MHP168L_RS04060, MHP168L_RS01415	DR090_RS04560
OG0000020	MHP168L_RS03590	DR090_RS04405
OG0000020	MHP168L_RS03595	DR090_RS04410
OG0000021	MHP168L_RS01865, MHP168L_RS00495, MHP168L_RS01790, MHP168L_RS00490, MHP168L_RS02360	DR090_RS00825
OG0000022	MHP168L_RS01775	DR090_RS02415
OG0000022	MHP168L_RS01725	DR090_RS04550
OG0000023	MHP168L_RS01410, MHP168L_RS03930, MHP168L_RS03545	DR090_RS02440
OG0000024	MHP168L_RS02775	DR090_RS01515
OG0000024	MHP168L_RS03940, MHP168L_RS03945	DR090_RS00410
OG0000025	MHP168L_RS01770	DR090_RS04555
OG0000025	MHP168L_RS01730	DR090_RS02365
OG0000026	MHP168L_RS01455	DR090_RS02485
OG0000026	MHP168L_RS01750	DR090_RS02385
OG0000027	MHP168L_RS03825	DR090_RS04475
OG0000027	MHP168L_RS03345	DR090_RS04520
OG0000029	MHP168L_RS00580	DR090_RS01710
OG0000029	MHP168L_RS01050	DR090_RS00205
OG0000030	MHP168L_RS03325	DR090_RS04480
OG0000030	MHP168L_RS03340	DR090_RS04515
OG0000031	MHP168L_RS03575, MHP168L_RS01215, MHP168L_RS01830	DR090_RS03235
OG0000032	MHP168L_RS03335	DR090_RS02225
OG0000033	MHP168L_RS02435	DR090_RS02635
OG0000035	MHP168L_RS03200	DR090_RS03430
OG0000035	MHP168L_RS03185	DR090_RS02220
OG0000036	MHP168L_RS00110	DR090_RS03080, DR090_RS03100, DR090_RS04210
OG0000037	MHP168L_RS01845	DR090_RS03710
OG0000038	MHP168L_RS00480, MHP168L_RS01855	DR090_RS00450
OG0000039	MHP168L_RS01815	DR090_RS03220
OG0000040	MHP168L_RS03275	DR090_RS02020
OG0000041	MHP168L_RS00985, MHP168L_RS03925	DR090_RS03745
OG0000042	MHP168L_RS02970	DR090_RS04585
OG0000043	MHP168L_RS02005	DR090_RS00990
OG0000043	MHP168L_RS01210	DR090_RS00990
OG0000044	MHP168L_RS04140	DR090_RS04685
OG0000044	MHP168L_RS01900	DR090_RS00855
OG0000045	MHP168L_RS01810	DR090_RS03215
OG0000048	MHP168L_RS02210	DR090_RS02935
OG0000049	MHP168L_RS03050	DR090_RS02075
OG0000050	MHP168L_RS02475	DR090_RS02580
OG0000051	MHP168L_RS04035, MHP168L_RS02685	DR090_RS01435
OG0000052	MHP168L_RS00075	DR090_RS01330
OG0000053	MHP168L_RS01540	DR090_RS04575
OG0000054	MHP168L_RS02500	DR090_RS02605
OG0000055	MHP168L_RS00115	DR090_RS03105
OG0000056	MHP168L_RS03515	DR090_RS01170
OG0000057	MHP168L_RS02955	DR090_RS01695
OG0000060	MHP168L_RS01280, MHP168L_RS00080	DR090_RS03905
OG0000061	MHP168L_RS01960, MHP168L_RS01660	DR090_RS00925
OG0000062	MHP168L_RS03630	DR090_RS01220
OG0000063	MHP168L_RS03625	DR090_RS01215
OG0000064	MHP168L_RS03615	DR090_RS01205
OG0000065	MHP168L_RS04005, MHP168L_RS04000	DR090_RS03030
OG0000066	MHP168L_RS01445	DR090_RS02475
OG0000067	MHP168L_RS00510	DR090_RS03330
OG0000068	MHP168L_RS04135	DR090_RS00170
OG0000069	MHP168L_RS02845	DR090_RS01590
OG0000070	MHP168L_RS02505	DR090_RS02610
OG0000071	MHP168L_RS03265	DR090_RS02030
OG0000072	MHP168L_RS03270	DR090_RS04500
OG0000073	MHP168L_RS00955	DR090_RS00125
OG0000074	MHP168L_RS00765	DR090_RS04455
OG0000075	MHP168L_RS00320	DR090_RS00610
OG0000076	MHP168L_RS00335	DR090_RS00595
OG0000077	MHP168L_RS00425	DR090_RS00505
OG0000078	MHP168L_RS01760	DR090_RS02395
OG0000079	MHP168L_RS02590	DR090_RS02780
OG0000080	MHP168L_RS03895	DR090_RS03915
OG0000081	MHP168L_RS00315	DR090_RS00615
OG0000082	MHP168L_RS04020	DR090_RS04165
OG0000083	MHP168L_RS02110	DR090_RS01095
OG0000084	MHP168L_RS02265	DR090_RS02885
OG0000085	MHP168L_RS02260	DR090_RS02890
OG0000086	MHP168L_RS02250	DR090_RS02900
OG0000087	MHP168L_RS02235	DR090_RS02915
OG0000088	MHP168L_RS02230	DR090_RS02920
OG0000089	MHP168L_RS02215	DR090_RS02930
OG0000090	MHP168L_RS00070	DR090_RS01325
OG0000091	MHP168L_RS00055	DR090_RS01310
OG0000092	MHP168L_RS00040	DR090_RS01295
OG0000093	MHP168L_RS00035	DR090_RS01290
OG0000094	MHP168L_RS00030	DR090_RS01285
OG0000095	MHP168L_RS00005	DR090_RS01260
OG0000096	MHP168L_RS03665	DR090_RS01255
OG0000097	MHP168L_RS03645	DR090_RS01235
OG0000098	MHP168L_RS03635	DR090_RS01225
OG0000099	MHP168L_RS03520	DR090_RS04400
OG0000100	MHP168L_RS03505	DR090_RS01160
OG0000101	MHP168L_RS03500	DR090_RS01155
OG0000102	MHP168L_RS01735	DR090_RS02370
OG0000103	MHP168L_RS02175	DR090_RS03065
OG0000104	MHP168L_RS02170	DR090_RS03060
OG0000105	MHP168L_RS02155	DR090_RS03045
OG0000106	MHP168L_RS02145	DR090_RS03035
OG0000107	MHP168L_RS02135	DR090_RS03025
OG0000108	MHP168L_RS02130	DR090_RS03020
OG0000109	MHP168L_RS02125	DR090_RS03015
OG0000110	MHP168L_RS02410	DR090_RS02655
OG0000111	MHP168L_RS02405	DR090_RS02660
OG0000112	MHP168L_RS02395	DR090_RS02670
OG0000113	MHP168L_RS02375	DR090_RS04615
OG0000114	MHP168L_RS02365	DR090_RS03300
OG0000115	MHP168L_RS02350	DR090_RS03285
OG0000116	MHP168L_RS01385	DR090_RS00435
OG0000117	MHP168L_RS01390	DR090_RS00440
OG0000118	MHP168L_RS01430	DR090_RS02460
OG0000119	MHP168L_RS01435	DR090_RS02465
OG0000120	MHP168L_RS01450	DR090_RS02480
OG0000121	MHP168L_RS01475	DR090_RS02505
OG0000122	MHP168L_RS01480	DR090_RS02510
OG0000123	MHP168L_RS01500	DR090_RS02530
OG0000124	MHP168L_RS01505	DR090_RS02535
OG0000125	MHP168L_RS01510	DR090_RS02540
OG0000126	MHP168L_RS01520	DR090_RS02835
OG0000127	MHP168L_RS01530	DR090_RS02845
OG0000128	MHP168L_RS01545	DR090_RS02860
OG0000129	MHP168L_RS01550	DR090_RS02865
OG0000130	MHP168L_RS01560	DR090_RS02875
OG0000131	MHP168L_RS01590	DR090_RS03150
OG0000132	MHP168L_RS01605	DR090_RS04600
OG0000133	MHP168L_RS00515	DR090_RS02690
OG0000134	MHP168L_RS00520	DR090_RS02695
OG0000135	MHP168L_RS00535	DR090_RS02710
OG0000136	MHP168L_RS00540	DR090_RS02715
OG0000137	MHP168L_RS00575	DR090_RS02755
OG0000138	MHP168L_RS01030	DR090_RS00195
OG0000139	MHP168L_RS01005	DR090_RS00165
OG0000140	MHP168L_RS01000	DR090_RS00160
OG0000141	MHP168L_RS02965	DR090_RS01705
OG0000142	MHP168L_RS02960	DR090_RS04450
OG0000143	MHP168L_RS02935	DR090_RS01680
OG0000144	MHP168L_RS02925	DR090_RS01670
OG0000145	MHP168L_RS02915	DR090_RS01660
OG0000146	MHP168L_RS02905	DR090_RS01650
OG0000147	MHP168L_RS02900	DR090_RS01645
OG0000148	MHP168L_RS02885	DR090_RS01630
OG0000149	MHP168L_RS02875	DR090_RS01620
OG0000150	MHP168L_RS02860	DR090_RS01605
OG0000151	MHP168L_RS02815	DR090_RS01555
OG0000152	MHP168L_RS02810	DR090_RS01550
OG0000153	MHP168L_RS02805	DR090_RS01545
