Orthogroup	MHP_168L_genes	MHP_98_genes
OG0000000	MHP168L_RS02190	GOM18_RS02340
OG0000000	MHP168L_RS03890	GOM18_RS04045
OG0000000	MHP168L_RS02335, MHP168L_RS02340	GOM18_RS04450
OG0000000	MHP168L_RS03865	GOM18_RS03685
OG0000000	MHP168L_RS01715	GOM18_RS00685
OG0000001	MHP168L_RS01370	GOM18_RS03240
OG0000001	MHP168L_RS03950	GOM18_RS03230
OG0000001	MHP168L_RS02830	GOM18_RS03125
OG0000001	MHP168L_RS02780	GOM18_RS04130
OG0000001	MHP168L_RS02785	GOM18_RS04125
OG0000002	MHP168L_RS04010	GOM18_RS02350
OG0000002	MHP168L_RS01710	GOM18_RS04550
OG0000003	MHP168L_RS01860	GOM18_RS01615
OG0000003	MHP168L_RS00485	GOM18_RS03425
OG0000003	MHP168L_RS03875	GOM18_RS03375
OG0000004	MHP168L_RS03190	GOM18_RS00895
OG0000004	MHP168L_RS03195	GOM18_RS00890
OG0000004	MHP168L_RS03205	GOM18_RS00880
OG0000005	MHP168L_RS00090	GOM18_RS03145
OG0000005	MHP168L_RS00100	GOM18_RS03600
OG0000005	MHP168L_RS00105	GOM18_RS04540
OG0000006	MHP168L_RS02535, MHP168L_RS02530	GOM18_RS01950
OG0000008	MHP168L_RS02330	GOM18_RS02455
OG0000008	MHP168L_RS04025	GOM18_RS03975
OG0000009	MHP168L_RS00990	GOM18_RS00095
OG0000009	MHP168L_RS03915	GOM18_RS00110
OG0000010	MHP168L_RS01950	GOM18_RS03360
OG0000010	MHP168L_RS01650	GOM18_RS04460
OG0000010	MHP168L_RS00085	GOM18_RS03805
OG0000011	MHP168L_RS03995	GOM18_RS03250
OG0000011	MHP168L_RS02035	GOM18_RS03255
OG0000013	MHP168L_RS02430	GOM18_RS02545
OG0000013	MHP168L_RS03905	GOM18_RS03935
OG0000015	MHP168L_RS04080	GOM18_RS04215
OG0000015	MHP168L_RS03530	GOM18_RS00005
OG0000015	MHP168L_RS01270, MHP168L_RS01665	GOM18_RS02565
OG0000016	MHP168L_RS02870	GOM18_RS01215
OG0000016	MHP168L_RS00150	GOM18_RS01280
OG0000017	MHP168L_RS00135	GOM18_RS01265
OG0000017	MHP168L_RS02880	GOM18_RS01205
OG0000018	MHP168L_RS04065	GOM18_RS04240
OG0000019	MHP168L_RS04055	GOM18_RS04575
OG0000020	MHP168L_RS03590	GOM18_RS04290
OG0000020	MHP168L_RS03595	GOM18_RS03770
OG0000021	MHP168L_RS00495, MHP168L_RS01790, MHP168L_RS00490, MHP168L_RS02360	GOM18_RS03345
OG0000022	MHP168L_RS01775	GOM18_RS03040
OG0000022	MHP168L_RS01725	GOM18_RS04500
OG0000023	MHP168L_RS03545	GOM18_RS00025
OG0000024	MHP168L_RS02775	GOM18_RS03075
OG0000024	MHP168L_RS03940	GOM18_RS03225
OG0000025	MHP168L_RS01770	GOM18_RS04510
OG0000025	MHP168L_RS01730	GOM18_RS04505
OG0000026	MHP168L_RS01455	GOM18_RS02790
OG0000026	MHP168L_RS01750	GOM18_RS03010
OG0000027	MHP168L_RS03825	GOM18_RS04335
