Orthogroup	MHP_MHP682_genes	MHP_UFV02_genes
OG0000000	DR097_RS02690	FEF31_RS01935
OG0000000	DR097_RS04740	FEF31_RS04515, FEF31_RS01860, FEF31_RS02055
OG0000001	DR097_RS04145	FEF31_RS02540
OG0000002	DR097_RS02700	FEF31_RS01945
OG0000002	DR097_RS02695	FEF31_RS01940
OG0000002	DR097_RS04855	FEF31_RS04505
OG0000002	DR097_RS04675	FEF31_RS04455
OG0000003	DR097_RS04955	FEF31_RS04365
OG0000003	DR097_RS04840	FEF31_RS04510
OG0000003	DR097_RS03830	FEF31_RS01590
OG0000004	DR097_RS01330	FEF31_RS03760
OG0000004	DR097_RS01325	FEF31_RS03775
OG0000005	DR097_RS02455	FEF31_RS03370
OG0000005	DR097_RS04720	FEF31_RS04665
OG0000005	DR097_RS02445	FEF31_RS04660
OG0000005	DR097_RS02440	FEF31_RS03380
OG0000005	DR097_RS04715	FEF31_RS04670
OG0000007	DR097_RS03435	FEF31_RS01925
OG0000007	DR097_RS03440	FEF31_RS01915
OG0000007	DR097_RS03450	FEF31_RS01910
OG0000008	DR097_RS03625	FEF31_RS02250
OG0000009	DR097_RS00430	FEF31_RS00845
OG0000009	DR097_RS01140	FEF31_RS00335
OG0000010	DR097_RS02510	FEF31_RS01600
OG0000010	DR097_RS04755	FEF31_RS04440
OG0000011	DR097_RS00820	FEF31_RS01695
OG0000011	DR097_RS00825	FEF31_RS01690
OG0000013	DR097_RS02175	FEF31_RS02135
OG0000013	DR097_RS03895	FEF31_RS03455
OG0000014	DR097_RS03860	FEF31_RS00255
OG0000014	DR097_RS03370	FEF31_RS04375
OG0000016	DR097_RS01165	FEF31_RS02580
OG0000016	DR097_RS00270	FEF31_RS03440
OG0000017	DR097_RS00285	FEF31_RS03425
OG0000017	DR097_RS01175	FEF31_RS02590
OG0000019	DR097_RS03615	FEF31_RS04805
OG0000020	DR097_RS04835	FEF31_RS03220
OG0000020	DR097_RS04830	FEF31_RS04270
OG0000021	DR097_RS03390	FEF31_RS01520, FEF31_RS00170
