Orthogroup	MHP_MHP682_genes	MHP_TB1_genes
OG0000000	DR097_RS02690	B5M19_RS04470
OG0000000	DR097_RS04740	B5M19_RS03770
OG0000000	DR097_RS01835	B5M19_RS02100
OG0000001	DR097_RS04145	B5M19_RS02555
OG0000002	DR097_RS02700	B5M19_RS04465
OG0000002	DR097_RS02695	B5M19_RS04625
OG0000002	DR097_RS04675	B5M19_RS02105
OG0000003	DR097_RS04955	B5M19_RS04550
OG0000003	DR097_RS03830	B5M19_RS03885
OG0000004	DR097_RS01325	B5M19_RS04240
OG0000005	DR097_RS02455	B5M19_RS00020
OG0000005	DR097_RS02445	B5M19_RS00030
OG0000005	DR097_RS02440, DR097_RS04715	B5M19_RS04010, B5M19_RS04005
OG0000006	DR097_RS04435	B5M19_RS03630
OG0000008	DR097_RS03625	B5M19_RS04540
OG0000009	DR097_RS01140	B5M19_RS04265
OG0000010	DR097_RS02510	B5M19_RS00670
OG0000010	DR097_RS04755	B5M19_RS03275
OG0000010	DR097_RS02450	B5M19_RS00015
OG0000011	DR097_RS00820	B5M19_RS04080
OG0000011	DR097_RS00825	B5M19_RS00765
OG0000013	DR097_RS02175	B5M19_RS02640
OG0000013	DR097_RS03895	B5M19_RS00100
OG0000014	DR097_RS03370	B5M19_RS03505
OG0000015	DR097_RS02000	B5M19_RS03260
OG0000016	DR097_RS01165	B5M19_RS01425
OG0000016	DR097_RS00270	B5M19_RS00080
OG0000017	DR097_RS00285	B5M19_RS00065
OG0000017	DR097_RS01175	B5M19_RS01415
OG0000018	DR097_RS04695	B5M19_RS04445
OG0000020	DR097_RS04835	B5M19_RS04305
OG0000020	DR097_RS04830	B5M19_RS02010
OG0000021	DR097_RS03390	B5M19_RS00590, B5M19_RS03625
OG0000022	DR097_RS01895	B5M19_RS02040
OG0000022	DR097_RS04680	B5M19_RS02090
OG0000024	DR097_RS01795	B5M19_RS02500
OG0000024	DR097_RS00345	B5M19_RS04395, B5M19_RS04390
OG0000025	DR097_RS04685	B5M19_RS04315
OG0000025	DR097_RS01845	B5M19_RS02085
OG0000026	DR097_RS01665	B5M19_RS01210
OG0000026	DR097_RS01865	B5M19_RS02065
OG0000027	DR097_RS02965	B5M19_RS00565
OG0000027	DR097_RS04560	B5M19_RS00550
OG0000028	DR097_RS04690	B5M19_RS02470, B5M19_RS02460, B5M19_RS02465, B5M19_RS04380, B5M19_RS02475
OG0000029	DR097_RS02335	B5M19_RS03200
OG0000030	DR097_RS04775	B5M19_RS00570
OG0000030	DR097_RS04565	B5M19_RS00555
OG0000031	DR097_RS02075	B5M19_RS04360
OG0000031	DR097_RS03120	B5M19_RS03305
OG0000032	DR097_RS00730	B5M19_RS00560
OG0000035	DR097_RS04085, DR097_RS01335	B5M19_RS04235
OG0000036	DR097_RS02435, DR097_RS02415	B5M19_RS00040
OG0000037	DR097_RS03100	B5M19_RS04485, B5M19_RS04490
OG0000039	DR097_RS04950	B5M19_RS03320
OG0000040	DR097_RS03560	B5M19_RS02985
OG0000041	DR097_RS03645	B5M19_RS03050
OG0000042	DR097_RS01265	B5M19_RS01320
OG0000043	DR097_RS00855	B5M19_RS00735
OG0000043	DR097_RS00855	B5M19_RS02270
OG0000045	DR097_RS03525	B5M19_RS03325
OG0000047	DR097_RS02010	B5M19_RS04440
OG0000048	DR097_RS02830	B5M19_RS03695
OG0000049	DR097_RS01470	B5M19_RS01455
OG0000050	DR097_RS01960	B5M19_RS02825
OG0000051	DR097_RS01545	B5M19_RS04110, B5M19_RS00915
OG0000052	DR097_RS02480	B5M19_RS00005
OG0000053	DR097_RS04845	B5M19_RS01120
OG0000054	DR097_RS01935	B5M19_RS02800
OG0000055	DR097_RS00305	B5M19_RS00045
OG0000056	DR097_RS00545	B5M19_RS00375
OG0000057	DR097_RS01250	B5M19_RS01340
OG0000058	DR097_RS02080	B5M19_RS02905
OG0000059	DR097_RS04190	B5M19_RS02265
OG0000060	DR097_RS00425	B5M19_RS04370
OG0000061	DR097_RS02500	B5M19_RS03265
OG0000062	DR097_RS02590	B5M19_RS01970
OG0000063	DR097_RS04735	B5M19_RS01975
OG0000064	DR097_RS02605	B5M19_RS01990
OG0000065	DR097_RS02745	B5M19_RS02925
OG0000066	DR097_RS01675	B5M19_RS01220
OG0000067	DR097_RS02405	B5M19_RS02375
OG0000068	DR097_RS03055	B5M19_RS04480
OG0000069	DR097_RS01725	B5M19_RS03520
OG0000070	DR097_RS01930	B5M19_RS02795
OG0000071	DR097_RS03575	B5M19_RS02995
OG0000072	DR097_RS03580, DR097_RS04860	B5M19_RS02990
OG0000073	DR097_RS01115	B5M19_RS01840
OG0000074	DR097_RS04605	B5M19_RS01645
OG0000075	DR097_RS00090	B5M19_RS00265
OG0000076	DR097_RS00075	B5M19_RS00280
OG0000077	DR097_RS03275	B5M19_RS03440
OG0000078	DR097_RS01875	B5M19_RS02055
OG0000079	DR097_RS02640	B5M19_RS01010
OG0000080	DR097_RS04360	B5M19_RS03900
OG0000081	DR097_RS00095	B5M19_RS00260
OG0000082	DR097_RS02165	B5M19_RS04415
OG0000083	DR097_RS00750	B5M19_RS00845
OG0000084	DR097_RS03685	B5M19_RS02760
OG0000085	DR097_RS02875	B5M19_RS02755
OG0000086	DR097_RS02865	B5M19_RS02745
OG0000087	DR097_RS02850	B5M19_RS02730
OG0000088	DR097_RS02845	B5M19_RS02725
OG0000089	DR097_RS02835	B5M19_RS03690
OG0000090	DR097_RS02485	B5M19_RS03775
OG0000091	DR097_RS02775	B5M19_RS04280
OG0000092	DR097_RS02790	B5M19_RS01895
OG0000093	DR097_RS02795	B5M19_RS01900
OG0000094	DR097_RS02800	B5M19_RS01905
OG0000095	DR097_RS03550	B5M19_RS04290
OG0000096	DR097_RS03545	B5M19_RS01935
OG0000097	DR097_RS02575	B5M19_RS01955
OG0000098	DR097_RS02585	B5M19_RS04295
OG0000099	DR097_RS03665	B5M19_RS00370
OG0000100	DR097_RS00555	B5M19_RS00385
OG0000101	DR097_RS00560	B5M19_RS00390
OG0000102	DR097_RS01850	B5M19_RS02080
OG0000103	DR097_RS02710	B5M19_RS02960
OG0000104	DR097_RS02715	B5M19_RS04460
OG0000105	DR097_RS02730	B5M19_RS02940
OG0000106	DR097_RS02740	B5M19_RS02930
OG0000107	DR097_RS02750	B5M19_RS04455
