Orthogroup	MHP_MHP682_genes	MFC_MF30_genes
OG0000000	DR097_RS02690	DR084_RS02900
OG0000001	DR097_RS00335, DR097_RS04145, DR097_RS04155	DR084_RS03095
OG0000002	DR097_RS02700, DR097_RS02695	DR084_RS03505
OG0000002	DR097_RS04675	DR084_RS03620
OG0000011	DR097_RS00820	DR084_RS03145
OG0000011	DR097_RS00825	DR084_RS01055
OG0000013	DR097_RS02175	DR084_RS00890, DR084_RS00885
OG0000013	DR097_RS03895	DR084_RS02985
OG0000014	DR097_RS03860, DR097_RS03370	DR084_RS03465
OG0000016	DR097_RS01165	DR084_RS00585
OG0000017	DR097_RS00285	DR084_RS02415
OG0000017	DR097_RS01175	DR084_RS00575
OG0000018	DR097_RS04695	DR084_RS03555
OG0000019	DR097_RS03615	DR084_RS03440
OG0000020	DR097_RS04830	DR084_RS02530
OG0000022	DR097_RS04680	DR084_RS03625
OG0000024	DR097_RS01795, DR097_RS00345	DR084_RS00640
OG0000025	DR097_RS01845	DR084_RS02490
OG0000026	DR097_RS01665, DR097_RS01865	DR084_RS01955
OG0000027	DR097_RS04560	DR084_RS03655
OG0000028	DR097_RS04690	DR084_RS00905, DR084_RS00910
OG0000029	DR097_RS02335	DR084_RS00420
OG0000030	DR097_RS04775, DR097_RS04565	DR084_RS03660
OG0000031	DR097_RS02075, DR097_RS03120	DR084_RS01000
OG0000039	DR097_RS04950	DR084_RS00480
OG0000040	DR097_RS03560	DR084_RS02240, DR084_RS00690
OG0000042	DR097_RS01265	DR084_RS00475, DR084_RS00620
OG0000043	DR097_RS00855	DR084_RS01025
OG0000045	DR097_RS03525	DR084_RS00485
OG0000048	DR097_RS02830	DR084_RS02740
OG0000049	DR097_RS01470	DR084_RS02050
OG0000050	DR097_RS01960	DR084_RS00965
OG0000051	DR097_RS01545	DR084_RS01670
OG0000052	DR097_RS02480	DR084_RS02375
OG0000053	DR097_RS04845	DR084_RS03670
OG0000054	DR097_RS01935	DR084_RS00940
OG0000055	DR097_RS00305	DR084_RS03600, DR084_RS03710
OG0000056	DR097_RS00545	DR084_RS02515
OG0000057	DR097_RS01250	DR084_RS00500
OG0000062	DR097_RS02590	DR084_RS02265
OG0000063	DR097_RS04735	DR084_RS03590
OG0000064	DR097_RS02605	DR084_RS02250
OG0000065	DR097_RS02745	DR084_RS01815
OG0000066	DR097_RS01675	DR084_RS01945
OG0000068	DR097_RS03055	DR084_RS00455
OG0000069	DR097_RS01725	DR084_RS00610
OG0000070	DR097_RS01930	DR084_RS00920
OG0000071	DR097_RS03575	DR084_RS01120, DR084_RS02230
OG0000072	DR097_RS03580, DR097_RS04860	DR084_RS03585
OG0000073	DR097_RS01115	DR084_RS01245
OG0000074	DR097_RS04605	DR084_RS03540
OG0000075	DR097_RS00090	DR084_RS00175
OG0000076	DR097_RS00075	DR084_RS00190
OG0000077	DR097_RS03275	DR084_RS00275
OG0000078	DR097_RS01875	DR084_RS00725
OG0000079	DR097_RS02640	DR084_RS00835
OG0000080	DR097_RS04360	DR084_RS03130
OG0000081	DR097_RS00095	DR084_RS00170
OG0000082	DR097_RS02165	DR084_RS00895
OG0000083	DR097_RS00750	DR084_RS02845
OG0000084	DR097_RS03685	DR084_RS02690
OG0000085	DR097_RS02875	DR084_RS02695
OG0000086	DR097_RS02865	DR084_RS03665
OG0000087	DR097_RS02850	DR084_RS02720
OG0000088	DR097_RS02845	DR084_RS02725
OG0000089	DR097_RS02835	DR084_RS02735
OG0000090	DR097_RS02485	DR084_RS02370
OG0000091	DR097_RS02775	DR084_RS02355
OG0000092	DR097_RS02790	DR084_RS02340
OG0000093	DR097_RS02795	DR084_RS02335
OG0000094	DR097_RS02800	DR084_RS02330
OG0000095	DR097_RS03550	DR084_RS02305
OG0000096	DR097_RS03545	DR084_RS02300
OG0000097	DR097_RS02575	DR084_RS02280
OG0000098	DR097_RS02585	DR084_RS02270
OG0000099	DR097_RS03665	DR084_RS02520
OG0000100	DR097_RS00555	DR084_RS02510
OG0000101	DR097_RS00560	DR084_RS02505
OG0000102	DR097_RS01850	DR084_RS02495
OG0000103	DR097_RS02710	DR084_RS01780
OG0000104	DR097_RS02715	DR084_RS01785
OG0000105	DR097_RS02730	DR084_RS01800
OG0000106	DR097_RS02740	DR084_RS01810
OG0000107	DR097_RS02750	DR084_RS01820
OG0000108	DR097_RS02755	DR084_RS01825
OG0000109	DR097_RS02760	DR084_RS01830
OG0000110	DR097_RS02155	DR084_RS01835
OG0000111	DR097_RS02150	DR084_RS01840
OG0000112	DR097_RS02140	DR084_RS01850
OG0000113	DR097_RS04705	DR084_RS03550
OG0000114	DR097_RS02110	DR084_RS01875
OG0000115	DR097_RS02095	DR084_RS01885
OG0000116	DR097_RS00320	DR084_RS01895
OG0000117	DR097_RS00315	DR084_RS01900
OG0000118	DR097_RS01690	DR084_RS01930
OG0000119	DR097_RS01685	DR084_RS01935
OG0000120	DR097_RS01670	DR084_RS01950
OG0000121	DR097_RS01645	DR084_RS01975
OG0000122	DR097_RS01640	DR084_RS01980
OG0000123	DR097_RS01620	DR084_RS02000
OG0000124	DR097_RS01615	DR084_RS02005
OG0000125	DR097_RS01610	DR084_RS02010
OG0000126	DR097_RS01600	DR084_RS02020
