Orthogroup	MHP_MHP682_genes	MHP_98_genes
OG0000000	DR097_RS02690	GOM18_RS02340
OG0000000	DR097_RS04740	GOM18_RS04045, GOM18_RS04450
OG0000000	DR097_RS03725	GOM18_RS02460
OG0000000	DR097_RS01835	GOM18_RS00685
OG0000001	DR097_RS04145	GOM18_RS03125
OG0000002	DR097_RS02700	GOM18_RS02350
OG0000002	DR097_RS02695	GOM18_RS02345
OG0000002	DR097_RS04675	GOM18_RS04550
OG0000003	DR097_RS04955	GOM18_RS03425
OG0000003	DR097_RS03830	GOM18_RS03375
OG0000004	DR097_RS01330	GOM18_RS00895
OG0000004	DR097_RS01325	GOM18_RS00880
OG0000005	DR097_RS02455	GOM18_RS03145
OG0000005	DR097_RS02445	GOM18_RS03600
OG0000005	DR097_RS02440, DR097_RS04715	GOM18_RS04540
OG0000006	DR097_RS04435	GOM18_RS01950
OG0000008	DR097_RS03625	GOM18_RS03975
OG0000009	DR097_RS02470	GOM18_RS00665
OG0000009	DR097_RS01140	GOM18_RS00110
OG0000010	DR097_RS02510	GOM18_RS03360
OG0000010	DR097_RS04755	GOM18_RS04460
OG0000010	DR097_RS04280	GOM18_RS04060
OG0000010	DR097_RS02450	GOM18_RS03805
OG0000011	DR097_RS00820	GOM18_RS03250
OG0000011	DR097_RS00825	GOM18_RS03255
OG0000012	DR097_RS03825	GOM18_RS01865, GOM18_RS03340
OG0000013	DR097_RS02175	GOM18_RS02545
OG0000013	DR097_RS03895	GOM18_RS03935
OG0000014	DR097_RS03860	GOM18_RS03570, GOM18_RS01700
OG0000015	DR097_RS02000	GOM18_RS02565
OG0000016	DR097_RS01165	GOM18_RS01215
OG0000016	DR097_RS00270	GOM18_RS01280
OG0000017	DR097_RS00285	GOM18_RS01265
OG0000017	DR097_RS01175	GOM18_RS01205
OG0000019	DR097_RS03615	GOM18_RS04575
OG0000020	DR097_RS04835	GOM18_RS04290
OG0000020	DR097_RS04830	GOM18_RS03770, GOM18_RS03765
OG0000021	DR097_RS03390	GOM18_RS03485, GOM18_RS03345, GOM18_RS03065
OG0000022	DR097_RS01895	GOM18_RS03040
OG0000022	DR097_RS04680	GOM18_RS04500
OG0000024	DR097_RS01795	GOM18_RS03075
OG0000024	DR097_RS00345	GOM18_RS03225
OG0000025	DR097_RS04685	GOM18_RS04510
OG0000025	DR097_RS01845	GOM18_RS04505
OG0000026	DR097_RS01665	GOM18_RS02790
OG0000026	DR097_RS01865	GOM18_RS03010
OG0000027	DR097_RS02965	GOM18_RS04335
OG0000027	DR097_RS04560	GOM18_RS04320
OG0000029	DR097_RS02335	GOM18_RS01705
OG0000030	DR097_RS04775	GOM18_RS04340
OG0000030	DR097_RS04565	GOM18_RS04325
OG0000031	DR097_RS02075	GOM18_RS00085
OG0000031	DR097_RS03120	GOM18_RS03625
OG0000032	DR097_RS04795	GOM18_RS02560
OG0000032	DR097_RS00730	GOM18_RS04565
OG0000035	DR097_RS04085	GOM18_RS00900
OG0000036	DR097_RS02435, DR097_RS02415	GOM18_RS03585
OG0000037	DR097_RS04800	GOM18_RS04545
OG0000037	DR097_RS03100	GOM18_RS02550
OG0000039	DR097_RS04950	GOM18_RS03565
OG0000040	DR097_RS03560	GOM18_RS00810
OG0000041	DR097_RS03645	GOM18_RS00100
OG0000042	DR097_RS01265	GOM18_RS01120
OG0000043	DR097_RS00855	GOM18_RS03285
OG0000044	DR097_RS04900	GOM18_RS04585
OG0000045	DR097_RS03525	GOM18_RS03555
OG0000046	DR097_RS04785	GOM18_RS03875
OG0000047	DR097_RS02010	GOM18_RS00015
OG0000048	DR097_RS02830	GOM18_RS02325
OG0000049	DR097_RS01470	GOM18_RS01035
OG0000050	DR097_RS01960	GOM18_RS01900
OG0000051	DR097_RS01545	GOM18_RS02100
OG0000052	DR097_RS02480	GOM18_RS00655
OG0000053	DR097_RS04845	GOM18_RS04480
OG0000054	DR097_RS01935	GOM18_RS01925
OG0000055	DR097_RS00305	GOM18_RS01245
OG0000056	DR097_RS00545	GOM18_RS00495
OG0000057	DR097_RS01250	GOM18_RS01135
OG0000058	DR097_RS02085	GOM18_RS00090
OG0000059	DR097_RS04190	GOM18_RS03660
