Orthogroup	MHP_MHP682_genes	MHP_ES2L_genes
OG0000000	DR097_RS04740	HZK19_RS03965, HZK19_RS03675, HZK19_RS02290, HZK19_RS03795
OG0000000	DR097_RS01835	HZK19_RS01695
OG0000001	DR097_RS04145	HZK19_RS02765
OG0000002	DR097_RS04855	HZK19_RS02110
OG0000002	DR097_RS04675	HZK19_RS01705
OG0000003	DR097_RS04955	HZK19_RS01715
OG0000003	DR097_RS04840	HZK19_RS02160
OG0000003	DR097_RS03830	HZK19_RS01800
OG0000004	DR097_RS01330	HZK19_RS03240
OG0000004	DR097_RS01325	HZK19_RS03255
OG0000005	DR097_RS02455	HZK19_RS00085
OG0000005	DR097_RS04720	HZK19_RS00105
OG0000005	DR097_RS02445	HZK19_RS00090
OG0000005	DR097_RS02440	HZK19_RS00095
OG0000005	DR097_RS04715	HZK19_RS00110
OG0000006	DR097_RS04435	HZK19_RS02470
OG0000007	DR097_RS03435	HZK19_RS02155
OG0000007	DR097_RS03440	HZK19_RS02150
OG0000007	DR097_RS03450	HZK19_RS02145
OG0000008	DR097_RS03625	HZK19_RS03825
OG0000009	DR097_RS01140	HZK19_RS00655
OG0000010	DR097_RS02510	HZK19_RS01810
OG0000010	DR097_RS04755	HZK19_RS03735
OG0000010	DR097_RS04280	HZK19_RS03740
OG0000011	DR097_RS00820	HZK19_RS03920
OG0000012	DR097_RS03825	HZK19_RS01825
OG0000013	DR097_RS02175	HZK19_RS02370
OG0000013	DR097_RS03895	HZK19_RS03715
OG0000014	DR097_RS03860	HZK19_RS00585
OG0000014	DR097_RS03370	HZK19_RS00595
OG0000015	DR097_RS02000	HZK19_RS01540, HZK19_RS03105
OG0000016	DR097_RS01165	HZK19_RS02805
OG0000016	DR097_RS00270	HZK19_RS00155
OG0000017	DR097_RS00285	HZK19_RS00140
OG0000017	DR097_RS01175	HZK19_RS02815
OG0000018	DR097_RS04695	HZK19_RS03075
OG0000019	DR097_RS03615	HZK19_RS03845, HZK19_RS03850
OG0000020	DR097_RS04835	HZK19_RS03860
OG0000020	DR097_RS04830	HZK19_RS03600
OG0000021	DR097_RS03390	HZK19_RS01725, HZK19_RS00500
OG0000022	DR097_RS01895	HZK19_RS01625
OG0000022	DR097_RS04680	HZK19_RS01685
OG0000023	DR097_RS02020	HZK19_RS03085
OG0000024	DR097_RS01795	HZK19_RS02710
OG0000024	DR097_RS00345	HZK19_RS01240
OG0000025	DR097_RS04685	HZK19_RS01630
OG0000025	DR097_RS01845	HZK19_RS01680
OG0000026	DR097_RS01665	HZK19_RS01330
OG0000026	DR097_RS01865	HZK19_RS01660
OG0000027	DR097_RS02965	HZK19_RS03390
OG0000027	DR097_RS04560	HZK19_RS03405
OG0000028	DR097_RS04690	HZK19_RS02385
OG0000029	DR097_RS02335	HZK19_RS01065
OG0000030	DR097_RS04775	HZK19_RS03380
