Orthogroup	MHP_98_genes	MHP_Ue273_genes
OG0000000	GOM18_RS02340	VQY17_RS02200
OG0000000	GOM18_RS04045	VQY17_RS02325
OG0000000	GOM18_RS03685	VQY17_RS01770
OG0000000	GOM18_RS00685	VQY17_RS01775
OG0000001	GOM18_RS03240	VQY17_RS01300
OG0000001	GOM18_RS03125	VQY17_RS02775
OG0000001	GOM18_RS04130, GOM18_RS04125	VQY17_RS02730
OG0000002	GOM18_RS02350	VQY17_RS02210
OG0000002	GOM18_RS04550	VQY17_RS01780
OG0000003	GOM18_RS01615	VQY17_RS00505
OG0000003	GOM18_RS03425	VQY17_RS01865
OG0000003	GOM18_RS03375	VQY17_RS01910
OG0000004	GOM18_RS00895	VQY17_RS03185
OG0000004	GOM18_RS00890	VQY17_RS03190
OG0000005	GOM18_RS03145	VQY17_RS00100
OG0000005	GOM18_RS03600	VQY17_RS00105
OG0000005	GOM18_RS04540	VQY17_RS00110, VQY17_RS00125
OG0000006	GOM18_RS01950	VQY17_RS02495
OG0000006	GOM18_RS02495	VQY17_RS02360
OG0000008	GOM18_RS02455	VQY17_RS02320
OG0000008	GOM18_RS03975	VQY17_RS02500
OG0000009	GOM18_RS00095	VQY17_RS00665
OG0000009	GOM18_RS00665	VQY17_RS00085
OG0000009	GOM18_RS00110	VQY17_RS00680
OG0000010	GOM18_RS03360	VQY17_RS01920
OG0000010	GOM18_RS04460	VQY17_RS01580
OG0000010	GOM18_RS04060	VQY17_RS01585
OG0000010	GOM18_RS03805	VQY17_RS00095
OG0000011	GOM18_RS03250	VQY17_RS02025
OG0000011	GOM18_RS03255	VQY17_RS02020
OG0000012	GOM18_RS03340	VQY17_RS01935
OG0000013	GOM18_RS02545	VQY17_RS02405
OG0000013	GOM18_RS03935	VQY17_RS00185
OG0000015	GOM18_RS04215, GOM18_RS00005	VQY17_RS01665
OG0000016	GOM18_RS01215	VQY17_RS02820
OG0000016	GOM18_RS01280	VQY17_RS00170
OG0000017	GOM18_RS01265	VQY17_RS00155
OG0000017	GOM18_RS01205	VQY17_RS02830
OG0000019	GOM18_RS04575	VQY17_RS03000, VQY17_RS03010
OG0000020	GOM18_RS04290	VQY17_RS03550
OG0000020	GOM18_RS03770, GOM18_RS03765	VQY17_RS03555
