Orthogroup	MHP_98_genes	MFC_Ms42_genes
OG0000000	GOM18_RS02340	MYF_RS01330
OG0000000	GOM18_RS03685	MYF_RS03330, MYF_RS03295
OG0000001	GOM18_RS03240, GOM18_RS03230, GOM18_RS03125, GOM18_RS04130, GOM18_RS04125	MYF_RS03415
OG0000002	GOM18_RS02350, GOM18_RS02345	MYF_RS01530
OG0000002	GOM18_RS04550	MYF_RS03010
OG0000011	GOM18_RS03250	MYF_RS03310
OG0000011	GOM18_RS03255	MYF_RS01270
OG0000013	GOM18_RS02545	MYF_RS03170, MYF_RS01100
OG0000013	GOM18_RS03935	MYF_RS03400
OG0000014	GOM18_RS03570, GOM18_RS01700	MYF_RS00550
OG0000015	GOM18_RS02565	MYF_RS03470
OG0000016	GOM18_RS01215	MYF_RS00730
OG0000017	GOM18_RS01265	MYF_RS03155
OG0000017	GOM18_RS01205	MYF_RS00720
OG0000018	GOM18_RS04240	MYF_RS01675
OG0000019	GOM18_RS04575	MYF_RS03450
OG0000020	GOM18_RS04290	MYF_RS03080
OG0000020	GOM18_RS03770, GOM18_RS03765	MYF_RS03085
OG0000022	GOM18_RS04500	MYF_RS03025
OG0000023	GOM18_RS00025	MYF_RS01880
OG0000024	GOM18_RS03075, GOM18_RS03225	MYF_RS00790
OG0000025	GOM18_RS04505	MYF_RS03030
OG0000026	GOM18_RS02790, GOM18_RS03010	MYF_RS01715
OG0000027	GOM18_RS04320	MYF_RS02825
OG0000029	GOM18_RS01705, GOM18_RS03580	MYF_RS00555
OG0000030	GOM18_RS04340, GOM18_RS04325	MYF_RS02820
OG0000031	GOM18_RS00085, GOM18_RS03625	MYF_RS01215
OG0000032	GOM18_RS00745, GOM18_RS02560	MYF_RS03490
OG0000032	GOM18_RS04565	MYF_RS02815
OG0000037	GOM18_RS04545	MYF_RS03495
OG0000037	GOM18_RS02550	MYF_RS03005
OG0000039	GOM18_RS03565	MYF_RS03160, MYF_RS00615
OG0000040	GOM18_RS00810	MYF_RS02770, MYF_RS00840
OG0000042	GOM18_RS01120	MYF_RS00610, MYF_RS00765
OG0000043	GOM18_RS03285	MYF_RS01240
OG0000045	GOM18_RS03555	MYF_RS00630
OG0000048	GOM18_RS02325	MYF_RS01350
OG0000049	GOM18_RS01035	MYF_RS03265, MYF_RS03455
OG0000050	GOM18_RS01900	MYF_RS01180
OG0000051	GOM18_RS02100	MYF_RS02420
OG0000052	GOM18_RS00655	MYF_RS00075
OG0000053	GOM18_RS04480	MYF_RS01800
OG0000054	GOM18_RS01925	MYF_RS01155
OG0000055	GOM18_RS01245	MYF_RS03395, MYF_RS03525
OG0000056	GOM18_RS00495	MYF_RS03060
OG0000057	GOM18_RS01135	MYF_RS00645
OG0000062	GOM18_RS00545	MYF_RS03115
OG0000063	GOM18_RS04295	MYF_RS03110
OG0000064	GOM18_RS00530	MYF_RS03100
OG0000065	GOM18_RS02395	MYF_RS01575
OG0000066	GOM18_RS02800	MYF_RS01705
OG0000068	GOM18_RS03445	MYF_RS00590
OG0000069	GOM18_RS01240, GOM18_RS03140	MYF_RS00755
OG0000070	GOM18_RS01930	MYF_RS01135
OG0000071	GOM18_RS00820	MYF_RS02760
OG0000072	GOM18_RS04355	MYF_RS02765
OG0000073	GOM18_RS00135	MYF_RS02005
OG0000074	GOM18_RS04260	MYF_RS02195
OG0000076	GOM18_RS01465	MYF_RS00320
OG0000077	GOM18_RS01550	MYF_RS00410
OG0000079	GOM18_RS02005	MYF_RS01050
OG0000080	GOM18_RS03980	MYF_RS01000, MYF_RS03365
OG0000081	GOM18_RS01445	MYF_RS00300
OG0000082	GOM18_RS02535	MYF_RS01110
OG0000083	GOM18_RS02245	MYF_RS01430
OG0000084	GOM18_RS02275	MYF_RS01400
OG0000085	GOM18_RS02280	MYF_RS01395
