Orthogroup	MHP_98_genes	MFC_MF30_genes
OG0000000	GOM18_RS02340	DR084_RS02900
OG0000000	GOM18_RS03685	DR084_RS02480
OG0000001	GOM18_RS03240, GOM18_RS03230, GOM18_RS03125, GOM18_RS04130, GOM18_RS04125	DR084_RS03095
OG0000002	GOM18_RS02350, GOM18_RS02345	DR084_RS03505
OG0000002	GOM18_RS04550	DR084_RS03620
OG0000011	GOM18_RS03250	DR084_RS03145
OG0000011	GOM18_RS03255	DR084_RS01055
OG0000013	GOM18_RS02545	DR084_RS00890, DR084_RS00885
OG0000013	GOM18_RS03935	DR084_RS02985
OG0000014	GOM18_RS03570, GOM18_RS01700	DR084_RS03465
OG0000016	GOM18_RS01215	DR084_RS00585
OG0000017	GOM18_RS01265	DR084_RS02415
OG0000017	GOM18_RS01205	DR084_RS00575
OG0000018	GOM18_RS04240	DR084_RS03555
OG0000019	GOM18_RS04575	DR084_RS03440
OG0000020	GOM18_RS03770, GOM18_RS03765	DR084_RS02530
OG0000022	GOM18_RS04500	DR084_RS03625
OG0000024	GOM18_RS03075, GOM18_RS03225	DR084_RS00640
OG0000025	GOM18_RS04505	DR084_RS02490
OG0000026	GOM18_RS02790, GOM18_RS03010	DR084_RS01955
OG0000027	GOM18_RS04320	DR084_RS03655
OG0000029	GOM18_RS01705, GOM18_RS03580	DR084_RS00420
OG0000030	GOM18_RS04340, GOM18_RS04325	DR084_RS03660
OG0000031	GOM18_RS00085, GOM18_RS03625	DR084_RS01000
OG0000039	GOM18_RS03565	DR084_RS00480
OG0000040	GOM18_RS00810	DR084_RS02240, DR084_RS00690
OG0000042	GOM18_RS01120	DR084_RS00475, DR084_RS00620
OG0000043	GOM18_RS03285	DR084_RS01025
OG0000045	GOM18_RS03555	DR084_RS00485
OG0000048	GOM18_RS02325	DR084_RS02740
OG0000049	GOM18_RS01035	DR084_RS02050
OG0000050	GOM18_RS01900	DR084_RS00965
OG0000051	GOM18_RS02100	DR084_RS01670
OG0000052	GOM18_RS00655	DR084_RS02375
OG0000053	GOM18_RS04480	DR084_RS03670
OG0000054	GOM18_RS01925	DR084_RS00940
OG0000055	GOM18_RS01245	DR084_RS03600, DR084_RS03710
OG0000056	GOM18_RS00495	DR084_RS02515
OG0000057	GOM18_RS01135	DR084_RS00500
OG0000062	GOM18_RS00545	DR084_RS02265
OG0000063	GOM18_RS04295	DR084_RS03590
OG0000064	GOM18_RS00530	DR084_RS02250
OG0000065	GOM18_RS02395	DR084_RS01815
OG0000066	GOM18_RS02800	DR084_RS01945
OG0000068	GOM18_RS03445	DR084_RS00455
OG0000069	GOM18_RS01240, GOM18_RS03140	DR084_RS00610
OG0000070	GOM18_RS01930	DR084_RS00920
OG0000071	GOM18_RS00820	DR084_RS01120, DR084_RS02230
OG0000072	GOM18_RS04355	DR084_RS03585
OG0000073	GOM18_RS00135	DR084_RS01245
OG0000074	GOM18_RS04260	DR084_RS03540
OG0000076	GOM18_RS01465	DR084_RS00190
OG0000077	GOM18_RS01550	DR084_RS00275
OG0000079	GOM18_RS02005	DR084_RS00835
OG0000080	GOM18_RS03980	DR084_RS03130
