Orthogroup	MHP_98_genes	MHP_UFV01_genes
OG0000000	GOM18_RS02340	FEF30_RS02570
OG0000000	GOM18_RS04045	FEF30_RS02495
OG0000000	GOM18_RS04450	FEF30_RS02690, FEF30_RS02695
OG0000000	GOM18_RS03685	FEF30_RS02035
OG0000001	GOM18_RS03240	FEF30_RS01595
OG0000001	GOM18_RS03230	FEF30_RS01590
OG0000001	GOM18_RS03125	FEF30_RS03180
OG0000001	GOM18_RS04125	FEF30_RS03125
OG0000002	GOM18_RS02350	FEF30_RS02580
OG0000002	GOM18_RS02345	FEF30_RS02575
OG0000002	GOM18_RS04550	FEF30_RS04295
OG0000003	GOM18_RS03520	FEF30_RS02165
OG0000003	GOM18_RS03425	FEF30_RS04200
OG0000004	GOM18_RS00895	FEF30_RS03540
OG0000004	GOM18_RS00880	FEF30_RS03550
OG0000005	GOM18_RS03145	FEF30_RS00415
OG0000005	GOM18_RS03600	FEF30_RS04180
OG0000005	GOM18_RS04540	FEF30_RS00425, FEF30_RS04185
OG0000006	GOM18_RS01950	FEF30_RS02880
OG0000008	GOM18_RS02455	FEF30_RS02685
OG0000008	GOM18_RS03975	FEF30_RS02885
OG0000009	GOM18_RS00095	FEF30_RS00980
OG0000009	GOM18_RS00110	FEF30_RS00990
OG0000010	GOM18_RS03360	FEF30_RS02240
OG0000010	GOM18_RS04460	FEF30_RS04280
OG0000011	GOM18_RS03250	FEF30_RS02330
OG0000011	GOM18_RS03255	FEF30_RS02325
OG0000013	GOM18_RS02545	FEF30_RS02775
OG0000013	GOM18_RS03935	FEF30_RS00500
OG0000014	GOM18_RS03570, GOM18_RS01700	FEF30_RS00910
OG0000015	GOM18_RS02565	FEF30_RS01950, FEF30_RS02045
OG0000016	GOM18_RS01215	FEF30_RS03220
OG0000016	GOM18_RS01280	FEF30_RS00485
OG0000017	GOM18_RS01265	FEF30_RS00470
OG0000017	GOM18_RS01205	FEF30_RS03230
OG0000020	GOM18_RS04290	FEF30_RS00265
OG0000020	GOM18_RS03770	FEF30_RS03755
OG0000021	GOM18_RS03345	FEF30_RS00820
OG0000022	GOM18_RS03040	FEF30_RS01975
OG0000022	GOM18_RS04500	FEF30_RS04290
OG0000024	GOM18_RS03075	FEF30_RS03120
OG0000024	GOM18_RS03225	FEF30_RS01585
OG0000025	GOM18_RS04510	FEF30_RS04285
OG0000025	GOM18_RS04505	FEF30_RS02025
OG0000026	GOM18_RS02790	FEF30_RS01680
OG0000026	GOM18_RS03010	FEF30_RS02005
OG0000027	GOM18_RS04335	FEF30_RS00060
OG0000027	GOM18_RS04320	FEF30_RS04125
OG0000029	GOM18_RS01705	FEF30_RS01390
OG0000029	GOM18_RS03580	FEF30_RS00925
OG0000030	GOM18_RS04340	FEF30_RS04110
OG0000030	GOM18_RS04325	FEF30_RS04120
OG0000032	GOM18_RS04565	FEF30_RS00065
OG0000035	GOM18_RS00885	FEF30_RS03545
OG0000036	GOM18_RS03585	FEF30_RS00430, FEF30_RS00445
OG0000038	GOM18_RS03645	FEF30_RS02160
OG0000038	GOM18_RS01605	FEF30_RS00810
OG0000039	GOM18_RS03565	FEF30_RS01930
