Orthogroup	MHP_98_genes	MFC_MF18_genes
OG0000000	GOM18_RS02340	DR082_RS03155
OG0000000	GOM18_RS03685	DR082_RS03460, DR082_RS03455
OG0000001	GOM18_RS03240, GOM18_RS03230, GOM18_RS03125, GOM18_RS04130, GOM18_RS04125	DR082_RS00825, DR082_RS00820
OG0000002	GOM18_RS02345	DR082_RS03795
OG0000002	GOM18_RS04550	DR082_RS03830
OG0000011	GOM18_RS03250	DR082_RS03895, DR082_RS03545
OG0000011	GOM18_RS03255	DR082_RS02625
OG0000013	GOM18_RS02545	DR082_RS01090, DR082_RS01085
OG0000013	GOM18_RS03935	DR082_RS03095
OG0000014	GOM18_RS03570, GOM18_RS01700	DR082_RS03685
OG0000016	GOM18_RS01215	DR082_RS00770
OG0000017	GOM18_RS01265	DR082_RS00175
OG0000017	GOM18_RS01205	DR082_RS00760
OG0000018	GOM18_RS04240	DR082_RS03790
OG0000020	GOM18_RS04290	DR082_RS03840
OG0000020	GOM18_RS03770, GOM18_RS03765	DR082_RS03845
OG0000022	GOM18_RS04500	DR082_RS03835
OG0000023	GOM18_RS02835, GOM18_RS00025	DR082_RS02000
OG0000024	GOM18_RS03075, GOM18_RS03225	DR082_RS00830
OG0000025	GOM18_RS04505	DR082_RS02390
OG0000026	GOM18_RS02790, GOM18_RS03010	DR082_RS02045
OG0000027	GOM18_RS04335	DR082_RS02575
OG0000027	GOM18_RS04320	DR082_RS03875
OG0000029	GOM18_RS01705, GOM18_RS03580	DR082_RS00605
OG0000030	GOM18_RS04340, GOM18_RS04325	DR082_RS03880
OG0000031	GOM18_RS00085, GOM18_RS03625	DR082_RS01195
OG0000032	GOM18_RS00745, GOM18_RS02560, GOM18_RS04565	DR082_RS02570
OG0000039	GOM18_RS03565	DR082_RS00665
OG0000040	GOM18_RS00810	DR082_RS01855, DR082_RS00885
OG0000042	GOM18_RS01120	DR082_RS00660, DR082_RS00805
OG0000043	GOM18_RS03285	DR082_RS02595
OG0000045	GOM18_RS03555	DR082_RS03225, DR082_RS03230
OG0000047	GOM18_RS00015	DR082_RS00835
OG0000048	GOM18_RS02325	DR082_RS03010, DR082_RS02750
OG0000049	GOM18_RS01035	DR082_RS01640, DR082_RS03345
OG0000050	GOM18_RS01900	DR082_RS01160
OG0000051	GOM18_RS02100	DR082_RS01520
OG0000052	GOM18_RS00655	DR082_RS03660
OG0000053	GOM18_RS04480	DR082_RS03920
OG0000054	GOM18_RS01925	DR082_RS01135
OG0000055	GOM18_RS01245	DR082_RS03970
OG0000056	GOM18_RS00495	DR082_RS02415
OG0000057	GOM18_RS01135	DR082_RS00685
OG0000062	GOM18_RS00545	DR082_RS00025
OG0000063	GOM18_RS04295	DR082_RS00020
OG0000064	GOM18_RS00530	DR082_RS00010
OG0000065	GOM18_RS02395	DR082_RS01905
OG0000066	GOM18_RS02800	DR082_RS02035
OG0000068	GOM18_RS03445	DR082_RS00640
OG0000069	GOM18_RS01240, GOM18_RS03140	DR082_RS00795
OG0000070	GOM18_RS01930	DR082_RS01115
OG0000071	GOM18_RS00820	DR082_RS01840
OG0000072	GOM18_RS04355	DR082_RS03775
OG0000073	GOM18_RS00135	DR082_RS02205
OG0000074	GOM18_RS04260	DR082_RS03730
OG0000076	GOM18_RS01465	DR082_RS00375
OG0000077	GOM18_RS01550	DR082_RS03065, DR082_RS00460
OG0000079	GOM18_RS02005	DR082_RS01035
OG0000080	GOM18_RS03980	DR082_RS03280
OG0000081	GOM18_RS01445	DR082_RS00355
OG0000082	GOM18_RS02535	DR082_RS01095
OG0000083	GOM18_RS02245	DR082_RS02990
OG0000084	GOM18_RS02275	DR082_RS02700
OG0000085	GOM18_RS02280	DR082_RS03060, DR082_RS02705
OG0000086	GOM18_RS02290	DR082_RS03910
OG0000087	GOM18_RS02305	DR082_RS02730
OG0000088	GOM18_RS02310	DR082_RS02735
OG0000089	GOM18_RS02320	DR082_RS02745
OG0000090	GOM18_RS00650	DR082_RS00130
OG0000091	GOM18_RS00635	DR082_RS00115
OG0000092	GOM18_RS00620	DR082_RS00100
OG0000093	GOM18_RS00615	DR082_RS00095
OG0000094	GOM18_RS00610	DR082_RS00090
OG0000095	GOM18_RS00585	DR082_RS00065
OG0000096	GOM18_RS00580	DR082_RS00060
OG0000097	GOM18_RS00560	DR082_RS00040
OG0000098	GOM18_RS00550	DR082_RS00030
OG0000099	GOM18_RS04285	DR082_RS02420
OG0000100	GOM18_RS00485	DR082_RS02410
