Orthogroup	MHP_98_genes	MHP_ES2_genes
OG0000000	GOM18_RS02340	E5E95_RS02310
OG0000000	GOM18_RS04045	E5E95_RS02230
OG0000000	GOM18_RS04450	E5E95_RS02430, E5E95_RS04240
OG0000000	GOM18_RS03685	E5E95_RS01830
OG0000000	GOM18_RS00685	E5E95_RS04235, E5E95_RS01835
OG0000001	GOM18_RS03240	E5E95_RS01300
OG0000001	GOM18_RS03230	E5E95_RS01295
OG0000001	GOM18_RS03125	E5E95_RS03000
OG0000001	GOM18_RS04125	E5E95_RS04150
OG0000002	GOM18_RS02350	E5E95_RS02320
OG0000002	GOM18_RS02345	E5E95_RS02315
OG0000002	GOM18_RS04550	E5E95_RS01840
OG0000003	GOM18_RS03520	E5E95_RS01870
OG0000003	GOM18_RS03425	E5E95_RS01915
OG0000003	GOM18_RS03375, GOM18_RS03370	E5E95_RS03910
OG0000004	GOM18_RS00895	E5E95_RS03410
OG0000004	GOM18_RS00890	E5E95_RS03415
OG0000004	GOM18_RS00880	E5E95_RS03425
OG0000005	GOM18_RS03145	E5E95_RS00090
OG0000005	GOM18_RS03600	E5E95_RS00095
OG0000005	GOM18_RS04540	E5E95_RS00100, E5E95_RS00115
OG0000006	GOM18_RS01950	E5E95_RS02705
OG0000008	GOM18_RS02455	E5E95_RS03925, E5E95_RS04080
OG0000008	GOM18_RS03975	E5E95_RS03930, E5E95_RS04135
OG0000009	GOM18_RS00095	E5E95_RS00665
OG0000009	GOM18_RS00110	E5E95_RS00680
OG0000010	GOM18_RS03360	E5E95_RS01970
OG0000010	GOM18_RS04460	E5E95_RS01575
OG0000011	GOM18_RS03250	E5E95_RS02070
OG0000011	GOM18_RS03255	E5E95_RS02060
OG0000013	GOM18_RS02545	E5E95_RS02610
OG0000013	GOM18_RS03935	E5E95_RS03955
OG0000014	GOM18_RS03570, GOM18_RS01700	E5E95_RS00595
OG0000015	GOM18_RS02565	E5E95_RS01745, E5E95_RS02450, E5E95_RS01590
OG0000016	GOM18_RS01215	E5E95_RS03040
OG0000016	GOM18_RS01280	E5E95_RS00160
OG0000017	GOM18_RS01265	E5E95_RS00145
OG0000017	GOM18_RS01205	E5E95_RS03050
OG0000020	GOM18_RS04290	E5E95_RS03770
OG0000021	GOM18_RS03485	E5E95_RS01875
OG0000021	GOM18_RS03345	E5E95_RS03845, E5E95_RS03755
OG0000021	GOM18_RS03065	E5E95_RS00510
OG0000022	GOM18_RS03040	E5E95_RS01770
OG0000022	GOM18_RS04500	E5E95_RS01825
OG0000024	GOM18_RS03075	E5E95_RS02945
OG0000024	GOM18_RS03225	E5E95_RS01290
OG0000025	GOM18_RS04510	E5E95_RS01775
OG0000025	GOM18_RS04505	E5E95_RS01820
OG0000026	GOM18_RS02790	E5E95_RS01380
OG0000026	GOM18_RS03010	E5E95_RS01800
OG0000027	GOM18_RS04335	E5E95_RS03560
OG0000027	GOM18_RS04320	E5E95_RS03575
OG0000028	GOM18_RS01870	E5E95_RS02620
OG0000029	GOM18_RS01705	E5E95_RS01100
OG0000029	GOM18_RS03580	E5E95_RS00610
OG0000030	GOM18_RS04340	E5E95_RS03550
OG0000030	GOM18_RS04325	E5E95_RS03570
OG0000031	GOM18_RS03625	E5E95_RS01625
OG0000032	GOM18_RS02560	E5E95_RS03995
OG0000032	GOM18_RS04565	E5E95_RS03565
OG0000035	GOM18_RS00885	E5E95_RS03405
OG0000035	GOM18_RS00900	E5E95_RS03395
OG0000036	GOM18_RS03585	E5E95_RS00105, E5E95_RS00120
OG0000037	GOM18_RS04545	E5E95_RS04000
OG0000038	GOM18_RS03510	E5E95_RS01910
OG0000038	GOM18_RS03645	E5E95_RS01865
OG0000039	GOM18_RS03565	E5E95_RS01650, E5E95_RS01645
OG0000040	GOM18_RS00810	E5E95_RS03495
OG0000041	GOM18_RS00100	E5E95_RS00670
OG0000042	GOM18_RS01120	E5E95_RS03140
OG0000043	GOM18_RS03285	E5E95_RS02030
OG0000044	GOM18_RS04585	E5E95_RS04290
OG0000045	GOM18_RS03555	E5E95_RS01655
OG0000046	GOM18_RS03880, GOM18_RS03875	E5E95_RS03505
OG0000047	GOM18_RS00015	E5E95_RS01725
OG0000048	GOM18_RS02325	E5E95_RS02215
OG0000049	GOM18_RS01035	E5E95_RS03260
OG0000050	GOM18_RS01900	E5E95_RS02655
OG0000051	GOM18_RS02100	E5E95_RS02855
OG0000052	GOM18_RS00655	E5E95_RS00075
OG0000053	GOM18_RS04480	E5E95_RS01465
OG0000054	GOM18_RS01925	E5E95_RS02680
OG0000055	GOM18_RS01245	E5E95_RS00125
OG0000056	GOM18_RS00495	E5E95_RS03750
OG0000057	GOM18_RS01135	E5E95_RS03125
OG0000058	GOM18_RS00090	E5E95_RS01660, E5E95_RS02525, E5E95_RS02530
OG0000059	GOM18_RS03660	E5E95_RS02510
OG0000060	GOM18_RS03800	E5E95_RS00080
OG0000061	GOM18_RS03350	E5E95_RS01980
OG0000062	GOM18_RS00545	E5E95_RS03805
OG0000063	GOM18_RS04295	E5E95_RS03800
OG0000064	GOM18_RS00530	E5E95_RS03790
OG0000065	GOM18_RS02395	E5E95_RS02365
OG0000066	GOM18_RS02800	E5E95_RS01370
OG0000067	GOM18_RS01630	E5E95_RS00525
OG0000068	GOM18_RS03445	E5E95_RS00645
OG0000069	GOM18_RS01240, GOM18_RS03140	E5E95_RS03015
OG0000070	GOM18_RS01930	E5E95_RS02685
OG0000071	GOM18_RS00820	E5E95_RS03485
OG0000072	GOM18_RS04355	E5E95_RS03490
