Orthogroup	MHP_98_genes	MHP_MHP709_genes
OG0000000	GOM18_RS02340	DR088_RS03530
OG0000000	GOM18_RS04045	DR088_RS03495
OG0000000	GOM18_RS03685	DR088_RS04105
OG0000000	GOM18_RS00685	DR088_RS04100
OG0000001	GOM18_RS03125	DR088_RS00215
OG0000001	GOM18_RS04125	DR088_RS03730
OG0000002	GOM18_RS02350	DR088_RS04280
OG0000002	GOM18_RS02345	DR088_RS03525
OG0000002	GOM18_RS04550	DR088_RS04510
OG0000003	GOM18_RS03520, GOM18_RS03425	DR088_RS00355
OG0000003	GOM18_RS03375	DR088_RS03645
OG0000004	GOM18_RS00895	DR088_RS01540
OG0000004	GOM18_RS00880	DR088_RS03400
OG0000005	GOM18_RS03145	DR088_RS01950
OG0000005	GOM18_RS03600	DR088_RS03545
OG0000005	GOM18_RS04540	DR088_RS03300, DR088_RS04590
OG0000006	GOM18_RS01950	DR088_RS03035
OG0000008	GOM18_RS03975	DR088_RS04285
OG0000009	GOM18_RS00665	DR088_RS01935
OG0000009	GOM18_RS00110	DR088_RS02850
OG0000010	GOM18_RS03360	DR088_RS00450
OG0000010	GOM18_RS03805	DR088_RS03540, DR088_RS03660
OG0000011	GOM18_RS03250	DR088_RS00560
OG0000011	GOM18_RS03255	DR088_RS00555
OG0000012	GOM18_RS01865, GOM18_RS03340	DR088_RS03650
OG0000013	GOM18_RS02545	DR088_RS02380
OG0000013	GOM18_RS03935	DR088_RS03910
OG0000016	GOM18_RS01215	DR088_RS00255
OG0000016	GOM18_RS01280	DR088_RS01355
OG0000017	GOM18_RS01265	DR088_RS01370
OG0000017	GOM18_RS01205	DR088_RS00265
OG0000018	GOM18_RS04490, GOM18_RS04240	DR088_RS04550
OG0000019	GOM18_RS04575	DR088_RS04255
OG0000020	GOM18_RS04290	DR088_RS04465
OG0000020	GOM18_RS03770, GOM18_RS03765	DR088_RS04470
OG0000021	GOM18_RS03485, GOM18_RS03345, GOM18_RS03065	DR088_RS00360
OG0000022	GOM18_RS03040	DR088_RS02355
OG0000022	GOM18_RS04500	DR088_RS04515
OG0000023	GOM18_RS02835, GOM18_RS00025	DR088_RS02595
OG0000024	GOM18_RS03075	DR088_RS00160
OG0000024	GOM18_RS03225	DR088_RS00975
OG0000025	GOM18_RS04510	DR088_RS04520
OG0000025	GOM18_RS04505	DR088_RS02305
OG0000026	GOM18_RS02790	DR088_RS02640
OG0000026	GOM18_RS03010	DR088_RS02325
OG0000027	GOM18_RS04335	DR088_RS04450
OG0000027	GOM18_RS04320	DR088_RS04500
OG0000028	GOM18_RS01870	DR088_RS04565
OG0000029	GOM18_RS01705	DR088_RS01545
OG0000029	GOM18_RS03580	DR088_RS00770
OG0000030	GOM18_RS04340	DR088_RS04445
OG0000030	GOM18_RS04325	DR088_RS04505
OG0000031	GOM18_RS00085, GOM18_RS03625	DR088_RS03335
OG0000032	GOM18_RS02560	DR088_RS03370
OG0000032	GOM18_RS04565	DR088_RS02280
OG0000035	GOM18_RS00885	DR088_RS03395
OG0000035	GOM18_RS00900	DR088_RS01530
OG0000036	GOM18_RS03585	DR088_RS03305, DR088_RS03325, DR088_RS04245
OG0000037	GOM18_RS02550	DR088_RS03355
OG0000038	GOM18_RS03510, GOM18_RS03645, GOM18_RS01605	DR088_RS01015
OG0000039	GOM18_RS03565	DR088_RS03410
OG0000040	GOM18_RS00810	DR088_RS02000
OG0000041	GOM18_RS00100, GOM18_RS02975	DR088_RS03850
OG0000042	GOM18_RS01120	DR088_RS03180
OG0000043	GOM18_RS03285	DR088_RS00525
OG0000044	GOM18_RS04585	DR088_RS04645
OG0000045	GOM18_RS03555	DR088_RS03415
OG0000048	GOM18_RS02325	DR088_RS00705
OG0000049	GOM18_RS01035	DR088_RS01390
OG0000050	GOM18_RS01900	DR088_RS02980
OG0000051	GOM18_RS02100	DR088_RS00080
OG0000052	GOM18_RS00655	DR088_RS01925
OG0000053	GOM18_RS04480	DR088_RS04530
OG0000054	GOM18_RS01925	DR088_RS03005
OG0000055	GOM18_RS01245	DR088_RS03550
OG0000056	GOM18_RS00495	DR088_RS02115
OG0000057	GOM18_RS01135	DR088_RS00335
OG0000060	GOM18_RS03800	DR088_RS03970
OG0000061	GOM18_RS03350	DR088_RS00460
OG0000062	GOM18_RS00545	DR088_RS01815
OG0000063	GOM18_RS04295	DR088_RS01810
OG0000064	GOM18_RS00530	DR088_RS01800
OG0000065	GOM18_RS02395	DR088_RS02890
OG0000066	GOM18_RS02800	DR088_RS02630
OG0000067	GOM18_RS01630	DR088_RS03390
OG0000068	GOM18_RS03445	DR088_RS00735
OG0000069	GOM18_RS01240, GOM18_RS03140	DR088_RS00230
OG0000070	GOM18_RS01930	DR088_RS03010
OG0000071	GOM18_RS00820	DR088_RS01990
OG0000072	GOM18_RS04355	DR088_RS04430
OG0000073	GOM18_RS00135	DR088_RS02825
OG0000074	GOM18_RS04260	DR088_RS04395
OG0000075	GOM18_RS01450	DR088_RS01175
OG0000076	GOM18_RS01465	DR088_RS01160
OG0000077	GOM18_RS01550	DR088_RS01070
OG0000078	GOM18_RS03020	DR088_RS02335
OG0000079	GOM18_RS02005	DR088_RS03130
OG0000080	GOM18_RS03980	DR088_RS03700
OG0000081	GOM18_RS01445	DR088_RS01180
OG0000083	GOM18_RS02245	DR088_RS00630
OG0000084	GOM18_RS02275	DR088_RS00655
OG0000085	GOM18_RS02280	DR088_RS00660
OG0000086	GOM18_RS02290	DR088_RS00670
OG0000087	GOM18_RS02305	DR088_RS00685
OG0000088	GOM18_RS02310	DR088_RS00690
OG0000089	GOM18_RS02320	DR088_RS00700
OG0000090	GOM18_RS00650	DR088_RS01920
OG0000091	GOM18_RS00635	DR088_RS01905
OG0000092	GOM18_RS00620	DR088_RS01890
OG0000093	GOM18_RS00615	DR088_RS01885
