Orthogroup	MHP_98_genes	MHP_KM014_genes
OG0000000	GOM18_RS04045	CIB43_RS03010
OG0000000	GOM18_RS03685	CIB43_RS02595, CIB43_RS02600
OG0000001	GOM18_RS03230	CIB43_RS02150
OG0000001	GOM18_RS03125	CIB43_RS03715
OG0000001	GOM18_RS04130, GOM18_RS04125	CIB43_RS03670
OG0000002	GOM18_RS02350	CIB43_RS03100
OG0000002	GOM18_RS04550	CIB43_RS02610
OG0000003	GOM18_RS01615	CIB43_RS01390
OG0000003	GOM18_RS03375, GOM18_RS03370	CIB43_RS02725
OG0000004	GOM18_RS00895	CIB43_RS00290
OG0000005	GOM18_RS03145	CIB43_RS00810
OG0000006	GOM18_RS01950	CIB43_RS03435
OG0000006	GOM18_RS02465, GOM18_RS02495	CIB43_RS03420
OG0000008	GOM18_RS02455	CIB43_RS03225
OG0000009	GOM18_RS00665	CIB43_RS00790
OG0000009	GOM18_RS00110	CIB43_RS01550
OG0000010	GOM18_RS03360	CIB43_RS02735
OG0000010	GOM18_RS03805	CIB43_RS00795
OG0000011	GOM18_RS03250	CIB43_RS02850
OG0000014	GOM18_RS03570, GOM18_RS01700	CIB43_RS01485
OG0000015	GOM18_RS00005	CIB43_RS01235
OG0000015	GOM18_RS02565	CIB43_RS00010, CIB43_RS01220
OG0000016	GOM18_RS01215	CIB43_RS03755
OG0000017	GOM18_RS01265	CIB43_RS00855
OG0000017	GOM18_RS01205	CIB43_RS03765
OG0000018	GOM18_RS04240	CIB43_RS01250
OG0000020	GOM18_RS03770	CIB43_RS00635
OG0000021	GOM18_RS03485	CIB43_RS01400
OG0000021	GOM18_RS03345	CIB43_RS02635
OG0000022	GOM18_RS04500	CIB43_RS02590
OG0000023	GOM18_RS00025	CIB43_RS01245
OG0000024	GOM18_RS03225	CIB43_RS02140
OG0000025	GOM18_RS04505	CIB43_RS02585
OG0000026	GOM18_RS03010	CIB43_RS02565
OG0000027	GOM18_RS04320	CIB43_RS00440
OG0000028	GOM18_RS01870	CIB43_RS03325
