Orthogroup	MHP_1257_genes	MFC_MF22_genes
OG0000000	ABKJ22_RS02210	DR094_RS03000
OG0000000	ABKJ22_RS02255	DR094_RS02820
OG0000000	ABKJ22_RS01715	DR094_RS01215
OG0000001	ABKJ22_RS01295, ABKJ22_RS01300, ABKJ22_RS02690, ABKJ22_RS02685	DR094_RS00325, DR094_RS00330
OG0000002	ABKJ22_RS02250	DR094_RS03815
OG0000002	ABKJ22_RS01720	DR094_RS03610
OG0000003	ABKJ22_RS02215	DR094_RS03820
OG0000004	ABKJ22_RS02940	DR094_RS01820
OG0000007	ABKJ22_RS02220	DR094_RS02850
OG0000007	ABKJ22_RS02225	DR094_RS02845
OG0000007	ABKJ22_RS02230	DR094_RS02840
OG0000011	ABKJ22_RS01925	DR094_RS03520
OG0000011	ABKJ22_RS01920	DR094_RS02895
OG0000013	ABKJ22_RS02355	DR094_RS00075, DR094_RS00080
OG0000013	ABKJ22_RS00180	DR094_RS03050
OG0000014	ABKJ22_RS00595, ABKJ22_RS01105, ABKJ22_RS01095	DR094_RS03555
OG0000016	ABKJ22_RS02785	DR094_RS00380
OG0000017	ABKJ22_RS00150	DR094_RS00975
OG0000017	ABKJ22_RS02795	DR094_RS00390
OG0000019	ABKJ22_RS02945	DR094_RS03350
OG0000020	ABKJ22_RS03435	DR094_RS03600
OG0000020	ABKJ22_RS03440	DR094_RS03595
OG0000022	ABKJ22_RS01710	DR094_RS03605
OG0000023	ABKJ22_RS01335	DR094_RS02170
OG0000024	ABKJ22_RS02680, ABKJ22_RS01290	DR094_RS00320
OG0000025	ABKJ22_RS01705	DR094_RS01205
OG0000026	ABKJ22_RS01380, ABKJ22_RS01685	DR094_RS02215
OG0000027	ABKJ22_RS03225	DR094_RS01395
OG0000027	ABKJ22_RS03240	DR094_RS03650
OG0000029	ABKJ22_RS00600, ABKJ22_RS01090	DR094_RS00545
OG0000030	ABKJ22_RS03215, ABKJ22_RS03235	DR094_RS03655
OG0000031	ABKJ22_RS01605	DR094_RS02590
OG0000032	ABKJ22_RS01585, ABKJ22_RS03230	DR094_RS01390
OG0000039	ABKJ22_RS01615	DR094_RS00485
OG0000040	ABKJ22_RS03165	DR094_RS02025, DR094_RS00270
OG0000042	ABKJ22_RS02880	DR094_RS00490, DR094_RS00345
OG0000043	ABKJ22_RS01890	DR094_RS02615
OG0000045	ABKJ22_RS01620	DR094_RS03140, DR094_RS03135
OG0000048	ABKJ22_RS02075	DR094_RS02695, DR094_RS02985
OG0000049	ABKJ22_RS02955	DR094_RS03355
OG0000050	ABKJ22_RS02395	DR094_RS03765
OG0000051	ABKJ22_RS02600	DR094_RS01715
OG0000052	ABKJ22_RS00075	DR094_RS01015
OG0000053	ABKJ22_RS01465	DR094_RS03805
OG0000054	ABKJ22_RS02420	DR094_RS00030
OG0000055	ABKJ22_RS00130	DR094_RS03580, DR094_RS03850
OG0000056	ABKJ22_RS03415	DR094_RS01180
OG0000057	ABKJ22_RS02865	DR094_RS00465
OG0000062	ABKJ22_RS03470	DR094_RS01125
OG0000063	ABKJ22_RS03465	DR094_RS03590
OG0000064	ABKJ22_RS03455	DR094_RS01140
OG0000065	ABKJ22_RS02160	DR094_RS02075
OG0000066	ABKJ22_RS01370	DR094_RS02205
OG0000068	ABKJ22_RS01055	DR094_RS00510
OG0000069	ABKJ22_RS02760	DR094_RS00355
OG0000070	ABKJ22_RS02425	DR094_RS00050
OG0000071	ABKJ22_RS03155	DR094_RS02015
OG0000072	ABKJ22_RS03160	DR094_RS03725
OG0000073	ABKJ22_RS00995	DR094_RS02425
OG0000074	ABKJ22_RS00800	DR094_RS03685
OG0000075	ABKJ22_RS00335	DR094_RS00790
OG0000076	ABKJ22_RS00350	DR094_RS00775
OG0000077	ABKJ22_RS00445	DR094_RS00690
OG0000078	ABKJ22_RS01675	DR094_RS00235
OG0000079	ABKJ22_RS02505	DR094_RS00130
OG0000080	ABKJ22_RS02550	DR094_RS03080
OG0000081	ABKJ22_RS00330	DR094_RS00795
OG0000082	ABKJ22_RS02350	DR094_RS00070
OG0000083	ABKJ22_RS01995	DR094_RS02715
OG0000084	ABKJ22_RS02025	DR094_RS02645
OG0000085	ABKJ22_RS02030	DR094_RS02650
OG0000086	ABKJ22_RS02040	DR094_RS03780
OG0000087	ABKJ22_RS02055	DR094_RS02675
OG0000088	ABKJ22_RS02060	DR094_RS02680
OG0000089	ABKJ22_RS02070	DR094_RS02690
OG0000090	ABKJ22_RS00070	DR094_RS01020
OG0000091	ABKJ22_RS00055	DR094_RS01035
OG0000092	ABKJ22_RS00040	DR094_RS01050
OG0000093	ABKJ22_RS00035	DR094_RS01055
OG0000094	ABKJ22_RS00030	DR094_RS01060
OG0000095	ABKJ22_RS00005	DR094_RS01085
OG0000096	ABKJ22_RS03505	DR094_RS01090
OG0000097	ABKJ22_RS03485	DR094_RS01110
OG0000098	ABKJ22_RS03475	DR094_RS01120
OG0000099	ABKJ22_RS03425	DR094_RS01175
OG0000100	ABKJ22_RS03405	DR094_RS01185
OG0000101	ABKJ22_RS03400	DR094_RS01190
OG0000102	ABKJ22_RS01700	DR094_RS01200
OG0000103	ABKJ22_RS02195	DR094_RS02040
OG0000104	ABKJ22_RS02190	DR094_RS02045
OG0000105	ABKJ22_RS02175	DR094_RS02060
OG0000106	ABKJ22_RS02165	DR094_RS02070
OG0000107	ABKJ22_RS02155	DR094_RS02080
OG0000108	ABKJ22_RS02150	DR094_RS02085
OG0000109	ABKJ22_RS02145	DR094_RS02090
OG0000110	ABKJ22_RS02340	DR094_RS02095
OG0000111	ABKJ22_RS02335	DR094_RS02100
OG0000112	ABKJ22_RS02325	DR094_RS02110
OG0000113	ABKJ22_RS02305	DR094_RS03730
OG0000114	ABKJ22_RS02295	DR094_RS02135
OG0000115	ABKJ22_RS02285	DR094_RS02145
OG0000116	ABKJ22_RS01315	DR094_RS02155
OG0000117	ABKJ22_RS01320	DR094_RS02160
OG0000118	ABKJ22_RS01355	DR094_RS02190
OG0000119	ABKJ22_RS01360	DR094_RS02195
OG0000120	ABKJ22_RS01375	DR094_RS02210
OG0000121	ABKJ22_RS01400	DR094_RS02235
OG0000122	ABKJ22_RS01405	DR094_RS02240
OG0000123	ABKJ22_RS01425	DR094_RS02260
OG0000124	ABKJ22_RS01430	DR094_RS02265
OG0000125	ABKJ22_RS01435	DR094_RS02270
OG0000126	ABKJ22_RS01445	DR094_RS02280
OG0000127	ABKJ22_RS01455	DR094_RS02290
OG0000128	ABKJ22_RS01470	DR094_RS02750
OG0000129	ABKJ22_RS01475	DR094_RS02755
OG0000130	ABKJ22_RS01485	DR094_RS02765
OG0000131	ABKJ22_RS01515	DR094_RS02795
OG0000132	ABKJ22_RS01530	DR094_RS03810
OG0000133	ABKJ22_RS00530	DR094_RS00615
OG0000134	ABKJ22_RS00535	DR094_RS03565
OG0000135	ABKJ22_RS00550	DR094_RS00595
OG0000136	ABKJ22_RS00555	DR094_RS00590
OG0000137	ABKJ22_RS00585	DR094_RS00560
OG0000138	ABKJ22_RS01080	DR094_RS00535
OG0000139	ABKJ22_RS01050	DR094_RS00505
OG0000140	ABKJ22_RS01045	DR094_RS00500
OG0000141	ABKJ22_RS02875	DR094_RS00475
OG0000142	ABKJ22_RS02870	DR094_RS03550
OG0000143	ABKJ22_RS02850	DR094_RS00445
OG0000144	ABKJ22_RS02840	DR094_RS00435
OG0000145	ABKJ22_RS02830	DR094_RS00425
OG0000146	ABKJ22_RS02820	DR094_RS00415
OG0000147	ABKJ22_RS02815	DR094_RS00410
OG0000148	ABKJ22_RS02800	DR094_RS00395
OG0000149	ABKJ22_RS02790	DR094_RS00385
OG0000150	ABKJ22_RS02775	DR094_RS00370
OG0000151	ABKJ22_RS02720	DR094_RS00315
OG0000152	ABKJ22_RS02715	DR094_RS00310
OG0000153	ABKJ22_RS02710	DR094_RS00305
OG0000154	ABKJ22_RS02700	DR094_RS00295
OG0000155	ABKJ22_RS02660	DR094_RS00275
OG0000156	ABKJ22_RS02650	DR094_RS00260
OG0000157	ABKJ22_RS02645	DR094_RS03545
OG0000158	ABKJ22_RS02635	DR094_RS03540
OG0000159	ABKJ22_RS02410	DR094_RS00020
OG0000160	ABKJ22_RS02405	DR094_RS00015
OG0000161	ABKJ22_RS02400	DR094_RS00010
OG0000162	ABKJ22_RS02390	DR094_RS02560
OG0000163	ABKJ22_RS02385	DR094_RS02565
OG0000164	ABKJ22_RS01610	DR094_RS03770
OG0000165	ABKJ22_RS01915	DR094_RS02890
OG0000166	ABKJ22_RS01935	DR094_RS02910
OG0000167	ABKJ22_RS01950	DR094_RS02925
OG0000168	ABKJ22_RS01955	DR094_RS02930
OG0000169	ABKJ22_RS02950	DR094_RS01830
OG0000170	ABKJ22_RS02965	DR094_RS01845
OG0000171	ABKJ22_RS02975	DR094_RS01855
OG0000172	ABKJ22_RS02980	DR094_RS01860
OG0000173	ABKJ22_RS02985	DR094_RS01865
OG0000174	ABKJ22_RS02990	DR094_RS01870
OG0000175	ABKJ22_RS03005	DR094_RS01885
OG0000176	ABKJ22_RS03050	DR094_RS01925
OG0000177	ABKJ22_RS03055	DR094_RS01930
OG0000178	ABKJ22_RS03060	DR094_RS01935
OG0000179	ABKJ22_RS03070	DR094_RS01945
OG0000180	ABKJ22_RS03075	DR094_RS01950
OG0000181	ABKJ22_RS03105	DR094_RS03710
OG0000182	ABKJ22_RS03115	DR094_RS01975
OG0000183	ABKJ22_RS03150	DR094_RS02010
OG0000184	ABKJ22_RS03190	DR094_RS02865
OG0000185	ABKJ22_RS03175	DR094_RS02880
OG0000186	ABKJ22_RS01540	DR094_RS02535
OG0000187	ABKJ22_RS01555	DR094_RS02520
OG0000188	ABKJ22_RS01565	DR094_RS02510
OG0000189	ABKJ22_RS02110	DR094_RS03755
OG0000190	ABKJ22_RS02115	DR094_RS02495
OG0000191	ABKJ22_RS02135	DR094_RS02475
OG0000192	ABKJ22_RS01230	DR094_RS02465
OG0000193	ABKJ22_RS01220	DR094_RS02450
OG0000194	ABKJ22_RS01010	DR094_RS02440
OG0000195	ABKJ22_RS01005	DR094_RS02435
OG0000196	ABKJ22_RS00985	DR094_RS03750
OG0000197	ABKJ22_RS00980	DR094_RS02410
OG0000198	ABKJ22_RS00965	DR094_RS02395
OG0000199	ABKJ22_RS00960	DR094_RS02390
OG0000200	ABKJ22_RS00945	DR094_RS02375
OG0000201	ABKJ22_RS00935	DR094_RS02365
OG0000202	ABKJ22_RS00880	DR094_RS02310
OG0000203	ABKJ22_RS00875	DR094_RS02305
OG0000204	ABKJ22_RS00870	DR094_RS03670
OG0000205	ABKJ22_RS00865	DR094_RS01420
OG0000206	ABKJ22_RS00845	DR094_RS01440
OG0000207	ABKJ22_RS00830	DR094_RS01455
OG0000208	ABKJ22_RS00825	DR094_RS01460
OG0000209	ABKJ22_RS00820	DR094_RS01465
OG0000210	ABKJ22_RS00775	DR094_RS01510
OG0000211	ABKJ22_RS00745	DR094_RS01520
OG0000212	ABKJ22_RS00735	DR094_RS01530
OG0000213	ABKJ22_RS00730	DR094_RS01535
OG0000214	ABKJ22_RS00725	DR094_RS01540
OG0000215	ABKJ22_RS00720	DR094_RS01545
OG0000216	ABKJ22_RS00715	DR094_RS01550
OG0000217	ABKJ22_RS00710	DR094_RS01555
OG0000218	ABKJ22_RS00700	DR094_RS03690
OG0000219	ABKJ22_RS00695	DR094_RS01570
OG0000220	ABKJ22_RS00690	DR094_RS01575
OG0000221	ABKJ22_RS00685	DR094_RS01580
OG0000222	ABKJ22_RS00680	DR094_RS01585
OG0000223	ABKJ22_RS00675	DR094_RS01590
OG0000224	ABKJ22_RS00665	DR094_RS01600
OG0000225	ABKJ22_RS00655	DR094_RS01610
OG0000226	ABKJ22_RS00650	DR094_RS01615
OG0000227	ABKJ22_RS00645	DR094_RS01620
OG0000228	ABKJ22_RS00640	DR094_RS03855
OG0000229	ABKJ22_RS00635	DR094_RS01630
OG0000230	ABKJ22_RS00630	DR094_RS01635
OG0000231	ABKJ22_RS00620	DR094_RS01645
OG0000232	ABKJ22_RS00610	DR094_RS01655
OG0000233	ABKJ22_RS01110	DR094_RS01665
OG0000234	ABKJ22_RS01145	DR094_RS01695
OG0000235	ABKJ22_RS01155	DR094_RS01705
OG0000236	ABKJ22_RS01160	DR094_RS01710
OG0000237	ABKJ22_RS01165	DR094_RS01730
OG0000238	ABKJ22_RS01170	DR094_RS01735
