Orthogroup	MHP_1257_genes	MHP_KM014_genes
OG0000000	ABKJ22_RS02090	CIB43_RS03010
OG0000000	ABKJ22_RS01715	CIB43_RS02595, CIB43_RS02600
OG0000001	ABKJ22_RS01295	CIB43_RS02150
OG0000001	ABKJ22_RS02690, ABKJ22_RS02685	CIB43_RS03670
OG0000002	ABKJ22_RS02205	CIB43_RS03100
OG0000002	ABKJ22_RS01720	CIB43_RS02610
OG0000003	ABKJ22_RS01825	CIB43_RS02725
OG0000004	ABKJ22_RS02940	CIB43_RS00290, CIB43_RS00275, CIB43_RS03935, CIB43_RS00110
OG0000005	ABKJ22_RS00095	CIB43_RS00810
OG0000005	ABKJ22_RS00115	CIB43_RS00830
OG0000006	ABKJ22_RS02450	CIB43_RS03435
OG0000006	ABKJ22_RS02445, ABKJ22_RS02310, ABKJ22_RS02280	CIB43_RS03420
OG0000007	ABKJ22_RS02220	CIB43_RS03095
OG0000007	ABKJ22_RS02225	CIB43_RS03080
OG0000007	ABKJ22_RS02230	CIB43_RS03075
OG0000008	ABKJ22_RS02100	CIB43_RS03225
OG0000009	ABKJ22_RS00085	CIB43_RS00790
OG0000009	ABKJ22_RS01020	CIB43_RS01550
OG0000010	ABKJ22_RS01835	CIB43_RS02735
OG0000011	ABKJ22_RS01925	CIB43_RS02850
OG0000012	ABKJ22_RS00425	CIB43_RS00860, CIB43_RS03990, CIB43_RS02750
OG0000014	ABKJ22_RS00595	CIB43_RS01485
OG0000014	ABKJ22_RS01105	CIB43_RS01955
OG0000015	ABKJ22_RS01575	CIB43_RS01220
OG0000016	ABKJ22_RS02785	CIB43_RS03755
OG0000017	ABKJ22_RS00150	CIB43_RS00855
OG0000017	ABKJ22_RS02795	CIB43_RS03765
OG0000019	ABKJ22_RS02945	CIB43_RS00120, CIB43_RS00115
OG0000020	ABKJ22_RS03440	CIB43_RS00635
OG0000021	ABKJ22_RS01740	CIB43_RS02635
OG0000022	ABKJ22_RS01710	CIB43_RS02590
OG0000024	ABKJ22_RS01290	CIB43_RS02140
OG0000025	ABKJ22_RS01705	CIB43_RS02585
OG0000026	ABKJ22_RS01685	CIB43_RS02565
OG0000027	ABKJ22_RS03240	CIB43_RS00440
OG0000028	ABKJ22_RS02365	CIB43_RS03325
OG0000030	ABKJ22_RS03235	CIB43_RS00435
OG0000035	ABKJ22_RS03095	CIB43_RS00270
OG0000036	ABKJ22_RS00110	CIB43_RS00815
OG0000037	ABKJ22_RS01590	CIB43_RS02475, CIB43_RS02465
OG0000038	ABKJ22_RS01775, ABKJ22_RS00505, ABKJ22_RS01735	CIB43_RS02625
OG0000039	ABKJ22_RS01615	CIB43_RS02500
OG0000041	ABKJ22_RS01030	CIB43_RS03980
OG0000042	ABKJ22_RS02880	CIB43_RS03855
OG0000043	ABKJ22_RS01890	CIB43_RS02825
OG0000043	ABKJ22_RS01890	CIB43_RS00070
OG0000045	ABKJ22_RS01620	CIB43_RS02520
OG0000048	ABKJ22_RS02075	CIB43_RS02995
OG0000049	ABKJ22_RS02955	CIB43_RS00150
OG0000051	ABKJ22_RS02600	CIB43_RS03575
OG0000052	ABKJ22_RS00075	CIB43_RS00775
OG0000053	ABKJ22_RS01465	CIB43_RS02315
OG0000054	ABKJ22_RS02420	CIB43_RS03395
OG0000055	ABKJ22_RS00130	CIB43_RS00835
OG0000056	ABKJ22_RS03415	CIB43_RS00630, CIB43_RS03960
OG0000057	ABKJ22_RS02865	CIB43_RS03840
OG0000060	ABKJ22_RS00080	CIB43_RS00780
OG0000061	ABKJ22_RS01845	CIB43_RS02745
OG0000062	ABKJ22_RS03470	CIB43_RS00675
OG0000063	ABKJ22_RS03465	CIB43_RS00660
OG0000064	ABKJ22_RS03455	CIB43_RS00650
OG0000065	ABKJ22_RS02160	CIB43_RS03145
OG0000068	ABKJ22_RS01055	CIB43_RS01520
OG0000069	ABKJ22_RS02760	CIB43_RS03740
OG0000070	ABKJ22_RS02425	CIB43_RS03400
OG0000071	ABKJ22_RS03155	CIB43_RS00360
OG0000072	ABKJ22_RS03160	CIB43_RS00375
OG0000073	ABKJ22_RS00995	CIB43_RS01580
OG0000075	ABKJ22_RS00335	CIB43_RS01060
OG0000077	ABKJ22_RS00445	CIB43_RS01330
OG0000078	ABKJ22_RS01675	CIB43_RS02560
OG0000079	ABKJ22_RS02505	CIB43_RS03480
OG0000080	ABKJ22_RS02550	CIB43_RS03525
OG0000081	ABKJ22_RS00330	CIB43_RS01055
OG0000082	ABKJ22_RS02350	CIB43_RS03315
OG0000083	ABKJ22_RS01995	CIB43_RS02935
OG0000084	ABKJ22_RS02025	CIB43_RS02955
OG0000086	ABKJ22_RS02040	CIB43_RS02970
OG0000087	ABKJ22_RS02055	CIB43_RS02975
OG0000088	ABKJ22_RS02060	CIB43_RS02980
OG0000089	ABKJ22_RS02070	CIB43_RS02990
OG0000090	ABKJ22_RS00070	CIB43_RS00770
OG0000091	ABKJ22_RS00055	CIB43_RS00760
OG0000092	ABKJ22_RS00040	CIB43_RS00745
OG0000093	ABKJ22_RS00035	CIB43_RS00735
OG0000094	ABKJ22_RS00030	CIB43_RS00730
OG0000095	ABKJ22_RS00005	CIB43_RS00715
OG0000096	ABKJ22_RS03505	CIB43_RS00700
OG0000097	ABKJ22_RS03485	CIB43_RS00690
OG0000100	ABKJ22_RS03405	CIB43_RS00610
OG0000101	ABKJ22_RS03400	CIB43_RS00600
OG0000102	ABKJ22_RS01700	CIB43_RS02580
OG0000103	ABKJ22_RS02195	CIB43_RS03110
OG0000104	ABKJ22_RS02190	CIB43_RS03120
OG0000105	ABKJ22_RS02175	CIB43_RS03130
OG0000106	ABKJ22_RS02165	CIB43_RS03140
OG0000107	ABKJ22_RS02155	CIB43_RS03150
OG0000108	ABKJ22_RS02150	CIB43_RS03155
OG0000109	ABKJ22_RS02145	CIB43_RS03160
OG0000110	ABKJ22_RS02340	CIB43_RS03290
OG0000111	ABKJ22_RS02335	CIB43_RS03285
OG0000112	ABKJ22_RS02325	CIB43_RS03280
OG0000113	ABKJ22_RS02305	CIB43_RS03260
OG0000114	ABKJ22_RS02295	CIB43_RS03245
OG0000115	ABKJ22_RS02285	CIB43_RS03230
OG0000116	ABKJ22_RS01315	CIB43_RS02165
OG0000117	ABKJ22_RS01320	CIB43_RS02170
OG0000118	ABKJ22_RS01355	CIB43_RS02205
OG0000119	ABKJ22_RS01360	CIB43_RS02210
OG0000120	ABKJ22_RS01375	CIB43_RS02230
OG0000121	ABKJ22_RS01400	CIB43_RS02250
OG0000122	ABKJ22_RS01405	CIB43_RS02255
OG0000123	ABKJ22_RS01425	CIB43_RS02275
OG0000124	ABKJ22_RS01430	CIB43_RS02280
OG0000125	ABKJ22_RS01435	CIB43_RS02285
OG0000126	ABKJ22_RS01445	CIB43_RS02295
OG0000127	ABKJ22_RS01455	CIB43_RS02305
OG0000128	ABKJ22_RS01470	CIB43_RS02320
OG0000129	ABKJ22_RS01475	CIB43_RS02330
OG0000130	ABKJ22_RS01485	CIB43_RS02335
OG0000131	ABKJ22_RS01515	CIB43_RS02370
OG0000132	ABKJ22_RS01530	CIB43_RS02385
OG0000133	ABKJ22_RS00530	CIB43_RS01415
OG0000134	ABKJ22_RS00535	CIB43_RS01425
OG0000135	ABKJ22_RS00550	CIB43_RS01435
OG0000136	ABKJ22_RS00555	CIB43_RS01440
OG0000137	ABKJ22_RS00585	CIB43_RS01470
OG0000138	ABKJ22_RS01080	CIB43_RS01495
OG0000139	ABKJ22_RS01050	CIB43_RS01525
OG0000140	ABKJ22_RS01045	CIB43_RS01540
OG0000141	ABKJ22_RS02875	CIB43_RS03850
OG0000142	ABKJ22_RS02870	CIB43_RS03845
OG0000143	ABKJ22_RS02850	CIB43_RS03835
OG0000144	ABKJ22_RS02840	CIB43_RS03815
OG0000145	ABKJ22_RS02830	CIB43_RS03805
OG0000146	ABKJ22_RS02820	CIB43_RS03790
OG0000147	ABKJ22_RS02815	CIB43_RS03785
OG0000148	ABKJ22_RS02800	CIB43_RS03780
OG0000149	ABKJ22_RS02790	CIB43_RS03760
