Orthogroup	MHP_1257_genes	MHP_MHP699_genes
OG0000000	ABKJ22_RS02090	DR100_RS04325, DR100_RS03595, DR100_RS04515
OG0000000	ABKJ22_RS01715	DR100_RS04215, DR100_RS04210
OG0000002	ABKJ22_RS02205	DR100_RS04380
OG0000002	ABKJ22_RS02250	DR100_RS04890
OG0000002	ABKJ22_RS01720	DR100_RS04740
OG0000003	ABKJ22_RS01780	DR100_RS03640
OG0000003	ABKJ22_RS00770	DR100_RS04610
OG0000003	ABKJ22_RS02215	DR100_RS04885
OG0000003	ABKJ22_RS01825	DR100_RS03840
OG0000004	ABKJ22_RS02940	DR100_RS03655, DR100_RS03585, DR100_RS03555
OG0000005	ABKJ22_RS00095	DR100_RS01100
OG0000005	ABKJ22_RS00115	DR100_RS04620
OG0000005	ABKJ22_RS00100	DR100_RS04630
OG0000005	ABKJ22_RS00105	DR100_RS04625
OG0000005	ABKJ22_RS00120	DR100_RS04615
OG0000006	ABKJ22_RS02450	DR100_RS04235
OG0000006	ABKJ22_RS02445	DR100_RS04240
OG0000006	ABKJ22_RS02310	DR100_RS04245
OG0000007	ABKJ22_RS00765	DR100_RS01035
OG0000007	ABKJ22_RS02220	DR100_RS04495, DR100_RS03495
OG0000007	ABKJ22_RS02225	DR100_RS03500
OG0000007	ABKJ22_RS02230	DR100_RS03510
OG0000008	ABKJ22_RS01635	DR100_RS03845
OG0000008	ABKJ22_RS02455	DR100_RS03680
OG0000009	ABKJ22_RS01210	DR100_RS00110
OG0000009	ABKJ22_RS01020	DR100_RS00780
OG0000010	ABKJ22_RS01835	DR100_RS04925
OG0000011	ABKJ22_RS01925	DR100_RS01970
OG0000011	ABKJ22_RS01920	DR100_RS01975
OG0000012	ABKJ22_RS00425	DR100_RS01800
OG0000012	ABKJ22_RS01200	DR100_RS03830
OG0000013	ABKJ22_RS02355	DR100_RS02295
OG0000013	ABKJ22_RS00180	DR100_RS03970
OG0000014	ABKJ22_RS01105	DR100_RS03645
OG0000014	ABKJ22_RS01095	DR100_RS04585
OG0000015	ABKJ22_RS01575	DR100_RS01650
OG0000016	ABKJ22_RS02785	DR100_RS01750
OG0000016	ABKJ22_RS00165	DR100_RS00685
OG0000017	ABKJ22_RS00150	DR100_RS00700
OG0000017	ABKJ22_RS02795	DR100_RS01740
OG0000018	ABKJ22_RS01340	DR100_RS04570
OG0000019	ABKJ22_RS02945	DR100_RS03760
OG0000020	ABKJ22_RS03435	DR100_RS03705
OG0000020	ABKJ22_RS03440	DR100_RS04650
OG0000021	ABKJ22_RS01740, ABKJ22_RS00510	DR100_RS03710
OG0000022	ABKJ22_RS01655	DR100_RS02220
OG0000022	ABKJ22_RS01710	DR100_RS04745
OG0000023	ABKJ22_RS01335	DR100_RS00240
OG0000024	ABKJ22_RS02680	DR100_RS03275
OG0000024	ABKJ22_RS01290	DR100_RS00195
OG0000025	ABKJ22_RS01660	DR100_RS04750
OG0000025	ABKJ22_RS01705	DR100_RS02170
OG0000026	ABKJ22_RS01380	DR100_RS00285
OG0000026	ABKJ22_RS01685	DR100_RS02190
OG0000027	ABKJ22_RS03225	DR100_RS04850
OG0000027	ABKJ22_RS03240	DR100_RS04690
OG0000028	ABKJ22_RS02365	DR100_RS02685, DR100_RS02310
OG0000029	ABKJ22_RS00600	DR100_RS03520
OG0000029	ABKJ22_RS01090	DR100_RS00725
OG0000030	ABKJ22_RS03215	DR100_RS04855
OG0000030	ABKJ22_RS03235	DR100_RS04695
OG0000031	ABKJ22_RS01605	DR100_RS03415
OG0000032	ABKJ22_RS01585	DR100_RS03450
OG0000032	ABKJ22_RS03230	DR100_RS03775
OG0000033	ABKJ22_RS02360	DR100_RS02300
OG0000034	ABKJ22_RS02240	DR100_RS04530
OG0000034	ABKJ22_RS02235	DR100_RS04375
OG0000036	ABKJ22_RS00110	DR100_RS01080
OG0000036	ABKJ22_RS00125	DR100_RS01065
OG0000037	ABKJ22_RS01590	DR100_RS03435, DR100_RS03440
OG0000038	ABKJ22_RS01775	DR100_RS03370
OG0000039	ABKJ22_RS01615	DR100_RS04510, DR100_RS03660
OG0000040	ABKJ22_RS03165	DR100_RS03895
OG0000041	ABKJ22_RS01030	DR100_RS00105
OG0000042	ABKJ22_RS02880	DR100_RS03115
OG0000043	ABKJ22_RS01890	DR100_RS02005
OG0000044	ABKJ22_RS01670	DR100_RS04930
OG0000045	ABKJ22_RS01620	DR100_RS03545
OG0000046	ABKJ22_RS03170	DR100_RS04840
OG0000048	ABKJ22_RS02075	DR100_RS02540
OG0000049	ABKJ22_RS02955	DR100_RS01465
OG0000050	ABKJ22_RS02395	DR100_RS02715
OG0000051	ABKJ22_RS02600	DR100_RS01815
OG0000052	ABKJ22_RS00075	DR100_RS01115
OG0000053	ABKJ22_RS01465	DR100_RS04755
OG0000054	ABKJ22_RS02420	DR100_RS02740
OG0000055	ABKJ22_RS00130	DR100_RS01060
OG0000056	ABKJ22_RS03415	DR100_RS01270
OG0000057	ABKJ22_RS02865	DR100_RS01665
OG0000060	ABKJ22_RS00080	DR100_RS01110
OG0000061	ABKJ22_RS01845	DR100_RS02060
OG0000062	ABKJ22_RS03470	DR100_RS01225
OG0000063	ABKJ22_RS03465	DR100_RS04645
OG0000064	ABKJ22_RS03455	DR100_RS01240
OG0000065	ABKJ22_RS02160	DR100_RS03025
OG0000066	ABKJ22_RS01370	DR100_RS00275
OG0000067	ABKJ22_RS00525	DR100_RS02670
OG0000068	ABKJ22_RS01055	DR100_RS00760
OG0000069	ABKJ22_RS02760	DR100_RS01775
OG0000070	ABKJ22_RS02425	DR100_RS02745
OG0000071	ABKJ22_RS03155	DR100_RS03100
OG0000072	ABKJ22_RS03160	DR100_RS04835
OG0000073	ABKJ22_RS00995	DR100_RS00805
OG0000074	ABKJ22_RS00800	DR100_RS04605
OG0000075	ABKJ22_RS00335	DR100_RS00505
OG0000076	ABKJ22_RS00350	DR100_RS00490
OG0000077	ABKJ22_RS00445	DR100_RS00400
OG0000078	ABKJ22_RS01675	DR100_RS02200
OG0000079	ABKJ22_RS02505	DR100_RS01910
OG0000080	ABKJ22_RS02550	DR100_RS04175
OG0000081	ABKJ22_RS00330	DR100_RS00510
OG0000082	ABKJ22_RS02350	DR100_RS02290
OG0000083	ABKJ22_RS01995	DR100_RS02770
OG0000084	ABKJ22_RS02025	DR100_RS02590
OG0000085	ABKJ22_RS02030	DR100_RS02585
OG0000086	ABKJ22_RS02040	DR100_RS02575
OG0000087	ABKJ22_RS02055	DR100_RS02560
OG0000088	ABKJ22_RS02060	DR100_RS02555
OG0000089	ABKJ22_RS02070	DR100_RS02545
OG0000090	ABKJ22_RS00070	DR100_RS01120
OG0000091	ABKJ22_RS00055	DR100_RS01135
OG0000092	ABKJ22_RS00040	DR100_RS01150
OG0000093	ABKJ22_RS00035	DR100_RS01155
OG0000094	ABKJ22_RS00030	DR100_RS01160
OG0000095	ABKJ22_RS00005	DR100_RS01185
OG0000096	ABKJ22_RS03505	DR100_RS01190
OG0000097	ABKJ22_RS03485	DR100_RS01210
OG0000098	ABKJ22_RS03475	DR100_RS01220
OG0000099	ABKJ22_RS03425	DR100_RS03485
OG0000100	ABKJ22_RS03405	DR100_RS01280
OG0000101	ABKJ22_RS03400	DR100_RS01285
OG0000102	ABKJ22_RS01700	DR100_RS02175
OG0000103	ABKJ22_RS02195	DR100_RS02990
OG0000104	ABKJ22_RS02190	DR100_RS02995
OG0000105	ABKJ22_RS02175	DR100_RS03010
OG0000106	ABKJ22_RS02165	DR100_RS03020
OG0000107	ABKJ22_RS02155	DR100_RS03030
OG0000108	ABKJ22_RS02150	DR100_RS03035
OG0000109	ABKJ22_RS02145	DR100_RS00005
OG0000110	ABKJ22_RS02340	DR100_RS02280
OG0000111	ABKJ22_RS02335	DR100_RS02275
OG0000112	ABKJ22_RS02325	DR100_RS02265
OG0000113	ABKJ22_RS02305	DR100_RS04875
OG0000114	ABKJ22_RS02295	DR100_RS03465
OG0000115	ABKJ22_RS02285	DR100_RS03475
OG0000116	ABKJ22_RS01315	DR100_RS00220
OG0000117	ABKJ22_RS01320	DR100_RS00225
OG0000118	ABKJ22_RS01355	DR100_RS00260
OG0000119	ABKJ22_RS01360	DR100_RS00265
OG0000120	ABKJ22_RS01375	DR100_RS00280
OG0000121	ABKJ22_RS01400	DR100_RS00305
OG0000122	ABKJ22_RS01405	DR100_RS00310
OG0000123	ABKJ22_RS01425	DR100_RS00330
OG0000124	ABKJ22_RS01430	DR100_RS00335
OG0000125	ABKJ22_RS01435	DR100_RS00345
OG0000126	ABKJ22_RS01445	DR100_RS02315
OG0000127	ABKJ22_RS01455	DR100_RS02325
OG0000128	ABKJ22_RS01470	DR100_RS02340
OG0000129	ABKJ22_RS01475	DR100_RS02345
OG0000130	ABKJ22_RS01485	DR100_RS02355
OG0000131	ABKJ22_RS01515	DR100_RS02385
OG0000132	ABKJ22_RS01530	DR100_RS04760
OG0000133	ABKJ22_RS00530	DR100_RS02665
OG0000134	ABKJ22_RS00535	DR100_RS02660
OG0000135	ABKJ22_RS00550	DR100_RS02645
OG0000136	ABKJ22_RS00555	DR100_RS02640
OG0000137	ABKJ22_RS00585	DR100_RS02610
