Orthogroup	MHP_133A_genes	MHP_111A_genes
OG0000000	NB626_RS02275	NB623_RS01020
OG0000000	NB626_RS02345	NB623_RS01030
OG0000000	NB626_RS01845	NB623_RS01855
OG0000000	NB626_RS02475	NB623_RS02460
OG0000000	NB626_RS01835	NB623_RS01845
OG0000000	NB626_RS01840	NB623_RS01850
OG0000000	NB626_RS01850	NB623_RS01865
OG0000001	NB626_RS02930	NB623_RS02915, NB623_RS02910
OG0000002	NB626_RS02360	NB623_RS02345
OG0000002	NB626_RS02355	NB623_RS01905
OG0000002	NB626_RS02280	NB623_RS01015
OG0000003	NB626_RS00600	NB623_RS00495, NB623_RS00505
OG0000003	NB626_RS02325	NB623_RS00940
OG0000004	NB626_RS03385	NB623_RS03360
OG0000004	NB626_RS03400	NB623_RS03365
OG0000004	NB626_RS03200	NB623_RS03170
OG0000004	NB626_RS03210	NB623_RS03190
OG0000005	NB626_RS00100	NB623_RS00105
OG0000005	NB626_RS00110	NB623_RS00110
OG0000006	NB626_RS02680, NB626_RS02685	NB623_RS02650
OG0000007	NB626_RS02330	NB623_RS00955, NB623_RS00950
OG0000007	NB626_RS02340	NB623_RS01045
OG0000007	NB626_RS02320	NB623_RS01050
OG0000008	NB626_RS02470	NB623_RS02455
OG0000008	NB626_RS01750	NB623_RS01760
OG0000008	NB626_RS02690	NB623_RS02665, NB623_RS02660
OG0000009	NB626_RS00765	NB623_RS00660, NB623_RS00665
OG0000009	NB626_RS00085	NB623_RS00090
OG0000009	NB626_RS00780	NB623_RS00680
OG0000010	NB626_RS01975	NB623_RS02245
OG0000011	NB626_RS02080	NB623_RS02145
OG0000012	NB626_RS01990	NB623_RS02230
OG0000013	NB626_RS02565	NB623_RS02540
OG0000014	NB626_RS01210	NB623_RS01220
OG0000014	NB626_RS00705	NB623_RS00600
OG0000015	NB626_RS01740	NB623_RS01685
OG0000016	NB626_RS00170	NB623_RS00160
OG0000017	NB626_RS00155	NB623_RS00145
OG0000017	NB626_RS03035	NB623_RS03015
OG0000019	NB626_RS03205, NB626_RS03215	NB623_RS03195
OG0000020	NB626_RS03760	NB623_RS03745
OG0000021	NB626_RS00610, NB626_RS00605	NB623_RS02325
OG0000022	NB626_RS01775	NB623_RS01785
OG0000022	NB626_RS01830	NB623_RS01840
OG0000024	NB626_RS02925	NB623_RS02905
OG0000024	NB626_RS01390	NB623_RS01395
OG0000025	NB626_RS01780	NB623_RS01790
OG0000025	NB626_RS01825	NB623_RS01835
OG0000026	NB626_RS01480	NB623_RS01480
OG0000026	NB626_RS01805	NB623_RS01815
OG0000027	NB626_RS03540	NB623_RS03520
OG0000027	NB626_RS03555	NB623_RS03535
OG0000028	NB626_RS02595	NB623_RS02565
OG0000029	NB626_RS01205	NB623_RS01215
OG0000029	NB626_RS00710	NB623_RS00605
OG0000030	NB626_RS03530	NB623_RS03510
OG0000030	NB626_RS03550	NB623_RS03530
OG0000031	NB626_RS00435	NB623_RS01985
OG0000032	NB626_RS01690	NB623_RS01690
OG0000032	NB626_RS03545	NB623_RS03525
OG0000033	NB626_RS02590	NB623_RS02560
OG0000033	NB626_RS02570	NB623_RS02545
OG0000033	NB626_RS02580	NB623_RS02550
OG0000035	NB626_RS03395	NB623_RS03355
OG0000035	NB626_RS03380	NB623_RS03345
OG0000036	NB626_RS00115	NB623_RS00120
OG0000037	NB626_RS01700	NB623_RS01700
OG0000038	NB626_RS00595	NB623_RS00485
OG0000039	NB626_RS01720	NB623_RS01730
OG0000040	NB626_RS03470	NB623_RS03445, NB623_RS03440, NB623_RS03435
OG0000041	NB626_RS00770	NB623_RS00670
OG0000041	NB626_RS01305	NB623_RS01315
OG0000042	NB626_RS03120	NB623_RS03100
OG0000043	NB626_RS02045	NB623_RS02180
OG0000044	NB626_RS01790	NB623_RS01800
OG0000044	NB626_RS01915	NB623_RS02300
OG0000045	NB626_RS01725	NB623_RS01740
OG0000046	NB626_RS03480	NB623_RS03460
OG0000046	NB626_RS03475	NB623_RS03450
OG0000048	NB626_RS02235	NB623_RS01920
OG0000049	NB626_RS03235	NB623_RS03205
OG0000050	NB626_RS02625	NB623_RS02600
OG0000051	NB626_RS02835	NB623_RS02820
OG0000052	NB626_RS00075	NB623_RS00080, NB623_RS00075
OG0000053	NB626_RS01570	NB623_RS01570
OG0000054	NB626_RS02650	NB623_RS02625
OG0000055	NB626_RS00135	NB623_RS00125
OG0000056	NB626_RS03740	NB623_RS03725
OG0000057	NB626_RS03105	NB623_RS03085
OG0000058	NB626_RS00425	NB623_RS01995
OG0000058	NB626_RS00430	NB623_RS01990
OG0000060	NB626_RS00080	NB623_RS00085
OG0000061	NB626_RS01985	NB623_RS02235
OG0000062	NB626_RS03790	NB623_RS03775
OG0000063	NB626_RS03785	NB623_RS03770
OG0000064	NB626_RS03775	NB623_RS03760
OG0000065	NB626_RS02405	NB623_RS02390
OG0000066	NB626_RS01470	NB623_RS01470
OG0000068	NB626_RS00745	NB623_RS00640
OG0000069	NB626_RS03000	NB623_RS02980
OG0000070	NB626_RS02655	NB623_RS02630
OG0000071	NB626_RS03460	NB623_RS03425
OG0000072	NB626_RS03465	NB623_RS03430
OG0000073	NB626_RS00810	NB623_RS00710
OG0000074	NB626_RS01020	NB623_RS00910
OG0000075	NB626_RS00340	NB623_RS00330
OG0000076	NB626_RS00360	NB623_RS00345
OG0000077	NB626_RS00540	NB623_RS00430
OG0000078	NB626_RS01795	NB623_RS01805
OG0000079	NB626_RS02740	NB623_RS02720
OG0000080	NB626_RS02790	NB623_RS02770
OG0000081	NB626_RS00335	NB623_RS00325
OG0000083	NB626_RS02155	NB623_RS02075
OG0000084	NB626_RS02185	NB623_RS02045
OG0000085	NB626_RS02190	NB623_RS02040
OG0000086	NB626_RS02200	NB623_RS02030
OG0000087	NB626_RS02215	NB623_RS02015
OG0000088	NB626_RS02220	NB623_RS02010
OG0000089	NB626_RS02230	NB623_RS02000
OG0000090	NB626_RS00070	NB623_RS00070
OG0000091	NB626_RS00055	NB623_RS00055
OG0000092	NB626_RS00045	NB623_RS00050
OG0000093	NB626_RS00035	NB623_RS00035
OG0000094	NB626_RS00030	NB623_RS00030
OG0000095	NB626_RS00005	NB623_RS00005
OG0000096	NB626_RS03825	NB623_RS03810
OG0000097	NB626_RS03805	NB623_RS03790
OG0000098	NB626_RS03795	NB623_RS03780
OG0000099	NB626_RS03745	NB623_RS03730
OG0000100	NB626_RS03730	NB623_RS03715
OG0000101	NB626_RS03725	NB623_RS03710
OG0000102	NB626_RS01820	NB623_RS01830
OG0000103	NB626_RS02370	NB623_RS02355
OG0000104	NB626_RS02375	NB623_RS02360
OG0000105	NB626_RS02395	NB623_RS02380
OG0000106	NB626_RS02400	NB623_RS02385
OG0000107	NB626_RS02410	NB623_RS02395
OG0000108	NB626_RS02415	NB623_RS02400
OG0000109	NB626_RS02420	NB623_RS02405
OG0000110	NB626_RS02550	NB623_RS02525
OG0000111	NB626_RS02545	NB623_RS02520
OG0000112	NB626_RS02535	NB623_RS02510
OG0000113	NB626_RS02510	NB623_RS02490
OG0000114	NB626_RS02500	NB623_RS02485
OG0000115	NB626_RS02490	NB623_RS02470
OG0000116	NB626_RS01415	NB623_RS01415
OG0000117	NB626_RS01420	NB623_RS01420
OG0000118	NB626_RS01455	NB623_RS01455
OG0000119	NB626_RS01460	NB623_RS01465
OG0000120	NB626_RS01475	NB623_RS01475
OG0000121	NB626_RS01505	NB623_RS01505
OG0000122	NB626_RS01510	NB623_RS01510
OG0000123	NB626_RS01530	NB623_RS01530
OG0000124	NB626_RS01535	NB623_RS01535
OG0000125	NB626_RS01540	NB623_RS01545
OG0000126	NB626_RS01550	NB623_RS01550
OG0000127	NB626_RS01560	NB623_RS01560
OG0000128	NB626_RS01575	NB623_RS01575
OG0000129	NB626_RS01580	NB623_RS01580
OG0000130	NB626_RS01590	NB623_RS01590
OG0000131	NB626_RS01620	NB623_RS01620
OG0000132	NB626_RS01635	NB623_RS01635
OG0000133	NB626_RS00630	NB623_RS00525
OG0000134	NB626_RS00635	NB623_RS00530
OG0000135	NB626_RS00650	NB623_RS00545
OG0000136	NB626_RS00655	NB623_RS00550
OG0000137	NB626_RS00685	NB623_RS00590
OG0000138	NB626_RS00720	NB623_RS00615
OG0000139	NB626_RS00750	NB623_RS00645
OG0000140	NB626_RS00755	NB623_RS00650
OG0000141	NB626_RS03115	NB623_RS03095
OG0000142	NB626_RS03110	NB623_RS03090
OG0000143	NB626_RS03095	NB623_RS03075
OG0000144	NB626_RS03080	NB623_RS03060
OG0000145	NB626_RS03070	NB623_RS03050
OG0000146	NB626_RS03060	NB623_RS03040
OG0000147	NB626_RS03055	NB623_RS03035
OG0000148	NB626_RS03040	NB623_RS03020
OG0000149	NB626_RS03030	NB623_RS03010
OG0000150	NB626_RS03025	NB623_RS02995
OG0000151	NB626_RS02965	NB623_RS02945
OG0000152	NB626_RS02960	NB623_RS02940
OG0000153	NB626_RS02955	NB623_RS02935
OG0000154	NB626_RS02945	NB623_RS02925
OG0000155	NB626_RS02905	NB623_RS02885
OG0000156	NB626_RS02895	NB623_RS02875
OG0000157	NB626_RS02890	NB623_RS02870
OG0000158	NB626_RS02880	NB623_RS02860
OG0000159	NB626_RS02640	NB623_RS02615
OG0000160	NB626_RS02635	NB623_RS02610
OG0000161	NB626_RS02630	NB623_RS02605
OG0000162	NB626_RS02620	NB623_RS02595
OG0000163	NB626_RS02615	NB623_RS02590
OG0000164	NB626_RS01715	NB623_RS01725
OG0000165	NB626_RS02075	NB623_RS02155
OG0000166	NB626_RS02090	NB623_RS02135
OG0000167	NB626_RS02105	NB623_RS02120
OG0000168	NB626_RS02110	NB623_RS02115
OG0000169	NB626_RS03230	NB623_RS03200
OG0000170	NB626_RS03245	NB623_RS03215
OG0000171	NB626_RS03255	NB623_RS03225
OG0000172	NB626_RS03260	NB623_RS03230
OG0000173	NB626_RS03265	NB623_RS03235
OG0000174	NB626_RS03270	NB623_RS03240
OG0000175	NB626_RS03290	NB623_RS03265
OG0000176	NB626_RS03345	NB623_RS03310
OG0000177	NB626_RS03350	NB623_RS03315
OG0000178	NB626_RS03355	NB623_RS03320
OG0000179	NB626_RS03365	NB623_RS03330
OG0000180	NB626_RS03370	NB623_RS03335
OG0000181	NB626_RS03410	NB623_RS03375
OG0000182	NB626_RS03420	NB623_RS03385
OG0000183	NB626_RS03455	NB623_RS03420
OG0000184	NB626_RS03500	NB623_RS03485
OG0000185	NB626_RS03485	NB623_RS03475
OG0000186	NB626_RS01645	NB623_RS01645
OG0000187	NB626_RS01660	NB623_RS01660
OG0000188	NB626_RS01670	NB623_RS01670
OG0000189	NB626_RS02460	NB623_RS02445
OG0000190	NB626_RS02455	NB623_RS02440
OG0000191	NB626_RS02430	NB623_RS02415
OG0000192	NB626_RS01335	NB623_RS01340
OG0000193	NB626_RS01320	NB623_RS01325
OG0000194	NB626_RS00790	NB623_RS00690
OG0000195	NB626_RS00795	NB623_RS00695
OG0000196	NB626_RS00820	NB623_RS00720
OG0000197	NB626_RS00830	NB623_RS00730
OG0000198	NB626_RS00840	NB623_RS00740
OG0000199	NB626_RS00845	NB623_RS00745
OG0000200	NB626_RS00860	NB623_RS00760
OG0000201	NB626_RS00870	NB623_RS00770
OG0000202	NB626_RS00940	NB623_RS00830
OG0000203	NB626_RS00945	NB623_RS00835
OG0000204	NB626_RS00950	NB623_RS00840
OG0000205	NB626_RS00955	NB623_RS00845
OG0000206	NB626_RS00975	NB623_RS00865
OG0000207	NB626_RS00990	NB623_RS00880
OG0000208	NB626_RS00995	NB623_RS00885
OG0000209	NB626_RS01000	NB623_RS00890
OG0000210	NB626_RS01050	NB623_RS00935
OG0000211	NB626_RS01065	NB623_RS01070
OG0000212	NB626_RS01070	NB623_RS01080
OG0000213	NB626_RS01075	NB623_RS01085
OG0000214	NB626_RS01080	NB623_RS01090
OG0000215	NB626_RS01085	NB623_RS01095
OG0000216	NB626_RS01090	NB623_RS01100
OG0000217	NB626_RS01095	NB623_RS01105
OG0000218	NB626_RS01105	NB623_RS01115
OG0000219	NB626_RS01110	NB623_RS01120
OG0000220	NB626_RS01115	NB623_RS01125
OG0000221	NB626_RS01120	NB623_RS01130
OG0000222	NB626_RS01125	NB623_RS01135
OG0000223	NB626_RS01130	NB623_RS01140
OG0000224	NB626_RS01140	NB623_RS01150
OG0000225	NB626_RS01150	NB623_RS01160
OG0000226	NB626_RS01155	NB623_RS01165
OG0000227	NB626_RS01160	NB623_RS01170
OG0000228	NB626_RS01165	NB623_RS01175
OG0000229	NB626_RS01170	NB623_RS01180
OG0000230	NB626_RS01180	NB623_RS01185
OG0000231	NB626_RS01185	NB623_RS01195
OG0000232	NB626_RS01195	NB623_RS01205
OG0000233	NB626_RS01215	NB623_RS01225
OG0000234	NB626_RS01250	NB623_RS01260
OG0000235	NB626_RS01260	NB623_RS01270
OG0000236	NB626_RS01265	NB623_RS01275
OG0000237	NB626_RS01270	NB623_RS01280
OG0000238	NB626_RS01275	NB623_RS01285
OG0000239	NB626_RS03125	NB623_RS03105
OG0000240	NB626_RS03130	NB623_RS03110
OG0000241	NB626_RS03140	NB623_RS03120
OG0000242	NB626_RS03145	NB623_RS03125
OG0000243	NB626_RS03150	NB623_RS03130
OG0000244	NB626_RS03160	NB623_RS03140
OG0000245	NB626_RS03170	NB623_RS03145
OG0000246	NB626_RS00140	NB623_RS00130
OG0000247	NB626_RS00150	NB623_RS00140
OG0000248	NB626_RS00160	NB623_RS00150
OG0000249	NB626_RS00165	NB623_RS00155
OG0000250	NB626_RS00180	NB623_RS00175
OG0000251	NB626_RS00215	NB623_RS00205
OG0000252	NB626_RS00220	NB623_RS00210
OG0000253	NB626_RS00225	NB623_RS00215
OG0000254	NB626_RS00235	NB623_RS00225
OG0000255	NB626_RS00240	NB623_RS00230
OG0000256	NB626_RS00250	NB623_RS00240
OG0000257	NB626_RS00270	NB623_RS00260
OG0000258	NB626_RS00280	NB623_RS00270
OG0000259	NB626_RS00310	NB623_RS00300
OG0000260	NB626_RS00320	NB623_RS00310
OG0000261	NB626_RS00330	NB623_RS00320
OG0000262	NB626_RS00350	NB623_RS00340
OG0000263	NB626_RS00365	NB623_RS00350
OG0000264	NB626_RS00380	NB623_RS00365
OG0000265	NB626_RS00390	NB623_RS00375
OG0000266	NB626_RS00405	NB623_RS00390
OG0000267	NB626_RS00420	NB623_RS00405
OG0000268	NB626_RS00520	NB623_RS00410
OG0000269	NB626_RS00535	NB623_RS00425
OG0000270	NB626_RS03700	NB623_RS03685
OG0000271	NB626_RS03695	NB623_RS03675
OG0000272	NB626_RS03690	NB623_RS03670
OG0000273	NB626_RS03685	NB623_RS03665
OG0000274	NB626_RS03670	NB623_RS03650
OG0000275	NB626_RS03660	NB623_RS03640
OG0000276	NB626_RS03655	NB623_RS03635
OG0000277	NB626_RS03645	NB623_RS03625
OG0000278	NB626_RS03640	NB623_RS03620
OG0000279	NB626_RS03630	NB623_RS03615
OG0000280	NB626_RS03620	NB623_RS03605
OG0000281	NB626_RS03615	NB623_RS03600
OG0000282	NB626_RS03590	NB623_RS03570
OG0000283	NB626_RS03585	NB623_RS03565
OG0000284	NB626_RS03580	NB623_RS03560
OG0000285	NB626_RS03575	NB623_RS03555
OG0000286	NB626_RS02600	NB623_RS02575
OG0000287	NB626_RS02700	NB623_RS02675
OG0000288	NB626_RS02710	NB623_RS02685
OG0000289	NB626_RS02715	NB623_RS02690
OG0000290	NB626_RS02830	NB623_RS02810
OG0000291	NB626_RS02820	NB623_RS02800
OG0000292	NB626_RS02815	NB623_RS02795
OG0000293	NB626_RS02810	NB623_RS02790
OG0000294	NB626_RS02800	NB623_RS02780
OG0000295	NB626_RS02795	NB623_RS02775
OG0000296	NB626_RS02750	NB623_RS02730
OG0000297	NB626_RS02745	NB623_RS02725
OG0000298	NB626_RS00175	NB623_RS00165
OG0000299	NB626_RS00195	NB623_RS00185
OG0000300	NB626_RS00375	NB623_RS00360
OG0000301	NB626_RS00410	NB623_RS00395
