Orthogroup	MHP_133A_genes	MHP_UFV02_genes
OG0000000	NB626_RS02350	FEF31_RS01935
OG0000000	NB626_RS02275	FEF31_RS01875
OG0000000	NB626_RS02255	FEF31_RS01865
OG0000000	NB626_RS02345	FEF31_RS04515
OG0000000	NB626_RS02250	FEF31_RS01860
OG0000000	NB626_RS02475	FEF31_RS02055
OG0000000	NB626_RS01835	FEF31_RS01380
OG0000000	NB626_RS01840	FEF31_RS01385
OG0000001	NB626_RS01395, NB626_RS01400	FEF31_RS00940
OG0000001	NB626_RS02930	FEF31_RS02490
OG0000002	NB626_RS02360	FEF31_RS01945
OG0000002	NB626_RS02355	FEF31_RS01940
OG0000002	NB626_RS02280	FEF31_RS04505
OG0000002	NB626_RS01855	FEF31_RS04455
OG0000003	NB626_RS01965	FEF31_RS01590
OG0000004	NB626_RS03385	FEF31_RS03760
OG0000004	NB626_RS03400	FEF31_RS03775
OG0000005	NB626_RS00100	FEF31_RS03370
OG0000005	NB626_RS00120	FEF31_RS04665
OG0000005	NB626_RS00110	FEF31_RS04660
OG0000005	NB626_RS00125	FEF31_RS04670
OG0000006	NB626_RS02515	FEF31_RS02090
OG0000007	NB626_RS02340	FEF31_RS01925
OG0000007	NB626_RS02320	FEF31_RS01915
OG0000008	NB626_RS02470	FEF31_RS02050
OG0000008	NB626_RS01750	FEF31_RS01300
OG0000008	NB626_RS02690	FEF31_RS02250
OG0000009	NB626_RS00765	FEF31_RS00325
OG0000009	NB626_RS00780	FEF31_RS00335
OG0000010	NB626_RS01975	FEF31_RS01600
OG0000011	NB626_RS02080	FEF31_RS01695
OG0000013	NB626_RS02565	FEF31_RS02135
OG0000013	NB626_RS00185	FEF31_RS03455
OG0000014	NB626_RS00695	FEF31_RS00255
OG0000014	NB626_RS01210	FEF31_RS00745
OG0000014	NB626_RS00705	FEF31_RS04375
OG0000015	NB626_RS01740	FEF31_RS01295
OG0000016	NB626_RS00170	FEF31_RS03440
OG0000017	NB626_RS00155	FEF31_RS03425
OG0000017	NB626_RS03035	FEF31_RS02590
OG0000020	NB626_RS03760	FEF31_RS04270
OG0000021	NB626_RS00610	FEF31_RS00170
OG0000022	NB626_RS01775	FEF31_RS01320
OG0000022	NB626_RS01830	FEF31_RS04450
OG0000023	NB626_RS01435	FEF31_RS00975
OG0000024	NB626_RS02925	FEF31_RS02485
OG0000024	NB626_RS01390	FEF31_RS00930
OG0000025	NB626_RS01780	FEF31_RS04445
OG0000025	NB626_RS01825	FEF31_RS01370
OG0000026	NB626_RS01480	FEF31_RS01025
OG0000026	NB626_RS01805	FEF31_RS01350
OG0000027	NB626_RS03540	FEF31_RS03015
OG0000027	NB626_RS03555	FEF31_RS04605
OG0000029	NB626_RS01205	FEF31_RS00735
OG0000029	NB626_RS00710	FEF31_RS00270
OG0000030	NB626_RS03530	FEF31_RS04590
OG0000030	NB626_RS03550	FEF31_RS04600
