Orthogroup	MHP_133A_genes	MHP_232_genes
OG0000000	NB626_RS02350	MHP_RS02080
OG0000000	NB626_RS01845, NB626_RS02250	MHP_RS04000
OG0000000	NB626_RS02475	MHP_RS02190
OG0000000	NB626_RS02480	MHP_RS03915
OG0000000	NB626_RS01835, NB626_RS01840	MHP_RS03825
OG0000000	NB626_RS01850	MHP_RS01715
OG0000001	NB626_RS01395	MHP_RS00725
OG0000001	NB626_RS02930	MHP_RS02610
OG0000002	NB626_RS02360	MHP_RS03905
OG0000002	NB626_RS02355	MHP_RS03800
OG0000002	NB626_RS01855	MHP_RS01720
OG0000003	NB626_RS01890	MHP_RS01750
OG0000003	NB626_RS00600	MHP_RS01485
OG0000003	NB626_RS01965	MHP_RS01825
OG0000004	NB626_RS03400	MHP_RS03135
OG0000004	NB626_RS03220	MHP_RS02960
OG0000005	NB626_RS00100	MHP_RS00100
OG0000005	NB626_RS00120	MHP_RS00120
OG0000005	NB626_RS00110	MHP_RS00105
OG0000005	NB626_RS00125	MHP_RS00125
OG0000006	NB626_RS02680, NB626_RS02685	MHP_RS02365
OG0000006	NB626_RS02515	MHP_RS02230
OG0000008	NB626_RS02470	MHP_RS03725, MHP_RS03910
OG0000008	NB626_RS01750	MHP_RS01640
OG0000008	NB626_RS02690	MHP_RS03920
OG0000009	NB626_RS00765	MHP_RS01325
OG0000009	NB626_RS00085	MHP_RS00085
OG0000009	NB626_RS00780	MHP_RS01315
OG0000010	NB626_RS01975	MHP_RS01830
OG0000011	NB626_RS02080	MHP_RS01915
OG0000012	NB626_RS01310, NB626_RS01990	MHP_RS00400
OG0000013	NB626_RS02565	MHP_RS02275
OG0000013	NB626_RS00185	MHP_RS03840
OG0000014	NB626_RS01210	MHP_RS00920
OG0000014	NB626_RS00705	MHP_RS01385
OG0000016	NB626_RS00170	MHP_RS00180
OG0000017	NB626_RS00155	MHP_RS00165
OG0000017	NB626_RS03035	MHP_RS02795
OG0000018	NB626_RS00480	MHP_RS03945
OG0000019	NB626_RS03205, NB626_RS03215	MHP_RS02955
OG0000020	NB626_RS03760	MHP_RS03470
OG0000022	NB626_RS01775	MHP_RS01655
OG0000022	NB626_RS01830	MHP_RS01705
OG0000024	NB626_RS02925	MHP_RS02605
OG0000024	NB626_RS01390	MHP_RS00730
OG0000025	NB626_RS01780	MHP_RS01660
OG0000025	NB626_RS01825	MHP_RS01700
OG0000026	NB626_RS01480	MHP_RS00640
OG0000026	NB626_RS01805	MHP_RS01680
OG0000027	NB626_RS03540	MHP_RS03675
