Orthogroup	MHP_J_genes	MHP_ES2L_genes
OG0000000	MHJ_RS02070	HZK19_RS03960, HZK19_RS02100
OG0000000	MHJ_RS03645	HZK19_RS02105
OG0000000	MHJ_RS02065	HZK19_RS03675
OG0000000	MHJ_RS02265	HZK19_RS02290
OG0000000	MHJ_RS01665	HZK19_RS01690
OG0000000	MHJ_RS01670	HZK19_RS01695
OG0000001	MHJ_RS01255	HZK19_RS03720
OG0000001	MHJ_RS02765	HZK19_RS02765
OG0000001	MHJ_RS02710	HZK19_RS03840
OG0000002	MHJ_RS02080	HZK19_RS02110
OG0000002	MHJ_RS01675	HZK19_RS01705
OG0000003	MHJ_RS00485	HZK19_RS01715
OG0000003	MHJ_RS03880	HZK19_RS03785
OG0000003	MHJ_RS03890	HZK19_RS02160
OG0000003	MHJ_RS01795	HZK19_RS01800
OG0000004	MHJ_RS03175	HZK19_RS03240
OG0000004	MHJ_RS03165	HZK19_RS03230
OG0000004	MHJ_RS03190	HZK19_RS03255
OG0000004	MHJ_RS02995	HZK19_RS02980
OG0000005	MHJ_RS00090	HZK19_RS00085
OG0000005	MHJ_RS00095	HZK19_RS00090
OG0000005	MHJ_RS00100	HZK19_RS00095
OG0000006	MHJ_RS03920, MHJ_RS03915	HZK19_RS02470
OG0000006	MHJ_RS02300	HZK19_RS03805
OG0000006	MHJ_RS03910	HZK19_RS02465
OG0000007	MHJ_RS02140	HZK19_RS02155
OG0000007	MHJ_RS02135	HZK19_RS02150
OG0000007	MHJ_RS02130	HZK19_RS02145
OG0000008	MHJ_RS03790	HZK19_RS03790
OG0000008	MHJ_RS03850	HZK19_RS03745
OG0000008	MHJ_RS03925	HZK19_RS03825
OG0000009	MHJ_RS00660	HZK19_RS00655
OG0000010	MHJ_RS01805	HZK19_RS01810
OG0000010	MHJ_RS01530	HZK19_RS03735
OG0000011	MHJ_RS04005	HZK19_RS03920
OG0000012	MHJ_RS01775	HZK19_RS03250
OG0000012	MHJ_RS02990	HZK19_RS01825
OG0000013	MHJ_RS02355	HZK19_RS02370
OG0000013	MHJ_RS03825	HZK19_RS03715
OG0000014	MHJ_RS00590	HZK19_RS00595
OG0000016	MHJ_RS02810	HZK19_RS02805
OG0000016	MHJ_RS00145	HZK19_RS00155
OG0000017	MHJ_RS00130	HZK19_RS00140
OG0000017	MHJ_RS02820	HZK19_RS02815
OG0000018	MHJ_RS01295	HZK19_RS01290, HZK19_RS03075
OG0000020	MHJ_RS03515	HZK19_RS03860
OG0000020	MHJ_RS03995	HZK19_RS03600
OG0000021	MHJ_RS00490	HZK19_RS01725
OG0000022	MHJ_RS01610	HZK19_RS01625
OG0000022	MHJ_RS01660	HZK19_RS01685
OG0000023	MHJ_RS01290	HZK19_RS01285
OG0000024	MHJ_RS02705	HZK19_RS02710
OG0000024	MHJ_RS01245	HZK19_RS01240
OG0000025	MHJ_RS01615	HZK19_RS01630
OG0000025	MHJ_RS01655	HZK19_RS01680
OG0000026	MHJ_RS01335	HZK19_RS01330
OG0000026	MHJ_RS01635	HZK19_RS01660
OG0000027	MHJ_RS03750	HZK19_RS03390
OG0000027	MHJ_RS03330	HZK19_RS03405
OG0000028	MHJ_RS02365, MHJ_RS02370	HZK19_RS02385
OG0000029	MHJ_RS01055	HZK19_RS01065
OG0000029	MHJ_RS00595	HZK19_RS00600
OG0000030	MHJ_RS03310	HZK19_RS03380
OG0000030	MHJ_RS03325	HZK19_RS03400
OG0000032	MHJ_RS03320	HZK19_RS03395
OG0000033	MHJ_RS03905	HZK19_RS03820, HZK19_RS02375
OG0000035	MHJ_RS03170	HZK19_RS03235
OG0000035	MHJ_RS03160	HZK19_RS03225
OG0000036	MHJ_RS00105	HZK19_RS00100
OG0000037	MHJ_RS03820	HZK19_RS01555
OG0000038	MHJ_RS00480, MHJ_RS01705	HZK19_RS01710
OG0000039	MHJ_RS01575	HZK19_RS01580
OG0000040	MHJ_RS03260	HZK19_RS03325
OG0000041	MHJ_RS01160	HZK19_RS01160
OG0000042	MHJ_RS02920	HZK19_RS02900
OG0000043	MHJ_RS01865	HZK19_RS01875
OG0000044	MHJ_RS04020	HZK19_RS03955
OG0000044	MHJ_RS01745	HZK19_RS01755
OG0000045	MHJ_RS01580	HZK19_RS01585
OG0000048	MHJ_RS02050	HZK19_RS02065
OG0000049	MHJ_RS03025	HZK19_RS02995
OG0000050	MHJ_RS02400	HZK19_RS02415
OG0000051	MHJ_RS02615	HZK19_RS02620
OG0000052	MHJ_RS00075	HZK19_RS00075
OG0000053	MHJ_RS01420	HZK19_RS01415
OG0000054	MHJ_RS02425	HZK19_RS02440
OG0000055	MHJ_RS00110	HZK19_RS00120
OG0000056	MHJ_RS03500	HZK19_RS03580
OG0000057	MHJ_RS02900	HZK19_RS02885
OG0000061	MHJ_RS01540	HZK19_RS01820
OG0000062	MHJ_RS03545	HZK19_RS03630
OG0000063	MHJ_RS03540	HZK19_RS03625
OG0000064	MHJ_RS03530	HZK19_RS03615
OG0000065	MHJ_RS02200	HZK19_RS02220
OG0000066	MHJ_RS01325	HZK19_RS01320
OG0000067	MHJ_RS00510	HZK19_RS00515
OG0000068	MHJ_RS00630	HZK19_RS00635
OG0000069	MHJ_RS02785	HZK19_RS02780
OG0000070	MHJ_RS02430	HZK19_RS02445
OG0000071	MHJ_RS03250	HZK19_RS03315
OG0000072	MHJ_RS03255	HZK19_RS03320
OG0000073	MHJ_RS00685	HZK19_RS00680
OG0000074	MHJ_RS00875	HZK19_RS00875
OG0000075	MHJ_RS00320	HZK19_RS00325
OG0000076	MHJ_RS00335	HZK19_RS00340
OG0000077	MHJ_RS00425	HZK19_RS00425
OG0000078	MHJ_RS01625	HZK19_RS01645
OG0000079	MHJ_RS02515	HZK19_RS02525
OG0000080	MHJ_RS03800	HZK19_RS02570
OG0000081	MHJ_RS00315	HZK19_RS00320
OG0000082	MHJ_RS02340, MHJ_RS03775	HZK19_RS02365
OG0000083	MHJ_RS01975	HZK19_RS01985
OG0000084	MHJ_RS02000	HZK19_RS02015
OG0000085	MHJ_RS02005	HZK19_RS02020
OG0000086	MHJ_RS02015	HZK19_RS02030
OG0000087	MHJ_RS02030	HZK19_RS02045
OG0000088	MHJ_RS02035	HZK19_RS02050
OG0000089	MHJ_RS02045	HZK19_RS02060
