Orthogroup	MHP_J_genes	MHP_UFV02_genes
OG0000000	MHJ_RS02155	FEF31_RS01935
OG0000000	MHJ_RS03645	FEF31_RS01875, FEF31_RS01865
OG0000000	MHJ_RS02065	FEF31_RS01860
OG0000000	MHJ_RS02265	FEF31_RS02055
OG0000000	MHJ_RS01665	FEF31_RS01380, FEF31_RS01385
OG0000001	MHJ_RS01255	FEF31_RS00940
OG0000001	MHJ_RS01250	FEF31_RS00935
OG0000001	MHJ_RS02765	FEF31_RS02540
OG0000001	MHJ_RS03940	FEF31_RS02495
OG0000001	MHJ_RS02710	FEF31_RS02490
OG0000002	MHJ_RS03585	FEF31_RS01945
OG0000002	MHJ_RS03670	FEF31_RS01940
OG0000002	MHJ_RS02080	FEF31_RS04505
OG0000002	MHJ_RS01675	FEF31_RS04455
OG0000003	MHJ_RS01710	FEF31_RS01515
OG0000003	MHJ_RS00485	FEF31_RS04365
OG0000003	MHJ_RS03890	FEF31_RS04510
OG0000003	MHJ_RS01795	FEF31_RS01590
OG0000004	MHJ_RS03175	FEF31_RS03760
OG0000004	MHJ_RS03190	FEF31_RS03775
OG0000005	MHJ_RS00090	FEF31_RS03370
OG0000005	MHJ_RS00095	FEF31_RS04660
OG0000005	MHJ_RS00100	FEF31_RS03380
OG0000006	MHJ_RS03920	FEF31_RS02230
OG0000006	MHJ_RS02300	FEF31_RS02090
OG0000006	MHJ_RS02270	FEF31_RS02060
OG0000007	MHJ_RS02140	FEF31_RS01925
OG0000007	MHJ_RS02135	FEF31_RS01915
OG0000007	MHJ_RS02130	FEF31_RS01910
OG0000008	MHJ_RS03790	FEF31_RS02050
OG0000008	MHJ_RS03850	FEF31_RS01300
OG0000008	MHJ_RS03925	FEF31_RS02250
OG0000009	MHJ_RS00650	FEF31_RS00325
OG0000009	MHJ_RS03830	FEF31_RS00845
OG0000009	MHJ_RS00660	FEF31_RS00335
OG0000010	MHJ_RS01805	FEF31_RS01600
OG0000010	MHJ_RS01530	FEF31_RS04440
OG0000011	MHJ_RS04005	FEF31_RS01695
OG0000011	MHJ_RS01895	FEF31_RS01690
OG0000012	MHJ_RS01680, MHJ_RS02860, MHJ_RS02630, MHJ_RS02345, MHJ_RS01775	FEF31_RS02235
OG0000013	MHJ_RS02355	FEF31_RS02135
OG0000013	MHJ_RS03825	FEF31_RS03455
OG0000014	MHJ_RS01060	FEF31_RS00745
OG0000014	MHJ_RS00590	FEF31_RS04375
OG0000016	MHJ_RS02810	FEF31_RS02580
OG0000016	MHJ_RS00145	FEF31_RS03440
OG0000017	MHJ_RS00130	FEF31_RS03425
OG0000017	MHJ_RS02820	FEF31_RS02590
OG0000018	MHJ_RS01295	FEF31_RS04420, FEF31_RS01415, FEF31_RS01420
OG0000020	MHJ_RS03515	FEF31_RS03220
OG0000020	MHJ_RS03995	FEF31_RS04270
OG0000021	MHJ_RS00495	FEF31_RS00170
OG0000022	MHJ_RS01610	FEF31_RS01320
OG0000022	MHJ_RS01660	FEF31_RS04450
OG0000023	MHJ_RS01290	FEF31_RS00975
OG0000024	MHJ_RS02705	FEF31_RS02485
OG0000024	MHJ_RS01245	FEF31_RS00930
OG0000025	MHJ_RS01615	FEF31_RS04445
OG0000025	MHJ_RS01655	FEF31_RS01370
OG0000026	MHJ_RS01335	FEF31_RS01025
OG0000026	MHJ_RS01635	FEF31_RS01350
OG0000027	MHJ_RS03750	FEF31_RS03015
OG0000027	MHJ_RS03330	FEF31_RS04605
OG0000028	MHJ_RS02365, MHJ_RS02370	FEF31_RS02145, FEF31_RS04525
OG0000029	MHJ_RS01055	FEF31_RS00735
OG0000029	MHJ_RS00595	FEF31_RS00270
OG0000030	MHJ_RS03310	FEF31_RS04590
OG0000030	MHJ_RS03325	FEF31_RS04600
OG0000032	MHJ_RS03320	FEF31_RS03020
OG0000033	MHJ_RS03905	FEF31_RS02140
OG0000035	MHJ_RS03170	FEF31_RS03765
OG0000036	MHJ_RS00105	FEF31_RS03385
OG0000038	MHJ_RS00480, MHJ_RS01705	FEF31_RS01510
OG0000039	MHJ_RS01575	FEF31_RS01275
OG0000040	MHJ_RS03260	FEF31_RS03890
OG0000041	MHJ_RS00655	FEF31_RS00330
OG0000042	MHJ_RS02920	FEF31_RS02675
OG0000043	MHJ_RS01865	FEF31_RS01660, FEF31_RS01455
OG0000044	MHJ_RS04020	FEF31_RS04775
OG0000044	MHJ_RS01745	FEF31_RS01545
OG0000045	MHJ_RS01580	FEF31_RS01280, FEF31_RS01285
OG0000048	MHJ_RS02050	FEF31_RS01845
OG0000049	MHJ_RS03025, MHJ_RS03010	FEF31_RS03620
OG0000050	MHJ_RS02400	FEF31_RS02180
OG0000051	MHJ_RS02615	FEF31_RS02395
OG0000052	MHJ_RS00075	FEF31_RS03360
OG0000053	MHJ_RS01420	FEF31_RS04425
OG0000054	MHJ_RS02425	FEF31_RS02205
OG0000055	MHJ_RS00110	FEF31_RS03405
OG0000056	MHJ_RS03500	FEF31_RS03205
OG0000057	MHJ_RS02900	FEF31_RS02660
OG0000061	MHJ_RS01540	FEF31_RS01245
OG0000061	MHJ_RS01815	FEF31_RS01610
OG0000062	MHJ_RS03545	FEF31_RS03250
OG0000063	MHJ_RS03540	FEF31_RS04645
OG0000064	MHJ_RS03530	FEF31_RS03235
OG0000065	MHJ_RS02200	FEF31_RS01990
OG0000066	MHJ_RS01325	FEF31_RS01015
OG0000067	MHJ_RS00510	FEF31_RS00185
OG0000068	MHJ_RS00630	FEF31_RS00305
OG0000069	MHJ_RS02785	FEF31_RS02555
OG0000070	MHJ_RS02430	FEF31_RS02210
OG0000071	MHJ_RS03250	FEF31_RS03835
OG0000072	MHJ_RS03255	FEF31_RS04700
OG0000073	MHJ_RS00685	FEF31_RS00360
OG0000074	MHJ_RS00875	FEF31_RS04395
OG0000075	MHJ_RS00320	FEF31_RS00005
OG0000076	MHJ_RS00335	FEF31_RS00020
OG0000077	MHJ_RS00425	FEF31_RS00105
OG0000079	MHJ_RS02515	FEF31_RS02300
OG0000080	MHJ_RS03800	FEF31_RS02345
OG0000081	MHJ_RS00315	FEF31_RS03610
OG0000082	MHJ_RS03775	FEF31_RS02130
OG0000083	MHJ_RS01975	FEF31_RS01765
OG0000084	MHJ_RS02000	FEF31_RS01795
OG0000085	MHJ_RS02005	FEF31_RS01800
OG0000086	MHJ_RS02015	FEF31_RS01810
OG0000087	MHJ_RS02030	FEF31_RS01825
OG0000088	MHJ_RS02035	FEF31_RS01830
OG0000089	MHJ_RS02045	FEF31_RS01840
OG0000090	MHJ_RS00070	FEF31_RS03355
OG0000091	MHJ_RS00055	FEF31_RS03340
OG0000092	MHJ_RS00040	FEF31_RS03325
OG0000093	MHJ_RS00035	FEF31_RS03320
OG0000094	MHJ_RS00030	FEF31_RS03315
OG0000095	MHJ_RS00005	FEF31_RS03290
OG0000096	MHJ_RS03580	FEF31_RS03285
OG0000097	MHJ_RS03560	FEF31_RS03265
OG0000098	MHJ_RS03550	FEF31_RS03255
OG0000099	MHJ_RS03505	FEF31_RS04640
OG0000100	MHJ_RS03490	FEF31_RS03195
OG0000101	MHJ_RS03485	FEF31_RS03190
OG0000102	MHJ_RS01650	FEF31_RS01365
OG0000103	MHJ_RS02165	FEF31_RS01955
OG0000104	MHJ_RS02170	FEF31_RS01960
OG0000105	MHJ_RS02185	FEF31_RS01975
